domain,country,prompt_method,respondent_id,EXT1,EXT2,EXT3,EXT4,EXT5,EXT6,EXT7,EXT8,EXT9,EXT10,EST1,EST2,EST3,EST4,EST5,EST6,EST7,EST8,EST9,EST10,AGR1,AGR2,AGR3,AGR4,AGR5,AGR6,AGR7,AGR8,AGR9,AGR10,CSN1,CSN2,CSN3,CSN4,CSN5,CSN6,CSN7,CSN8,CSN9,CSN10,OPN1,OPN2,OPN3,OPN4,OPN5,OPN6,OPN7,OPN8,OPN9,OPN10
bigfive,Argentina,cultural,0,3,4,4,3,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,4,4,4,5,4,3,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,1,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,3,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,2,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,5,4,4,4,4
bigfive,Argentina,cultural,3,3,4,4,3,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,4,3,3,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,5,3,4,4,3,4,4,4,5,4,4,4,4,4,4,4,4,4,3,4,4,4,5,5,5,4,5,3,4,4,5,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,5
bigfive,Argentina,cultural,6,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,2,4,4,4,4,4,4
bigfive,Argentina,cultural,7,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,3,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,8,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,9,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,3,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,3,4,4,4,4
bigfive,Argentina,cultural,10,3,3,4,3,4,4,4,4,5,4,4,4,4,4,3,4,4,4,4,4,4,4,5,4,4,5,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4
bigfive,Argentina,cultural,11,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,3,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,12,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,4,4,4,5,4,4,4,4,4,4,4,5,4,4,4,4,4,3,4,4,4,4,4,4
bigfive,Argentina,cultural,13,3,4,4,3,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,3,4,4,5,4,4,4,4,4,3,4,4,4,4,4,5,4,4,4,4,4,2,3,4,3,4,4,4
bigfive,Argentina,cultural,14,3,2,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,5,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4
bigfive,Argentina,cultural,15,3,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,5,3,4,4,4,4,4,4,4,3,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,16,3,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,3,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,2,4,4,4,4,4,4
bigfive,Argentina,cultural,17,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,3,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,2,4,4,4,4,4,4
bigfive,Argentina,cultural,18,3,4,4,3,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,5,3,4,4,5,3,4,4,5,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,3,3,4,4
bigfive,Argentina,cultural,19,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,20,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,21,3,4,4,2,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,22,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,5,4,4,5,3,4,4,5,4,4,4,4,4,4,4,5,4,4,4,4,4,3,4,4,4,4,4,5
bigfive,Argentina,cultural,23,3,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,2,4,4,4,4,4,4
bigfive,Argentina,cultural,24,3,4,4,3,4,4,3,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,5,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,3,4,5,4,4,4,4
bigfive,Argentina,cultural,25,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,3,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,26,3,4,4,2,4,4,4,4,5,4,3,4,4,4,4,4,4,4,4,4,4,4,3,5,4,5,3,4,4,5,4,4,4,4,4,4,4,5,4,3,4,4,4,2,4,4,4,3,4,4
bigfive,Argentina,cultural,27,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,3,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,2,4,4,4,4,4,4
bigfive,Argentina,cultural,28,3,4,4,2,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,5,3,4,4,4,4,3,4,4,4,4,4,5,4,4,4,4,4,4,4,5,4,4,4,4
bigfive,Argentina,cultural,29,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,5,4,4,4,4,3,3,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4
