domain,country,prompt_method,respondent_id,EXT1_para,EXT2_para,EST1_para,EST2_para,AGR1_para,AGR2_para,CSN1_para,CSN2_para,OPN1_para,OPN2_para
bigfive,Argentina,cultural,0,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,1,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,2,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,3,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,4,4,3,4,4,4,5,4,4,4,4
bigfive,Argentina,cultural,5,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,6,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,7,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,8,4,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,9,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,10,4,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,11,4,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,12,3,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,13,3,4,4,4,4,4,4,3,4,4
bigfive,Argentina,cultural,14,3,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,15,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,16,3,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,17,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,18,4,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,19,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,20,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,21,4,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,22,3,4,4,4,4,4,5,4,4,4
bigfive,Argentina,cultural,23,4,3,4,4,4,5,4,4,4,4
bigfive,Argentina,cultural,24,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,25,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,26,3,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,27,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,28,4,3,4,4,5,4,4,4,4,4
bigfive,Argentina,cultural,29,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,30,3,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,31,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,32,3,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,33,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,34,3,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,35,4,4,4,4,4,4,4,4,5,4
bigfive,Argentina,cultural,36,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,37,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,38,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,39,3,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,40,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,41,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,42,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,43,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,44,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,45,3,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,46,3,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,47,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,48,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,49,3,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,50,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,51,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,52,3,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,53,4,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,54,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,55,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,56,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,57,4,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,58,4,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,59,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,60,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,61,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,62,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,63,3,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,64,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,65,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,66,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,67,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,68,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,69,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,70,4,4,4,4,4,4,4,3,4,3
bigfive,Argentina,cultural,71,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,72,4,4,3,4,4,4,4,4,4,4
bigfive,Argentina,cultural,73,3,4,4,4,4,4,4,4,4,3
bigfive,Argentina,cultural,74,4,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,75,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,76,4,4,3,4,4,4,4,4,4,4
bigfive,Argentina,cultural,77,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,78,3,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,79,3,4,4,4,4,5,4,4,4,4
bigfive,Argentina,cultural,80,3,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,81,3,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,82,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,83,3,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,84,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,85,4,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,86,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,87,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,88,3,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,89,3,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,90,4,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,91,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,92,3,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,93,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,94,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,95,3,3,4,4,4,4,4,2,4,4
bigfive,Argentina,cultural,96,4,4,4,4,4,4,4,3,4,4
bigfive,Argentina,cultural,97,3,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,98,3,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,99,4,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,100,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,101,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,102,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,103,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,104,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,105,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,106,3,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,107,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,108,3,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,109,4,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,110,3,4,3,4,4,4,4,4,4,4
bigfive,Argentina,cultural,111,3,3,4,4,4,4,4,2,4,4
bigfive,Argentina,cultural,112,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,113,4,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,114,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,115,4,4,4,4,4,4,4,3,4,4
bigfive,Argentina,cultural,116,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,117,3,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,118,4,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,119,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,120,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,121,4,4,4,4,4,4,4,4,5,4
bigfive,Argentina,cultural,122,3,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,123,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,124,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,125,4,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,126,3,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,127,4,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,128,3,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,129,4,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,130,4,4,4,4,4,4,4,3,4,4
bigfive,Argentina,cultural,131,3,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,132,3,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,133,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,134,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,135,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,136,4,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,137,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,138,4,4,4,4,4,4,4,4,5,4
bigfive,Argentina,cultural,139,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,140,3,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,141,3,4,4,4,4,4,4,3,4,4
bigfive,Argentina,cultural,142,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,143,4,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,144,4,3,4,4,4,4,4,4,4,3
bigfive,Argentina,cultural,145,4,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,146,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,147,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,148,3,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,149,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,150,3,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,151,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,152,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,153,4,4,4,4,2,4,4,4,4,4
bigfive,Argentina,cultural,154,4,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,155,3,3,4,4,4,4,4,2,4,4
bigfive,Argentina,cultural,156,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,157,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,158,4,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,159,4,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,160,3,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,161,3,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,162,3,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,163,3,3,3,4,4,4,4,4,4,4
bigfive,Argentina,cultural,164,4,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,165,4,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,166,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,167,3,4,4,4,4,4,4,2,4,4
bigfive,Argentina,cultural,168,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,169,3,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,170,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,171,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,172,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,173,4,4,4,4,4,4,4,4,5,4
bigfive,Argentina,cultural,174,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,175,3,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,176,3,4,4,4,2,4,4,3,4,4
bigfive,Argentina,cultural,177,4,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,178,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,179,3,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,180,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,181,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,182,4,3,4,4,4,4,4,2,4,4
bigfive,Argentina,cultural,183,3,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,184,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,185,4,4,4,4,4,4,4,2,4,4
bigfive,Argentina,cultural,186,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,187,4,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,188,4,4,4,4,4,4,4,2,4,4
bigfive,Argentina,cultural,189,4,4,4,4,4,4,4,4,5,4
bigfive,Argentina,cultural,190,4,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,191,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,192,4,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,193,4,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,194,3,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,195,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,196,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,197,4,4,4,4,4,4,4,3,4,4
bigfive,Argentina,cultural,198,4,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,199,3,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,200,4,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,201,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,202,3,4,4,4,4,4,4,3,4,4
bigfive,Argentina,cultural,203,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,204,3,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,205,4,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,206,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,207,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,208,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,209,3,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,210,4,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,211,4,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,212,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,213,4,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,214,3,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,215,4,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,216,3,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,217,3,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,218,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,219,4,3,4,5,4,4,4,4,4,4
bigfive,Argentina,cultural,220,4,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,221,3,4,4,4,4,4,4,2,4,4
bigfive,Argentina,cultural,222,3,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,223,3,4,4,4,3,4,4,4,4,4
bigfive,Argentina,cultural,224,3,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,225,3,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,226,4,3,3,4,4,4,4,4,4,4
bigfive,Argentina,cultural,227,3,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,228,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,229,4,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,230,4,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,231,3,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,232,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,233,3,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,234,3,4,4,4,4,4,4,2,4,4
bigfive,Argentina,cultural,235,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,236,4,4,4,4,4,5,4,4,4,4
bigfive,Argentina,cultural,237,3,3,4,4,4,5,4,4,4,4
bigfive,Argentina,cultural,238,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,239,4,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,240,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,241,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,242,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,243,4,4,4,4,4,4,4,3,4,4
bigfive,Argentina,cultural,244,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,245,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,246,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,247,4,2,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,248,4,4,4,4,4,4,4,4,5,4
bigfive,Argentina,cultural,249,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,250,4,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,251,3,3,4,4,4,4,4,2,4,4
bigfive,Argentina,cultural,252,4,3,4,4,4,4,4,4,5,4
bigfive,Argentina,cultural,253,3,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,254,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,255,3,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,256,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,257,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,258,4,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,259,4,3,4,4,4,4,4,4,4,4
bigfive,Argentina,cultural,260,4,4,4,4,4,4,4,4,4,4
