domain,country,prompt_method,respondent_id,EXT1_para,EXT2_para,EST1_para,EST2_para,AGR1_para,AGR2_para,CSN1_para,CSN2_para,OPN1_para,OPN2_para
bigfive,Argentina,deep_persona,0,2,2,5,4,5,2,2,2,2,2
bigfive,Argentina,deep_persona,1,1,4,5,1,2,2,2,1,2,4
bigfive,Argentina,deep_persona,2,5,1,2,3,5,4,5,3,2,3
bigfive,Argentina,deep_persona,3,3,2,4,5,3,4,4,4,4,3
bigfive,Argentina,deep_persona,4,2,2,4,3,3,2,3,2,5,2
bigfive,Argentina,deep_persona,5,2,4,5,4,2,2,2,3,2,4
bigfive,Argentina,deep_persona,6,2,2,3,3,2,4,4,2,5,4
bigfive,Argentina,deep_persona,7,2,2,4,5,2,2,4,4,4,4
bigfive,Argentina,deep_persona,8,2,2,5,3,2,2,4,2,2,3
bigfive,Argentina,deep_persona,9,2,1,5,2,1,2,2,1,2,4
bigfive,Argentina,deep_persona,10,3,2,4,4,1,2,4,2,2,3
bigfive,Argentina,deep_persona,11,4,2,3,3,3,5,3,2,4,4
bigfive,Argentina,deep_persona,12,2,1,5,3,2,2,4,1,2,5
bigfive,Argentina,deep_persona,13,3,2,3,4,3,2,5,4,3,2
bigfive,Argentina,deep_persona,14,3,2,3,3,5,3,4,4,4,4
bigfive,Argentina,deep_persona,15,2,2,4,3,2,2,2,1,2,5
bigfive,Argentina,deep_persona,16,3,2,5,4,3,2,3,3,4,4
bigfive,Argentina,deep_persona,17,2,2,5,3,3,5,4,4,5,5
bigfive,Argentina,deep_persona,18,3,2,3,5,3,2,5,4,2,4
bigfive,Argentina,deep_persona,19,3,2,4,5,4,2,5,4,4,4
bigfive,Argentina,deep_persona,20,2,2,5,5,2,2,2,2,2,2
bigfive,Argentina,deep_persona,21,2,2,3,3,2,2,2,2,4,2
bigfive,Argentina,deep_persona,22,2,1,5,4,1,2,2,1,2,2
bigfive,Argentina,deep_persona,23,2,1,4,3,2,2,3,2,4,2
bigfive,Argentina,deep_persona,24,2,1,5,5,1,5,4,2,5,5
bigfive,Argentina,deep_persona,25,2,2,4,3,5,4,4,4,4,4
bigfive,Argentina,deep_persona,26,3,2,4,3,5,2,4,2,2,2
bigfive,Argentina,deep_persona,27,3,2,4,5,5,3,4,4,3,4
bigfive,Argentina,deep_persona,28,2,2,4,3,2,2,2,1,4,2
bigfive,Argentina,deep_persona,29,2,4,5,4,2,4,4,2,4,4
bigfive,Argentina,deep_persona,30,2,2,3,5,5,4,5,4,4,4
bigfive,Argentina,deep_persona,31,3,2,3,4,4,3,3,2,4,4
bigfive,Argentina,deep_persona,32,3,2,4,5,2,2,4,4,4,4
bigfive,Argentina,deep_persona,33,3,1,5,5,3,2,4,4,2,5
bigfive,Argentina,deep_persona,34,3,2,3,2,3,2,3,3,4,3
bigfive,Argentina,deep_persona,35,2,4,5,3,2,2,5,1,2,2
bigfive,Argentina,deep_persona,36,2,1,3,5,2,2,2,3,2,4
bigfive,Argentina,deep_persona,37,2,2,5,5,3,2,4,4,5,4
bigfive,Argentina,deep_persona,38,2,1,5,3,1,2,2,2,5,3
bigfive,Argentina,deep_persona,39,2,4,5,3,3,2,2,1,2,5
bigfive,Argentina,deep_persona,40,2,2,2,3,1,4,2,3,5,4
bigfive,Argentina,deep_persona,41,2,2,5,4,2,2,5,2,2,4
bigfive,Argentina,deep_persona,42,2,2,5,5,2,3,3,3,4,5
bigfive,Argentina,deep_persona,43,2,2,4,5,2,3,4,2,4,2
bigfive,Argentina,deep_persona,44,2,2,4,5,1,2,2,1,2,4
bigfive,Argentina,deep_persona,45,2,2,3,5,2,2,4,3,2,2
bigfive,Argentina,deep_persona,46,3,2,4,3,1,2,5,3,2,5
bigfive,Argentina,deep_persona,47,2,3,5,3,4,2,4,2,2,2
bigfive,Argentina,deep_persona,48,3,2,4,5,3,4,4,4,4,4
bigfive,Argentina,deep_persona,49,2,2,4,3,1,2,5,2,2,5
bigfive,Argentina,deep_persona,50,2,1,5,5,5,2,5,3,4,2
bigfive,Argentina,deep_persona,51,2,2,4,4,3,2,4,4,2,4
bigfive,Argentina,deep_persona,52,2,1,5,4,1,4,2,1,2,3
bigfive,Argentina,deep_persona,53,3,2,5,5,2,2,5,2,3,2
bigfive,Argentina,deep_persona,54,3,2,5,3,1,2,5,2,4,3
bigfive,Argentina,deep_persona,55,3,2,5,4,2,2,4,2,4,4
bigfive,Argentina,deep_persona,56,2,3,5,4,2,2,2,2,4,4
bigfive,Argentina,deep_persona,57,2,1,5,4,3,2,2,2,3,4
bigfive,Argentina,deep_persona,58,3,2,5,5,4,4,4,4,5,5
bigfive,Argentina,deep_persona,59,3,4,5,4,2,2,4,2,4,2
bigfive,Argentina,deep_persona,60,2,2,3,5,2,2,4,5,4,2
bigfive,Argentina,deep_persona,61,3,1,4,5,3,2,4,3,5,4
bigfive,Argentina,deep_persona,62,4,2,3,5,5,4,4,3,4,4
bigfive,Argentina,deep_persona,63,2,2,5,1,2,2,4,1,2,4
bigfive,Argentina,deep_persona,64,3,2,5,5,1,2,3,2,2,5
bigfive,Argentina,deep_persona,65,2,2,5,3,5,2,2,2,2,4
bigfive,Argentina,deep_persona,66,2,2,3,5,2,2,2,2,2,5
bigfive,Argentina,deep_persona,67,3,4,5,4,2,2,4,3,2,5
bigfive,Argentina,deep_persona,68,3,2,5,5,2,2,2,3,2,4
bigfive,Argentina,deep_persona,69,2,1,1,5,4,2,4,1,1,5
bigfive,Argentina,deep_persona,70,2,2,4,3,3,2,4,2,2,2
bigfive,Argentina,deep_persona,71,2,4,5,3,1,2,4,2,2,1
bigfive,Argentina,deep_persona,72,2,2,5,5,5,2,4,2,2,2
bigfive,Argentina,deep_persona,73,2,4,5,3,5,2,4,2,2,5
bigfive,Argentina,deep_persona,74,3,2,4,5,3,2,4,3,4,3
bigfive,Argentina,deep_persona,75,3,2,3,3,2,4,5,3,5,4
bigfive,Argentina,deep_persona,76,3,2,5,5,5,2,4,2,4,4
bigfive,Argentina,deep_persona,77,3,2,3,4,3,3,4,4,4,4
bigfive,Argentina,deep_persona,78,4,1,5,5,5,4,4,4,5,4
bigfive,Argentina,deep_persona,79,2,2,4,5,2,2,2,3,2,4
bigfive,Argentina,deep_persona,80,2,4,3,4,2,2,2,1,5,5
bigfive,Argentina,deep_persona,81,2,2,5,3,2,2,4,1,4,2
bigfive,Argentina,deep_persona,82,2,2,5,3,1,2,4,2,4,4
bigfive,Argentina,deep_persona,83,2,1,3,3,3,2,2,2,2,2
bigfive,Argentina,deep_persona,84,3,2,4,4,5,2,4,5,5,4
bigfive,Argentina,deep_persona,85,2,1,3,3,2,2,4,3,2,4
bigfive,Argentina,deep_persona,86,3,2,4,4,2,2,5,3,2,2
bigfive,Argentina,deep_persona,87,1,4,5,3,2,2,2,1,2,5
bigfive,Argentina,deep_persona,88,2,4,5,5,1,2,2,3,2,5
bigfive,Argentina,deep_persona,89,2,2,5,3,2,2,4,2,4,4
bigfive,Argentina,deep_persona,90,2,1,2,3,2,2,4,2,3,3
bigfive,Argentina,deep_persona,91,2,4,5,5,3,2,5,4,4,5
bigfive,Argentina,deep_persona,92,2,2,4,5,2,2,4,4,4,4
bigfive,Argentina,deep_persona,93,2,3,2,4,2,2,3,3,2,4
bigfive,Argentina,deep_persona,94,2,1,4,4,1,2,4,4,2,5
bigfive,Argentina,deep_persona,95,2,2,5,3,1,2,2,2,2,4
bigfive,Argentina,deep_persona,96,2,1,4,3,1,2,5,2,2,2
bigfive,Argentina,deep_persona,97,2,2,5,1,1,2,2,1,5,2
bigfive,Argentina,deep_persona,98,4,1,5,2,3,5,2,2,4,4
bigfive,Argentina,deep_persona,99,2,2,5,5,2,2,5,2,2,5
bigfive,Argentina,deep_persona,100,2,4,5,4,2,2,4,2,2,2
bigfive,Argentina,deep_persona,101,2,2,4,4,2,2,5,3,2,2
bigfive,Argentina,deep_persona,102,3,1,3,5,5,2,5,3,2,4
bigfive,Argentina,deep_persona,103,3,3,4,5,2,2,4,4,4,4
bigfive,Argentina,deep_persona,104,3,2,3,5,3,5,5,4,4,4
bigfive,Argentina,deep_persona,105,2,4,3,5,1,2,2,1,2,5
bigfive,Argentina,deep_persona,106,3,2,5,5,2,2,4,3,2,2
bigfive,Argentina,deep_persona,107,3,2,4,3,3,2,5,2,2,4
bigfive,Argentina,deep_persona,108,3,2,4,4,2,2,4,2,5,4
bigfive,Argentina,deep_persona,109,2,2,4,4,2,2,4,3,5,3
bigfive,Argentina,deep_persona,110,2,4,4,4,3,2,4,3,4,4
bigfive,Argentina,deep_persona,111,2,2,3,3,4,4,5,4,5,4
bigfive,Argentina,deep_persona,112,2,2,4,4,2,2,3,2,5,2
bigfive,Argentina,deep_persona,113,2,4,5,4,2,2,2,4,2,4
bigfive,Argentina,deep_persona,114,2,2,5,4,2,2,2,1,4,4
bigfive,Argentina,deep_persona,115,2,2,5,3,2,2,2,4,3,5
bigfive,Argentina,deep_persona,116,2,2,3,5,5,2,4,3,2,4
bigfive,Argentina,deep_persona,117,2,2,5,3,3,2,4,2,2,5
bigfive,Argentina,deep_persona,118,2,3,5,3,4,2,2,1,2,4
bigfive,Argentina,deep_persona,119,2,2,5,4,2,2,2,2,4,3
bigfive,Argentina,deep_persona,120,2,2,5,5,1,2,5,2,2,5
bigfive,Argentina,deep_persona,121,2,2,5,4,2,2,4,2,2,4
bigfive,Argentina,deep_persona,122,3,2,5,5,3,2,3,3,2,3
bigfive,Argentina,deep_persona,123,2,3,4,3,2,2,2,2,2,4
bigfive,Argentina,deep_persona,124,4,1,5,5,3,5,4,3,5,5
bigfive,Argentina,deep_persona,125,4,2,5,5,4,4,4,3,5,4
bigfive,Argentina,deep_persona,126,2,2,5,4,2,2,3,2,4,4
bigfive,Argentina,deep_persona,127,2,4,5,4,2,2,2,2,2,5
bigfive,Argentina,deep_persona,128,2,3,5,3,1,2,2,1,2,3
bigfive,Argentina,deep_persona,129,3,4,4,4,3,2,4,2,2,4
bigfive,Argentina,deep_persona,130,4,1,4,5,2,4,4,3,4,4
bigfive,Argentina,deep_persona,131,3,2,4,4,2,2,4,4,4,4
bigfive,Argentina,deep_persona,132,2,3,4,3,2,2,4,2,2,4
bigfive,Argentina,deep_persona,133,2,2,5,4,2,2,2,1,2,2
bigfive,Argentina,deep_persona,134,2,1,1,2,2,2,5,3,2,5
bigfive,Argentina,deep_persona,135,3,2,5,3,2,4,4,2,4,4
bigfive,Argentina,deep_persona,136,3,2,4,4,3,4,4,2,5,4
bigfive,Argentina,deep_persona,137,2,2,4,3,2,2,4,2,4,4
