domain,country,prompt_method,respondent_id,EXT1_para,EXT2_para,EST1_para,EST2_para,AGR1_para,AGR2_para,CSN1_para,CSN2_para,OPN1_para,OPN2_para
bigfive,Argentina,opencharacter,0,4,3,4,4,4,4,4,4,4,4
bigfive,Argentina,opencharacter,1,4,3,3,4,4,4,4,4,4,4
bigfive,Argentina,opencharacter,2,4,4,4,4,4,4,4,3,4,4
bigfive,Argentina,opencharacter,3,3,3,3,4,4,4,4,2,4,4
bigfive,Argentina,opencharacter,4,4,3,4,4,4,4,4,4,4,4
bigfive,Argentina,opencharacter,5,3,3,4,4,4,4,4,4,4,4
bigfive,Argentina,opencharacter,6,4,3,4,4,4,4,4,4,4,4
bigfive,Argentina,opencharacter,7,3,3,4,4,4,4,4,4,4,4
bigfive,Argentina,opencharacter,8,3,4,4,4,4,4,4,4,4,4
bigfive,Argentina,opencharacter,9,3,4,3,4,4,4,4,4,4,4
bigfive,Argentina,opencharacter,10,3,3,3,4,3,4,4,4,4,4
bigfive,Argentina,opencharacter,11,3,3,3,4,4,4,4,4,4,4
bigfive,Argentina,opencharacter,12,3,3,4,4,4,4,4,4,4,4
bigfive,Argentina,opencharacter,13,4,3,4,4,3,4,4,4,4,4
bigfive,Argentina,opencharacter,14,3,3,4,4,2,4,4,4,4,4
bigfive,Argentina,opencharacter,15,4,3,4,4,4,4,4,4,5,4
bigfive,Argentina,opencharacter,16,4,3,4,4,4,4,4,4,4,4
bigfive,Argentina,opencharacter,17,4,3,3,4,4,4,4,4,5,4
bigfive,Argentina,opencharacter,18,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,opencharacter,19,4,3,4,4,4,4,4,3,4,4
bigfive,Argentina,opencharacter,20,3,3,4,4,4,4,4,4,4,4
bigfive,Argentina,opencharacter,21,4,3,4,4,4,4,4,3,4,4
bigfive,Argentina,opencharacter,22,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,opencharacter,23,4,3,4,4,4,4,4,4,4,4
bigfive,Argentina,opencharacter,24,4,4,3,4,4,4,4,4,4,4
bigfive,Argentina,opencharacter,25,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,opencharacter,26,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,opencharacter,27,3,3,3,4,2,4,4,4,4,4
bigfive,Argentina,opencharacter,28,4,3,4,4,4,4,4,4,4,4
bigfive,Argentina,opencharacter,29,3,3,4,4,4,4,4,4,4,4
bigfive,Argentina,opencharacter,30,4,3,4,4,4,4,4,4,4,4
bigfive,Argentina,opencharacter,31,4,3,4,4,4,4,4,4,4,4
bigfive,Argentina,opencharacter,32,4,3,4,4,4,4,4,4,4,4
bigfive,Argentina,opencharacter,33,4,3,4,4,4,4,4,4,4,4
bigfive,Argentina,opencharacter,34,4,4,4,4,4,4,4,4,4,4
bigfive,Argentina,opencharacter,35,4,2,4,4,4,4,4,4,4,4
bigfive,Argentina,opencharacter,36,3,3,4,5,3,4,4,4,4,4
