domain,country,prompt_method,respondent_id,EXT1_para,EXT2_para,EST1_para,EST2_para,AGR1_para,AGR2_para,CSN1_para,CSN2_para,OPN1_para,OPN2_para
bigfive,Australia,cultural,0,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,1,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,2,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,3,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,4,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,5,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,6,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,7,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,8,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,9,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,10,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,11,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,12,4,4,4,4,4,4,5,4,5,4
bigfive,Australia,cultural,13,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,14,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,15,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,16,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,17,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,18,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,19,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,20,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,21,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,22,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,23,3,3,3,4,4,4,4,4,4,4
bigfive,Australia,cultural,24,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,25,4,4,4,4,5,4,4,4,4,4
bigfive,Australia,cultural,26,4,3,4,5,4,4,4,4,4,4
bigfive,Australia,cultural,27,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,28,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,29,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,30,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,31,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,32,4,3,4,4,4,5,4,4,4,4
bigfive,Australia,cultural,33,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,34,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,35,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,36,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,37,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,38,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,39,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,40,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,41,4,3,4,4,4,5,4,4,4,4
bigfive,Australia,cultural,42,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,43,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,44,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,45,3,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,46,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,47,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,48,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,49,3,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,50,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,51,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,52,3,3,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,53,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,54,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,55,4,4,4,4,4,4,4,4,5,4
bigfive,Australia,cultural,56,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,57,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,58,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,59,3,3,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,60,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,61,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,62,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,63,3,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,64,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,65,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,66,4,4,4,4,4,4,5,4,4,4
bigfive,Australia,cultural,67,4,3,4,4,4,4,4,4,5,4
bigfive,Australia,cultural,68,4,4,4,4,4,4,4,4,5,4
bigfive,Australia,cultural,69,4,4,4,4,4,4,4,4,5,4
bigfive,Australia,cultural,70,3,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,71,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,72,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,73,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,74,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,75,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,76,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,77,3,3,4,4,4,4,4,3,4,4
bigfive,Australia,cultural,78,3,3,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,79,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,80,4,3,4,4,4,4,5,4,4,4
bigfive,Australia,cultural,81,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,82,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,83,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,84,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,85,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,86,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,87,4,4,4,4,5,4,4,4,4,4
bigfive,Australia,cultural,88,3,3,2,4,4,4,4,4,4,4
bigfive,Australia,cultural,89,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,90,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,91,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,92,3,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,93,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,94,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,95,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,96,4,4,3,4,4,4,4,4,4,4
bigfive,Australia,cultural,97,3,3,4,4,4,5,4,4,4,4
bigfive,Australia,cultural,98,3,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,99,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,100,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,101,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,102,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,103,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,104,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,105,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,106,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,107,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,108,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,109,3,3,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,110,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,111,4,4,4,4,4,5,4,4,4,4
bigfive,Australia,cultural,112,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,113,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,114,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,115,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,116,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,117,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,118,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,119,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,120,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,121,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,122,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,123,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,124,4,4,4,4,5,4,4,2,4,4
bigfive,Australia,cultural,125,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,126,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,127,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,128,4,2,4,4,4,4,4,4,5,4
bigfive,Australia,cultural,129,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,130,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,131,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,132,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,133,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,134,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,135,3,3,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,136,3,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,137,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,138,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,139,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,140,3,4,3,4,4,4,4,4,4,4
bigfive,Australia,cultural,141,4,4,4,4,5,4,4,4,4,4
bigfive,Australia,cultural,142,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,143,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,144,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,145,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,146,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,147,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,148,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,149,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,150,3,3,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,151,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,152,4,4,4,4,5,4,4,4,5,4
bigfive,Australia,cultural,153,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,154,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,155,4,3,4,4,4,5,4,4,4,4
bigfive,Australia,cultural,156,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,157,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,158,4,4,4,4,4,4,4,2,4,4
bigfive,Australia,cultural,159,3,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,160,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,161,4,4,4,4,4,5,4,4,4,4
bigfive,Australia,cultural,162,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,163,3,3,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,164,4,3,4,4,4,4,4,4,5,4
bigfive,Australia,cultural,165,4,3,4,4,4,4,4,4,5,4
bigfive,Australia,cultural,166,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,167,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,168,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,169,3,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,170,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,171,4,4,4,4,4,4,4,2,4,4
bigfive,Australia,cultural,172,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,173,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,cultural,174,4,3,4,4,4,4,4,4,4,4
