domain,country,prompt_method,respondent_id,EXT1,EXT2,EXT3,EXT4,EXT5,EXT6,EXT7,EXT8,EXT9,EXT10,EST1,EST2,EST3,EST4,EST5,EST6,EST7,EST8,EST9,EST10,AGR1,AGR2,AGR3,AGR4,AGR5,AGR6,AGR7,AGR8,AGR9,AGR10,CSN1,CSN2,CSN3,CSN4,CSN5,CSN6,CSN7,CSN8,CSN9,CSN10,OPN1,OPN2,OPN3,OPN4,OPN5,OPN6,OPN7,OPN8,OPN9,OPN10
bigfive,Australia,deep_persona,0,2,2,2,3,2,4,2,4,2,4,5,3,5,1,5,5,4,3,5,4,5,3,1,5,3,5,5,5,4,4,2,2,2,3,2,3,2,2,3,2,2,2,1,1,2,1,2,2,2,2
bigfive,Australia,deep_persona,1,1,4,2,4,2,2,2,5,1,5,5,1,5,1,4,5,3,4,5,5,5,2,1,4,2,2,4,2,2,2,1,2,2,2,2,4,3,1,4,2,2,5,1,5,2,1,2,2,1,2
bigfive,Australia,deep_persona,2,1,2,4,1,2,5,2,2,2,1,5,2,5,5,5,3,3,3,3,3,5,5,5,5,1,2,5,5,2,4,2,2,2,3,2,4,4,2,2,2,2,2,2,1,2,5,2,1,2,2
bigfive,Australia,deep_persona,3,2,2,4,3,4,5,3,4,3,4,4,4,4,5,5,4,4,3,3,3,4,4,5,4,2,4,4,4,4,4,3,2,3,4,4,4,4,4,4,4,2,2,2,2,4,4,4,3,3,2
bigfive,Australia,deep_persona,4,2,4,4,5,4,5,4,2,4,2,3,4,4,5,5,5,3,3,3,3,5,4,5,2,2,2,3,4,4,4,4,2,2,3,2,2,4,3,4,3,2,5,2,2,3,5,2,2,3,2
bigfive,Australia,deep_persona,5,1,2,2,1,2,5,2,2,2,1,5,2,5,3,5,5,2,5,5,5,2,2,1,2,2,2,2,2,2,2,2,2,2,4,2,5,2,1,2,2,2,2,2,2,2,2,2,2,2,2
bigfive,Australia,deep_persona,6,1,2,2,4,2,5,2,4,2,5,3,2,3,5,3,5,3,3,3,3,4,2,5,2,3,2,4,2,2,2,2,2,2,4,2,4,4,3,2,4,2,2,1,1,3,1,2,2,2,2
bigfive,Australia,deep_persona,7,1,2,2,2,2,4,2,2,2,4,5,4,5,2,5,5,4,5,5,4,1,2,5,2,2,2,1,2,2,2,2,2,2,2,2,4,2,2,2,2,2,5,2,1,2,4,3,2,2,2
bigfive,Australia,deep_persona,8,3,4,5,5,4,5,4,3,4,4,3,4,4,5,5,5,3,5,5,5,5,5,5,5,4,5,5,5,5,5,4,2,4,4,4,3,4,5,4,4,3,5,3,2,4,5,5,3,3,4
bigfive,Australia,deep_persona,9,1,2,2,1,2,5,2,5,1,2,5,2,2,5,5,5,4,3,5,3,1,2,1,2,2,2,5,2,2,2,2,1,3,3,2,4,5,3,4,4,4,4,4,1,2,5,2,2,2,1
bigfive,Australia,deep_persona,10,2,2,2,2,2,5,2,3,2,4,5,3,5,3,5,3,3,3,5,5,2,2,1,2,4,2,4,2,2,2,2,2,2,3,2,4,3,1,2,4,2,5,1,1,2,1,2,2,2,2
bigfive,Australia,deep_persona,11,1,2,2,1,2,5,2,4,1,4,5,2,5,2,5,5,5,3,5,5,5,1,1,2,1,2,5,2,2,2,1,1,2,4,2,2,2,1,2,2,2,2,1,1,2,1,2,2,1,2
bigfive,Australia,deep_persona,12,2,2,2,4,2,5,2,2,2,3,5,2,4,2,4,5,5,3,4,4,5,5,5,4,4,2,3,4,4,2,2,2,4,4,2,3,5,4,4,4,2,2,2,1,3,5,2,2,2,4
bigfive,Australia,deep_persona,13,1,3,4,2,4,5,2,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,2,5,3,2,3,3,4,2,2,3,2,3,4,5,4,4,4,5,4,1,5,5,4,3,4,5
bigfive,Australia,deep_persona,14,2,2,3,5,2,5,2,2,2,2,3,2,4,5,3,3,4,3,4,3,5,5,5,4,3,4,3,2,3,3,2,2,2,4,2,4,4,3,4,4,2,2,4,2,4,5,2,2,2,5
bigfive,Australia,deep_persona,15,2,2,4,5,4,5,3,2,3,4,4,2,3,5,5,5,4,5,5,5,5,4,5,4,4,4,5,4,4,4,4,2,4,3,3,3,4,5,4,4,4,5,3,2,4,5,4,3,3,4
bigfive,Australia,deep_persona,16,1,4,1,5,2,5,2,5,1,5,5,2,2,5,5,5,3,3,2,2,5,1,1,2,1,1,5,1,2,2,2,1,2,2,2,2,5,1,3,2,2,2,2,2,2,5,2,2,2,2
bigfive,Australia,deep_persona,17,2,2,4,1,3,5,2,5,3,4,5,3,4,5,5,5,4,5,5,3,5,5,1,5,3,5,5,5,4,4,4,2,3,3,3,2,5,5,4,4,2,2,2,2,3,1,3,2,3,2
bigfive,Australia,deep_persona,18,2,2,5,5,4,5,2,2,2,3,4,3,3,5,5,4,3,3,3,3,5,5,5,5,2,4,4,4,4,4,4,2,4,4,4,2,5,5,4,5,4,4,4,2,4,4,4,4,3,3
bigfive,Australia,deep_persona,19,2,2,5,2,4,5,4,2,4,2,5,2,3,5,5,5,4,3,5,4,5,5,5,4,2,3,3,4,4,4,4,2,3,3,3,2,4,5,2,4,3,5,3,5,5,5,5,2,2,5
bigfive,Australia,deep_persona,20,1,2,2,1,2,5,2,2,2,2,5,2,3,2,4,5,3,3,4,5,2,2,1,2,2,1,2,2,2,2,4,2,2,4,2,2,2,3,2,2,2,2,1,1,2,1,2,2,2,2
bigfive,Australia,deep_persona,21,2,2,2,1,2,5,2,5,2,1,5,2,4,1,2,5,3,2,5,4,2,2,1,2,2,2,2,2,2,2,2,2,4,3,2,2,4,4,4,4,2,1,2,2,2,4,3,2,2,3
bigfive,Australia,deep_persona,22,2,2,2,2,2,5,2,2,2,3,4,2,4,5,3,5,3,3,3,3,5,2,3,2,2,2,3,2,3,3,3,2,4,3,2,2,4,3,4,4,4,3,2,1,4,5,4,2,2,2
bigfive,Australia,deep_persona,23,2,3,5,2,4,5,4,3,2,4,3,4,3,5,5,5,3,3,3,3,5,5,5,4,2,5,4,4,3,4,4,2,3,3,2,2,4,3,4,2,2,3,2,2,3,5,4,3,3,2
bigfive,Australia,deep_persona,24,2,2,5,2,4,5,2,3,3,4,5,2,3,5,5,5,5,5,5,5,5,5,5,5,2,5,3,5,4,4,4,2,3,3,3,3,5,3,4,4,2,3,2,2,4,4,3,3,3,3
bigfive,Australia,deep_persona,25,2,2,2,1,2,5,2,4,2,4,5,2,4,3,4,5,4,3,5,4,5,4,5,5,2,5,5,5,4,4,2,2,2,4,3,4,4,5,4,2,2,2,2,2,3,3,3,2,2,2
bigfive,Australia,deep_persona,26,2,2,2,5,2,5,2,2,2,2,4,4,5,4,4,5,4,3,5,4,5,4,1,3,2,3,3,4,4,2,3,2,2,4,2,2,4,3,4,4,2,5,3,2,4,5,2,2,2,5
bigfive,Australia,deep_persona,27,1,2,2,1,2,4,2,5,2,4,3,2,3,5,5,5,3,5,3,5,5,2,1,4,4,5,4,4,2,4,2,2,2,3,3,3,4,3,4,2,2,2,1,1,2,1,2,2,2,2
bigfive,Australia,deep_persona,28,1,2,2,1,2,5,2,4,2,1,5,2,5,5,5,5,3,4,5,5,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,4,4,3,4,2,2,2,1,1,2,1,2,2,2,2
bigfive,Australia,deep_persona,29,1,2,2,1,2,5,2,5,1,5,5,2,2,5,3,3,3,3,3,3,1,1,1,2,2,2,5,2,2,2,2,1,2,2,2,5,4,1,2,2,3,5,3,1,4,5,2,2,2,1
bigfive,Australia,deep_persona,30,1,2,4,1,2,5,2,4,2,4,3,2,3,5,5,5,3,5,3,3,5,4,5,4,2,4,3,4,2,4,2,2,2,3,2,4,4,3,3,4,2,2,2,1,2,3,2,2,2,2
bigfive,Australia,deep_persona,31,1,2,2,2,2,5,2,2,2,4,5,4,5,5,5,5,4,4,5,5,5,5,5,5,2,5,5,5,4,3,2,2,3,3,3,3,4,3,4,4,2,2,2,2,3,4,3,2,3,3
bigfive,Australia,deep_persona,32,2,4,2,4,2,4,2,5,2,5,3,2,4,5,3,3,3,3,2,3,5,3,5,4,4,4,2,3,3,4,2,2,2,4,2,2,5,3,4,2,2,2,2,2,2,3,2,2,2,2
bigfive,Australia,deep_persona,33,1,4,2,2,2,2,2,4,2,5,5,2,5,1,5,5,3,2,5,4,2,2,1,2,2,2,5,2,2,2,2,2,2,4,2,5,2,2,2,2,2,5,1,5,2,1,2,2,1,2
bigfive,Australia,deep_persona,34,1,2,2,1,2,5,2,5,1,5,5,2,5,1,5,5,3,3,5,5,5,1,1,2,2,2,5,2,2,2,2,1,2,3,2,2,4,1,4,2,2,2,2,1,5,3,2,2,2,2
bigfive,Australia,deep_persona,35,2,2,2,2,2,5,2,5,2,4,3,2,4,5,5,5,4,3,2,4,5,2,1,4,2,2,1,4,2,4,2,2,2,3,2,2,4,3,4,2,2,2,2,1,2,5,4,2,2,2
bigfive,Australia,deep_persona,36,1,2,2,5,2,5,2,5,1,4,5,2,5,2,5,5,4,2,5,3,5,2,1,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,5,2,2,2,2
bigfive,Australia,deep_persona,37,1,2,2,3,2,5,2,4,2,4,5,2,4,5,5,5,4,3,5,4,5,5,5,5,3,5,5,4,2,3,2,2,2,3,2,2,5,5,2,2,2,2,2,1,3,5,2,2,3,2
bigfive,Australia,deep_persona,38,2,2,3,3,2,4,2,4,2,4,5,3,3,5,5,5,3,5,3,3,5,3,5,2,2,2,3,2,2,4,4,2,3,3,3,2,4,3,4,4,2,2,2,2,2,3,3,2,3,2
bigfive,Australia,deep_persona,39,3,2,5,4,4,5,5,2,3,5,5,2,2,1,4,3,4,3,5,3,5,5,5,5,2,4,3,5,3,4,3,2,4,3,3,3,5,5,4,4,4,4,4,1,5,5,5,2,3,5
bigfive,Australia,deep_persona,40,2,2,2,2,2,5,2,2,2,2,5,2,3,2,5,3,4,4,5,4,5,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,5,2,2,2,1
bigfive,Australia,deep_persona,41,2,2,4,2,4,5,4,5,2,4,2,2,4,5,3,5,4,3,4,3,5,5,5,5,2,5,4,5,4,4,2,2,2,3,2,2,4,5,2,4,2,5,4,5,4,5,3,2,4,5
bigfive,Australia,deep_persona,42,1,3,2,5,3,5,2,5,2,4,5,2,5,5,5,5,5,5,5,5,5,3,5,4,2,2,3,4,4,4,3,2,3,3,2,3,5,5,4,4,2,2,1,2,2,3,2,2,3,2
bigfive,Australia,deep_persona,43,2,2,4,2,2,5,2,5,2,4,5,3,5,5,5,5,3,3,5,5,5,5,5,5,2,5,5,5,4,4,3,2,2,3,2,3,3,3,3,2,2,2,1,2,2,2,2,2,3,2
bigfive,Australia,deep_persona,44,2,2,2,1,2,5,2,2,2,2,5,4,3,2,4,3,4,3,5,4,5,2,1,2,2,2,4,2,2,2,2,2,2,2,2,4,2,1,2,2,4,5,5,1,5,5,4,2,2,5
bigfive,Australia,deep_persona,45,1,2,2,2,2,1,2,4,2,2,5,4,2,5,5,5,3,3,5,1,5,2,1,2,2,2,5,2,2,2,2,1,2,2,2,2,4,1,4,2,2,2,2,2,2,1,2,2,2,2
