domain,country,prompt_method,respondent_id,EXT1_para,EXT2_para,EST1_para,EST2_para,AGR1_para,AGR2_para,CSN1_para,CSN2_para,OPN1_para,OPN2_para
bigfive,Australia,deep_persona,0,2,2,5,4,3,2,2,2,2,2
bigfive,Australia,deep_persona,1,2,4,5,3,2,2,2,1,2,5
bigfive,Australia,deep_persona,2,2,1,2,3,5,2,3,2,2,5
bigfive,Australia,deep_persona,3,3,2,4,5,3,2,4,3,3,4
bigfive,Australia,deep_persona,4,3,2,5,5,3,2,4,3,4,2
bigfive,Australia,deep_persona,5,2,1,5,4,2,2,2,1,2,4
bigfive,Australia,deep_persona,6,2,4,5,4,2,2,4,2,2,4
bigfive,Australia,deep_persona,7,2,2,5,4,2,2,2,2,2,4
bigfive,Australia,deep_persona,8,4,2,4,5,3,4,4,4,4,4
bigfive,Australia,deep_persona,9,2,2,5,4,1,2,4,3,4,5
bigfive,Australia,deep_persona,10,2,2,5,4,2,2,3,2,2,4
bigfive,Australia,deep_persona,11,2,4,5,5,5,2,2,1,2,2
bigfive,Australia,deep_persona,12,2,2,4,3,2,2,4,2,2,2
bigfive,Australia,deep_persona,13,3,1,5,5,3,2,5,3,5,5
bigfive,Australia,deep_persona,14,2,2,3,3,2,2,4,2,4,2
bigfive,Australia,deep_persona,15,4,2,5,5,5,3,4,4,4,4
bigfive,Australia,deep_persona,16,2,2,5,5,4,2,5,2,2,2
bigfive,Australia,deep_persona,17,3,2,5,5,5,2,4,3,2,3
bigfive,Australia,deep_persona,18,3,2,3,5,3,4,5,4,4,3
bigfive,Australia,deep_persona,19,4,1,4,3,5,5,4,3,5,4
bigfive,Australia,deep_persona,20,2,2,4,3,2,2,4,3,2,5
bigfive,Australia,deep_persona,21,2,1,4,4,2,2,5,4,2,2
bigfive,Australia,deep_persona,22,2,2,5,3,2,2,4,4,4,4
bigfive,Australia,deep_persona,23,4,2,3,5,3,4,4,4,3,2
bigfive,Australia,deep_persona,24,3,2,5,5,4,4,4,4,3,3
bigfive,Australia,deep_persona,25,3,2,5,4,3,2,4,2,2,4
bigfive,Australia,deep_persona,26,2,1,4,4,4,2,4,2,4,2
bigfive,Australia,deep_persona,27,3,3,5,4,3,2,4,3,2,5
bigfive,Australia,deep_persona,28,2,2,5,4,2,2,4,2,2,5
bigfive,Australia,deep_persona,29,2,4,4,3,2,2,4,1,5,5
bigfive,Australia,deep_persona,30,2,1,4,5,2,2,4,2,2,4
bigfive,Australia,deep_persona,31,3,2,5,4,5,4,4,4,3,4
bigfive,Australia,deep_persona,32,2,4,3,3,2,2,4,2,2,4
bigfive,Australia,deep_persona,33,2,2,4,3,2,2,2,2,2,5
bigfive,Australia,deep_persona,34,2,2,5,3,1,2,4,1,4,2
bigfive,Australia,deep_persona,35,2,2,3,4,3,2,5,3,4,2
bigfive,Australia,deep_persona,36,2,2,5,2,2,2,2,2,2,4
bigfive,Australia,deep_persona,37,2,2,4,3,1,2,4,2,2,2
bigfive,Australia,deep_persona,38,2,2,5,5,2,2,5,3,2,3
bigfive,Australia,deep_persona,39,3,2,4,3,3,5,4,4,5,5
bigfive,Australia,deep_persona,40,2,2,2,3,2,2,2,1,3,4
bigfive,Australia,deep_persona,41,3,2,2,3,3,5,4,2,2,4
bigfive,Australia,deep_persona,42,3,2,5,5,2,2,5,3,2,4
bigfive,Australia,deep_persona,43,2,2,5,5,5,2,4,2,2,4
bigfive,Australia,deep_persona,44,2,2,2,3,4,2,2,3,5,5
bigfive,Australia,deep_persona,45,2,4,3,5,5,2,4,2,3,4
bigfive,Australia,deep_persona,46,2,2,2,4,4,2,2,2,2,4
bigfive,Australia,deep_persona,47,4,1,2,3,1,4,4,2,4,4
bigfive,Australia,deep_persona,48,2,2,5,3,5,2,4,2,2,4
bigfive,Australia,deep_persona,49,2,3,5,2,5,2,2,2,2,3
bigfive,Australia,deep_persona,50,2,1,3,3,2,2,5,2,2,4
bigfive,Australia,deep_persona,51,4,1,4,5,3,4,4,4,4,3
bigfive,Australia,deep_persona,52,2,2,5,3,3,2,4,3,2,2
bigfive,Australia,deep_persona,53,2,2,4,3,2,2,2,2,2,4
bigfive,Australia,deep_persona,54,2,1,5,5,3,5,4,3,4,5
bigfive,Australia,deep_persona,55,2,2,5,3,1,2,2,1,5,4
bigfive,Australia,deep_persona,56,3,2,4,5,3,4,4,4,4,3
bigfive,Australia,deep_persona,57,2,2,5,5,1,2,2,1,2,5
bigfive,Australia,deep_persona,58,2,1,5,4,3,2,2,2,2,2
bigfive,Australia,deep_persona,59,3,2,5,5,4,4,4,4,4,5
bigfive,Australia,deep_persona,60,2,2,5,4,2,2,4,3,5,4
bigfive,Australia,deep_persona,61,2,2,3,5,2,2,4,2,2,2
bigfive,Australia,deep_persona,62,3,2,5,5,2,2,4,3,4,4
bigfive,Australia,deep_persona,63,3,2,3,5,5,4,5,4,4,5
bigfive,Australia,deep_persona,64,2,1,5,5,5,2,5,1,2,5
bigfive,Australia,deep_persona,65,3,4,4,5,1,2,3,2,2,5
bigfive,Australia,deep_persona,66,2,2,5,3,2,2,3,2,2,2
bigfive,Australia,deep_persona,67,2,2,4,3,1,2,4,2,2,5
bigfive,Australia,deep_persona,68,3,4,5,4,3,2,4,3,2,4
bigfive,Australia,deep_persona,69,2,4,5,3,2,2,2,2,2,4
bigfive,Australia,deep_persona,70,2,2,1,5,3,2,4,1,2,5
bigfive,Australia,deep_persona,71,2,2,5,4,5,2,4,2,2,4
bigfive,Australia,deep_persona,72,2,2,5,4,2,2,3,3,2,2
bigfive,Australia,deep_persona,73,2,2,5,5,5,2,3,1,2,2
bigfive,Australia,deep_persona,74,2,2,5,3,4,2,4,2,2,5
bigfive,Australia,deep_persona,75,2,2,4,5,4,2,4,4,3,4
bigfive,Australia,deep_persona,76,2,2,3,3,2,3,5,3,5,3
bigfive,Australia,deep_persona,77,3,2,5,5,3,4,4,4,4,2
bigfive,Australia,deep_persona,78,2,2,3,4,3,2,4,3,4,5
