domain,country,prompt_method,respondent_id,EXT1,EXT2,EXT3,EXT4,EXT5,EXT6,EXT7,EXT8,EXT9,EXT10,EST1,EST2,EST3,EST4,EST5,EST6,EST7,EST8,EST9,EST10,AGR1,AGR2,AGR3,AGR4,AGR5,AGR6,AGR7,AGR8,AGR9,AGR10,CSN1,CSN2,CSN3,CSN4,CSN5,CSN6,CSN7,CSN8,CSN9,CSN10,OPN1,OPN2,OPN3,OPN4,OPN5,OPN6,OPN7,OPN8,OPN9,OPN10
bigfive,Australia,opencharacter,0,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,5,4,4,4,4,4,4,4,3,3,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,5,5,5,5,4,5,4,5,4,4,4,2,4,4,4,4,4,5,4,4,4,4,4,2,4,4,4,4,4,4
bigfive,Australia,opencharacter,2,3,4,4,2,4,5,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,5,5,4,4,5,3,4,4,4,4,2,5,3,4,4,4,5,4,4,4,4,4,2,4,4,4,4,4,4
bigfive,Australia,opencharacter,3,3,4,4,4,4,5,3,4,4,4,4,4,4,4,4,4,4,3,4,4,3,5,5,5,4,5,3,4,4,4,4,2,4,3,4,4,4,5,4,4,4,4,4,2,4,4,4,4,4,4
bigfive,Australia,opencharacter,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,5,5,4,4,4,3,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,2,4,4,4,4,4,4
bigfive,Australia,opencharacter,5,3,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,5,5,5,4,5,3,4,4,4,4,3,4,4,4,4,4,5,4,5,4,4,4,2,4,5,4,4,4,4
bigfive,Australia,opencharacter,6,3,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,5,5,4,4,5,3,5,4,4,4,3,4,4,4,4,4,5,4,4,4,4,4,2,4,4,4,4,4,4
bigfive,Australia,opencharacter,7,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,5,5,4,4,5,3,4,4,4,4,3,4,3,4,4,4,5,4,4,4,4,4,2,4,4,4,4,4,4
bigfive,Australia,opencharacter,8,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,5,4,4,4,4
bigfive,Australia,opencharacter,9,3,4,4,2,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,5,3,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,2,4,4,4,4,4,4
