domain,country,prompt_method,respondent_id,EXT1_para,EXT2_para,EST1_para,EST2_para,AGR1_para,AGR2_para,CSN1_para,CSN2_para,OPN1_para,OPN2_para
bigfive,Australia,opencharacter,0,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,1,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,2,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,3,4,3,4,4,3,4,4,4,5,4
bigfive,Australia,opencharacter,4,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,5,3,3,4,4,4,4,4,4,5,4
bigfive,Australia,opencharacter,6,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,7,4,3,4,4,3,4,4,3,4,4
bigfive,Australia,opencharacter,8,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,9,4,3,4,4,3,4,4,4,4,4
bigfive,Australia,opencharacter,10,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,11,3,3,3,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,12,4,3,3,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,13,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,14,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,15,4,3,3,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,16,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,17,3,3,4,4,3,4,5,4,4,4
bigfive,Australia,opencharacter,18,4,4,4,4,3,4,4,4,4,4
bigfive,Australia,opencharacter,19,3,3,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,20,3,4,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,21,4,3,4,4,3,4,4,4,4,4
bigfive,Australia,opencharacter,22,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,23,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,24,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,25,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,26,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,27,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,28,4,3,3,4,4,4,4,4,5,4
bigfive,Australia,opencharacter,29,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,30,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,31,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,32,4,3,3,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,33,4,3,4,4,4,4,4,3,4,4
bigfive,Australia,opencharacter,34,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,35,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,36,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,37,3,3,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,38,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,39,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,40,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,41,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,42,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,43,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,44,3,4,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,45,3,4,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,46,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,47,4,3,4,4,4,4,4,3,4,4
bigfive,Australia,opencharacter,48,4,3,4,4,5,4,4,4,4,4
bigfive,Australia,opencharacter,49,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,50,4,3,4,4,3,4,4,4,4,4
bigfive,Australia,opencharacter,51,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,52,4,3,4,4,4,4,5,4,4,4
bigfive,Australia,opencharacter,53,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,54,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,55,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,56,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,57,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,58,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,59,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,60,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,61,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,62,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,63,4,4,3,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,64,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,65,3,3,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,66,4,4,4,4,4,4,4,4,5,4
bigfive,Australia,opencharacter,67,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,68,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,69,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,70,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,71,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,72,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,73,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,74,3,4,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,75,4,3,3,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,76,4,4,4,4,4,4,4,3,4,4
bigfive,Australia,opencharacter,77,4,3,4,4,4,4,4,4,5,4
bigfive,Australia,opencharacter,78,4,4,3,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,79,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,80,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,81,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,82,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,83,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,84,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,85,3,3,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,86,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,87,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,88,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,89,4,3,4,4,3,4,4,4,4,4
bigfive,Australia,opencharacter,90,4,3,4,4,3,4,4,4,4,4
bigfive,Australia,opencharacter,91,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,92,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,93,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,94,4,4,4,4,3,4,4,4,4,4
bigfive,Australia,opencharacter,95,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,96,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,97,3,4,4,4,3,4,4,4,4,4
bigfive,Australia,opencharacter,98,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,99,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,100,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,101,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,102,3,3,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,103,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,104,4,3,3,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,105,4,3,4,4,4,4,5,4,4,4
bigfive,Australia,opencharacter,106,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,107,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,108,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,109,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,110,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,111,4,3,4,4,5,4,4,4,4,4
bigfive,Australia,opencharacter,112,4,3,4,4,4,4,4,3,4,4
bigfive,Australia,opencharacter,113,4,4,4,4,4,4,4,4,5,4
bigfive,Australia,opencharacter,114,4,3,4,4,3,4,4,4,4,4
bigfive,Australia,opencharacter,115,4,4,4,4,3,4,4,4,4,4
bigfive,Australia,opencharacter,116,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,117,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,118,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,119,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,120,4,3,4,4,4,4,4,3,4,4
bigfive,Australia,opencharacter,121,4,3,4,4,4,4,4,3,4,4
bigfive,Australia,opencharacter,122,3,3,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,123,4,3,4,5,3,4,4,4,4,4
bigfive,Australia,opencharacter,124,3,3,3,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,125,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,126,3,4,4,4,3,4,4,4,4,4
bigfive,Australia,opencharacter,127,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,128,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,129,3,3,4,4,3,4,4,4,4,4
bigfive,Australia,opencharacter,130,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,131,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,132,4,3,4,4,3,4,4,4,4,4
bigfive,Australia,opencharacter,133,4,4,4,4,4,4,4,3,4,4
bigfive,Australia,opencharacter,134,4,4,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,135,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,136,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,137,4,3,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,138,3,3,4,4,4,4,4,4,4,4
bigfive,Australia,opencharacter,139,4,3,3,4,4,4,4,3,4,4
