domain,country,prompt_method,respondent_id,EXT1_para,EXT2_para,EST1_para,EST2_para,AGR1_para,AGR2_para,CSN1_para,CSN2_para,OPN1_para,OPN2_para
bigfive,India,cultural,0,4,4,4,4,4,4,4,4,4,4
bigfive,India,cultural,1,4,4,4,4,4,4,4,4,4,4
bigfive,India,cultural,2,4,3,4,4,4,4,4,4,4,4
bigfive,India,cultural,3,4,4,4,4,4,4,4,4,4,4
bigfive,India,cultural,4,4,4,4,4,4,4,4,4,4,4
bigfive,India,cultural,5,3,4,4,4,4,4,4,4,4,4
bigfive,India,cultural,6,4,4,4,4,4,4,4,4,4,4
bigfive,India,cultural,7,4,4,4,4,4,4,4,4,4,4
bigfive,India,cultural,8,4,4,4,4,4,4,4,4,4,4
bigfive,India,cultural,9,3,4,4,4,4,4,4,4,4,4
bigfive,India,cultural,10,4,4,4,4,4,4,4,4,4,4
bigfive,India,cultural,11,4,3,4,4,4,4,4,4,4,4
bigfive,India,cultural,12,3,4,4,4,4,4,4,4,4,4
bigfive,India,cultural,13,3,3,4,4,4,4,4,4,4,4
bigfive,India,cultural,14,3,3,4,4,4,4,4,4,4,4
bigfive,India,cultural,15,4,4,4,4,4,4,4,4,4,4
bigfive,India,cultural,16,4,3,4,4,4,4,4,4,4,4
bigfive,India,cultural,17,4,4,4,4,4,4,4,4,4,4
bigfive,India,cultural,18,3,4,4,4,4,4,4,4,4,4
bigfive,India,cultural,19,4,4,4,4,4,4,4,4,4,4
bigfive,India,cultural,20,3,4,4,4,4,4,4,4,4,4
bigfive,India,cultural,21,4,4,4,4,4,4,4,4,4,4
bigfive,India,cultural,22,4,4,4,4,4,5,5,4,4,4
bigfive,India,cultural,23,3,3,4,4,4,4,4,4,4,4
bigfive,India,cultural,24,4,3,4,4,4,4,4,4,4,4
bigfive,India,cultural,25,4,4,3,4,4,4,4,4,4,4
bigfive,India,cultural,26,3,4,4,4,4,4,5,4,4,4
bigfive,India,cultural,27,4,4,4,4,4,4,4,4,4,4
bigfive,India,cultural,28,3,3,4,4,4,4,4,4,4,4
bigfive,India,cultural,29,4,4,4,4,4,4,4,4,4,4
bigfive,India,cultural,30,4,4,4,4,4,4,4,4,4,4
bigfive,India,cultural,31,4,4,4,4,4,4,4,4,4,4
bigfive,India,cultural,32,3,3,4,4,4,4,4,4,4,4
bigfive,India,cultural,33,4,4,4,4,4,4,4,4,4,4
bigfive,India,cultural,34,3,4,4,4,4,4,4,4,4,4
bigfive,India,cultural,35,4,4,4,4,4,4,4,4,5,4
bigfive,India,cultural,36,3,4,4,4,4,4,4,4,4,4
bigfive,India,cultural,37,4,4,4,4,4,4,4,4,4,4
bigfive,India,cultural,38,4,4,4,4,4,4,4,4,4,4
bigfive,India,cultural,39,4,4,4,4,4,4,4,4,4,4
bigfive,India,cultural,40,4,4,4,4,4,4,4,4,4,4
bigfive,India,cultural,41,4,4,4,4,4,4,4,4,4,4
bigfive,India,cultural,42,4,4,4,4,4,4,4,4,4,4
bigfive,India,cultural,43,4,4,4,4,4,4,4,4,4,4
bigfive,India,cultural,44,4,3,4,4,4,4,4,4,4,4
bigfive,India,cultural,45,3,3,4,4,2,4,4,4,4,4
bigfive,India,cultural,46,3,3,4,4,4,4,4,4,4,4
bigfive,India,cultural,47,4,4,4,4,4,4,4,4,4,4
bigfive,India,cultural,48,4,4,4,4,4,4,4,4,4,4
bigfive,India,cultural,49,3,4,4,4,4,4,4,4,4,4
bigfive,India,cultural,50,4,4,4,4,4,4,4,4,4,4
bigfive,India,cultural,51,4,4,4,4,4,4,4,4,4,4
bigfive,India,cultural,52,3,3,4,4,4,5,4,4,4,4
bigfive,India,cultural,53,4,3,4,4,4,4,4,4,4,4
bigfive,India,cultural,54,4,2,4,4,4,4,4,4,4,4
bigfive,India,cultural,55,4,3,4,4,4,4,4,4,4,4
bigfive,India,cultural,56,4,4,4,4,4,4,4,4,4,4
bigfive,India,cultural,57,3,3,4,4,4,5,4,4,4,4
bigfive,India,cultural,58,4,3,4,4,4,5,4,4,4,4
bigfive,India,cultural,59,3,3,4,4,4,4,4,4,4,4
bigfive,India,cultural,60,4,4,4,4,4,4,4,4,4,4
bigfive,India,cultural,61,4,4,4,4,4,4,4,4,4,4
bigfive,India,cultural,62,4,4,4,4,4,4,4,4,4,4
bigfive,India,cultural,63,3,4,4,4,4,4,4,4,4,4
