domain,country,prompt_method,respondent_id,EXT1_para,EXT2_para,EST1_para,EST2_para,AGR1_para,AGR2_para,CSN1_para,CSN2_para,OPN1_para,OPN2_para
bigfive,India,deep_persona,0,3,4,5,4,5,2,2,2,2,4
bigfive,India,deep_persona,1,2,4,5,3,1,2,2,4,2,5
bigfive,India,deep_persona,2,2,2,2,4,2,2,5,4,4,4
bigfive,India,deep_persona,3,3,4,4,5,3,2,4,3,4,4
bigfive,India,deep_persona,4,2,1,3,5,4,2,4,4,2,4
bigfive,India,deep_persona,5,2,1,5,3,2,2,2,3,2,4
bigfive,India,deep_persona,6,3,4,3,4,2,2,3,3,3,2
bigfive,India,deep_persona,7,2,2,5,4,2,2,2,2,2,4
bigfive,India,deep_persona,8,5,2,4,5,3,5,4,4,4,3
bigfive,India,deep_persona,9,2,1,5,5,1,2,4,3,5,4
bigfive,India,deep_persona,10,2,2,5,4,4,2,4,2,2,4
bigfive,India,deep_persona,11,2,2,5,5,5,4,4,3,5,3
bigfive,India,deep_persona,12,2,4,5,4,2,2,3,2,4,4
bigfive,India,deep_persona,13,2,4,5,5,5,2,2,2,2,5
bigfive,India,deep_persona,14,3,2,4,3,2,2,4,2,5,2
bigfive,India,deep_persona,15,3,2,4,5,4,4,4,4,4,3
bigfive,India,deep_persona,16,2,2,5,5,5,2,4,2,2,4
bigfive,India,deep_persona,17,2,2,5,5,5,2,4,4,2,3
bigfive,India,deep_persona,18,3,2,3,5,3,4,5,4,4,3
bigfive,India,deep_persona,19,4,1,3,4,3,5,4,4,5,5
bigfive,India,deep_persona,20,2,2,5,4,2,2,4,3,2,4
bigfive,India,deep_persona,21,2,2,5,4,2,2,5,4,4,2
bigfive,India,deep_persona,22,3,2,5,3,2,2,4,4,4,3
bigfive,India,deep_persona,23,5,2,4,5,3,4,4,4,4,3
bigfive,India,deep_persona,24,3,2,5,5,3,2,4,4,2,4
bigfive,India,deep_persona,25,3,2,5,4,5,2,4,4,2,2
bigfive,India,deep_persona,26,2,2,4,4,3,2,3,2,2,2
bigfive,India,deep_persona,27,2,4,5,5,2,2,4,3,2,2
bigfive,India,deep_persona,28,3,2,3,4,3,4,4,3,5,2
bigfive,India,deep_persona,29,2,2,3,4,4,2,2,2,2,2
bigfive,India,deep_persona,30,3,4,5,4,1,2,2,2,2,5
bigfive,India,deep_persona,31,2,2,5,4,4,2,2,2,2,2
