domain,country,prompt_method,respondent_id,EXT1,EXT2,EXT3,EXT4,EXT5,EXT6,EXT7,EXT8,EXT9,EXT10,EST1,EST2,EST3,EST4,EST5,EST6,EST7,EST8,EST9,EST10,AGR1,AGR2,AGR3,AGR4,AGR5,AGR6,AGR7,AGR8,AGR9,AGR10,CSN1,CSN2,CSN3,CSN4,CSN5,CSN6,CSN7,CSN8,CSN9,CSN10,OPN1,OPN2,OPN3,OPN4,OPN5,OPN6,OPN7,OPN8,OPN9,OPN10
bigfive,India,opencharacter,0,3,4,4,2,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,3,5,5,4,4,5,3,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,2,4,4,4,4,4,4
bigfive,India,opencharacter,1,3,3,4,2,4,5,3,4,4,4,4,4,4,4,4,4,4,3,4,4,3,5,5,4,4,5,3,4,4,4,4,2,4,3,3,3,4,5,4,4,3,4,4,2,4,5,4,3,4,4
bigfive,India,opencharacter,2,3,3,4,2,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,5,4,4,5,3,4,4,4,4,4,4,4,3,4,4,5,4,4,4,4,4,2,4,5,4,4,4,4
bigfive,India,opencharacter,3,3,4,4,2,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,5,3,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,2,4,5,4,4,4,4
bigfive,India,opencharacter,4,3,4,4,3,4,4,3,4,4,3,4,4,4,4,4,4,4,3,4,4,3,4,5,4,4,4,3,4,4,4,4,2,4,4,4,4,4,5,4,4,3,4,3,2,4,4,4,3,4,3
bigfive,India,opencharacter,5,3,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,5,4,4,5,3,4,4,4,4,2,4,4,4,4,4,5,4,4,4,4,4,2,4,4,4,4,4,4
bigfive,India,opencharacter,6,3,4,4,2,4,5,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,5,5,5,4,5,3,4,4,4,4,2,4,4,4,3,4,5,4,4,4,4,4,2,4,5,4,4,4,4
bigfive,India,opencharacter,7,3,3,4,4,4,5,3,4,4,4,4,4,4,4,4,4,4,3,4,4,3,5,5,4,4,5,3,4,4,4,4,2,4,4,4,4,4,5,4,4,4,4,4,2,4,5,4,4,5,4
bigfive,India,opencharacter,8,3,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,3,4,4,4,4,2,4,4,4,3,4,5,4,4,4,4,4,2,4,4,4,4,4,4
bigfive,India,opencharacter,9,3,4,4,2,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,4,4,4,4,4,2,4,4,4,4,4,5,4,4,4,4,4,2,4,4,4,3,4,4
bigfive,India,opencharacter,10,3,2,4,2,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,5,4,4,4,3,4,4,3,4,2,4,4,4,4,4,5,4,3,4,4,3,2,3,4,4,4,4,3
bigfive,India,opencharacter,11,3,4,4,5,4,5,3,4,4,4,4,4,4,4,4,4,4,3,4,4,3,5,5,5,4,5,3,5,4,5,4,3,4,4,4,4,4,5,4,4,4,4,4,2,4,5,4,3,4,4
bigfive,India,opencharacter,12,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,3,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,2,4,4,4,4,4,4
bigfive,India,opencharacter,13,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,5,5,4,4,5,3,4,4,4,4,2,4,3,3,4,4,5,4,4,4,4,4,2,4,5,4,4,4,4
bigfive,India,opencharacter,14,3,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,2,4,4,4,4,4,4
bigfive,India,opencharacter,15,3,2,4,3,3,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,3,5,5,5,4,5,3,4,4,4,4,3,4,3,4,4,4,5,4,4,4,4,4,2,4,4,4,4,4,4
bigfive,India,opencharacter,16,3,3,4,2,4,5,3,4,4,4,3,4,4,4,4,3,4,3,4,4,3,5,5,4,4,5,3,4,4,4,4,2,4,4,4,4,4,5,4,4,4,4,4,2,4,4,4,4,4,4
bigfive,India,opencharacter,17,3,4,4,3,3,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,3,5,5,4,4,5,3,4,4,4,4,2,4,4,4,3,4,5,4,4,4,4,4,2,4,5,4,4,4,4
bigfive,India,opencharacter,18,3,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,5,4,4,4,4,4,4,4,4,2,3,4,3,4,4,5,4,3,3,4,4,2,4,4,4,3,4,3
bigfive,India,opencharacter,19,3,3,4,4,4,5,4,4,4,4,4,4,4,4,4,3,4,3,4,4,3,5,5,5,4,5,3,4,4,4,4,2,4,4,4,4,5,5,4,5,4,4,4,2,4,5,5,4,4,4
bigfive,India,opencharacter,20,3,4,4,3,3,5,4,4,4,4,4,4,4,4,3,4,4,3,4,4,3,5,5,5,4,5,3,4,4,4,4,2,4,4,4,4,5,5,4,4,4,4,4,2,4,4,4,4,4,4
bigfive,India,opencharacter,21,3,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,2,4,5,4,4,4,4
bigfive,India,opencharacter,22,3,4,4,2,3,5,3,3,4,4,4,4,4,4,4,4,4,3,4,4,3,4,5,4,4,5,3,4,3,4,4,2,4,4,4,4,4,5,4,4,3,4,4,2,4,4,4,4,4,4
bigfive,India,opencharacter,23,3,4,4,3,4,5,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,2,4,5,4,4,4,4
bigfive,India,opencharacter,24,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,3,4,4,4,4,2,4,4,4,4,4,5,4,4,4,4,4,2,4,4,5,4,4,4
bigfive,India,opencharacter,25,3,2,4,2,4,4,3,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,5,4,4,4,3,4,4,4,4,4,4,4,3,4,4,5,4,4,4,4,4,2,4,4,4,4,4,4
bigfive,India,opencharacter,26,3,4,4,3,3,5,3,4,4,4,4,4,4,4,4,3,4,4,4,4,3,5,5,4,4,5,4,4,4,4,4,2,4,4,4,4,4,5,4,4,4,4,4,2,4,4,4,4,4,4
bigfive,India,opencharacter,27,3,3,4,2,4,4,3,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,5,4,4,5,3,4,4,4,4,4,4,3,4,4,4,5,4,4,4,4,4,2,4,4,4,4,4,4
bigfive,India,opencharacter,28,3,3,4,3,4,5,4,4,4,4,4,4,4,4,4,3,4,3,4,3,4,5,5,5,4,5,4,5,4,4,4,3,4,3,4,4,4,5,4,4,4,4,4,2,4,5,4,3,4,4
bigfive,India,opencharacter,29,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,5,5,4,4,5,3,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,2,4,4,4,4,4,4
bigfive,India,opencharacter,30,3,4,4,5,4,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,5,3,4,4,4,4,2,4,4,4,4,4,5,4,4,4,4,4,2,4,4,4,4,4,4
bigfive,India,opencharacter,31,3,3,4,3,4,5,3,4,4,4,3,4,4,4,3,4,3,4,4,4,4,5,5,5,4,5,3,4,4,4,4,2,4,3,4,4,4,5,4,4,4,4,4,2,4,5,5,4,4,4
bigfive,India,opencharacter,32,3,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,3,5,5,4,4,5,3,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,2,4,4,4,4,4,4
bigfive,India,opencharacter,33,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,5,5,4,4,5,3,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,2,4,4,4,4,4,4
bigfive,India,opencharacter,34,3,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,5,5,4,4,5,3,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,2,4,4,5,3,4,4
bigfive,India,opencharacter,35,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,5,5,4,4,3,4,4,4,4,3,4,3,4,4,5,5,4,4,4,4,4,2,4,5,5,4,4,4
bigfive,India,opencharacter,36,3,2,4,1,4,5,3,4,4,4,4,4,4,4,4,4,4,3,4,4,3,5,5,4,4,5,3,4,4,4,4,2,4,4,4,3,5,5,4,4,4,4,4,2,4,5,4,4,4,4
bigfive,India,opencharacter,37,3,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,5,3,4,4,4,4,2,4,3,4,4,4,5,4,4,4,4,4,2,4,5,4,4,4,4
bigfive,India,opencharacter,38,3,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,3,4,4,4,4,2,4,3,4,4,4,5,4,4,4,4,4,2,4,4,4,4,4,4
bigfive,India,opencharacter,39,3,4,4,3,4,5,3,4,4,4,3,4,4,4,4,3,4,3,4,4,3,5,5,4,2,5,3,4,4,4,4,3,4,4,4,4,4,5,4,4,4,4,4,2,4,4,4,4,4,4
bigfive,India,opencharacter,40,3,4,4,2,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,3,4,4,4,4,2,4,3,4,4,4,5,4,4,4,4,4,2,4,4,4,4,4,4
bigfive,India,opencharacter,41,3,4,4,2,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,5,4,4,5,3,4,4,4,4,2,4,4,4,4,4,5,4,4,3,4,4,2,4,4,4,4,4,4
bigfive,India,opencharacter,42,3,3,4,5,4,5,3,4,4,4,4,4,4,4,4,4,4,3,3,4,3,5,5,4,4,5,3,5,4,4,4,2,4,4,4,3,4,5,4,4,4,4,4,2,4,5,4,4,4,4
bigfive,India,opencharacter,43,3,3,4,4,4,5,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,5,5,4,4,5,3,4,4,4,4,3,4,3,3,4,4,5,4,4,4,4,4,2,4,4,4,4,4,4
bigfive,India,opencharacter,44,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,3,4,4,4,4,2,4,4,4,4,4,5,4,4,4,4,4,2,4,4,4,4,4,4
bigfive,India,opencharacter,45,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,3,5,5,4,4,5,3,4,4,4,4,2,4,4,4,4,4,5,4,4,4,4,4,2,4,4,4,4,4,4
bigfive,India,opencharacter,46,3,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,3,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,2,4,4,4,4,4,4
bigfive,India,opencharacter,47,3,3,4,3,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,5,5,4,4,5,3,4,4,4,4,2,4,4,4,4,4,5,4,4,4,4,4,2,4,5,4,4,5,4
bigfive,India,opencharacter,48,3,3,4,2,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,5,3,4,4,4,4,2,4,3,4,4,4,5,4,4,4,4,4,3,4,5,4,4,4,4
bigfive,India,opencharacter,49,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,5,4,4,5,3,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,2,4,4,4,4,4,4
bigfive,India,opencharacter,50,3,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,5,5,5,4,5,3,4,4,4,4,2,4,4,3,3,4,5,4,4,4,4,4,2,4,5,4,4,4,4
bigfive,India,opencharacter,51,3,4,4,5,3,5,3,4,4,4,4,4,4,4,4,4,4,3,4,4,3,5,5,5,4,5,3,4,4,4,4,2,4,4,3,3,4,5,4,4,4,4,4,2,4,5,4,4,4,4
bigfive,India,opencharacter,52,3,3,4,4,4,5,3,4,5,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,5,3,5,4,4,4,2,4,4,4,4,4,5,4,4,4,4,4,2,4,4,4,4,4,4
bigfive,India,opencharacter,53,3,4,4,2,4,5,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,5,4,2,5,3,4,4,4,4,2,4,4,3,4,4,5,4,4,3,4,3,2,4,4,3,3,4,4
bigfive,India,opencharacter,54,3,4,4,3,4,5,4,4,4,4,4,4,4,5,4,4,4,3,4,4,5,5,5,5,4,5,3,4,4,4,4,2,4,4,4,4,4,5,4,4,4,4,4,2,4,4,5,4,4,4
bigfive,India,opencharacter,55,3,4,4,3,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,3,5,5,5,4,5,3,4,4,4,4,2,4,4,4,4,4,5,4,4,4,4,4,2,4,4,4,4,4,4
bigfive,India,opencharacter,56,3,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,5,4,4,4,4,4,2,4,4,3,4,4,5,4,4,4,4,4,2,4,5,5,4,4,4
bigfive,India,opencharacter,57,3,4,4,3,4,4,3,4,4,4,4,4,4,4,4,3,4,3,4,4,3,5,5,4,4,5,3,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,2,4,4,4,4,4,4
bigfive,India,opencharacter,58,3,3,4,3,3,4,3,4,3,4,4,4,4,4,4,4,3,3,4,4,4,4,5,4,4,5,4,4,4,4,4,2,4,4,4,4,5,5,4,4,4,4,4,2,4,4,4,4,4,3
bigfive,India,opencharacter,59,3,4,4,2,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,2,4,4,4,4,4,5,4,4,4,4,4,2,4,4,4,4,4,4
bigfive,India,opencharacter,60,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,5,5,4,4,5,4,4,4,4,4,2,4,4,4,4,4,5,4,4,4,4,4,2,4,4,4,4,4,4
bigfive,India,opencharacter,61,3,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,5,4,4,5,4,4,4,4,4,2,4,4,4,4,4,3,4,4,4,4,4,2,4,4,4,4,4,4
bigfive,India,opencharacter,62,3,4,4,2,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,5,3,4,4,4,4,2,4,3,4,4,4,5,4,4,4,4,4,2,4,4,4,4,4,4
bigfive,India,opencharacter,63,3,2,4,2,4,5,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,5,4,4,5,4,4,4,4,4,2,4,4,4,4,5,5,4,4,4,4,4,2,4,4,4,4,4,4
bigfive,India,opencharacter,64,3,4,4,3,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,5,3,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,2,4,4,4,4,4,4
bigfive,India,opencharacter,65,3,3,4,2,4,5,3,4,3,4,4,4,4,4,4,4,3,4,4,4,4,5,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,2,4,5,4,4,4,4
bigfive,India,opencharacter,66,3,4,4,2,4,5,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,5,5,5,4,5,3,4,4,4,4,2,4,4,4,4,4,5,4,4,4,4,4,2,4,5,5,3,4,4
bigfive,India,opencharacter,67,3,4,4,2,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,5,4,4,4,3,4,4,4,4,2,4,3,4,4,4,5,4,3,4,4,4,2,4,4,4,4,3,3
bigfive,India,opencharacter,68,3,4,4,3,4,5,3,4,4,4,4,4,4,4,4,3,4,3,4,4,4,5,5,5,4,5,3,4,4,4,4,2,4,3,4,4,4,5,4,4,4,4,4,2,4,5,4,4,4,4
bigfive,India,opencharacter,69,3,4,4,2,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,5,4,4,4,4,4,2,4,4,4,4,4,5,4,4,4,4,4,2,4,5,4,3,4,4
bigfive,India,opencharacter,70,3,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,5,4,4,5,4,4,4,4,4,2,4,4,4,4,4,5,4,4,4,4,4,2,4,4,4,4,4,4
bigfive,India,opencharacter,71,3,4,4,2,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,2,4,4,4,4,4,4
bigfive,India,opencharacter,72,3,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,5,4,4,4,4,4,4,4,4,2,4,3,4,4,4,5,4,4,4,4,4,2,4,4,4,4,4,4
bigfive,India,opencharacter,73,3,4,4,4,4,5,3,4,4,4,4,4,4,4,3,3,4,3,4,4,3,4,5,4,4,5,3,4,4,4,4,2,4,3,4,4,4,5,4,4,4,4,4,2,4,4,4,3,4,4
bigfive,India,opencharacter,74,3,3,4,5,4,5,4,4,4,3,4,4,4,4,4,4,4,3,4,4,3,5,5,5,4,5,3,4,4,4,4,2,4,3,4,4,4,5,4,4,3,4,4,2,3,5,4,4,4,4
bigfive,India,opencharacter,75,3,4,4,5,4,5,3,4,4,3,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,5,3,4,4,4,4,2,4,4,4,4,4,5,4,4,4,4,4,2,4,5,4,4,4,4
bigfive,India,opencharacter,76,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,5,5,4,4,5,3,4,4,4,4,4,4,3,4,4,4,5,4,4,4,4,4,2,4,4,4,4,4,4
bigfive,India,opencharacter,77,3,2,4,4,4,5,3,4,4,3,4,4,4,4,4,3,4,3,3,4,3,5,5,4,4,5,3,4,4,4,4,3,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4
bigfive,India,opencharacter,78,3,4,4,2,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,3,4,4,4,4,2,4,4,4,4,4,5,4,4,4,4,4,2,4,4,4,4,4,4
bigfive,India,opencharacter,79,3,4,4,2,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,3,4,4,4,4,2,4,4,4,3,4,5,4,4,4,4,4,2,4,4,4,4,4,4
bigfive,India,opencharacter,80,3,3,4,3,4,5,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,5,5,4,4,5,3,4,4,4,4,2,4,4,3,3,4,5,4,4,4,4,4,2,4,4,4,4,4,4
bigfive,India,opencharacter,81,3,4,4,5,4,5,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,5,5,4,4,5,3,5,4,4,4,2,4,4,4,4,5,5,4,4,4,4,4,2,4,5,4,4,4,4
bigfive,India,opencharacter,82,3,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,2,4,4,4,4,4,4
bigfive,India,opencharacter,83,3,4,4,2,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,5,4,4,4,3,4,4,4,4,2,4,4,4,3,4,5,4,4,4,4,4,2,4,4,4,3,4,4
bigfive,India,opencharacter,84,3,4,4,3,4,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,5,3,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,2,4,4,4,4,4,4
bigfive,India,opencharacter,85,3,3,4,1,4,4,3,4,4,4,3,4,4,4,3,4,4,3,4,4,5,5,5,4,4,5,3,4,4,4,4,2,4,4,4,4,4,5,4,4,4,4,4,2,4,4,4,4,4,4
bigfive,India,opencharacter,86,3,4,4,4,4,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,5,5,4,4,5,3,4,3,4,4,2,4,3,4,4,4,5,4,4,4,4,4,2,4,5,4,4,4,4
bigfive,India,opencharacter,87,3,3,4,2,4,4,3,4,3,4,3,4,4,4,3,4,3,3,4,4,4,4,5,4,4,4,3,4,4,3,4,2,4,4,4,4,4,5,4,4,3,4,4,2,3,5,4,4,4,3
bigfive,India,opencharacter,88,3,4,4,3,4,4,3,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,5,4,4,4,4,4,4,4,4,2,4,4,4,4,4,5,4,4,3,4,4,2,4,4,4,3,4,4
bigfive,India,opencharacter,89,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,5,5,5,4,5,3,4,4,4,4,2,4,4,4,4,4,5,4,4,4,4,4,2,4,4,4,4,4,4
bigfive,India,opencharacter,90,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,5,3,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,2,4,4,4,4,4,4
bigfive,India,opencharacter,91,3,3,4,5,4,5,3,3,4,4,3,4,4,4,4,3,4,3,4,4,3,5,5,4,4,5,3,5,4,4,4,3,4,3,4,4,4,5,4,5,4,4,4,2,4,4,4,3,4,4
bigfive,India,opencharacter,92,3,4,4,2,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,5,5,5,4,5,3,4,4,4,4,2,4,4,4,4,4,5,4,4,4,4,4,2,4,4,4,4,4,4
bigfive,India,opencharacter,93,3,2,4,2,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,5,4,4,5,3,4,4,4,4,2,4,4,4,3,4,5,4,4,3,4,4,2,4,4,4,4,4,4
bigfive,India,opencharacter,94,3,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,5,3,4,4,4,4,4,4,4,3,4,4,5,4,4,4,4,4,2,4,4,4,4,4,4
bigfive,India,opencharacter,95,3,4,4,2,4,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,5,4,4,5,3,4,4,4,4,4,4,3,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4
bigfive,India,opencharacter,96,3,4,4,3,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,5,4,4,5,3,4,4,4,4,3,4,4,4,4,5,5,4,4,4,4,4,2,4,4,4,4,4,4
bigfive,India,opencharacter,97,3,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,3,4,4,4,4,2,4,3,3,4,4,5,4,4,4,4,4,2,4,4,4,4,4,4
bigfive,India,opencharacter,98,3,4,4,2,4,5,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,5,3,4,4,4,4,2,4,4,4,4,4,5,4,4,4,4,4,2,4,4,4,4,4,4
bigfive,India,opencharacter,99,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,5,5,4,4,5,3,4,4,4,4,2,4,4,4,4,4,5,4,4,4,4,4,2,4,4,4,4,4,4
