domain,country,prompt_method,respondent_id,EXT1_para,EXT2_para,EST1_para,EST2_para,AGR1_para,AGR2_para,CSN1_para,CSN2_para,OPN1_para,OPN2_para
bigfive,India,opencharacter,0,4,3,4,4,3,4,4,4,4,4
bigfive,India,opencharacter,1,4,3,4,4,3,4,4,4,4,4
bigfive,India,opencharacter,2,4,3,4,4,4,4,4,4,4,4
bigfive,India,opencharacter,3,4,3,4,4,3,4,4,4,4,4
bigfive,India,opencharacter,4,3,3,4,4,3,4,4,4,3,4
bigfive,India,opencharacter,5,3,4,4,4,4,4,4,4,4,4
bigfive,India,opencharacter,6,3,3,4,4,4,4,4,4,4,4
bigfive,India,opencharacter,7,4,3,4,4,4,4,4,4,4,4
bigfive,India,opencharacter,8,4,3,4,4,4,4,4,4,4,4
bigfive,India,opencharacter,9,4,4,4,4,4,4,4,4,4,4
bigfive,India,opencharacter,10,3,4,3,3,2,4,4,4,4,4
bigfive,India,opencharacter,11,4,3,4,4,3,4,5,4,5,4
bigfive,India,opencharacter,12,3,3,4,4,4,4,4,4,4,4
bigfive,India,opencharacter,13,4,3,4,4,3,4,4,4,4,4
bigfive,India,opencharacter,14,4,3,4,4,2,4,4,4,4,4
bigfive,India,opencharacter,15,4,3,4,4,3,4,4,4,4,4
bigfive,India,opencharacter,16,4,3,4,4,3,4,4,4,4,4
bigfive,India,opencharacter,17,4,3,3,4,3,4,4,4,4,4
bigfive,India,opencharacter,18,3,4,3,4,2,4,4,4,4,4
bigfive,India,opencharacter,19,4,3,4,4,3,4,4,4,5,4
bigfive,India,opencharacter,20,4,3,3,4,4,4,4,4,4,4
bigfive,India,opencharacter,21,4,4,4,4,3,4,4,4,4,4
bigfive,India,opencharacter,22,4,3,4,4,3,4,4,4,4,4
bigfive,India,opencharacter,23,3,3,4,4,2,4,4,4,4,4
bigfive,India,opencharacter,24,4,3,4,4,4,4,4,4,4,4
bigfive,India,opencharacter,25,3,4,4,4,2,4,3,4,4,4
bigfive,India,opencharacter,26,4,3,4,4,2,4,4,4,4,4
bigfive,India,opencharacter,27,4,3,4,4,4,4,4,4,4,4
bigfive,India,opencharacter,28,4,3,4,4,3,4,4,4,4,4
bigfive,India,opencharacter,29,3,3,3,4,4,4,4,4,4,4
bigfive,India,opencharacter,30,3,3,4,4,3,4,4,4,4,4
bigfive,India,opencharacter,31,4,3,4,4,3,4,4,4,4,4
bigfive,India,opencharacter,32,4,3,4,4,2,4,4,4,4,3
