domain,country,prompt_method,respondent_id,PC1,PC2,PC3,PC4,PC5,PC6
privacy,South Africa,cultural,0,5,5,4,1,6,5
privacy,South Africa,cultural,1,7,5,4,1,5,5
privacy,South Africa,cultural,2,4,6,5,1,5,5
privacy,South Africa,cultural,3,5,5,5,1,5,5
privacy,South Africa,cultural,4,5,3,4,1,4,5
privacy,South Africa,cultural,5,4,3,4,1,5,5
privacy,South Africa,cultural,6,7,5,5,1,5,5
privacy,South Africa,cultural,7,5,5,5,1,4,5
privacy,South Africa,cultural,8,5,5,5,1,6,5
privacy,South Africa,cultural,9,7,5,5,1,5,5
privacy,South Africa,cultural,10,7,5,5,1,5,5
privacy,South Africa,cultural,11,5,5,4,1,5,4
privacy,South Africa,cultural,12,7,4,5,1,5,5
privacy,South Africa,cultural,13,7,5,5,1,5,5
privacy,South Africa,cultural,14,7,5,4,1,6,4
privacy,South Africa,cultural,15,5,5,5,1,5,5
privacy,South Africa,cultural,16,5,5,5,1,5,5
privacy,South Africa,cultural,17,7,5,5,1,5,5
privacy,South Africa,cultural,18,7,5,5,1,5,5
privacy,South Africa,cultural,19,6,5,4,5,5,5
privacy,South Africa,cultural,20,5,5,4,1,5,5
privacy,South Africa,cultural,21,7,3,6,1,5,5
privacy,South Africa,cultural,22,5,6,4,1,5,5
privacy,South Africa,cultural,23,7,5,5,1,5,5
privacy,South Africa,cultural,24,6,5,4,1,5,5
privacy,South Africa,cultural,25,7,5,5,1,5,5
privacy,South Africa,cultural,26,7,4,4,1,5,5
privacy,South Africa,cultural,27,7,5,5,1,5,5
privacy,South Africa,cultural,28,7,5,4,1,5,4
privacy,South Africa,cultural,29,6,5,5,1,4,5
privacy,South Africa,cultural,30,6,5,4,1,5,4
privacy,South Africa,cultural,31,5,5,5,1,5,5
privacy,South Africa,cultural,32,7,5,4,1,6,5
privacy,South Africa,cultural,33,6,5,4,4,5,5
privacy,South Africa,cultural,34,7,5,5,1,5,5
privacy,South Africa,cultural,35,5,6,5,1,5,5
privacy,South Africa,cultural,36,4,5,5,1,5,4
privacy,South Africa,cultural,37,7,4,4,1,5,6
privacy,South Africa,cultural,38,5,4,5,2,4,5
privacy,South Africa,cultural,39,6,3,5,1,5,5
privacy,South Africa,cultural,40,7,5,4,1,5,5
privacy,South Africa,cultural,41,5,5,4,1,5,5
privacy,South Africa,cultural,42,6,5,5,1,5,5
privacy,South Africa,cultural,43,6,5,4,1,5,5
privacy,South Africa,cultural,44,6,5,4,1,4,3
privacy,South Africa,cultural,45,7,5,5,1,5,5
privacy,South Africa,cultural,46,6,5,5,1,5,5
privacy,South Africa,cultural,47,7,5,4,1,5,5
privacy,South Africa,cultural,48,7,5,3,1,5,5
privacy,South Africa,cultural,49,5,5,4,1,5,5
privacy,South Africa,cultural,50,7,5,5,1,5,5
privacy,South Africa,cultural,51,6,4,4,1,5,5
privacy,South Africa,cultural,52,7,5,5,1,4,5
privacy,South Africa,cultural,53,7,5,5,5,5,5
privacy,South Africa,cultural,54,6,5,4,1,5,4
privacy,South Africa,cultural,55,5,5,4,1,5,5
privacy,South Africa,cultural,56,5,4,5,1,5,5
privacy,South Africa,cultural,57,7,3,4,3,6,5
privacy,South Africa,cultural,58,7,3,6,1,6,3
privacy,South Africa,cultural,59,7,5,4,1,5,5
privacy,South Africa,cultural,60,6,5,5,1,5,5
privacy,South Africa,cultural,61,7,5,5,1,5,5
privacy,South Africa,cultural,62,7,5,5,1,5,5
privacy,South Africa,cultural,63,6,5,5,3,6,4
privacy,South Africa,cultural,64,5,5,4,1,5,5
privacy,South Africa,cultural,65,7,5,5,1,5,5
privacy,South Africa,cultural,66,7,5,4,1,5,5
privacy,South Africa,cultural,67,6,4,6,1,6,5
privacy,South Africa,cultural,68,6,5,5,1,5,6
privacy,South Africa,cultural,69,7,5,4,1,5,5
privacy,South Africa,cultural,70,7,5,5,1,5,5
privacy,South Africa,cultural,71,6,3,5,1,5,5
privacy,South Africa,cultural,72,4,5,5,1,6,4
privacy,South Africa,cultural,73,6,5,5,1,5,5
privacy,South Africa,cultural,74,6,3,5,1,6,5
privacy,South Africa,cultural,75,4,4,5,1,4,5
privacy,South Africa,cultural,76,5,5,5,1,5,3
privacy,South Africa,cultural,77,7,5,3,1,5,5
privacy,South Africa,cultural,78,7,5,4,1,5,5
privacy,South Africa,cultural,79,6,5,4,1,5,5
privacy,South Africa,cultural,80,7,5,5,1,5,4
privacy,South Africa,cultural,81,5,5,4,1,4,4
privacy,South Africa,cultural,82,7,5,5,1,5,5
privacy,South Africa,cultural,83,7,5,5,1,5,5
privacy,South Africa,cultural,84,7,5,5,1,5,5
privacy,South Africa,cultural,85,7,5,5,1,5,4
privacy,South Africa,cultural,86,5,5,6,1,5,5
privacy,South Africa,cultural,87,6,5,4,1,5,5
privacy,South Africa,cultural,88,7,5,5,1,5,5
privacy,South Africa,cultural,89,6,5,5,1,5,5
