domain,country,prompt_method,respondent_id,PC1_para,PC2_para,PC3_para,PC4_para,PC5_para,PC6_para
privacy,South Africa,cultural,0,5,5,4,1,6,5
privacy,South Africa,cultural,1,4,5,5,1,6,4
privacy,South Africa,cultural,2,4,6,4,1,6,4
privacy,South Africa,cultural,3,5,5,4,1,5,5
privacy,South Africa,cultural,4,5,5,4,1,4,5
privacy,South Africa,cultural,5,4,4,5,1,5,4
privacy,South Africa,cultural,6,4,5,4,1,5,4
privacy,South Africa,cultural,7,4,5,4,1,5,5
privacy,South Africa,cultural,8,5,5,5,1,5,5
privacy,South Africa,cultural,9,5,5,5,1,5,5
privacy,South Africa,cultural,10,5,5,5,1,5,5
privacy,South Africa,cultural,11,5,5,5,1,7,5
privacy,South Africa,cultural,12,4,4,5,1,5,4
privacy,South Africa,cultural,13,6,5,3,1,5,5
privacy,South Africa,cultural,14,5,5,4,1,5,5
privacy,South Africa,cultural,15,5,5,4,1,5,3
privacy,South Africa,cultural,16,5,6,4,1,5,4
privacy,South Africa,cultural,17,5,5,5,1,4,5
privacy,South Africa,cultural,18,5,5,3,1,7,3
privacy,South Africa,cultural,19,6,6,5,1,5,5
privacy,South Africa,cultural,20,5,6,5,1,5,4
privacy,South Africa,cultural,21,5,6,5,1,5,3
privacy,South Africa,cultural,22,5,6,4,1,5,5
privacy,South Africa,cultural,23,5,5,4,1,5,3
privacy,South Africa,cultural,24,6,6,4,1,5,4
privacy,South Africa,cultural,25,4,5,4,1,5,5
privacy,South Africa,cultural,26,5,4,4,1,4,4
privacy,South Africa,cultural,27,5,6,5,1,4,5
privacy,South Africa,cultural,28,6,5,4,1,5,5
privacy,South Africa,cultural,29,5,6,4,1,5,4
privacy,South Africa,cultural,30,6,5,4,1,4,5
privacy,South Africa,cultural,31,5,5,4,1,6,5
privacy,South Africa,cultural,32,5,5,4,1,5,5
privacy,South Africa,cultural,33,5,6,4,1,4,4
privacy,South Africa,cultural,34,4,5,4,1,5,5
privacy,South Africa,cultural,35,5,6,4,1,4,4
privacy,South Africa,cultural,36,4,5,5,1,6,4
privacy,South Africa,cultural,37,4,4,4,1,5,5
privacy,South Africa,cultural,38,5,4,5,1,5,5
privacy,South Africa,cultural,39,6,3,4,1,5,4
privacy,South Africa,cultural,40,5,5,4,1,5,5
privacy,South Africa,cultural,41,5,5,4,1,4,4
privacy,South Africa,cultural,42,6,5,5,1,5,5
privacy,South Africa,cultural,43,6,5,4,1,6,5
privacy,South Africa,cultural,44,5,5,4,1,5,5
privacy,South Africa,cultural,45,6,5,3,1,6,5
privacy,South Africa,cultural,46,5,5,4,1,6,5
privacy,South Africa,cultural,47,5,5,4,1,6,5
privacy,South Africa,cultural,48,5,5,5,1,5,5
privacy,South Africa,cultural,49,5,5,3,1,6,4
privacy,South Africa,cultural,50,5,5,6,1,6,4
privacy,South Africa,cultural,51,4,4,4,1,4,5
privacy,South Africa,cultural,52,4,4,4,1,6,4
privacy,South Africa,cultural,53,6,5,5,1,5,5
privacy,South Africa,cultural,54,5,5,4,1,5,5
privacy,South Africa,cultural,55,5,5,4,1,6,4
privacy,South Africa,cultural,56,5,4,4,1,6,5
privacy,South Africa,cultural,57,5,3,4,1,5,5
privacy,South Africa,cultural,58,5,6,4,1,4,3
privacy,South Africa,cultural,59,4,5,4,1,5,5
privacy,South Africa,cultural,60,6,5,5,1,6,5
privacy,South Africa,cultural,61,6,5,5,1,5,6
privacy,South Africa,cultural,62,4,5,4,1,7,5
privacy,South Africa,cultural,63,5,5,4,1,5,5
privacy,South Africa,cultural,64,5,5,5,1,6,4
privacy,South Africa,cultural,65,5,4,5,1,5,5
privacy,South Africa,cultural,66,5,5,5,1,7,4
privacy,South Africa,cultural,67,6,6,4,1,7,5
privacy,South Africa,cultural,68,5,5,4,1,5,4
privacy,South Africa,cultural,69,4,5,4,1,5,4
privacy,South Africa,cultural,70,5,5,5,1,4,5
privacy,South Africa,cultural,71,5,4,3,1,4,5
privacy,South Africa,cultural,72,4,6,4,1,6,5
privacy,South Africa,cultural,73,5,5,5,1,5,4
privacy,South Africa,cultural,74,6,6,4,1,5,5
privacy,South Africa,cultural,75,4,4,4,1,5,5
privacy,South Africa,cultural,76,4,5,4,1,4,5
privacy,South Africa,cultural,77,4,5,4,1,5,5
privacy,South Africa,cultural,78,5,4,4,1,4,3
privacy,South Africa,cultural,79,6,5,5,1,5,5
privacy,South Africa,cultural,80,5,5,4,1,5,5
privacy,South Africa,cultural,81,5,5,4,1,5,3
privacy,South Africa,cultural,82,4,6,5,1,7,4
privacy,South Africa,cultural,83,5,5,4,1,5,5
privacy,South Africa,cultural,84,5,5,3,1,7,5
privacy,South Africa,cultural,85,4,6,4,1,5,3
privacy,South Africa,cultural,86,6,5,5,1,5,5
privacy,South Africa,cultural,87,6,5,4,1,5,5
privacy,South Africa,cultural,88,6,5,4,1,6,5
privacy,South Africa,cultural,89,5,5,4,1,6,5
privacy,South Africa,cultural,90,5,5,4,1,5,5
privacy,South Africa,cultural,91,6,6,5,1,7,4
privacy,South Africa,cultural,92,6,5,3,1,5,5
privacy,South Africa,cultural,93,5,4,4,1,5,3
privacy,South Africa,cultural,94,6,5,5,1,5,5
privacy,South Africa,cultural,95,5,5,5,1,4,4
privacy,South Africa,cultural,96,5,6,4,1,5,4
privacy,South Africa,cultural,97,7,6,4,1,5,4
privacy,South Africa,cultural,98,4,6,4,1,5,3
privacy,South Africa,cultural,99,4,5,4,1,5,5
privacy,South Africa,cultural,100,5,5,4,1,6,5
privacy,South Africa,cultural,101,5,5,4,1,7,5
privacy,South Africa,cultural,102,5,5,4,1,6,4
privacy,South Africa,cultural,103,4,5,4,1,7,5
privacy,South Africa,cultural,104,6,4,4,1,5,5
privacy,South Africa,cultural,105,5,5,5,1,4,5
privacy,South Africa,cultural,106,5,5,4,1,5,4
privacy,South Africa,cultural,107,5,5,5,1,5,5
privacy,South Africa,cultural,108,6,5,5,1,4,4
privacy,South Africa,cultural,109,6,6,4,1,7,5
privacy,South Africa,cultural,110,4,5,5,1,5,4
privacy,South Africa,cultural,111,4,6,4,1,5,4
privacy,South Africa,cultural,112,5,5,4,1,5,5
privacy,South Africa,cultural,113,5,5,4,1,6,4
privacy,South Africa,cultural,114,5,5,4,1,5,5
privacy,South Africa,cultural,115,6,4,4,1,5,5
privacy,South Africa,cultural,116,6,5,4,1,5,5
privacy,South Africa,cultural,117,5,5,4,1,5,4
privacy,South Africa,cultural,118,5,5,4,1,6,5
privacy,South Africa,cultural,119,5,5,5,1,4,5
privacy,South Africa,cultural,120,4,5,5,1,5,4
privacy,South Africa,cultural,121,5,6,4,1,4,4
privacy,South Africa,cultural,122,6,5,4,1,6,4
privacy,South Africa,cultural,123,5,5,5,1,5,4
privacy,South Africa,cultural,124,6,5,4,1,6,5
privacy,South Africa,cultural,125,6,5,5,1,7,3
privacy,South Africa,cultural,126,4,4,4,1,5,4
privacy,South Africa,cultural,127,5,5,4,1,6,5
privacy,South Africa,cultural,128,5,3,5,1,6,5
privacy,South Africa,cultural,129,6,5,5,1,5,5
privacy,South Africa,cultural,130,4,5,4,1,5,5
privacy,South Africa,cultural,131,5,5,4,1,5,5
privacy,South Africa,cultural,132,5,4,4,1,6,4
privacy,South Africa,cultural,133,5,5,4,1,7,5
privacy,South Africa,cultural,134,5,4,4,1,6,5
privacy,South Africa,cultural,135,4,5,3,1,5,4
privacy,South Africa,cultural,136,4,5,5,1,5,5
privacy,South Africa,cultural,137,5,5,4,1,5,5
privacy,South Africa,cultural,138,5,5,4,1,5,5
privacy,South Africa,cultural,139,5,5,5,1,5,4
privacy,South Africa,cultural,140,5,4,4,1,6,5
privacy,South Africa,cultural,141,6,5,4,1,5,4
privacy,South Africa,cultural,142,6,5,4,1,6,5
privacy,South Africa,cultural,143,5,6,5,1,6,5
privacy,South Africa,cultural,144,4,3,5,1,5,5
privacy,South Africa,cultural,145,5,5,5,1,5,5
privacy,South Africa,cultural,146,5,5,4,1,4,5
privacy,South Africa,cultural,147,5,6,4,1,5,5
privacy,South Africa,cultural,148,6,4,4,1,6,5
privacy,South Africa,cultural,149,4,4,3,1,4,4
privacy,South Africa,cultural,150,6,4,5,1,5,5
privacy,South Africa,cultural,151,5,5,4,1,5,5
privacy,South Africa,cultural,152,5,5,4,1,5,3
privacy,South Africa,cultural,153,5,4,5,1,5,3
privacy,South Africa,cultural,154,4,6,4,1,5,4
privacy,South Africa,cultural,155,4,5,4,1,5,4
privacy,South Africa,cultural,156,5,5,5,1,6,4
privacy,South Africa,cultural,157,4,4,4,1,6,3
privacy,South Africa,cultural,158,6,4,4,1,5,4
privacy,South Africa,cultural,159,5,5,4,1,5,4
privacy,South Africa,cultural,160,6,5,4,1,5,5
privacy,South Africa,cultural,161,6,5,4,1,4,5
privacy,South Africa,cultural,162,5,4,5,1,5,4
privacy,South Africa,cultural,163,6,5,4,1,4,5
privacy,South Africa,cultural,164,5,6,4,1,5,5
privacy,South Africa,cultural,165,4,5,4,1,7,5
privacy,South Africa,cultural,166,5,5,4,1,5,4
privacy,South Africa,cultural,167,5,5,4,1,7,5
privacy,South Africa,cultural,168,4,5,5,1,5,5
privacy,South Africa,cultural,169,5,4,5,1,4,4
