domain,country,prompt_method,respondent_id,PC1,PC2,PC3,PC4,PC5,PC6
privacy,South Africa,deep_persona,0,1,3,1,1,1,1
privacy,South Africa,deep_persona,1,1,1,1,1,3,1
privacy,South Africa,deep_persona,2,1,4,1,1,1,3
privacy,South Africa,deep_persona,3,5,4,6,7,7,1
privacy,South Africa,deep_persona,4,1,1,1,1,1,1
privacy,South Africa,deep_persona,5,7,5,1,7,7,5
privacy,South Africa,deep_persona,6,4,4,1,7,4,1
privacy,South Africa,deep_persona,7,3,5,5,4,5,5
privacy,South Africa,deep_persona,8,3,5,4,7,5,3
privacy,South Africa,deep_persona,9,1,2,1,1,3,1
privacy,South Africa,deep_persona,10,1,3,1,1,4,1
privacy,South Africa,deep_persona,11,4,3,1,7,7,1
privacy,South Africa,deep_persona,12,2,2,1,5,1,1
privacy,South Africa,deep_persona,13,3,4,1,1,4,3
privacy,South Africa,deep_persona,14,7,4,4,7,5,1
privacy,South Africa,deep_persona,15,1,1,1,1,1,1
privacy,South Africa,deep_persona,16,3,2,1,1,5,1
privacy,South Africa,deep_persona,17,5,5,1,7,4,1
privacy,South Africa,deep_persona,18,5,4,5,7,7,4
privacy,South Africa,deep_persona,19,1,1,1,1,1,1
privacy,South Africa,deep_persona,20,3,3,1,1,1,1
privacy,South Africa,deep_persona,21,2,4,1,7,5,3
privacy,South Africa,deep_persona,22,1,1,1,1,1,1
privacy,South Africa,deep_persona,23,1,2,1,1,1,1
privacy,South Africa,deep_persona,24,1,5,1,7,4,1
privacy,South Africa,deep_persona,25,4,5,2,7,5,1
privacy,South Africa,deep_persona,26,1,1,1,1,1,1
privacy,South Africa,deep_persona,27,3,5,1,7,4,4
privacy,South Africa,deep_persona,28,1,1,1,1,1,1
privacy,South Africa,deep_persona,29,4,3,1,1,4,1
privacy,South Africa,deep_persona,30,4,4,1,7,4,3
privacy,South Africa,deep_persona,31,4,5,1,7,4,1
privacy,South Africa,deep_persona,32,3,3,1,1,1,1
privacy,South Africa,deep_persona,33,5,5,1,7,5,1
privacy,South Africa,deep_persona,34,1,1,1,1,1,1
privacy,South Africa,deep_persona,35,1,3,1,7,4,1
privacy,South Africa,deep_persona,36,7,4,1,7,4,1
privacy,South Africa,deep_persona,37,1,6,1,7,3,1
privacy,South Africa,deep_persona,38,1,1,1,1,1,1
privacy,South Africa,deep_persona,39,3,5,1,5,5,1
privacy,South Africa,deep_persona,40,1,3,1,7,5,1
privacy,South Africa,deep_persona,41,1,4,1,7,3,3
privacy,South Africa,deep_persona,42,1,1,1,1,1,1
privacy,South Africa,deep_persona,43,1,1,1,1,1,1
privacy,South Africa,deep_persona,44,3,5,4,3,3,5
privacy,South Africa,deep_persona,45,1,5,1,7,4,1
privacy,South Africa,deep_persona,46,1,1,1,1,1,1
privacy,South Africa,deep_persona,47,1,4,1,1,1,3
privacy,South Africa,deep_persona,48,1,2,1,1,1,1
privacy,South Africa,deep_persona,49,5,4,3,7,4,5
privacy,South Africa,deep_persona,50,1,3,1,1,1,1
privacy,South Africa,deep_persona,51,3,6,1,1,4,1
privacy,South Africa,deep_persona,52,1,4,1,1,1,1
privacy,South Africa,deep_persona,53,1,5,1,1,1,1
privacy,South Africa,deep_persona,54,3,3,1,7,3,1
privacy,South Africa,deep_persona,55,1,5,1,1,5,1
privacy,South Africa,deep_persona,56,4,5,1,1,3,1
privacy,South Africa,deep_persona,57,5,5,4,7,5,5
privacy,South Africa,deep_persona,58,2,3,1,1,1,1
privacy,South Africa,deep_persona,59,1,5,1,1,1,1
privacy,South Africa,deep_persona,60,1,3,1,1,1,1
privacy,South Africa,deep_persona,61,1,4,1,1,1,1
privacy,South Africa,deep_persona,62,3,1,1,7,1,1
privacy,South Africa,deep_persona,63,1,5,1,1,3,3
privacy,South Africa,deep_persona,64,3,3,1,7,5,1
privacy,South Africa,deep_persona,65,1,1,1,1,1,1
privacy,South Africa,deep_persona,66,1,1,1,1,1,1
privacy,South Africa,deep_persona,67,5,4,1,2,4,1
privacy,South Africa,deep_persona,68,5,3,4,7,4,3
privacy,South Africa,deep_persona,69,4,3,4,7,5,5
privacy,South Africa,deep_persona,70,3,4,1,4,4,1
privacy,South Africa,deep_persona,71,1,5,1,1,1,1
privacy,South Africa,deep_persona,72,1,5,1,1,1,1
privacy,South Africa,deep_persona,73,5,3,1,7,4,1
privacy,South Africa,deep_persona,74,3,4,1,7,3,3
privacy,South Africa,deep_persona,75,4,3,1,7,4,1
privacy,South Africa,deep_persona,76,1,3,1,1,1,1
privacy,South Africa,deep_persona,77,4,5,1,4,3,1
privacy,South Africa,deep_persona,78,1,1,1,1,3,3
privacy,South Africa,deep_persona,79,1,1,1,1,1,1
privacy,South Africa,deep_persona,80,1,5,1,7,5,1
privacy,South Africa,deep_persona,81,1,1,1,1,1,1
privacy,South Africa,deep_persona,82,1,1,1,1,1,1
privacy,South Africa,deep_persona,83,1,4,1,1,1,1
privacy,South Africa,deep_persona,84,1,5,1,1,3,1
privacy,South Africa,deep_persona,85,2,3,1,1,4,4
privacy,South Africa,deep_persona,86,1,3,1,1,1,1
privacy,South Africa,deep_persona,87,1,1,1,1,1,1
privacy,South Africa,deep_persona,88,1,1,1,1,1,1
privacy,South Africa,deep_persona,89,2,4,1,1,4,5
privacy,South Africa,deep_persona,90,1,1,1,1,1,1
privacy,South Africa,deep_persona,91,4,4,1,5,4,1
privacy,South Africa,deep_persona,92,5,5,5,7,5,5
privacy,South Africa,deep_persona,93,1,1,1,1,1,1
privacy,South Africa,deep_persona,94,1,1,1,1,1,1
privacy,South Africa,deep_persona,95,1,1,1,1,1,1
privacy,South Africa,deep_persona,96,3,5,5,4,5,2
privacy,South Africa,deep_persona,97,5,5,1,7,3,1
privacy,South Africa,deep_persona,98,5,1,1,7,1,1
privacy,South Africa,deep_persona,99,2,3,1,7,5,3
privacy,South Africa,deep_persona,100,3,5,1,1,5,1
privacy,South Africa,deep_persona,101,1,3,1,1,1,1
privacy,South Africa,deep_persona,102,1,1,1,1,1,1
privacy,South Africa,deep_persona,103,1,5,1,1,1,1
privacy,South Africa,deep_persona,104,1,4,1,1,1,1
privacy,South Africa,deep_persona,105,1,3,1,1,2,1
privacy,South Africa,deep_persona,106,3,5,1,1,5,1
privacy,South Africa,deep_persona,107,1,1,1,1,1,1
privacy,South Africa,deep_persona,108,1,3,1,1,1,1
privacy,South Africa,deep_persona,109,3,3,1,1,3,1
privacy,South Africa,deep_persona,110,1,3,1,1,1,1
privacy,South Africa,deep_persona,111,4,4,1,1,3,1
privacy,South Africa,deep_persona,112,1,3,1,1,1,1
privacy,South Africa,deep_persona,113,1,6,1,1,3,1
privacy,South Africa,deep_persona,114,5,4,4,7,4,3
privacy,South Africa,deep_persona,115,1,5,1,1,4,1
privacy,South Africa,deep_persona,116,1,1,1,1,2,1
privacy,South Africa,deep_persona,117,1,3,1,1,1,1
privacy,South Africa,deep_persona,118,1,1,1,1,1,1
privacy,South Africa,deep_persona,119,1,3,1,1,2,1
privacy,South Africa,deep_persona,120,1,1,1,1,1,1
privacy,South Africa,deep_persona,121,1,5,1,1,3,1
privacy,South Africa,deep_persona,122,1,1,1,1,1,1
privacy,South Africa,deep_persona,123,1,4,1,1,1,1
privacy,South Africa,deep_persona,124,2,5,1,7,4,1
privacy,South Africa,deep_persona,125,3,5,1,1,4,2
privacy,South Africa,deep_persona,126,4,5,1,3,5,1
privacy,South Africa,deep_persona,127,4,5,1,4,4,1
privacy,South Africa,deep_persona,128,1,3,1,1,1,1
privacy,South Africa,deep_persona,129,1,3,1,1,1,1
privacy,South Africa,deep_persona,130,1,3,1,1,1,1
privacy,South Africa,deep_persona,131,4,3,1,1,4,1
privacy,South Africa,deep_persona,132,3,3,1,7,3,2
privacy,South Africa,deep_persona,133,1,5,1,1,1,1
privacy,South Africa,deep_persona,134,3,4,1,1,3,5
privacy,South Africa,deep_persona,135,5,2,1,3,3,1
privacy,South Africa,deep_persona,136,3,5,1,4,3,3
privacy,South Africa,deep_persona,137,4,4,1,1,4,1
privacy,South Africa,deep_persona,138,4,5,4,7,5,5
privacy,South Africa,deep_persona,139,1,1,1,1,1,1
privacy,South Africa,deep_persona,140,1,3,1,1,1,1
privacy,South Africa,deep_persona,141,4,5,5,7,4,1
privacy,South Africa,deep_persona,142,1,5,1,1,4,1
privacy,South Africa,deep_persona,143,2,3,1,1,3,1
privacy,South Africa,deep_persona,144,7,5,1,7,7,1
privacy,South Africa,deep_persona,145,3,3,1,1,5,1
privacy,South Africa,deep_persona,146,1,3,1,1,1,1
privacy,South Africa,deep_persona,147,1,3,1,1,1,1
privacy,South Africa,deep_persona,148,3,4,1,3,3,3
privacy,South Africa,deep_persona,149,1,5,1,1,2,1
privacy,South Africa,deep_persona,150,1,2,1,1,3,1
privacy,South Africa,deep_persona,151,1,2,1,1,1,1
privacy,South Africa,deep_persona,152,1,5,1,1,1,1
privacy,South Africa,deep_persona,153,1,1,1,7,5,1
privacy,South Africa,deep_persona,154,5,5,1,7,4,1
privacy,South Africa,deep_persona,155,1,4,1,1,1,1
privacy,South Africa,deep_persona,156,1,3,1,1,4,1
privacy,South Africa,deep_persona,157,1,1,1,1,1,1
privacy,South Africa,deep_persona,158,4,5,1,7,3,1
privacy,South Africa,deep_persona,159,1,1,1,1,1,1
privacy,South Africa,deep_persona,160,1,1,1,1,1,1
