domain,country,prompt_method,respondent_id,PC1_para,PC2_para,PC3_para,PC4_para,PC5_para,PC6_para
privacy,South Africa,deep_persona,0,4,1,1,1,1,3
privacy,South Africa,deep_persona,1,1,1,1,1,1,1
privacy,South Africa,deep_persona,2,5,5,1,1,1,3
privacy,South Africa,deep_persona,3,7,3,4,7,7,5
privacy,South Africa,deep_persona,4,2,1,1,1,1,1
privacy,South Africa,deep_persona,5,6,3,5,7,7,1
privacy,South Africa,deep_persona,6,5,3,5,1,5,3
privacy,South Africa,deep_persona,7,5,5,3,7,4,4
privacy,South Africa,deep_persona,8,4,5,5,7,7,5
privacy,South Africa,deep_persona,9,1,3,1,1,1,4
privacy,South Africa,deep_persona,10,1,3,1,1,1,1
privacy,South Africa,deep_persona,11,3,3,2,7,4,4
privacy,South Africa,deep_persona,12,3,4,1,1,1,5
privacy,South Africa,deep_persona,13,4,4,1,1,7,5
privacy,South Africa,deep_persona,14,7,6,3,7,7,5
privacy,South Africa,deep_persona,15,1,1,1,1,1,1
privacy,South Africa,deep_persona,16,1,3,1,1,4,2
privacy,South Africa,deep_persona,17,5,3,3,7,5,4
privacy,South Africa,deep_persona,18,4,5,3,7,5,5
privacy,South Africa,deep_persona,19,1,1,1,1,1,1
privacy,South Africa,deep_persona,20,1,1,1,1,1,3
privacy,South Africa,deep_persona,21,5,3,4,7,7,3
privacy,South Africa,deep_persona,22,1,1,1,1,1,1
privacy,South Africa,deep_persona,23,1,5,1,1,1,3
privacy,South Africa,deep_persona,24,5,3,4,1,3,5
privacy,South Africa,deep_persona,25,7,6,3,1,5,4
privacy,South Africa,deep_persona,26,1,1,1,1,1,1
privacy,South Africa,deep_persona,27,5,4,5,1,4,1
privacy,South Africa,deep_persona,28,1,1,1,1,1,1
privacy,South Africa,deep_persona,29,5,4,3,1,6,3
privacy,South Africa,deep_persona,30,4,4,4,1,4,5
privacy,South Africa,deep_persona,31,5,4,1,7,7,5
privacy,South Africa,deep_persona,32,3,3,1,1,1,1
privacy,South Africa,deep_persona,33,4,3,5,1,4,3
privacy,South Africa,deep_persona,34,1,1,1,1,1,1
privacy,South Africa,deep_persona,35,7,5,1,1,5,4
privacy,South Africa,deep_persona,36,5,4,3,1,7,4
privacy,South Africa,deep_persona,37,7,3,1,1,5,3
privacy,South Africa,deep_persona,38,1,2,1,1,1,1
privacy,South Africa,deep_persona,39,4,3,2,1,3,3
privacy,South Africa,deep_persona,40,3,2,1,1,7,5
privacy,South Africa,deep_persona,41,5,3,3,1,3,4
privacy,South Africa,deep_persona,42,1,1,1,1,1,4
privacy,South Africa,deep_persona,43,1,1,1,1,1,1
privacy,South Africa,deep_persona,44,5,5,3,1,3,4
privacy,South Africa,deep_persona,45,5,3,1,1,7,1
privacy,South Africa,deep_persona,46,1,1,1,1,1,1
privacy,South Africa,deep_persona,47,3,4,1,1,1,5
privacy,South Africa,deep_persona,48,1,3,1,1,1,1
privacy,South Africa,deep_persona,49,5,5,3,1,3,3
privacy,South Africa,deep_persona,50,1,2,1,1,1,3
privacy,South Africa,deep_persona,51,1,5,1,1,1,1
