domain,country,prompt_method,respondent_id,PC1,PC2,PC3,PC4,PC5,PC6
privacy,South Africa,opencharacter,0,7,5,5,7,4,5
privacy,South Africa,opencharacter,1,7,6,5,7,7,6
privacy,South Africa,opencharacter,2,7,5,3,1,7,5
privacy,South Africa,opencharacter,3,7,4,5,1,7,5
privacy,South Africa,opencharacter,4,7,5,4,7,6,5
privacy,South Africa,opencharacter,5,7,5,5,7,7,5
privacy,South Africa,opencharacter,6,7,6,4,7,7,5
privacy,South Africa,opencharacter,7,7,5,5,1,7,4
privacy,South Africa,opencharacter,8,7,5,3,7,7,5
privacy,South Africa,opencharacter,9,7,5,4,7,5,5
privacy,South Africa,opencharacter,10,7,4,4,7,4,5
privacy,South Africa,opencharacter,11,7,5,4,7,7,5
privacy,South Africa,opencharacter,12,7,5,3,7,5,5
privacy,South Africa,opencharacter,13,7,5,5,7,7,5
privacy,South Africa,opencharacter,14,7,5,5,7,7,5
privacy,South Africa,opencharacter,15,7,5,5,7,7,5
privacy,South Africa,opencharacter,16,7,5,4,7,5,4
privacy,South Africa,opencharacter,17,5,5,3,1,7,5
privacy,South Africa,opencharacter,18,7,3,4,1,7,5
privacy,South Africa,opencharacter,19,7,3,3,1,7,5
privacy,South Africa,opencharacter,20,7,5,4,7,7,5
privacy,South Africa,opencharacter,21,6,5,5,7,7,5
privacy,South Africa,opencharacter,22,7,5,5,7,4,5
privacy,South Africa,opencharacter,23,7,5,5,1,7,5
privacy,South Africa,opencharacter,24,7,5,6,7,7,5
privacy,South Africa,opencharacter,25,5,5,5,7,7,5
privacy,South Africa,opencharacter,26,4,5,4,7,7,5
privacy,South Africa,opencharacter,27,7,5,4,7,7,5
privacy,South Africa,opencharacter,28,7,5,4,7,7,5
privacy,South Africa,opencharacter,29,7,5,4,7,7,5
privacy,South Africa,opencharacter,30,6,5,5,1,4,5
privacy,South Africa,opencharacter,31,7,5,4,7,4,5
privacy,South Africa,opencharacter,32,7,4,3,7,7,5
privacy,South Africa,opencharacter,33,6,6,3,7,7,5
privacy,South Africa,opencharacter,34,7,4,4,1,7,5
privacy,South Africa,opencharacter,35,7,5,6,7,7,5
privacy,South Africa,opencharacter,36,7,6,4,1,6,5
privacy,South Africa,opencharacter,37,5,5,5,1,7,5
privacy,South Africa,opencharacter,38,7,5,5,7,4,5
privacy,South Africa,opencharacter,39,7,5,5,7,7,5
privacy,South Africa,opencharacter,40,7,4,4,7,7,5
privacy,South Africa,opencharacter,41,7,4,3,7,7,6
privacy,South Africa,opencharacter,42,6,5,5,7,6,5
privacy,South Africa,opencharacter,43,7,6,3,1,7,5
privacy,South Africa,opencharacter,44,7,5,3,1,4,5
privacy,South Africa,opencharacter,45,7,5,5,1,5,5
privacy,South Africa,opencharacter,46,7,4,5,7,6,5
privacy,South Africa,opencharacter,47,7,4,4,7,7,5
privacy,South Africa,opencharacter,48,7,5,5,1,7,5
privacy,South Africa,opencharacter,49,7,5,3,7,4,5
privacy,South Africa,opencharacter,50,7,3,4,7,5,5
privacy,South Africa,opencharacter,51,5,5,4,1,7,5
privacy,South Africa,opencharacter,52,7,5,4,1,4,5
privacy,South Africa,opencharacter,53,7,6,3,1,4,5
privacy,South Africa,opencharacter,54,7,5,6,7,7,5
privacy,South Africa,opencharacter,55,7,3,3,7,7,5
privacy,South Africa,opencharacter,56,7,5,5,7,4,5
privacy,South Africa,opencharacter,57,6,5,6,1,7,5
privacy,South Africa,opencharacter,58,7,5,6,1,5,5
privacy,South Africa,opencharacter,59,7,5,2,1,5,5
privacy,South Africa,opencharacter,60,7,5,5,7,7,5
privacy,South Africa,opencharacter,61,6,5,4,7,7,5
privacy,South Africa,opencharacter,62,7,6,4,7,5,5
privacy,South Africa,opencharacter,63,7,5,5,7,5,5
privacy,South Africa,opencharacter,64,7,6,5,7,7,5
privacy,South Africa,opencharacter,65,7,6,6,7,4,5
privacy,South Africa,opencharacter,66,7,5,5,1,7,3
privacy,South Africa,opencharacter,67,7,5,4,1,7,6
privacy,South Africa,opencharacter,68,7,5,6,7,7,5
privacy,South Africa,opencharacter,69,7,5,5,7,4,5
privacy,South Africa,opencharacter,70,6,5,3,1,7,5
privacy,South Africa,opencharacter,71,7,5,2,7,5,5
privacy,South Africa,opencharacter,72,7,5,5,7,5,5
privacy,South Africa,opencharacter,73,5,5,4,7,4,5
privacy,South Africa,opencharacter,74,7,6,5,7,7,5
privacy,South Africa,opencharacter,75,7,5,4,7,7,5
privacy,South Africa,opencharacter,76,7,3,5,7,7,5
privacy,South Africa,opencharacter,77,7,5,6,7,7,5
privacy,South Africa,opencharacter,78,7,5,4,7,7,4
