domain,country,prompt_method,respondent_id,PC1_para,PC2_para,PC3_para,PC4_para,PC5_para,PC6_para
privacy,South Africa,opencharacter,0,7,5,3,1,7,6
privacy,South Africa,opencharacter,1,7,7,3,1,7,6
privacy,South Africa,opencharacter,2,7,5,3,1,7,5
privacy,South Africa,opencharacter,3,7,5,3,1,7,5
privacy,South Africa,opencharacter,4,5,5,3,1,7,5
privacy,South Africa,opencharacter,5,7,5,3,1,7,4
privacy,South Africa,opencharacter,6,5,6,3,1,7,5
privacy,South Africa,opencharacter,7,7,7,3,1,7,5
privacy,South Africa,opencharacter,8,7,7,3,1,7,5
privacy,South Africa,opencharacter,9,7,5,4,1,7,4
privacy,South Africa,opencharacter,10,4,4,3,1,7,4
privacy,South Africa,opencharacter,11,7,6,2,1,7,4
privacy,South Africa,opencharacter,12,6,7,3,1,7,5
privacy,South Africa,opencharacter,13,7,6,3,1,7,5
privacy,South Africa,opencharacter,14,7,7,3,1,5,3
privacy,South Africa,opencharacter,15,7,6,4,1,7,5
privacy,South Africa,opencharacter,16,7,4,4,1,7,5
privacy,South Africa,opencharacter,17,5,6,3,1,7,5
privacy,South Africa,opencharacter,18,7,5,3,1,7,5
privacy,South Africa,opencharacter,19,7,7,4,1,7,5
privacy,South Africa,opencharacter,20,7,7,3,1,7,3
privacy,South Africa,opencharacter,21,7,5,4,1,7,5
privacy,South Africa,opencharacter,22,4,4,3,1,7,5
privacy,South Africa,opencharacter,23,5,5,5,1,7,5
privacy,South Africa,opencharacter,24,7,7,3,1,7,5
privacy,South Africa,opencharacter,25,7,5,4,1,7,5
privacy,South Africa,opencharacter,26,7,5,3,1,7,4
privacy,South Africa,opencharacter,27,5,5,3,1,7,5
privacy,South Africa,opencharacter,28,7,5,3,1,7,5
privacy,South Africa,opencharacter,29,7,6,5,1,7,5
privacy,South Africa,opencharacter,30,7,5,3,1,5,5
privacy,South Africa,opencharacter,31,7,7,4,1,7,5
privacy,South Africa,opencharacter,32,4,5,3,1,7,5
privacy,South Africa,opencharacter,33,7,6,3,1,7,4
privacy,South Africa,opencharacter,34,7,4,3,1,7,5
privacy,South Africa,opencharacter,35,7,6,5,1,7,5
privacy,South Africa,opencharacter,36,4,5,3,1,7,5
privacy,South Africa,opencharacter,37,5,6,3,1,7,5
privacy,South Africa,opencharacter,38,4,5,3,1,7,5
privacy,South Africa,opencharacter,39,5,6,3,1,7,4
privacy,South Africa,opencharacter,40,4,7,3,1,6,5
privacy,South Africa,opencharacter,41,7,5,5,1,7,5
privacy,South Africa,opencharacter,42,6,4,1,1,7,5
privacy,South Africa,opencharacter,43,7,6,3,1,7,5
privacy,South Africa,opencharacter,44,7,7,3,1,7,4
privacy,South Africa,opencharacter,45,7,6,3,1,7,5
privacy,South Africa,opencharacter,46,7,6,3,1,7,5
privacy,South Africa,opencharacter,47,7,6,3,1,7,5
privacy,South Africa,opencharacter,48,7,6,5,1,7,5
privacy,South Africa,opencharacter,49,5,5,3,1,7,5
privacy,South Africa,opencharacter,50,7,6,4,1,7,5
privacy,South Africa,opencharacter,51,7,5,3,1,7,5
privacy,South Africa,opencharacter,52,7,7,4,1,7,5
privacy,South Africa,opencharacter,53,7,5,3,1,7,5
privacy,South Africa,opencharacter,54,7,4,3,1,7,5
privacy,South Africa,opencharacter,55,7,5,4,1,7,5
privacy,South Africa,opencharacter,56,4,7,1,1,7,5
privacy,South Africa,opencharacter,57,6,6,3,1,7,4
privacy,South Africa,opencharacter,58,5,6,3,1,7,5
