domain,country,prompt_method,respondent_id,PC1,PC2,PC3,PC4,PC5,PC6
privacy,United Kingdom,cultural,0,5,4,4,1,5,3
privacy,United Kingdom,cultural,1,6,3,4,1,5,3
privacy,United Kingdom,cultural,2,6,4,5,1,5,4
privacy,United Kingdom,cultural,3,5,3,4,1,5,5
privacy,United Kingdom,cultural,4,5,5,5,1,5,5
privacy,United Kingdom,cultural,5,7,5,5,1,4,3
privacy,United Kingdom,cultural,6,5,5,4,1,5,4
privacy,United Kingdom,cultural,7,5,6,4,1,5,3
privacy,United Kingdom,cultural,8,5,4,4,1,5,5
privacy,United Kingdom,cultural,9,5,5,5,1,5,5
privacy,United Kingdom,cultural,10,7,5,5,1,5,5
privacy,United Kingdom,cultural,11,6,4,5,1,5,5
privacy,United Kingdom,cultural,12,5,5,4,1,5,3
privacy,United Kingdom,cultural,13,5,5,5,1,5,4
privacy,United Kingdom,cultural,14,5,3,3,1,5,3
privacy,United Kingdom,cultural,15,5,5,5,1,5,3
privacy,United Kingdom,cultural,16,5,4,4,1,5,5
privacy,United Kingdom,cultural,17,7,5,4,1,5,4
privacy,United Kingdom,cultural,18,7,4,3,1,5,5
privacy,United Kingdom,cultural,19,4,5,5,1,5,5
privacy,United Kingdom,cultural,20,5,5,4,1,5,5
privacy,United Kingdom,cultural,21,5,4,5,1,5,4
privacy,United Kingdom,cultural,22,5,5,5,1,5,3
privacy,United Kingdom,cultural,23,5,3,5,1,5,4
privacy,United Kingdom,cultural,24,6,4,5,1,5,5
privacy,United Kingdom,cultural,25,5,4,5,1,5,3
privacy,United Kingdom,cultural,26,7,4,4,1,4,4
privacy,United Kingdom,cultural,27,6,5,4,1,5,5
privacy,United Kingdom,cultural,28,7,5,5,1,5,5
privacy,United Kingdom,cultural,29,7,5,5,1,5,5
privacy,United Kingdom,cultural,30,5,4,4,1,5,5
privacy,United Kingdom,cultural,31,5,5,4,1,5,5
privacy,United Kingdom,cultural,32,5,3,5,1,5,4
privacy,United Kingdom,cultural,33,5,4,5,1,5,4
privacy,United Kingdom,cultural,34,7,4,5,1,4,5
privacy,United Kingdom,cultural,35,5,3,5,1,5,4
privacy,United Kingdom,cultural,36,6,5,5,1,5,5
privacy,United Kingdom,cultural,37,5,5,4,1,5,5
privacy,United Kingdom,cultural,38,5,5,5,1,4,4
privacy,United Kingdom,cultural,39,7,5,5,1,5,5
privacy,United Kingdom,cultural,40,6,4,5,1,5,5
privacy,United Kingdom,cultural,41,6,4,5,1,5,5
privacy,United Kingdom,cultural,42,7,5,5,1,5,4
privacy,United Kingdom,cultural,43,5,5,5,1,5,5
privacy,United Kingdom,cultural,44,6,5,5,1,5,5
privacy,United Kingdom,cultural,45,7,5,4,1,5,3
privacy,United Kingdom,cultural,46,6,3,5,1,5,4
privacy,United Kingdom,cultural,47,5,5,4,1,5,5
privacy,United Kingdom,cultural,48,6,5,6,1,5,3
privacy,United Kingdom,cultural,49,7,4,4,1,5,5
privacy,United Kingdom,cultural,50,5,5,5,1,5,4
privacy,United Kingdom,cultural,51,5,5,5,1,5,5
privacy,United Kingdom,cultural,52,7,5,5,1,5,4
privacy,United Kingdom,cultural,53,5,5,4,1,5,4
privacy,United Kingdom,cultural,54,5,4,5,1,5,5
privacy,United Kingdom,cultural,55,7,5,5,1,5,4
privacy,United Kingdom,cultural,56,6,5,4,1,5,4
privacy,United Kingdom,cultural,57,6,4,5,1,5,5
privacy,United Kingdom,cultural,58,5,5,5,1,5,3
privacy,United Kingdom,cultural,59,7,4,5,1,5,5
privacy,United Kingdom,cultural,60,5,5,4,1,6,3
privacy,United Kingdom,cultural,61,7,5,4,1,5,5
privacy,United Kingdom,cultural,62,5,6,4,1,5,5
privacy,United Kingdom,cultural,63,7,5,5,1,6,4
privacy,United Kingdom,cultural,64,5,3,4,1,5,5
privacy,United Kingdom,cultural,65,5,4,4,1,5,5
privacy,United Kingdom,cultural,66,5,3,5,1,5,3
privacy,United Kingdom,cultural,67,6,5,5,1,4,4
