domain,country,prompt_method,respondent_id,PC1_para,PC2_para,PC3_para,PC4_para,PC5_para,PC6_para
privacy,United Kingdom,cultural,0,7,5,4,1,6,5
privacy,United Kingdom,cultural,1,7,5,4,1,4,5
privacy,United Kingdom,cultural,2,5,5,4,1,5,5
privacy,United Kingdom,cultural,3,6,5,4,1,5,4
privacy,United Kingdom,cultural,4,7,4,5,1,5,5
privacy,United Kingdom,cultural,5,6,5,4,1,5,4
privacy,United Kingdom,cultural,6,6,6,4,1,6,4
privacy,United Kingdom,cultural,7,5,5,4,1,5,5
privacy,United Kingdom,cultural,8,6,5,4,1,5,4
privacy,United Kingdom,cultural,9,6,6,4,1,5,5
privacy,United Kingdom,cultural,10,5,4,5,1,5,3
privacy,United Kingdom,cultural,11,6,6,4,1,5,5
privacy,United Kingdom,cultural,12,7,5,4,1,5,5
privacy,United Kingdom,cultural,13,5,6,4,1,5,5
privacy,United Kingdom,cultural,14,7,4,4,1,5,5
privacy,United Kingdom,cultural,15,7,4,5,1,5,5
privacy,United Kingdom,cultural,16,4,5,4,1,6,5
privacy,United Kingdom,cultural,17,5,5,4,1,5,5
privacy,United Kingdom,cultural,18,7,5,5,1,7,5
privacy,United Kingdom,cultural,19,6,5,4,1,5,5
privacy,United Kingdom,cultural,20,7,4,4,1,6,5
privacy,United Kingdom,cultural,21,6,5,4,1,5,5
privacy,United Kingdom,cultural,22,7,5,4,1,5,5
privacy,United Kingdom,cultural,23,6,4,3,1,5,5
privacy,United Kingdom,cultural,24,7,5,5,1,5,4
privacy,United Kingdom,cultural,25,6,5,5,1,5,3
privacy,United Kingdom,cultural,26,7,4,6,1,5,5
privacy,United Kingdom,cultural,27,5,5,5,1,5,5
privacy,United Kingdom,cultural,28,7,5,5,1,6,5
privacy,United Kingdom,cultural,29,6,5,4,1,5,5
privacy,United Kingdom,cultural,30,7,5,5,1,5,3
privacy,United Kingdom,cultural,31,5,5,4,1,5,5
privacy,United Kingdom,cultural,32,7,5,4,1,5,5
privacy,United Kingdom,cultural,33,5,4,4,1,4,5
privacy,United Kingdom,cultural,34,6,5,4,1,5,4
privacy,United Kingdom,cultural,35,6,5,4,1,5,5
privacy,United Kingdom,cultural,36,5,5,5,1,6,5
privacy,United Kingdom,cultural,37,6,5,5,1,5,5
privacy,United Kingdom,cultural,38,6,4,3,1,4,5
privacy,United Kingdom,cultural,39,6,4,5,1,5,5
privacy,United Kingdom,cultural,40,6,3,4,1,5,4
privacy,United Kingdom,cultural,41,6,5,4,1,5,5
privacy,United Kingdom,cultural,42,5,5,5,1,5,5
privacy,United Kingdom,cultural,43,5,5,5,1,5,5
privacy,United Kingdom,cultural,44,7,5,4,1,5,5
privacy,United Kingdom,cultural,45,7,5,4,1,5,4
privacy,United Kingdom,cultural,46,5,5,5,1,5,5
privacy,United Kingdom,cultural,47,7,5,4,1,5,4
privacy,United Kingdom,cultural,48,5,5,5,1,5,5
privacy,United Kingdom,cultural,49,4,5,4,1,5,5
privacy,United Kingdom,cultural,50,6,5,4,1,5,4
privacy,United Kingdom,cultural,51,6,5,4,1,5,6
privacy,United Kingdom,cultural,52,7,5,4,1,7,4
privacy,United Kingdom,cultural,53,6,5,5,1,5,5
privacy,United Kingdom,cultural,54,6,4,4,1,5,5
privacy,United Kingdom,cultural,55,5,4,4,1,4,4
privacy,United Kingdom,cultural,56,7,6,4,1,5,5
privacy,United Kingdom,cultural,57,7,4,4,1,5,5
privacy,United Kingdom,cultural,58,7,3,5,1,5,4
privacy,United Kingdom,cultural,59,7,4,5,1,4,5
privacy,United Kingdom,cultural,60,4,6,4,1,5,5
privacy,United Kingdom,cultural,61,7,5,4,1,6,5
privacy,United Kingdom,cultural,62,4,6,4,1,5,5
