domain,country,prompt_method,respondent_id,PC1,PC2,PC3,PC4,PC5,PC6
privacy,United Kingdom,deep_persona,0,1,3,1,1,1,1
privacy,United Kingdom,deep_persona,1,1,1,1,1,1,1
privacy,United Kingdom,deep_persona,2,1,3,1,1,1,1
privacy,United Kingdom,deep_persona,3,4,3,4,7,5,3
privacy,United Kingdom,deep_persona,4,1,1,1,1,1,1
privacy,United Kingdom,deep_persona,5,7,6,3,7,5,3
privacy,United Kingdom,deep_persona,6,5,3,1,7,4,1
privacy,United Kingdom,deep_persona,7,5,4,4,4,5,5
privacy,United Kingdom,deep_persona,8,5,5,4,7,5,4
privacy,United Kingdom,deep_persona,9,1,3,1,1,1,1
privacy,United Kingdom,deep_persona,10,1,3,1,1,2,1
privacy,United Kingdom,deep_persona,11,7,3,1,7,4,2
privacy,United Kingdom,deep_persona,12,1,3,1,7,3,3
privacy,United Kingdom,deep_persona,13,1,3,1,1,1,3
privacy,United Kingdom,deep_persona,14,4,3,4,7,4,4
privacy,United Kingdom,deep_persona,15,1,1,1,1,1,1
privacy,United Kingdom,deep_persona,16,2,3,2,1,4,1
privacy,United Kingdom,deep_persona,17,5,5,3,7,5,5
privacy,United Kingdom,deep_persona,18,6,3,1,7,5,1
privacy,United Kingdom,deep_persona,19,1,1,1,1,1,1
privacy,United Kingdom,deep_persona,20,1,1,1,1,1,1
privacy,United Kingdom,deep_persona,21,5,5,5,7,5,1
privacy,United Kingdom,deep_persona,22,1,1,1,1,1,1
privacy,United Kingdom,deep_persona,23,1,3,1,1,1,1
privacy,United Kingdom,deep_persona,24,3,5,1,7,4,1
privacy,United Kingdom,deep_persona,25,4,3,1,7,3,1
privacy,United Kingdom,deep_persona,26,1,1,1,1,1,1
privacy,United Kingdom,deep_persona,27,4,4,1,7,4,1
privacy,United Kingdom,deep_persona,28,1,1,1,1,1,1
privacy,United Kingdom,deep_persona,29,3,3,1,1,3,2
privacy,United Kingdom,deep_persona,30,5,5,1,4,4,1
privacy,United Kingdom,deep_persona,31,5,4,1,7,4,1
privacy,United Kingdom,deep_persona,32,1,5,1,1,3,1
privacy,United Kingdom,deep_persona,33,4,3,1,7,6,1
privacy,United Kingdom,deep_persona,34,1,1,1,1,1,1
privacy,United Kingdom,deep_persona,35,1,5,1,7,4,4
privacy,United Kingdom,deep_persona,36,4,3,1,7,4,1
privacy,United Kingdom,deep_persona,37,1,3,1,3,1,1
privacy,United Kingdom,deep_persona,38,1,1,1,1,1,1
privacy,United Kingdom,deep_persona,39,4,5,3,4,4,1
privacy,United Kingdom,deep_persona,40,1,3,1,7,1,1
privacy,United Kingdom,deep_persona,41,1,3,1,1,3,3
privacy,United Kingdom,deep_persona,42,1,1,1,1,1,1
privacy,United Kingdom,deep_persona,43,1,1,1,1,1,1
privacy,United Kingdom,deep_persona,44,3,4,4,4,4,5
privacy,United Kingdom,deep_persona,45,1,3,1,7,1,1
privacy,United Kingdom,deep_persona,46,1,1,1,1,1,1
privacy,United Kingdom,deep_persona,47,1,5,1,1,1,2
privacy,United Kingdom,deep_persona,48,1,2,1,1,1,1
privacy,United Kingdom,deep_persona,49,5,4,5,7,5,4
privacy,United Kingdom,deep_persona,50,1,1,1,1,1,1
privacy,United Kingdom,deep_persona,51,1,3,1,1,3,1
privacy,United Kingdom,deep_persona,52,1,1,1,1,2,1
privacy,United Kingdom,deep_persona,53,1,1,1,1,1,1
privacy,United Kingdom,deep_persona,54,1,3,1,7,3,1
privacy,United Kingdom,deep_persona,55,1,4,1,1,3,1
privacy,United Kingdom,deep_persona,56,1,5,1,1,1,1
privacy,United Kingdom,deep_persona,57,7,3,4,7,4,3
privacy,United Kingdom,deep_persona,58,1,2,1,1,4,1
privacy,United Kingdom,deep_persona,59,1,1,1,1,1,1
privacy,United Kingdom,deep_persona,60,1,3,1,1,1,1
privacy,United Kingdom,deep_persona,61,1,4,1,1,1,1
privacy,United Kingdom,deep_persona,62,1,1,1,1,1,1
privacy,United Kingdom,deep_persona,63,1,3,1,1,4,1
privacy,United Kingdom,deep_persona,64,1,3,1,4,4,1
privacy,United Kingdom,deep_persona,65,1,1,1,1,1,1
privacy,United Kingdom,deep_persona,66,1,3,1,1,1,1
privacy,United Kingdom,deep_persona,67,3,4,1,1,3,3
privacy,United Kingdom,deep_persona,68,5,3,4,1,5,1
privacy,United Kingdom,deep_persona,69,5,5,5,7,4,4
privacy,United Kingdom,deep_persona,70,3,3,2,2,4,1
privacy,United Kingdom,deep_persona,71,1,1,1,1,1,1
privacy,United Kingdom,deep_persona,72,1,5,1,1,1,1
