domain,country,prompt_method,respondent_id,PC1_para,PC2_para,PC3_para,PC4_para,PC5_para,PC6_para
privacy,United Kingdom,deep_persona,0,1,4,1,1,1,2
privacy,United Kingdom,deep_persona,1,1,1,1,1,1,1
privacy,United Kingdom,deep_persona,2,1,5,3,1,1,4
privacy,United Kingdom,deep_persona,3,7,5,6,7,4,3
privacy,United Kingdom,deep_persona,4,1,1,1,1,1,1
privacy,United Kingdom,deep_persona,5,7,5,3,7,7,5
privacy,United Kingdom,deep_persona,6,6,4,3,1,7,3
privacy,United Kingdom,deep_persona,7,6,6,5,1,4,5
privacy,United Kingdom,deep_persona,8,6,5,4,7,5,5
privacy,United Kingdom,deep_persona,9,1,2,1,1,1,1
privacy,United Kingdom,deep_persona,10,1,4,1,1,1,2
privacy,United Kingdom,deep_persona,11,7,4,1,7,7,1
privacy,United Kingdom,deep_persona,12,1,3,1,1,1,1
privacy,United Kingdom,deep_persona,13,3,3,1,1,1,3
privacy,United Kingdom,deep_persona,14,5,2,5,7,7,3
privacy,United Kingdom,deep_persona,15,1,1,1,1,1,1
privacy,United Kingdom,deep_persona,16,5,4,3,1,4,5
privacy,United Kingdom,deep_persona,17,5,5,4,1,3,5
privacy,United Kingdom,deep_persona,18,4,3,5,7,5,3
privacy,United Kingdom,deep_persona,19,1,1,1,1,1,1
privacy,United Kingdom,deep_persona,20,1,1,1,1,1,1
privacy,United Kingdom,deep_persona,21,2,4,2,7,7,3
privacy,United Kingdom,deep_persona,22,1,1,1,1,1,1
privacy,United Kingdom,deep_persona,23,1,5,1,1,1,4
privacy,United Kingdom,deep_persona,24,5,3,3,1,5,3
privacy,United Kingdom,deep_persona,25,4,3,1,1,4,5
privacy,United Kingdom,deep_persona,26,1,1,1,1,1,1
privacy,United Kingdom,deep_persona,27,4,1,1,1,5,4
privacy,United Kingdom,deep_persona,28,1,1,1,1,1,1
privacy,United Kingdom,deep_persona,29,4,3,1,1,4,4
privacy,United Kingdom,deep_persona,30,5,3,3,1,5,5
privacy,United Kingdom,deep_persona,31,7,3,1,7,7,5
privacy,United Kingdom,deep_persona,32,1,4,1,1,1,1
privacy,United Kingdom,deep_persona,33,5,4,1,1,4,2
privacy,United Kingdom,deep_persona,34,1,1,1,1,1,1
privacy,United Kingdom,deep_persona,35,5,5,4,1,3,5
privacy,United Kingdom,deep_persona,36,4,3,1,1,3,3
privacy,United Kingdom,deep_persona,37,3,3,1,1,5,4
privacy,United Kingdom,deep_persona,38,1,1,1,1,1,1
privacy,United Kingdom,deep_persona,39,3,4,4,1,4,3
privacy,United Kingdom,deep_persona,40,7,5,1,1,1,1
privacy,United Kingdom,deep_persona,41,3,4,1,1,1,3
privacy,United Kingdom,deep_persona,42,1,1,1,1,1,1
privacy,United Kingdom,deep_persona,43,1,1,1,1,1,1
privacy,United Kingdom,deep_persona,44,5,5,2,1,3,4
privacy,United Kingdom,deep_persona,45,1,1,1,1,7,1
privacy,United Kingdom,deep_persona,46,1,1,1,1,1,1
privacy,United Kingdom,deep_persona,47,1,2,1,1,1,3
privacy,United Kingdom,deep_persona,48,1,4,1,1,1,1
privacy,United Kingdom,deep_persona,49,4,3,3,1,3,3
privacy,United Kingdom,deep_persona,50,1,1,1,1,1,2
privacy,United Kingdom,deep_persona,51,1,4,1,1,1,1
privacy,United Kingdom,deep_persona,52,1,6,1,1,1,3
privacy,United Kingdom,deep_persona,53,1,1,1,1,1,1
privacy,United Kingdom,deep_persona,54,4,1,1,1,1,1
privacy,United Kingdom,deep_persona,55,3,4,1,1,1,2
privacy,United Kingdom,deep_persona,56,1,2,1,1,1,1
privacy,United Kingdom,deep_persona,57,7,4,5,7,7,3
privacy,United Kingdom,deep_persona,58,3,3,1,1,2,3
privacy,United Kingdom,deep_persona,59,1,1,1,1,1,1
privacy,United Kingdom,deep_persona,60,1,3,1,1,1,1
privacy,United Kingdom,deep_persona,61,1,4,1,1,1,1
privacy,United Kingdom,deep_persona,62,4,2,1,1,3,1
privacy,United Kingdom,deep_persona,63,3,2,1,1,1,3
privacy,United Kingdom,deep_persona,64,3,2,1,1,7,3
privacy,United Kingdom,deep_persona,65,1,1,1,1,1,1
privacy,United Kingdom,deep_persona,66,1,1,1,1,1,1
privacy,United Kingdom,deep_persona,67,7,4,2,1,5,3
privacy,United Kingdom,deep_persona,68,3,4,3,1,4,3
privacy,United Kingdom,deep_persona,69,4,4,5,7,4,6
privacy,United Kingdom,deep_persona,70,5,4,2,1,5,3
privacy,United Kingdom,deep_persona,71,1,5,1,1,3,4
privacy,United Kingdom,deep_persona,72,1,3,1,1,1,5
privacy,United Kingdom,deep_persona,73,5,4,5,1,7,4
privacy,United Kingdom,deep_persona,74,5,4,1,7,7,3
privacy,United Kingdom,deep_persona,75,5,4,1,1,7,5
privacy,United Kingdom,deep_persona,76,1,3,1,1,1,1
privacy,United Kingdom,deep_persona,77,7,3,1,1,7,3
privacy,United Kingdom,deep_persona,78,1,3,1,1,1,4
privacy,United Kingdom,deep_persona,79,1,1,1,1,1,1
privacy,United Kingdom,deep_persona,80,5,5,1,1,1,3
privacy,United Kingdom,deep_persona,81,1,1,1,1,1,1
privacy,United Kingdom,deep_persona,82,1,1,1,1,1,3
privacy,United Kingdom,deep_persona,83,7,1,1,1,7,1
privacy,United Kingdom,deep_persona,84,1,1,1,1,1,2
privacy,United Kingdom,deep_persona,85,1,5,1,1,4,3
privacy,United Kingdom,deep_persona,86,1,3,1,1,1,5
privacy,United Kingdom,deep_persona,87,1,1,1,1,1,1
privacy,United Kingdom,deep_persona,88,1,4,1,1,1,1
privacy,United Kingdom,deep_persona,89,4,5,1,1,3,5
privacy,United Kingdom,deep_persona,90,1,1,1,1,1,3
privacy,United Kingdom,deep_persona,91,6,3,4,1,7,3
privacy,United Kingdom,deep_persona,92,4,7,5,7,5,5
privacy,United Kingdom,deep_persona,93,1,2,1,1,1,1
privacy,United Kingdom,deep_persona,94,1,1,1,1,1,1
privacy,United Kingdom,deep_persona,95,1,1,1,1,1,1
privacy,United Kingdom,deep_persona,96,4,3,3,1,1,5
privacy,United Kingdom,deep_persona,97,7,4,4,1,4,3
privacy,United Kingdom,deep_persona,98,1,1,1,1,1,1
privacy,United Kingdom,deep_persona,99,5,5,1,7,7,4
privacy,United Kingdom,deep_persona,100,5,3,2,1,4,4
privacy,United Kingdom,deep_persona,101,1,2,1,1,1,3
privacy,United Kingdom,deep_persona,102,1,1,1,1,1,1
privacy,United Kingdom,deep_persona,103,1,4,1,1,1,1
privacy,United Kingdom,deep_persona,104,1,3,2,1,3,1
privacy,United Kingdom,deep_persona,105,1,2,1,1,1,3
privacy,United Kingdom,deep_persona,106,1,3,1,1,1,3
privacy,United Kingdom,deep_persona,107,1,1,1,1,1,1
privacy,United Kingdom,deep_persona,108,1,1,1,1,1,1
privacy,United Kingdom,deep_persona,109,1,5,2,1,1,1
privacy,United Kingdom,deep_persona,110,1,1,1,1,1,3
privacy,United Kingdom,deep_persona,111,3,1,2,1,2,3
privacy,United Kingdom,deep_persona,112,1,1,1,1,1,1
privacy,United Kingdom,deep_persona,113,1,1,1,1,1,1
privacy,United Kingdom,deep_persona,114,6,3,4,1,7,4
privacy,United Kingdom,deep_persona,115,6,3,1,1,1,3
privacy,United Kingdom,deep_persona,116,5,3,1,1,3,1
privacy,United Kingdom,deep_persona,117,1,3,1,1,1,2
privacy,United Kingdom,deep_persona,118,1,1,1,1,1,1
privacy,United Kingdom,deep_persona,119,1,1,1,1,1,1
privacy,United Kingdom,deep_persona,120,1,1,1,1,1,1
privacy,United Kingdom,deep_persona,121,1,3,1,1,1,3
privacy,United Kingdom,deep_persona,122,1,3,1,1,1,1
privacy,United Kingdom,deep_persona,123,1,3,1,1,1,5
privacy,United Kingdom,deep_persona,124,3,3,1,1,3,4
privacy,United Kingdom,deep_persona,125,5,1,1,1,5,3
privacy,United Kingdom,deep_persona,126,5,4,1,1,4,1
privacy,United Kingdom,deep_persona,127,5,4,4,7,5,5
privacy,United Kingdom,deep_persona,128,1,5,1,1,1,3
privacy,United Kingdom,deep_persona,129,1,3,1,1,2,1
privacy,United Kingdom,deep_persona,130,1,4,1,1,1,2
privacy,United Kingdom,deep_persona,131,4,2,2,1,7,3
privacy,United Kingdom,deep_persona,132,5,4,3,1,3,2
privacy,United Kingdom,deep_persona,133,3,4,1,1,1,4
privacy,United Kingdom,deep_persona,134,5,4,1,1,1,5
privacy,United Kingdom,deep_persona,135,5,3,2,1,1,3
privacy,United Kingdom,deep_persona,136,5,3,1,1,4,3
privacy,United Kingdom,deep_persona,137,3,5,5,1,4,3
privacy,United Kingdom,deep_persona,138,5,3,3,1,5,5
privacy,United Kingdom,deep_persona,139,1,1,1,1,1,3
privacy,United Kingdom,deep_persona,140,1,3,1,1,1,1
privacy,United Kingdom,deep_persona,141,5,5,6,7,7,3
