domain,country,prompt_method,respondent_id,PC1,PC2,PC3,PC4,PC5,PC6
privacy,United Kingdom,opencharacter,0,7,3,5,7,5,5
privacy,United Kingdom,opencharacter,1,7,5,5,7,7,5
privacy,United Kingdom,opencharacter,2,7,5,5,1,7,5
privacy,United Kingdom,opencharacter,3,7,5,5,7,5,5
privacy,United Kingdom,opencharacter,4,5,4,3,7,6,5
privacy,United Kingdom,opencharacter,5,7,5,4,7,7,5
privacy,United Kingdom,opencharacter,6,7,3,3,7,6,5
privacy,United Kingdom,opencharacter,7,7,5,6,7,7,5
privacy,United Kingdom,opencharacter,8,5,5,5,7,7,5
privacy,United Kingdom,opencharacter,9,5,3,5,7,6,5
privacy,United Kingdom,opencharacter,10,7,4,4,7,5,5
privacy,United Kingdom,opencharacter,11,7,5,5,7,5,4
privacy,United Kingdom,opencharacter,12,5,5,5,7,3,5
privacy,United Kingdom,opencharacter,13,7,5,4,7,5,5
privacy,United Kingdom,opencharacter,14,7,4,3,7,4,5
privacy,United Kingdom,opencharacter,15,7,5,4,7,7,5
privacy,United Kingdom,opencharacter,16,7,5,3,7,5,4
privacy,United Kingdom,opencharacter,17,7,5,5,7,5,3
privacy,United Kingdom,opencharacter,18,6,3,4,7,4,5
privacy,United Kingdom,opencharacter,19,7,3,5,7,7,5
privacy,United Kingdom,opencharacter,20,6,5,5,7,5,5
privacy,United Kingdom,opencharacter,21,7,5,5,7,5,5
privacy,United Kingdom,opencharacter,22,6,5,4,7,5,5
privacy,United Kingdom,opencharacter,23,5,4,3,7,5,5
privacy,United Kingdom,opencharacter,24,7,4,5,7,4,5
privacy,United Kingdom,opencharacter,25,7,5,3,7,4,5
privacy,United Kingdom,opencharacter,26,7,5,4,7,7,5
privacy,United Kingdom,opencharacter,27,6,5,4,7,7,5
privacy,United Kingdom,opencharacter,28,7,5,4,7,7,5
privacy,United Kingdom,opencharacter,29,7,3,4,7,5,2
privacy,United Kingdom,opencharacter,30,6,3,5,7,5,5
privacy,United Kingdom,opencharacter,31,6,5,3,1,5,5
privacy,United Kingdom,opencharacter,32,7,5,4,7,5,4
privacy,United Kingdom,opencharacter,33,7,5,5,7,5,5
privacy,United Kingdom,opencharacter,34,7,5,3,1,5,5
privacy,United Kingdom,opencharacter,35,7,5,6,7,5,6
privacy,United Kingdom,opencharacter,36,6,5,4,7,5,6
