domain,country,prompt_method,respondent_id,PC1_para,PC2_para,PC3_para,PC4_para,PC5_para,PC6_para
privacy,United Kingdom,opencharacter,0,7,6,5,1,7,4
privacy,United Kingdom,opencharacter,1,5,7,4,1,7,4
privacy,United Kingdom,opencharacter,2,7,5,3,1,7,3
privacy,United Kingdom,opencharacter,3,7,5,4,1,7,5
privacy,United Kingdom,opencharacter,4,4,5,3,1,7,5
privacy,United Kingdom,opencharacter,5,7,5,4,1,7,3
privacy,United Kingdom,opencharacter,6,7,5,3,1,7,5
privacy,United Kingdom,opencharacter,7,6,5,3,1,7,5
privacy,United Kingdom,opencharacter,8,7,6,3,1,7,5
privacy,United Kingdom,opencharacter,9,7,4,3,1,4,5
privacy,United Kingdom,opencharacter,10,6,5,4,1,6,5
privacy,United Kingdom,opencharacter,11,5,4,3,1,7,3
privacy,United Kingdom,opencharacter,12,5,5,3,1,7,4
privacy,United Kingdom,opencharacter,13,7,5,3,1,7,4
privacy,United Kingdom,opencharacter,14,7,4,4,1,7,4
privacy,United Kingdom,opencharacter,15,7,5,4,1,7,4
privacy,United Kingdom,opencharacter,16,7,5,4,1,7,4
privacy,United Kingdom,opencharacter,17,5,4,4,1,6,5
privacy,United Kingdom,opencharacter,18,6,4,4,1,7,6
privacy,United Kingdom,opencharacter,19,7,5,3,1,7,5
privacy,United Kingdom,opencharacter,20,7,6,3,1,7,5
privacy,United Kingdom,opencharacter,21,5,6,4,1,7,5
privacy,United Kingdom,opencharacter,22,7,7,3,1,7,5
privacy,United Kingdom,opencharacter,23,7,4,3,1,7,5
privacy,United Kingdom,opencharacter,24,7,5,4,1,7,5
privacy,United Kingdom,opencharacter,25,7,7,4,1,7,5
privacy,United Kingdom,opencharacter,26,7,4,5,1,7,4
privacy,United Kingdom,opencharacter,27,6,4,4,1,7,5
privacy,United Kingdom,opencharacter,28,6,7,4,1,7,5
privacy,United Kingdom,opencharacter,29,7,3,3,1,7,5
privacy,United Kingdom,opencharacter,30,6,5,5,1,7,5
privacy,United Kingdom,opencharacter,31,4,5,4,1,7,5
privacy,United Kingdom,opencharacter,32,7,5,4,1,7,5
privacy,United Kingdom,opencharacter,33,7,5,3,1,7,4
privacy,United Kingdom,opencharacter,34,6,5,3,1,7,5
privacy,United Kingdom,opencharacter,35,7,4,5,1,7,5
privacy,United Kingdom,opencharacter,36,4,4,3,1,7,3
privacy,United Kingdom,opencharacter,37,7,5,4,1,7,5
privacy,United Kingdom,opencharacter,38,6,5,3,1,7,5
privacy,United Kingdom,opencharacter,39,7,5,3,1,7,4
privacy,United Kingdom,opencharacter,40,7,5,3,1,7,5
privacy,United Kingdom,opencharacter,41,6,5,3,1,7,4
privacy,United Kingdom,opencharacter,42,7,5,3,1,7,5
privacy,United Kingdom,opencharacter,43,5,6,3,7,7,4
privacy,United Kingdom,opencharacter,44,7,6,4,1,7,5
privacy,United Kingdom,opencharacter,45,7,5,3,1,7,5
privacy,United Kingdom,opencharacter,46,6,5,4,1,7,4
privacy,United Kingdom,opencharacter,47,7,5,3,1,7,4
privacy,United Kingdom,opencharacter,48,7,5,3,1,7,5
privacy,United Kingdom,opencharacter,49,6,6,4,1,7,5
privacy,United Kingdom,opencharacter,50,5,6,4,1,7,5
privacy,United Kingdom,opencharacter,51,7,4,5,1,7,4
privacy,United Kingdom,opencharacter,52,7,3,4,1,7,4
privacy,United Kingdom,opencharacter,53,7,7,3,1,7,5
privacy,United Kingdom,opencharacter,54,7,4,4,7,7,5
privacy,United Kingdom,opencharacter,55,7,5,3,1,7,5
privacy,United Kingdom,opencharacter,56,4,5,1,1,7,5
privacy,United Kingdom,opencharacter,57,6,6,3,1,7,6
privacy,United Kingdom,opencharacter,58,5,3,3,1,7,4
privacy,United Kingdom,opencharacter,59,6,4,3,1,7,5
privacy,United Kingdom,opencharacter,60,7,5,4,1,7,4
privacy,United Kingdom,opencharacter,61,7,6,3,1,7,5
privacy,United Kingdom,opencharacter,62,7,5,3,1,7,5
privacy,United Kingdom,opencharacter,63,6,5,3,1,7,5
privacy,United Kingdom,opencharacter,64,7,7,3,1,7,5
privacy,United Kingdom,opencharacter,65,7,6,3,1,6,5
privacy,United Kingdom,opencharacter,66,7,5,4,1,7,4
privacy,United Kingdom,opencharacter,67,7,4,3,1,7,5
privacy,United Kingdom,opencharacter,68,7,7,4,1,7,5
privacy,United Kingdom,opencharacter,69,7,5,4,1,7,5
privacy,United Kingdom,opencharacter,70,6,5,4,7,7,5
privacy,United Kingdom,opencharacter,71,7,4,3,1,7,5
privacy,United Kingdom,opencharacter,72,7,5,3,1,7,3
privacy,United Kingdom,opencharacter,73,7,4,3,1,7,5
privacy,United Kingdom,opencharacter,74,7,5,5,1,7,5
privacy,United Kingdom,opencharacter,75,7,4,3,1,7,5
privacy,United Kingdom,opencharacter,76,7,7,4,1,7,5
privacy,United Kingdom,opencharacter,77,7,6,3,1,7,4
privacy,United Kingdom,opencharacter,78,4,5,3,1,7,5
privacy,United Kingdom,opencharacter,79,6,5,4,1,6,5
privacy,United Kingdom,opencharacter,80,7,5,4,1,7,4
privacy,United Kingdom,opencharacter,81,5,5,5,1,6,5
privacy,United Kingdom,opencharacter,82,6,7,3,1,7,5
privacy,United Kingdom,opencharacter,83,4,6,3,1,7,5
privacy,United Kingdom,opencharacter,84,7,4,4,1,7,5
privacy,United Kingdom,opencharacter,85,6,7,5,1,7,5
privacy,United Kingdom,opencharacter,86,7,4,4,1,7,5
privacy,United Kingdom,opencharacter,87,7,4,5,1,7,5
privacy,United Kingdom,opencharacter,88,7,5,4,1,6,4
privacy,United Kingdom,opencharacter,89,7,5,3,1,7,4
privacy,United Kingdom,opencharacter,90,7,5,3,1,7,5
privacy,United Kingdom,opencharacter,91,4,5,5,1,7,5
privacy,United Kingdom,opencharacter,92,7,4,4,1,7,5
privacy,United Kingdom,opencharacter,93,7,6,4,1,7,5
privacy,United Kingdom,opencharacter,94,7,4,3,1,7,3
privacy,United Kingdom,opencharacter,95,6,4,3,1,7,5
privacy,United Kingdom,opencharacter,96,5,4,3,1,7,5
privacy,United Kingdom,opencharacter,97,7,6,3,1,7,3
privacy,United Kingdom,opencharacter,98,7,5,4,1,7,6
privacy,United Kingdom,opencharacter,99,7,6,4,1,7,5
privacy,United Kingdom,opencharacter,100,7,5,4,1,7,5
privacy,United Kingdom,opencharacter,101,7,4,3,1,7,5
privacy,United Kingdom,opencharacter,102,6,6,3,1,7,5
privacy,United Kingdom,opencharacter,103,6,5,3,1,7,5
privacy,United Kingdom,opencharacter,104,7,5,3,1,7,5
privacy,United Kingdom,opencharacter,105,3,5,3,1,7,4
privacy,United Kingdom,opencharacter,106,7,7,3,1,7,5
privacy,United Kingdom,opencharacter,107,7,5,3,1,7,5
privacy,United Kingdom,opencharacter,108,6,4,5,1,7,5
privacy,United Kingdom,opencharacter,109,7,6,4,1,7,5
privacy,United Kingdom,opencharacter,110,7,6,5,1,7,5
privacy,United Kingdom,opencharacter,111,7,5,4,1,7,5
privacy,United Kingdom,opencharacter,112,7,5,3,1,7,3
privacy,United Kingdom,opencharacter,113,7,6,5,1,7,5
privacy,United Kingdom,opencharacter,114,7,5,3,1,6,5
privacy,United Kingdom,opencharacter,115,4,5,3,1,5,5
privacy,United Kingdom,opencharacter,116,7,5,4,1,7,5
privacy,United Kingdom,opencharacter,117,7,7,4,1,7,5
privacy,United Kingdom,opencharacter,118,7,3,3,1,7,4
privacy,United Kingdom,opencharacter,119,6,5,3,1,7,5
privacy,United Kingdom,opencharacter,120,7,5,4,1,5,5
privacy,United Kingdom,opencharacter,121,4,5,4,1,7,5
privacy,United Kingdom,opencharacter,122,7,5,4,1,7,4
privacy,United Kingdom,opencharacter,123,7,3,4,1,7,3
privacy,United Kingdom,opencharacter,124,7,7,3,1,7,5
privacy,United Kingdom,opencharacter,125,7,4,4,1,7,3
privacy,United Kingdom,opencharacter,126,6,5,4,1,5,5
privacy,United Kingdom,opencharacter,127,7,5,3,1,7,5
privacy,United Kingdom,opencharacter,128,6,4,5,1,7,3
privacy,United Kingdom,opencharacter,129,5,4,2,1,7,5
privacy,United Kingdom,opencharacter,130,7,5,3,1,7,5
privacy,United Kingdom,opencharacter,131,7,5,4,1,7,5
privacy,United Kingdom,opencharacter,132,7,4,3,1,7,6
privacy,United Kingdom,opencharacter,133,6,5,3,1,7,5
privacy,United Kingdom,opencharacter,134,7,7,3,1,7,6
privacy,United Kingdom,opencharacter,135,5,4,4,1,7,4
privacy,United Kingdom,opencharacter,136,5,4,3,1,7,5
privacy,United Kingdom,opencharacter,137,5,6,5,1,7,3
privacy,United Kingdom,opencharacter,138,7,7,2,1,7,5
privacy,United Kingdom,opencharacter,139,7,5,4,1,6,5
privacy,United Kingdom,opencharacter,140,6,5,3,1,7,5
privacy,United Kingdom,opencharacter,141,6,7,3,1,7,4
privacy,United Kingdom,opencharacter,142,4,5,4,1,7,6
privacy,United Kingdom,opencharacter,143,7,5,3,1,7,5
privacy,United Kingdom,opencharacter,144,6,6,3,1,7,5
privacy,United Kingdom,opencharacter,145,6,5,3,1,7,3
privacy,United Kingdom,opencharacter,146,7,5,3,1,7,5
privacy,United Kingdom,opencharacter,147,7,5,4,1,7,5
privacy,United Kingdom,opencharacter,148,7,4,3,1,7,5
privacy,United Kingdom,opencharacter,149,4,5,3,1,7,5
privacy,United Kingdom,opencharacter,150,7,6,4,1,7,5
privacy,United Kingdom,opencharacter,151,7,7,4,1,7,5
privacy,United Kingdom,opencharacter,152,6,5,4,1,7,4
privacy,United Kingdom,opencharacter,153,7,5,4,1,7,5
privacy,United Kingdom,opencharacter,154,4,4,3,1,7,5
privacy,United Kingdom,opencharacter,155,7,5,3,1,7,5
privacy,United Kingdom,opencharacter,156,7,4,3,1,7,5
privacy,United Kingdom,opencharacter,157,7,4,4,1,7,5
privacy,United Kingdom,opencharacter,158,7,6,4,1,7,5
privacy,United Kingdom,opencharacter,159,6,5,4,1,7,6
privacy,United Kingdom,opencharacter,160,7,4,3,1,7,5
