domain,country,prompt_method,respondent_id,Q45,Q46,Q57,Q184,Q218,Q254
wvs,Argentina,cultural,0,3,2,2,7,3,1
wvs,Argentina,cultural,1,3,2,2,6,3,1
wvs,Argentina,cultural,2,3,2,2,6,3,1
wvs,Argentina,cultural,3,3,2,2,7,3,1
wvs,Argentina,cultural,4,3,2,2,7,3,1
wvs,Argentina,cultural,5,3,2,2,6,3,1
wvs,Argentina,cultural,6,3,2,2,6,3,1
wvs,Argentina,cultural,7,3,2,2,6,3,1
wvs,Argentina,cultural,8,3,2,2,7,3,1
wvs,Argentina,cultural,9,3,2,2,7,3,2
wvs,Argentina,cultural,10,3,2,2,7,3,1
wvs,Argentina,cultural,11,3,2,2,6,3,1
wvs,Argentina,cultural,12,3,2,2,6,3,1
wvs,Argentina,cultural,13,3,2,2,5,3,1
wvs,Argentina,cultural,14,3,2,2,7,3,1
wvs,Argentina,cultural,15,3,2,2,7,3,1
wvs,Argentina,cultural,16,3,2,2,7,3,1
wvs,Argentina,cultural,17,3,2,2,6,3,2
wvs,Argentina,cultural,18,3,2,2,7,3,1
wvs,Argentina,cultural,19,3,2,2,5,3,1
wvs,Argentina,cultural,20,3,2,2,7,3,1
wvs,Argentina,cultural,21,3,2,2,7,3,1
wvs,Argentina,cultural,22,3,2,2,7,3,1
wvs,Argentina,cultural,23,3,2,2,7,3,1
wvs,Argentina,cultural,24,3,2,2,7,3,1
wvs,Argentina,cultural,25,3,2,2,6,3,1
wvs,Argentina,cultural,26,3,2,2,7,3,1
wvs,Argentina,cultural,27,3,2,2,7,3,1
wvs,Argentina,cultural,28,3,2,2,7,3,1
wvs,Argentina,cultural,29,3,2,2,6,3,1
wvs,Argentina,cultural,30,3,2,2,7,3,1
wvs,Argentina,cultural,31,3,2,2,7,3,1
wvs,Argentina,cultural,32,3,2,2,7,3,1
wvs,Argentina,cultural,33,3,2,2,7,3,1
wvs,Argentina,cultural,34,3,2,2,7,3,1
wvs,Argentina,cultural,35,3,2,2,7,3,1
wvs,Argentina,cultural,36,3,2,2,7,3,1
wvs,Argentina,cultural,37,3,2,2,7,3,1
wvs,Argentina,cultural,38,3,2,2,6,3,1
wvs,Argentina,cultural,39,3,2,2,7,3,1
wvs,Argentina,cultural,40,3,2,2,7,3,1
wvs,Argentina,cultural,41,3,2,2,7,3,2
wvs,Argentina,cultural,42,3,2,2,7,3,1
wvs,Argentina,cultural,43,3,2,2,7,3,1
wvs,Argentina,cultural,44,3,2,2,7,3,1
wvs,Argentina,cultural,45,3,2,2,7,3,1
wvs,Argentina,cultural,46,3,2,2,6,3,1
wvs,Argentina,cultural,47,3,2,2,7,3,1
wvs,Argentina,cultural,48,3,2,2,7,3,1
wvs,Argentina,cultural,49,3,2,2,7,3,1
wvs,Argentina,cultural,50,3,2,2,7,3,1
wvs,Argentina,cultural,51,3,2,2,7,3,1
wvs,Argentina,cultural,52,3,2,2,7,3,1
wvs,Argentina,cultural,53,3,2,2,6,3,1
wvs,Argentina,cultural,54,3,2,2,7,3,1
wvs,Argentina,cultural,55,3,2,2,7,3,1
wvs,Argentina,cultural,56,3,2,2,7,3,1
wvs,Argentina,cultural,57,3,2,2,7,3,1
wvs,Argentina,cultural,58,3,2,2,7,3,1
wvs,Argentina,cultural,59,3,2,2,7,3,1
wvs,Argentina,cultural,60,3,2,2,7,3,1
wvs,Argentina,cultural,61,3,2,2,7,3,1
wvs,Argentina,cultural,62,3,2,2,7,3,1
wvs,Argentina,cultural,63,3,2,2,7,3,1
wvs,Argentina,cultural,64,3,2,2,7,3,1
wvs,Argentina,cultural,65,3,2,2,7,3,1
wvs,Argentina,cultural,66,3,2,2,7,3,1
wvs,Argentina,cultural,67,3,2,2,7,3,1
wvs,Argentina,cultural,68,3,2,2,7,3,1
wvs,Argentina,cultural,69,3,2,2,7,3,1
wvs,Argentina,cultural,70,3,2,2,7,3,1
wvs,Argentina,cultural,71,3,2,2,7,3,1
wvs,Argentina,cultural,72,3,2,2,7,3,1
wvs,Argentina,cultural,73,3,2,2,7,3,1
wvs,Argentina,cultural,74,3,2,2,7,3,1
wvs,Argentina,cultural,75,3,2,2,7,3,1
wvs,Argentina,cultural,76,3,2,2,7,3,1
wvs,Argentina,cultural,77,3,2,2,7,3,1
wvs,Argentina,cultural,78,3,2,2,7,3,1
wvs,Argentina,cultural,79,3,2,2,6,3,1
wvs,Argentina,cultural,80,3,2,2,7,3,1
wvs,Argentina,cultural,81,3,2,2,7,3,1
wvs,Argentina,cultural,82,3,2,2,5,3,1
wvs,Argentina,cultural,83,3,2,2,7,2,2
wvs,Argentina,cultural,84,3,2,2,6,3,1
wvs,Argentina,cultural,85,3,2,2,7,3,1
wvs,Argentina,cultural,86,3,2,2,7,3,1
wvs,Argentina,cultural,87,3,2,2,6,3,1
wvs,Argentina,cultural,88,3,2,2,7,3,1
wvs,Argentina,cultural,89,3,2,2,7,3,1
wvs,Argentina,cultural,90,3,2,2,7,3,1
wvs,Argentina,cultural,91,3,2,2,7,3,1
wvs,Argentina,cultural,92,3,2,2,7,3,1
wvs,Argentina,cultural,93,3,2,2,7,3,1
wvs,Argentina,cultural,94,3,2,2,7,3,1
wvs,Argentina,cultural,95,3,2,2,7,3,1
wvs,Argentina,cultural,96,3,2,2,7,3,1
wvs,Argentina,cultural,97,3,2,2,7,3,1
wvs,Argentina,cultural,98,3,2,2,7,3,1
wvs,Argentina,cultural,99,3,2,2,6,2,1
wvs,Argentina,cultural,100,3,2,2,7,3,1
