domain,country,prompt_method,respondent_id,Q45_para,Q46_para,Q57_para,Q184_para,Q218_para,Q254_para
wvs,Argentina,cultural,0,2,3,2,7,1,2
wvs,Argentina,cultural,1,2,3,2,7,1,3
wvs,Argentina,cultural,2,2,3,2,6,1,2
wvs,Argentina,cultural,3,2,3,2,5,1,2
wvs,Argentina,cultural,4,2,3,2,6,1,1
wvs,Argentina,cultural,5,2,3,2,5,1,1
wvs,Argentina,cultural,6,2,3,2,6,1,2
wvs,Argentina,cultural,7,2,3,2,7,1,1
wvs,Argentina,cultural,8,2,3,2,6,1,2
wvs,Argentina,cultural,9,2,3,2,7,1,3
wvs,Argentina,cultural,10,2,3,2,7,1,2
wvs,Argentina,cultural,11,2,3,2,7,1,2
wvs,Argentina,cultural,12,2,3,2,6,1,1
wvs,Argentina,cultural,13,2,3,2,6,1,2
wvs,Argentina,cultural,14,2,3,2,4,1,3
wvs,Argentina,cultural,15,2,3,2,6,1,2
wvs,Argentina,cultural,16,2,3,2,5,1,3
wvs,Argentina,cultural,17,2,3,2,5,1,2
wvs,Argentina,cultural,18,2,2,2,5,1,1
wvs,Argentina,cultural,19,2,3,2,6,1,2
wvs,Argentina,cultural,20,2,3,2,7,1,3
wvs,Argentina,cultural,21,2,3,2,6,1,2
wvs,Argentina,cultural,22,2,3,2,6,1,2
wvs,Argentina,cultural,23,2,3,2,6,1,1
wvs,Argentina,cultural,24,2,2,2,5,1,2
wvs,Argentina,cultural,25,2,3,2,6,1,3
wvs,Argentina,cultural,26,2,2,2,5,1,2
wvs,Argentina,cultural,27,2,3,2,6,1,2
wvs,Argentina,cultural,28,2,2,2,5,1,1
wvs,Argentina,cultural,29,2,3,2,5,1,1
wvs,Argentina,cultural,30,2,3,2,7,1,2
wvs,Argentina,cultural,31,2,3,2,6,1,3
wvs,Argentina,cultural,32,2,2,2,5,1,1
wvs,Argentina,cultural,33,2,3,2,6,1,3
wvs,Argentina,cultural,34,2,3,2,6,1,1
wvs,Argentina,cultural,35,2,3,2,7,1,2
wvs,Argentina,cultural,36,2,3,2,5,1,1
wvs,Argentina,cultural,37,2,3,2,8,1,3
wvs,Argentina,cultural,38,2,3,2,6,1,3
wvs,Argentina,cultural,39,2,3,2,7,1,1
wvs,Argentina,cultural,40,2,3,2,6,1,2
wvs,Argentina,cultural,41,2,3,2,6,1,2
wvs,Argentina,cultural,42,2,3,2,5,1,3
wvs,Argentina,cultural,43,2,3,2,7,1,3
wvs,Argentina,cultural,44,2,3,2,6,1,3
wvs,Argentina,cultural,45,2,3,2,6,1,1
wvs,Argentina,cultural,46,2,2,2,6,1,1
wvs,Argentina,cultural,47,2,3,2,5,1,3
wvs,Argentina,cultural,48,2,3,2,7,1,2
wvs,Argentina,cultural,49,2,3,2,6,1,1
wvs,Argentina,cultural,50,2,3,2,6,1,1
wvs,Argentina,cultural,51,2,3,2,5,1,2
wvs,Argentina,cultural,52,2,2,2,5,1,1
wvs,Argentina,cultural,53,2,3,2,6,1,3
wvs,Argentina,cultural,54,2,3,2,5,1,2
wvs,Argentina,cultural,55,2,3,2,5,1,2
wvs,Argentina,cultural,56,2,3,2,6,1,3
wvs,Argentina,cultural,57,2,3,2,6,1,1
wvs,Argentina,cultural,58,2,2,2,6,1,2
wvs,Argentina,cultural,59,2,2,2,3,1,3
wvs,Argentina,cultural,60,2,3,2,6,1,2
wvs,Argentina,cultural,61,2,3,2,6,1,2
wvs,Argentina,cultural,62,2,3,2,5,1,2
wvs,Argentina,cultural,63,2,3,2,6,1,1
wvs,Argentina,cultural,64,2,3,2,6,1,2
wvs,Argentina,cultural,65,2,2,2,6,1,3
wvs,Argentina,cultural,66,2,3,2,6,1,2
wvs,Argentina,cultural,67,2,3,2,6,1,2
wvs,Argentina,cultural,68,2,3,2,5,1,3
wvs,Argentina,cultural,69,2,2,2,5,1,2
wvs,Argentina,cultural,70,2,2,2,6,1,1
wvs,Argentina,cultural,71,2,3,2,7,1,2
wvs,Argentina,cultural,72,2,3,2,7,1,1
wvs,Argentina,cultural,73,2,2,2,5,1,1
wvs,Argentina,cultural,74,2,3,2,6,1,2
wvs,Argentina,cultural,75,2,3,2,7,1,2
wvs,Argentina,cultural,76,2,3,2,7,1,2
wvs,Argentina,cultural,77,2,2,2,5,1,2
wvs,Argentina,cultural,78,2,3,2,5,1,1
wvs,Argentina,cultural,79,2,3,2,6,1,2
wvs,Argentina,cultural,80,2,2,2,7,1,1
wvs,Argentina,cultural,81,2,3,2,7,1,3
wvs,Argentina,cultural,82,2,3,2,6,1,3
wvs,Argentina,cultural,83,2,3,2,6,1,3
wvs,Argentina,cultural,84,2,3,2,7,1,2
wvs,Argentina,cultural,85,2,3,2,6,1,2
wvs,Argentina,cultural,86,2,3,2,6,1,2
wvs,Argentina,cultural,87,2,3,2,5,1,2
wvs,Argentina,cultural,88,2,2,2,6,1,1
wvs,Argentina,cultural,89,2,3,2,5,1,3
wvs,Argentina,cultural,90,2,3,2,7,1,3
wvs,Argentina,cultural,91,2,3,2,7,1,2
wvs,Argentina,cultural,92,2,3,2,5,1,3
wvs,Argentina,cultural,93,2,2,2,6,1,1
wvs,Argentina,cultural,94,2,3,2,6,1,2
wvs,Argentina,cultural,95,2,3,2,6,1,2
wvs,Argentina,cultural,96,2,3,2,5,1,3
wvs,Argentina,cultural,97,2,3,2,7,1,2
wvs,Argentina,cultural,98,2,3,2,5,1,3
wvs,Argentina,cultural,99,2,3,2,6,1,1
