domain,country,prompt_method,respondent_id,Q45_rev,Q46_rev,Q57_rev,Q184_rev,Q218_rev,Q254_rev
wvs,Argentina,cultural,0,3,4,1,7,2,3
wvs,Argentina,cultural,1,3,4,1,6,2,3
wvs,Argentina,cultural,2,3,3,1,8,2,3
wvs,Argentina,cultural,3,3,3,1,7,2,3
wvs,Argentina,cultural,4,2,4,1,7,3,3
wvs,Argentina,cultural,5,3,3,1,8,2,3
wvs,Argentina,cultural,6,3,3,1,8,2,3
wvs,Argentina,cultural,7,2,3,1,8,2,3
wvs,Argentina,cultural,8,2,3,1,8,2,3
wvs,Argentina,cultural,9,3,3,1,8,2,3
wvs,Argentina,cultural,10,3,3,1,6,2,3
wvs,Argentina,cultural,11,2,3,1,8,2,3
wvs,Argentina,cultural,12,2,4,1,8,2,3
wvs,Argentina,cultural,13,3,4,1,7,2,3
wvs,Argentina,cultural,14,3,4,1,8,3,3
wvs,Argentina,cultural,15,2,4,1,7,2,3
wvs,Argentina,cultural,16,3,3,1,7,2,3
wvs,Argentina,cultural,17,3,3,1,6,2,3
wvs,Argentina,cultural,18,3,3,1,8,1,3
wvs,Argentina,cultural,19,3,4,1,8,2,3
wvs,Argentina,cultural,20,3,3,1,7,2,3
wvs,Argentina,cultural,21,2,4,1,8,2,3
wvs,Argentina,cultural,22,3,4,1,8,2,3
wvs,Argentina,cultural,23,3,3,1,8,2,3
wvs,Argentina,cultural,24,2,3,1,8,2,3
wvs,Argentina,cultural,25,3,3,1,6,2,3
wvs,Argentina,cultural,26,3,3,1,8,3,3
wvs,Argentina,cultural,27,2,4,1,8,2,3
wvs,Argentina,cultural,28,3,3,1,6,2,3
wvs,Argentina,cultural,29,3,3,1,7,2,3
wvs,Argentina,cultural,30,3,3,1,7,2,3
wvs,Argentina,cultural,31,3,4,1,8,2,3
wvs,Argentina,cultural,32,3,3,1,7,3,3
wvs,Argentina,cultural,33,3,3,1,6,2,3
wvs,Argentina,cultural,34,3,4,1,8,2,3
wvs,Argentina,cultural,35,3,3,1,8,2,3
wvs,Argentina,cultural,36,3,3,1,8,2,3
wvs,Argentina,cultural,37,3,3,1,7,2,3
wvs,Argentina,cultural,38,3,3,1,8,2,3
wvs,Argentina,cultural,39,3,4,1,8,2,3
wvs,Argentina,cultural,40,3,4,1,7,2,3
wvs,Argentina,cultural,41,3,4,1,8,2,3
wvs,Argentina,cultural,42,3,3,1,8,2,3
wvs,Argentina,cultural,43,2,3,1,7,2,3
wvs,Argentina,cultural,44,3,4,1,8,2,3
wvs,Argentina,cultural,45,3,4,1,7,1,3
wvs,Argentina,cultural,46,3,4,1,7,2,3
wvs,Argentina,cultural,47,3,3,1,7,3,3
wvs,Argentina,cultural,48,2,3,1,8,2,3
wvs,Argentina,cultural,49,3,4,1,8,2,3
wvs,Argentina,cultural,50,3,3,1,8,2,3
wvs,Argentina,cultural,51,3,3,1,8,2,3
wvs,Argentina,cultural,52,3,3,1,8,2,3
wvs,Argentina,cultural,53,3,4,1,8,2,3
wvs,Argentina,cultural,54,2,4,1,8,3,3
wvs,Argentina,cultural,55,2,3,1,8,2,3
wvs,Argentina,cultural,56,3,3,1,7,2,3
wvs,Argentina,cultural,57,2,3,1,7,2,3
wvs,Argentina,cultural,58,3,3,1,8,2,3
wvs,Argentina,cultural,59,3,4,1,8,1,3
wvs,Argentina,cultural,60,3,3,1,6,2,3
wvs,Argentina,cultural,61,3,3,1,8,2,3
wvs,Argentina,cultural,62,2,3,1,7,2,3
wvs,Argentina,cultural,63,3,4,1,7,1,3
wvs,Argentina,cultural,64,2,4,1,7,2,3
wvs,Argentina,cultural,65,3,4,1,8,2,3
wvs,Argentina,cultural,66,3,4,1,6,2,3
wvs,Argentina,cultural,67,3,3,1,6,2,3
wvs,Argentina,cultural,68,3,4,1,7,3,3
wvs,Argentina,cultural,69,3,3,1,6,2,3
wvs,Argentina,cultural,70,3,3,1,7,1,3
wvs,Argentina,cultural,71,3,3,1,7,2,3
wvs,Argentina,cultural,72,2,4,1,7,2,3
wvs,Argentina,cultural,73,2,3,1,8,2,3
wvs,Argentina,cultural,74,3,3,1,8,2,3
wvs,Argentina,cultural,75,3,3,1,7,2,3
wvs,Argentina,cultural,76,3,4,1,6,2,3
wvs,Argentina,cultural,77,3,4,1,8,1,3
wvs,Argentina,cultural,78,3,3,1,8,2,3
wvs,Argentina,cultural,79,3,3,1,8,3,3
wvs,Argentina,cultural,80,3,4,1,8,1,3
wvs,Argentina,cultural,81,3,4,1,8,3,3
wvs,Argentina,cultural,82,2,4,1,7,2,3
wvs,Argentina,cultural,83,2,3,1,8,3,3
wvs,Argentina,cultural,84,3,3,1,8,2,3
wvs,Argentina,cultural,85,2,3,1,7,2,3
wvs,Argentina,cultural,86,3,3,1,8,2,3
wvs,Argentina,cultural,87,3,4,1,8,2,3
wvs,Argentina,cultural,88,3,3,1,7,2,3
wvs,Argentina,cultural,89,2,3,1,7,2,3
wvs,Argentina,cultural,90,3,4,1,7,2,3
wvs,Argentina,cultural,91,3,3,1,6,2,3
wvs,Argentina,cultural,92,3,3,1,7,2,3
wvs,Argentina,cultural,93,3,4,1,8,1,3
wvs,Argentina,cultural,94,3,3,1,8,2,3
wvs,Argentina,cultural,95,3,4,1,8,2,3
wvs,Argentina,cultural,96,3,3,1,8,2,3
wvs,Argentina,cultural,97,3,4,1,7,3,3
wvs,Argentina,cultural,98,3,4,1,8,2,3
wvs,Argentina,cultural,99,3,3,1,8,2,3
wvs,Argentina,cultural,100,2,3,1,8,2,3
wvs,Argentina,cultural,101,2,4,1,6,2,3
wvs,Argentina,cultural,102,3,3,1,8,2,3
wvs,Argentina,cultural,103,2,3,1,8,2,3
wvs,Argentina,cultural,104,3,4,1,8,3,3
wvs,Argentina,cultural,105,3,4,1,8,2,3
wvs,Argentina,cultural,106,3,3,1,7,2,3
wvs,Argentina,cultural,107,3,3,1,8,2,3
wvs,Argentina,cultural,108,2,4,1,8,2,3
wvs,Argentina,cultural,109,3,3,1,7,2,3
wvs,Argentina,cultural,110,3,4,1,8,1,3
wvs,Argentina,cultural,111,2,4,1,8,1,3
wvs,Argentina,cultural,112,2,3,1,7,2,3
wvs,Argentina,cultural,113,2,4,1,7,2,3
wvs,Argentina,cultural,114,3,4,1,7,2,3
wvs,Argentina,cultural,115,2,4,1,8,3,3
wvs,Argentina,cultural,116,2,4,1,8,2,3
wvs,Argentina,cultural,117,3,3,1,8,2,3
wvs,Argentina,cultural,118,3,3,1,8,2,3
wvs,Argentina,cultural,119,2,3,1,8,2,3
wvs,Argentina,cultural,120,2,4,1,7,2,3
wvs,Argentina,cultural,121,3,4,1,5,2,3
wvs,Argentina,cultural,122,3,4,1,8,2,3
wvs,Argentina,cultural,123,3,3,1,8,3,3
wvs,Argentina,cultural,124,3,3,1,8,2,3
wvs,Argentina,cultural,125,3,3,1,7,3,3
wvs,Argentina,cultural,126,3,3,1,8,2,3
wvs,Argentina,cultural,127,3,4,1,7,2,3
wvs,Argentina,cultural,128,3,3,1,8,2,3
wvs,Argentina,cultural,129,2,3,1,7,2,3
wvs,Argentina,cultural,130,3,3,1,8,2,3
wvs,Argentina,cultural,131,3,3,1,7,2,3
wvs,Argentina,cultural,132,2,4,1,8,2,3
wvs,Argentina,cultural,133,3,3,1,7,2,3
wvs,Argentina,cultural,134,2,3,1,8,2,3
wvs,Argentina,cultural,135,3,4,1,8,2,3
wvs,Argentina,cultural,136,3,3,1,6,1,3
wvs,Argentina,cultural,137,3,4,1,8,2,3
wvs,Argentina,cultural,138,3,3,1,8,2,3
wvs,Argentina,cultural,139,2,3,1,7,2,3
wvs,Argentina,cultural,140,3,4,1,7,1,3
wvs,Argentina,cultural,141,2,3,1,8,2,3
wvs,Argentina,cultural,142,3,3,1,7,2,3
wvs,Argentina,cultural,143,3,4,1,8,2,3
wvs,Argentina,cultural,144,3,3,1,8,2,3
wvs,Argentina,cultural,145,3,4,1,7,2,3
wvs,Argentina,cultural,146,3,3,1,8,2,3
wvs,Argentina,cultural,147,3,3,1,8,2,3
wvs,Argentina,cultural,148,3,4,1,8,3,3
wvs,Argentina,cultural,149,3,4,1,7,2,3
wvs,Argentina,cultural,150,3,4,1,6,2,3
wvs,Argentina,cultural,151,2,4,1,7,2,3
wvs,Argentina,cultural,152,3,3,1,7,2,3
wvs,Argentina,cultural,153,3,3,1,8,3,3
wvs,Argentina,cultural,154,3,3,1,8,2,3
