domain,country,prompt_method,respondent_id,Q45,Q46,Q57,Q184,Q218,Q254
wvs,Argentina,deep_persona,0,3,4,2,5,2,3
wvs,Argentina,deep_persona,1,3,4,2,1,2,4
wvs,Argentina,deep_persona,2,2,3,2,1,3,3
wvs,Argentina,deep_persona,3,2,2,2,4,3,3
wvs,Argentina,deep_persona,4,2,3,2,4,2,3
wvs,Argentina,deep_persona,5,2,4,2,1,2,3
wvs,Argentina,deep_persona,6,2,3,2,6,2,3
wvs,Argentina,deep_persona,7,2,2,2,7,2,3
wvs,Argentina,deep_persona,8,3,4,2,6,3,3
wvs,Argentina,deep_persona,9,3,4,2,3,3,3
wvs,Argentina,deep_persona,10,2,4,2,4,2,3
wvs,Argentina,deep_persona,11,3,2,2,2,2,3
wvs,Argentina,deep_persona,12,3,4,2,1,3,2
wvs,Argentina,deep_persona,13,2,3,2,5,2,3
wvs,Argentina,deep_persona,14,3,3,2,7,2,3
wvs,Argentina,deep_persona,15,3,4,2,1,3,1
wvs,Argentina,deep_persona,16,3,3,2,7,2,3
wvs,Argentina,deep_persona,17,3,3,2,7,2,3
wvs,Argentina,deep_persona,18,2,2,2,7,2,3
wvs,Argentina,deep_persona,19,3,3,2,5,2,3
wvs,Argentina,deep_persona,20,3,4,2,1,3,3
wvs,Argentina,deep_persona,21,3,3,2,3,2,3
wvs,Argentina,deep_persona,22,3,4,2,1,3,3
wvs,Argentina,deep_persona,23,3,4,2,8,3,3
wvs,Argentina,deep_persona,24,2,2,2,5,2,2
wvs,Argentina,deep_persona,25,3,3,2,5,3,3
wvs,Argentina,deep_persona,26,3,4,2,1,3,3
wvs,Argentina,deep_persona,27,2,3,2,4,2,3
wvs,Argentina,deep_persona,28,3,4,2,1,2,3
wvs,Argentina,deep_persona,29,3,4,2,7,2,3
wvs,Argentina,deep_persona,30,2,2,2,1,3,3
wvs,Argentina,deep_persona,31,2,3,2,6,2,3
wvs,Argentina,deep_persona,32,3,3,2,4,2,3
wvs,Argentina,deep_persona,33,2,2,2,1,2,1
wvs,Argentina,deep_persona,34,3,3,2,5,2,3
wvs,Argentina,deep_persona,35,3,4,2,1,2,3
wvs,Argentina,deep_persona,36,3,3,2,7,2,3
wvs,Argentina,deep_persona,37,2,2,2,6,2,2
wvs,Argentina,deep_persona,38,3,2,2,1,3,4
wvs,Argentina,deep_persona,39,3,4,2,5,2,3
wvs,Argentina,deep_persona,40,3,3,2,1,2,3
wvs,Argentina,deep_persona,41,3,4,2,1,2,3
wvs,Argentina,deep_persona,42,3,3,2,1,3,3
wvs,Argentina,deep_persona,43,3,2,2,5,2,3
wvs,Argentina,deep_persona,44,3,3,2,1,2,2
wvs,Argentina,deep_persona,45,2,3,2,5,2,3
wvs,Argentina,deep_persona,46,3,4,2,1,3,3
wvs,Argentina,deep_persona,47,3,2,2,1,2,3
wvs,Argentina,deep_persona,48,3,2,2,7,2,2
wvs,Argentina,deep_persona,49,2,4,2,1,3,3
wvs,Argentina,deep_persona,50,2,2,2,7,2,3
wvs,Argentina,deep_persona,51,2,4,2,2,2,3
wvs,Argentina,deep_persona,52,3,4,2,3,2,3
wvs,Argentina,deep_persona,53,3,3,2,1,3,3
wvs,Argentina,deep_persona,54,3,4,2,6,2,3
wvs,Argentina,deep_persona,55,3,4,2,4,2,3
wvs,Argentina,deep_persona,56,3,4,2,4,2,3
wvs,Argentina,deep_persona,57,2,4,2,2,3,3
wvs,Argentina,deep_persona,58,2,2,1,8,2,3
wvs,Argentina,deep_persona,59,3,4,2,7,2,3
wvs,Argentina,deep_persona,60,2,2,2,1,2,2
wvs,Argentina,deep_persona,61,3,2,2,5,2,3
wvs,Argentina,deep_persona,62,2,2,2,4,2,3
wvs,Argentina,deep_persona,63,3,4,2,1,2,4
wvs,Argentina,deep_persona,64,3,3,2,1,2,3
wvs,Argentina,deep_persona,65,3,4,2,4,2,3
wvs,Argentina,deep_persona,66,3,4,2,4,2,2
wvs,Argentina,deep_persona,67,3,4,2,1,2,3
wvs,Argentina,deep_persona,68,3,4,2,6,2,3
wvs,Argentina,deep_persona,69,3,3,2,1,2,3
wvs,Argentina,deep_persona,70,3,3,2,4,2,3
wvs,Argentina,deep_persona,71,2,4,2,2,3,3
wvs,Argentina,deep_persona,72,3,3,2,1,3,1
wvs,Argentina,deep_persona,73,3,4,2,1,2,3
wvs,Argentina,deep_persona,74,2,3,2,7,2,3
wvs,Argentina,deep_persona,75,2,2,2,6,2,3
wvs,Argentina,deep_persona,76,2,2,2,4,2,2
wvs,Argentina,deep_persona,77,3,3,2,5,2,3
wvs,Argentina,deep_persona,78,2,2,2,7,1,1
wvs,Argentina,deep_persona,79,2,3,2,1,2,3
wvs,Argentina,deep_persona,80,3,2,2,7,2,3
wvs,Argentina,deep_persona,81,3,4,2,2,3,3
wvs,Argentina,deep_persona,82,3,3,2,2,2,3
wvs,Argentina,deep_persona,83,3,4,2,6,2,2
wvs,Argentina,deep_persona,84,2,3,2,5,2,2
wvs,Argentina,deep_persona,85,2,4,2,6,2,3
wvs,Argentina,deep_persona,86,3,3,2,3,2,3
wvs,Argentina,deep_persona,87,3,4,2,1,3,4
wvs,Argentina,deep_persona,88,3,4,2,6,2,3
wvs,Argentina,deep_persona,89,3,4,2,5,3,3
wvs,Argentina,deep_persona,90,3,3,2,5,2,3
wvs,Argentina,deep_persona,91,2,2,2,6,2,3
wvs,Argentina,deep_persona,92,2,2,2,7,2,3
wvs,Argentina,deep_persona,93,3,3,2,6,2,3
wvs,Argentina,deep_persona,94,3,3,2,6,3,3
wvs,Argentina,deep_persona,95,3,2,2,2,2,3
wvs,Argentina,deep_persona,96,3,3,2,1,2,1
wvs,Argentina,deep_persona,97,3,4,2,3,3,3
wvs,Argentina,deep_persona,98,3,4,2,5,2,3
wvs,Argentina,deep_persona,99,3,3,2,5,2,3
wvs,Argentina,deep_persona,100,3,4,2,5,2,3
wvs,Argentina,deep_persona,101,3,4,2,5,2,3
wvs,Argentina,deep_persona,102,3,3,2,2,3,3
wvs,Argentina,deep_persona,103,3,3,2,4,2,3
wvs,Argentina,deep_persona,104,2,2,2,7,2,3
wvs,Argentina,deep_persona,105,2,2,2,4,2,3
wvs,Argentina,deep_persona,106,3,2,2,6,2,3
wvs,Argentina,deep_persona,107,2,4,2,4,2,3
wvs,Argentina,deep_persona,108,3,3,2,5,3,3
wvs,Argentina,deep_persona,109,3,3,2,5,2,3
wvs,Argentina,deep_persona,110,2,3,2,7,2,3
wvs,Argentina,deep_persona,111,2,3,2,4,2,3
wvs,Argentina,deep_persona,112,3,4,2,6,2,3
wvs,Argentina,deep_persona,113,3,4,2,5,2,3
wvs,Argentina,deep_persona,114,3,4,2,5,2,4
wvs,Argentina,deep_persona,115,3,4,2,1,3,3
wvs,Argentina,deep_persona,116,2,2,2,3,3,2
wvs,Argentina,deep_persona,117,3,3,2,4,2,3
wvs,Argentina,deep_persona,118,3,4,2,5,3,3
wvs,Argentina,deep_persona,119,3,4,2,6,3,3
