domain,country,prompt_method,respondent_id,Q45_para,Q46_para,Q57_para,Q184_para,Q218_para,Q254_para
wvs,Argentina,deep_persona,0,2,3,2,3,3,4
wvs,Argentina,deep_persona,1,2,4,2,1,3,3
wvs,Argentina,deep_persona,2,2,3,2,1,3,3
wvs,Argentina,deep_persona,3,2,2,2,1,3,3
wvs,Argentina,deep_persona,4,2,3,2,6,3,3
wvs,Argentina,deep_persona,5,2,4,2,1,3,3
wvs,Argentina,deep_persona,6,2,3,2,5,1,3
wvs,Argentina,deep_persona,7,2,2,2,7,3,3
wvs,Argentina,deep_persona,8,3,4,2,6,3,3
wvs,Argentina,deep_persona,9,2,3,2,3,3,3
wvs,Argentina,deep_persona,10,2,4,2,5,3,3
wvs,Argentina,deep_persona,11,2,2,2,2,2,3
wvs,Argentina,deep_persona,12,3,4,2,1,3,3
wvs,Argentina,deep_persona,13,2,2,2,3,3,3
wvs,Argentina,deep_persona,14,2,3,2,5,3,3
wvs,Argentina,deep_persona,15,2,3,2,1,3,1
wvs,Argentina,deep_persona,16,3,3,2,6,3,3
wvs,Argentina,deep_persona,17,3,2,2,5,2,3
wvs,Argentina,deep_persona,18,2,2,2,6,3,3
wvs,Argentina,deep_persona,19,2,2,2,4,3,3
wvs,Argentina,deep_persona,20,3,4,2,1,3,4
wvs,Argentina,deep_persona,21,3,3,2,7,3,3
wvs,Argentina,deep_persona,22,3,4,2,1,3,4
wvs,Argentina,deep_persona,23,3,4,2,1,3,3
wvs,Argentina,deep_persona,24,2,2,2,3,2,3
wvs,Argentina,deep_persona,25,3,3,2,6,1,2
wvs,Argentina,deep_persona,26,3,4,2,5,3,3
wvs,Argentina,deep_persona,27,2,2,2,5,3,3
wvs,Argentina,deep_persona,28,2,3,2,1,3,3
wvs,Argentina,deep_persona,29,2,2,2,5,3,3
wvs,Argentina,deep_persona,30,2,2,2,5,3,3
wvs,Argentina,deep_persona,31,2,2,2,6,2,3
wvs,Argentina,deep_persona,32,3,3,2,5,3,3
wvs,Argentina,deep_persona,33,2,2,2,7,3,1
wvs,Argentina,deep_persona,34,2,2,2,5,2,3
wvs,Argentina,deep_persona,35,3,4,2,1,3,3
wvs,Argentina,deep_persona,36,2,3,2,1,3,3
wvs,Argentina,deep_persona,37,2,2,2,5,3,2
wvs,Argentina,deep_persona,38,3,2,2,1,3,3
wvs,Argentina,deep_persona,39,3,3,2,3,3,3
wvs,Argentina,deep_persona,40,3,3,2,1,3,3
wvs,Argentina,deep_persona,41,3,4,2,1,3,3
wvs,Argentina,deep_persona,42,3,3,2,4,3,3
wvs,Argentina,deep_persona,43,2,2,2,6,3,3
wvs,Argentina,deep_persona,44,2,2,2,1,3,3
wvs,Argentina,deep_persona,45,2,2,2,4,3,3
wvs,Argentina,deep_persona,46,2,3,2,3,3,3
wvs,Argentina,deep_persona,47,3,4,2,1,3,3
wvs,Argentina,deep_persona,48,2,2,2,6,2,2
wvs,Argentina,deep_persona,49,2,3,2,3,3,3
wvs,Argentina,deep_persona,50,3,2,2,2,3,3
wvs,Argentina,deep_persona,51,2,4,2,2,3,3
wvs,Argentina,deep_persona,52,3,4,2,5,3,3
wvs,Argentina,deep_persona,53,2,3,2,1,3,3
wvs,Argentina,deep_persona,54,2,4,2,3,3,3
wvs,Argentina,deep_persona,55,2,3,2,4,3,3
wvs,Argentina,deep_persona,56,3,4,2,1,3,3
wvs,Argentina,deep_persona,57,2,4,2,2,3,3
wvs,Argentina,deep_persona,58,2,2,2,4,3,3
wvs,Argentina,deep_persona,59,2,4,2,6,3,4
wvs,Argentina,deep_persona,60,2,2,2,1,3,3
wvs,Argentina,deep_persona,61,2,2,2,3,3,3
wvs,Argentina,deep_persona,62,2,2,2,3,3,3
wvs,Argentina,deep_persona,63,3,4,2,1,3,3
wvs,Argentina,deep_persona,64,2,2,2,1,3,3
wvs,Argentina,deep_persona,65,2,3,2,5,3,3
wvs,Argentina,deep_persona,66,3,4,2,1,3,3
wvs,Argentina,deep_persona,67,2,3,2,4,3,3
wvs,Argentina,deep_persona,68,3,4,2,1,3,4
wvs,Argentina,deep_persona,69,3,2,2,1,3,3
wvs,Argentina,deep_persona,70,2,3,2,7,3,3
wvs,Argentina,deep_persona,71,2,3,2,5,3,3
wvs,Argentina,deep_persona,72,2,2,2,1,3,3
wvs,Argentina,deep_persona,73,2,2,2,1,3,3
wvs,Argentina,deep_persona,74,2,2,2,7,3,3
wvs,Argentina,deep_persona,75,2,2,2,6,3,3
wvs,Argentina,deep_persona,76,2,2,2,6,3,3
wvs,Argentina,deep_persona,77,2,2,2,1,3,3
wvs,Argentina,deep_persona,78,2,1,2,3,1,3
wvs,Argentina,deep_persona,79,2,2,2,1,3,3
wvs,Argentina,deep_persona,80,3,3,2,6,3,3
wvs,Argentina,deep_persona,81,3,3,2,2,3,4
wvs,Argentina,deep_persona,82,2,3,2,1,3,3
wvs,Argentina,deep_persona,83,3,2,2,2,3,3
wvs,Argentina,deep_persona,84,2,2,2,5,3,3
wvs,Argentina,deep_persona,85,2,3,2,3,3,3
wvs,Argentina,deep_persona,86,2,3,2,2,3,3
wvs,Argentina,deep_persona,87,3,4,2,1,3,4
wvs,Argentina,deep_persona,88,3,4,2,2,3,3
wvs,Argentina,deep_persona,89,2,3,2,5,3,3
wvs,Argentina,deep_persona,90,2,3,2,5,3,3
wvs,Argentina,deep_persona,91,2,2,2,5,2,3
wvs,Argentina,deep_persona,92,2,2,2,5,3,3
wvs,Argentina,deep_persona,93,3,3,2,1,3,3
wvs,Argentina,deep_persona,94,2,2,2,2,3,3
wvs,Argentina,deep_persona,95,2,3,2,1,3,3
wvs,Argentina,deep_persona,96,3,2,2,1,3,1
wvs,Argentina,deep_persona,97,3,4,2,6,3,4
wvs,Argentina,deep_persona,98,3,3,2,5,2,4
wvs,Argentina,deep_persona,99,2,3,2,1,3,3
wvs,Argentina,deep_persona,100,2,4,2,3,3,3
wvs,Argentina,deep_persona,101,3,4,2,2,3,3
wvs,Argentina,deep_persona,102,2,3,2,3,1,3
wvs,Argentina,deep_persona,103,2,2,2,3,3,3
wvs,Argentina,deep_persona,104,2,2,2,5,2,3
wvs,Argentina,deep_persona,105,3,3,2,1,3,3
wvs,Argentina,deep_persona,106,2,2,2,5,3,3
wvs,Argentina,deep_persona,107,3,4,2,4,3,3
wvs,Argentina,deep_persona,108,3,3,2,7,3,3
wvs,Argentina,deep_persona,109,3,3,2,4,3,3
wvs,Argentina,deep_persona,110,2,3,2,5,3,3
wvs,Argentina,deep_persona,111,2,2,2,4,1,3
wvs,Argentina,deep_persona,112,2,3,2,5,3,3
wvs,Argentina,deep_persona,113,2,4,2,3,3,3
wvs,Argentina,deep_persona,114,3,4,2,3,3,3
wvs,Argentina,deep_persona,115,3,4,2,1,3,4
wvs,Argentina,deep_persona,116,2,2,2,6,3,3
wvs,Argentina,deep_persona,117,2,3,2,1,3,3
wvs,Argentina,deep_persona,118,3,3,2,2,3,3
wvs,Argentina,deep_persona,119,2,3,2,5,3,3
