domain,country,prompt_method,respondent_id,Q45,Q46,Q57,Q184,Q218,Q254
wvs,Argentina,opencharacter,0,2,3,2,6,2,2
wvs,Argentina,opencharacter,1,3,2,2,6,2,2
wvs,Argentina,opencharacter,2,3,3,2,4,2,2
wvs,Argentina,opencharacter,3,3,3,2,6,2,2
wvs,Argentina,opencharacter,4,2,3,2,7,2,2
wvs,Argentina,opencharacter,5,3,3,2,6,2,2
wvs,Argentina,opencharacter,6,3,2,2,6,2,2
wvs,Argentina,opencharacter,7,3,3,2,4,2,2
wvs,Argentina,opencharacter,8,3,3,2,6,2,2
wvs,Argentina,opencharacter,9,3,3,2,6,2,2
wvs,Argentina,opencharacter,10,3,3,2,6,2,2
wvs,Argentina,opencharacter,11,3,3,2,6,2,2
wvs,Argentina,opencharacter,12,3,3,2,6,2,2
wvs,Argentina,opencharacter,13,3,3,2,7,2,2
wvs,Argentina,opencharacter,14,2,3,2,6,2,2
wvs,Argentina,opencharacter,15,3,3,2,7,2,2
wvs,Argentina,opencharacter,16,3,2,2,6,2,2
wvs,Argentina,opencharacter,17,3,3,2,7,2,2
wvs,Argentina,opencharacter,18,2,3,2,6,2,2
wvs,Argentina,opencharacter,19,3,3,2,6,2,2
wvs,Argentina,opencharacter,20,3,3,2,7,2,2
wvs,Argentina,opencharacter,21,3,3,2,6,2,2
wvs,Argentina,opencharacter,22,3,3,2,6,2,2
wvs,Argentina,opencharacter,23,3,2,2,6,2,2
wvs,Argentina,opencharacter,24,3,3,2,5,2,2
wvs,Argentina,opencharacter,25,2,3,2,6,2,2
wvs,Argentina,opencharacter,26,3,3,2,6,2,2
wvs,Argentina,opencharacter,27,3,3,2,4,2,2
wvs,Argentina,opencharacter,28,3,3,2,6,2,2
wvs,Argentina,opencharacter,29,3,3,2,5,2,2
wvs,Argentina,opencharacter,30,3,3,2,7,2,2
wvs,Argentina,opencharacter,31,3,3,2,7,2,2
wvs,Argentina,opencharacter,32,2,2,2,6,2,2
wvs,Argentina,opencharacter,33,3,3,2,7,2,2
wvs,Argentina,opencharacter,34,3,3,2,6,2,2
wvs,Argentina,opencharacter,35,3,2,2,6,2,2
wvs,Argentina,opencharacter,36,3,3,2,7,2,2
wvs,Argentina,opencharacter,37,3,3,2,5,2,2
wvs,Argentina,opencharacter,38,3,3,2,6,2,2
wvs,Argentina,opencharacter,39,3,3,2,6,2,2
wvs,Argentina,opencharacter,40,3,2,2,6,2,2
