domain,country,prompt_method,respondent_id,Q45_para,Q46_para,Q57_para,Q184_para,Q218_para,Q254_para
wvs,Argentina,opencharacter,0,2,2,2,5,3,3
wvs,Argentina,opencharacter,1,2,2,2,5,3,3
wvs,Argentina,opencharacter,2,2,3,2,6,3,3
wvs,Argentina,opencharacter,3,2,3,2,3,3,3
wvs,Argentina,opencharacter,4,2,2,2,6,3,3
wvs,Argentina,opencharacter,5,2,2,2,3,3,3
wvs,Argentina,opencharacter,6,2,2,2,5,3,3
wvs,Argentina,opencharacter,7,2,3,2,5,3,3
wvs,Argentina,opencharacter,8,2,3,2,7,1,3
wvs,Argentina,opencharacter,9,2,2,2,5,3,3
wvs,Argentina,opencharacter,10,2,3,2,5,3,3
wvs,Argentina,opencharacter,11,2,2,2,4,3,3
wvs,Argentina,opencharacter,12,2,2,2,5,3,3
wvs,Argentina,opencharacter,13,2,2,2,7,3,3
wvs,Argentina,opencharacter,14,2,3,2,5,3,3
wvs,Argentina,opencharacter,15,2,2,2,7,3,3
wvs,Argentina,opencharacter,16,2,2,2,6,3,3
wvs,Argentina,opencharacter,17,2,2,2,7,3,3
wvs,Argentina,opencharacter,18,2,3,2,6,2,3
wvs,Argentina,opencharacter,19,2,3,2,6,3,3
wvs,Argentina,opencharacter,20,2,2,2,6,3,3
wvs,Argentina,opencharacter,21,2,2,2,5,3,3
wvs,Argentina,opencharacter,22,2,2,2,6,3,3
wvs,Argentina,opencharacter,23,2,2,2,5,1,3
wvs,Argentina,opencharacter,24,2,2,2,6,3,3
wvs,Argentina,opencharacter,25,2,2,2,5,3,3
wvs,Argentina,opencharacter,26,2,2,2,2,3,3
wvs,Argentina,opencharacter,27,2,3,2,7,3,3
wvs,Argentina,opencharacter,28,2,2,2,4,3,3
wvs,Argentina,opencharacter,29,2,2,2,6,3,3
wvs,Argentina,opencharacter,30,2,2,2,3,3,3
wvs,Argentina,opencharacter,31,2,2,2,6,3,3
wvs,Argentina,opencharacter,32,2,2,2,6,2,3
wvs,Argentina,opencharacter,33,2,2,2,6,3,3
wvs,Argentina,opencharacter,34,2,2,2,6,3,3
