domain,country,prompt_method,respondent_id,Q45_rev,Q46_rev,Q57_rev,Q184_rev,Q218_rev,Q254_rev
wvs,Argentina,opencharacter,0,2,4,1,7,2,3
wvs,Argentina,opencharacter,1,2,4,1,7,2,3
wvs,Argentina,opencharacter,2,2,4,1,8,3,3
wvs,Argentina,opencharacter,3,2,4,1,7,2,3
wvs,Argentina,opencharacter,4,2,3,1,7,3,3
wvs,Argentina,opencharacter,5,2,4,1,7,2,3
wvs,Argentina,opencharacter,6,2,4,1,7,2,3
wvs,Argentina,opencharacter,7,2,4,1,8,2,3
wvs,Argentina,opencharacter,8,2,3,1,8,2,3
wvs,Argentina,opencharacter,9,2,3,1,8,2,3
wvs,Argentina,opencharacter,10,2,3,1,8,3,3
wvs,Argentina,opencharacter,11,2,4,1,8,2,3
wvs,Argentina,opencharacter,12,2,3,1,8,2,3
wvs,Argentina,opencharacter,13,2,4,1,8,2,3
wvs,Argentina,opencharacter,14,2,3,1,8,2,3
wvs,Argentina,opencharacter,15,2,4,1,6,3,3
wvs,Argentina,opencharacter,16,2,4,1,8,3,3
wvs,Argentina,opencharacter,17,2,4,1,8,2,3
wvs,Argentina,opencharacter,18,2,3,1,8,2,3
wvs,Argentina,opencharacter,19,2,4,1,8,2,3
wvs,Argentina,opencharacter,20,2,4,1,7,2,3
wvs,Argentina,opencharacter,21,2,4,1,8,2,3
wvs,Argentina,opencharacter,22,2,4,1,7,2,3
wvs,Argentina,opencharacter,23,2,4,1,7,2,3
wvs,Argentina,opencharacter,24,2,4,1,7,2,3
wvs,Argentina,opencharacter,25,2,3,1,7,2,3
wvs,Argentina,opencharacter,26,2,4,1,10,2,3
wvs,Argentina,opencharacter,27,2,4,1,8,2,3
wvs,Argentina,opencharacter,28,2,4,1,8,3,3
wvs,Argentina,opencharacter,29,2,3,1,8,2,3
wvs,Argentina,opencharacter,30,2,4,1,8,2,3
wvs,Argentina,opencharacter,31,2,4,1,7,2,3
wvs,Argentina,opencharacter,32,2,4,1,7,2,3
wvs,Argentina,opencharacter,33,2,4,1,8,2,3
