domain,country,prompt_method,respondent_id,Q45,Q46,Q57,Q184,Q218,Q254
wvs,Australia,cultural,0,2,3,2,6,1,2
wvs,Australia,cultural,1,2,3,1,7,1,1
wvs,Australia,cultural,2,2,3,1,7,1,1
wvs,Australia,cultural,3,2,3,1,7,1,2
wvs,Australia,cultural,4,2,2,2,7,1,1
wvs,Australia,cultural,5,2,2,1,7,1,1
wvs,Australia,cultural,6,2,3,1,7,1,2
wvs,Australia,cultural,7,2,3,1,7,1,1
wvs,Australia,cultural,8,2,3,1,7,1,1
wvs,Australia,cultural,9,2,3,1,6,1,1
wvs,Australia,cultural,10,2,2,2,7,1,1
wvs,Australia,cultural,11,2,3,1,7,1,1
wvs,Australia,cultural,12,2,2,1,7,1,1
wvs,Australia,cultural,13,2,3,1,7,1,2
wvs,Australia,cultural,14,2,3,1,6,1,2
wvs,Australia,cultural,15,2,3,1,7,1,1
wvs,Australia,cultural,16,2,3,1,7,1,1
wvs,Australia,cultural,17,2,3,1,8,1,2
wvs,Australia,cultural,18,2,2,2,7,1,1
wvs,Australia,cultural,19,2,3,1,7,1,1
wvs,Australia,cultural,20,2,3,1,6,1,1
wvs,Australia,cultural,21,2,3,1,6,1,2
wvs,Australia,cultural,22,2,2,1,7,1,1
wvs,Australia,cultural,23,2,3,2,7,1,2
wvs,Australia,cultural,24,2,3,1,7,1,1
wvs,Australia,cultural,25,2,3,1,7,1,1
wvs,Australia,cultural,26,2,2,1,5,1,1
wvs,Australia,cultural,27,2,3,1,7,1,2
wvs,Australia,cultural,28,2,2,1,7,1,1
wvs,Australia,cultural,29,2,3,1,7,1,2
wvs,Australia,cultural,30,2,3,1,7,1,2
wvs,Australia,cultural,31,2,3,1,7,1,2
wvs,Australia,cultural,32,2,2,2,8,1,1
wvs,Australia,cultural,33,2,3,1,6,1,2
wvs,Australia,cultural,34,2,3,1,7,1,2
wvs,Australia,cultural,35,2,3,1,7,1,1
wvs,Australia,cultural,36,2,3,1,7,1,1
wvs,Australia,cultural,37,2,3,1,6,1,1
wvs,Australia,cultural,38,2,3,1,7,1,2
wvs,Australia,cultural,39,2,3,1,7,1,1
wvs,Australia,cultural,40,2,3,2,8,1,1
wvs,Australia,cultural,41,2,3,2,7,1,2
wvs,Australia,cultural,42,2,3,1,7,1,1
wvs,Australia,cultural,43,2,3,1,7,1,1
wvs,Australia,cultural,44,2,3,1,8,1,1
wvs,Australia,cultural,45,2,3,1,6,1,1
wvs,Australia,cultural,46,2,3,1,7,1,1
wvs,Australia,cultural,47,2,2,1,6,1,1
wvs,Australia,cultural,48,2,3,1,7,1,1
wvs,Australia,cultural,49,2,2,1,7,1,2
wvs,Australia,cultural,50,2,3,1,7,1,1
wvs,Australia,cultural,51,2,3,1,6,1,2
wvs,Australia,cultural,52,2,3,1,7,1,1
wvs,Australia,cultural,53,2,3,1,6,1,1
wvs,Australia,cultural,54,2,3,1,8,1,1
wvs,Australia,cultural,55,2,3,1,8,1,1
wvs,Australia,cultural,56,2,3,1,6,1,2
wvs,Australia,cultural,57,2,3,1,7,1,1
wvs,Australia,cultural,58,2,2,1,7,1,1
wvs,Australia,cultural,59,2,3,1,7,1,1
wvs,Australia,cultural,60,2,3,1,7,1,1
wvs,Australia,cultural,61,2,3,1,7,1,1
wvs,Australia,cultural,62,2,3,1,7,1,2
wvs,Australia,cultural,63,2,2,1,5,1,2
wvs,Australia,cultural,64,2,3,1,7,1,2
wvs,Australia,cultural,65,2,3,1,6,1,1
wvs,Australia,cultural,66,2,3,1,7,1,1
wvs,Australia,cultural,67,2,3,1,7,1,1
wvs,Australia,cultural,68,2,3,1,6,1,1
wvs,Australia,cultural,69,2,3,1,7,1,1
wvs,Australia,cultural,70,2,2,1,7,1,1
wvs,Australia,cultural,71,2,3,1,7,1,1
wvs,Australia,cultural,72,2,3,1,7,1,1
wvs,Australia,cultural,73,2,3,1,7,1,1
