domain,country,prompt_method,respondent_id,Q45_rev,Q46_rev,Q57_rev,Q184_rev,Q218_rev,Q254_rev
wvs,Australia,cultural,0,3,4,1,8,2,3
wvs,Australia,cultural,1,2,4,1,6,2,3
wvs,Australia,cultural,2,3,3,1,8,2,3
wvs,Australia,cultural,3,3,3,1,8,3,3
wvs,Australia,cultural,4,3,3,1,6,3,3
wvs,Australia,cultural,5,3,3,1,6,1,3
wvs,Australia,cultural,6,3,3,1,8,2,3
wvs,Australia,cultural,7,3,3,1,6,2,3
wvs,Australia,cultural,8,3,4,1,8,2,3
wvs,Australia,cultural,9,3,4,1,8,2,3
wvs,Australia,cultural,10,2,3,1,6,2,3
wvs,Australia,cultural,11,3,3,1,6,2,3
wvs,Australia,cultural,12,2,3,1,8,1,3
wvs,Australia,cultural,13,3,3,1,6,2,3
wvs,Australia,cultural,14,2,4,1,8,1,3
wvs,Australia,cultural,15,2,3,1,8,1,3
wvs,Australia,cultural,16,3,3,1,6,2,3
wvs,Australia,cultural,17,3,3,1,7,1,3
wvs,Australia,cultural,18,3,4,1,8,1,3
wvs,Australia,cultural,19,3,3,1,8,2,3
wvs,Australia,cultural,20,3,3,1,7,2,3
wvs,Australia,cultural,21,3,3,1,6,2,3
wvs,Australia,cultural,22,3,3,1,8,2,3
wvs,Australia,cultural,23,3,3,1,8,2,3
wvs,Australia,cultural,24,2,3,1,7,2,3
wvs,Australia,cultural,25,2,3,1,8,2,3
wvs,Australia,cultural,26,3,4,1,6,1,3
wvs,Australia,cultural,27,2,3,1,8,2,3
wvs,Australia,cultural,28,2,3,1,8,2,3
wvs,Australia,cultural,29,3,4,1,7,3,3
wvs,Australia,cultural,30,2,3,1,8,1,3
wvs,Australia,cultural,31,3,3,1,8,2,3
wvs,Australia,cultural,32,3,4,1,8,1,3
wvs,Australia,cultural,33,3,3,1,7,2,3
wvs,Australia,cultural,34,2,3,1,8,1,3
wvs,Australia,cultural,35,3,3,1,8,2,3
wvs,Australia,cultural,36,2,3,1,8,2,3
wvs,Australia,cultural,37,2,3,1,7,2,3
wvs,Australia,cultural,38,3,3,1,8,2,3
wvs,Australia,cultural,39,3,3,1,7,3,3
wvs,Australia,cultural,40,3,3,1,7,2,3
wvs,Australia,cultural,41,3,3,1,8,2,3
wvs,Australia,cultural,42,3,3,1,8,2,3
wvs,Australia,cultural,43,2,4,1,7,3,3
wvs,Australia,cultural,44,3,3,1,7,2,3
wvs,Australia,cultural,45,3,4,1,8,1,3
wvs,Australia,cultural,46,3,3,1,7,1,3
wvs,Australia,cultural,47,3,3,1,7,1,3
wvs,Australia,cultural,48,3,3,1,8,2,3
wvs,Australia,cultural,49,3,4,1,10,2,3
wvs,Australia,cultural,50,3,3,1,7,2,3
wvs,Australia,cultural,51,3,3,1,6,2,3
wvs,Australia,cultural,52,2,4,1,6,1,3
wvs,Australia,cultural,53,2,3,1,7,3,3
wvs,Australia,cultural,54,3,3,1,6,2,3
wvs,Australia,cultural,55,3,4,1,7,2,3
wvs,Australia,cultural,56,3,3,1,7,2,3
wvs,Australia,cultural,57,3,3,1,8,2,3
wvs,Australia,cultural,58,3,3,1,7,1,3
wvs,Australia,cultural,59,3,4,1,8,1,3
wvs,Australia,cultural,60,3,3,1,8,2,3
wvs,Australia,cultural,61,2,3,1,8,3,3
wvs,Australia,cultural,62,3,3,1,8,3,3
wvs,Australia,cultural,63,3,3,1,7,1,3
wvs,Australia,cultural,64,3,3,1,8,2,3
wvs,Australia,cultural,65,3,3,1,8,1,3
wvs,Australia,cultural,66,3,4,1,7,2,3
wvs,Australia,cultural,67,3,4,1,7,2,3
wvs,Australia,cultural,68,3,3,1,7,2,3
wvs,Australia,cultural,69,3,4,1,7,2,3
wvs,Australia,cultural,70,2,3,1,8,1,3
wvs,Australia,cultural,71,3,3,1,8,2,3
wvs,Australia,cultural,72,2,3,1,6,1,3
wvs,Australia,cultural,73,3,3,1,7,1,3
wvs,Australia,cultural,74,3,4,1,6,2,3
wvs,Australia,cultural,75,3,3,1,6,2,3
wvs,Australia,cultural,76,3,4,1,7,2,3
wvs,Australia,cultural,77,3,4,1,8,1,3
wvs,Australia,cultural,78,3,4,1,7,1,3
wvs,Australia,cultural,79,3,3,1,8,2,3
wvs,Australia,cultural,80,3,4,1,7,1,3
wvs,Australia,cultural,81,3,3,1,8,2,3
wvs,Australia,cultural,82,2,3,1,7,2,3
wvs,Australia,cultural,83,3,3,1,7,2,3
wvs,Australia,cultural,84,3,3,1,7,2,3
wvs,Australia,cultural,85,3,3,1,7,2,3
wvs,Australia,cultural,86,3,3,1,7,1,3
wvs,Australia,cultural,87,3,3,1,7,2,3
wvs,Australia,cultural,88,3,4,1,10,1,3
wvs,Australia,cultural,89,3,4,1,6,2,3
wvs,Australia,cultural,90,3,3,1,7,2,3
wvs,Australia,cultural,91,2,3,1,8,2,3
wvs,Australia,cultural,92,3,3,1,8,1,3
wvs,Australia,cultural,93,3,3,1,8,1,3
wvs,Australia,cultural,94,3,3,1,7,2,3
wvs,Australia,cultural,95,3,3,1,7,3,3
wvs,Australia,cultural,96,2,3,1,6,2,3
wvs,Australia,cultural,97,3,4,1,10,1,3
wvs,Australia,cultural,98,2,4,1,8,3,3
wvs,Australia,cultural,99,3,4,1,8,2,3
wvs,Australia,cultural,100,3,3,1,8,2,3
wvs,Australia,cultural,101,2,4,1,6,2,3
wvs,Australia,cultural,102,3,3,1,8,2,3
wvs,Australia,cultural,103,3,3,1,7,2,3
wvs,Australia,cultural,104,3,3,1,8,2,3
wvs,Australia,cultural,105,3,3,1,7,1,3
