domain,country,prompt_method,respondent_id,Q45,Q46,Q57,Q184,Q218,Q254
wvs,Australia,deep_persona,0,3,4,2,3,2,2
wvs,Australia,deep_persona,1,3,4,2,2,1,4
wvs,Australia,deep_persona,2,3,4,2,3,1,4
wvs,Australia,deep_persona,3,3,4,2,6,1,4
wvs,Australia,deep_persona,4,3,2,2,8,2,2
wvs,Australia,deep_persona,5,3,4,2,2,1,2
wvs,Australia,deep_persona,6,1,4,2,5,2,4
wvs,Australia,deep_persona,7,1,4,2,3,1,4
wvs,Australia,deep_persona,8,3,2,2,7,2,2
wvs,Australia,deep_persona,9,1,4,2,2,2,2
wvs,Australia,deep_persona,10,1,4,2,2,2,4
wvs,Australia,deep_persona,11,1,4,2,1,1,4
wvs,Australia,deep_persona,12,2,4,2,3,1,4
wvs,Australia,deep_persona,13,3,4,2,10,3,2
wvs,Australia,deep_persona,14,2,4,2,4,2,2
wvs,Australia,deep_persona,15,3,4,2,7,1,4
wvs,Australia,deep_persona,16,1,4,2,2,1,4
wvs,Australia,deep_persona,17,3,4,2,5,1,4
wvs,Australia,deep_persona,18,2,4,2,7,2,2
wvs,Australia,deep_persona,19,3,2,2,7,2,1
wvs,Australia,deep_persona,20,1,4,2,2,1,4
wvs,Australia,deep_persona,21,3,4,2,4,1,4
wvs,Australia,deep_persona,22,1,4,2,4,2,2
wvs,Australia,deep_persona,23,3,2,2,7,1,2
wvs,Australia,deep_persona,24,3,4,2,7,1,2
wvs,Australia,deep_persona,25,1,4,2,4,2,2
wvs,Australia,deep_persona,26,3,4,2,5,2,2
wvs,Australia,deep_persona,27,3,4,2,5,1,2
wvs,Australia,deep_persona,28,3,4,2,2,2,2
wvs,Australia,deep_persona,29,3,4,2,2,2,4
wvs,Australia,deep_persona,30,1,4,2,4,3,4
wvs,Australia,deep_persona,31,3,4,2,3,2,2
wvs,Australia,deep_persona,32,3,4,2,4,2,2
wvs,Australia,deep_persona,33,1,4,2,1,1,4
wvs,Australia,deep_persona,34,1,4,2,4,1,4
wvs,Australia,deep_persona,35,1,4,2,3,1,4
wvs,Australia,deep_persona,36,1,4,2,1,1,4
wvs,Australia,deep_persona,37,2,4,2,3,2,2
wvs,Australia,deep_persona,38,1,4,2,4,1,4
wvs,Australia,deep_persona,39,2,1,2,7,3,2
wvs,Australia,deep_persona,40,1,4,2,3,1,2
wvs,Australia,deep_persona,41,3,2,2,4,3,2
wvs,Australia,deep_persona,42,3,4,2,4,1,4
wvs,Australia,deep_persona,43,3,4,2,4,2,2
wvs,Australia,deep_persona,44,3,4,2,2,2,4
wvs,Australia,deep_persona,45,3,4,2,2,3,4
wvs,Australia,deep_persona,46,1,4,2,1,2,4
wvs,Australia,deep_persona,47,1,4,2,5,2,2
wvs,Australia,deep_persona,48,3,4,2,4,2,2
wvs,Australia,deep_persona,49,1,4,2,1,1,4
wvs,Australia,deep_persona,50,3,4,2,4,3,4
wvs,Australia,deep_persona,51,3,3,2,7,1,2
wvs,Australia,deep_persona,52,3,4,2,5,1,2
wvs,Australia,deep_persona,53,1,4,2,3,2,4
wvs,Australia,deep_persona,54,1,4,2,7,2,2
wvs,Australia,deep_persona,55,1,4,2,3,2,4
wvs,Australia,deep_persona,56,3,2,2,8,2,2
wvs,Australia,deep_persona,57,1,4,2,2,2,4
wvs,Australia,deep_persona,58,1,2,2,3,1,2
wvs,Australia,deep_persona,59,2,4,1,7,3,2
wvs,Australia,deep_persona,60,1,4,2,2,2,2
wvs,Australia,deep_persona,61,3,4,2,8,1,2
wvs,Australia,deep_persona,62,3,4,2,6,2,2
wvs,Australia,deep_persona,63,1,2,2,8,3,2
wvs,Australia,deep_persona,64,1,4,2,1,1,5
wvs,Australia,deep_persona,65,3,4,2,4,1,4
wvs,Australia,deep_persona,66,3,4,2,3,2,2
wvs,Australia,deep_persona,67,3,4,2,3,2,4
wvs,Australia,deep_persona,68,3,4,2,3,1,4
wvs,Australia,deep_persona,69,1,4,2,1,2,2
wvs,Australia,deep_persona,70,3,4,2,1,3,4
wvs,Australia,deep_persona,71,3,2,2,5,2,2
wvs,Australia,deep_persona,72,3,4,2,4,1,2
wvs,Australia,deep_persona,73,3,4,2,4,3,4
wvs,Australia,deep_persona,74,3,4,2,3,1,4
wvs,Australia,deep_persona,75,1,4,2,5,3,2
wvs,Australia,deep_persona,76,3,2,2,7,2,2
wvs,Australia,deep_persona,77,3,4,2,7,1,2
