domain,country,prompt_method,respondent_id,Q45_para,Q46_para,Q57_para,Q184_para,Q218_para,Q254_para
wvs,Australia,deep_persona,0,2,3,2,4,3,3
wvs,Australia,deep_persona,1,3,4,2,1,3,4
wvs,Australia,deep_persona,2,3,3,2,1,3,3
wvs,Australia,deep_persona,3,2,2,2,4,3,2
wvs,Australia,deep_persona,4,2,2,2,6,3,3
wvs,Australia,deep_persona,5,3,4,2,1,3,1
wvs,Australia,deep_persona,6,2,3,2,4,3,3
wvs,Australia,deep_persona,7,3,4,2,4,3,3
wvs,Australia,deep_persona,8,2,2,2,3,1,3
wvs,Australia,deep_persona,9,3,3,2,1,3,3
wvs,Australia,deep_persona,10,3,3,2,5,3,3
wvs,Australia,deep_persona,11,3,4,2,1,3,4
wvs,Australia,deep_persona,12,2,4,2,2,3,3
wvs,Australia,deep_persona,13,3,2,2,1,3,3
wvs,Australia,deep_persona,14,2,3,2,3,2,3
wvs,Australia,deep_persona,15,2,2,2,6,3,3
wvs,Australia,deep_persona,16,3,3,2,1,3,3
wvs,Australia,deep_persona,17,2,2,2,1,3,3
wvs,Australia,deep_persona,18,2,2,2,4,1,1
wvs,Australia,deep_persona,19,3,2,2,6,2,3
wvs,Australia,deep_persona,20,3,2,2,1,3,3
wvs,Australia,deep_persona,21,2,2,2,1,3,3
wvs,Australia,deep_persona,22,2,3,2,1,3,3
wvs,Australia,deep_persona,23,2,2,2,2,3,3
wvs,Australia,deep_persona,24,2,2,2,5,2,3
wvs,Australia,deep_persona,25,2,3,2,5,3,3
wvs,Australia,deep_persona,26,3,2,2,3,3,1
wvs,Australia,deep_persona,27,2,3,2,2,3,3
wvs,Australia,deep_persona,28,3,4,2,1,3,3
wvs,Australia,deep_persona,29,3,3,2,1,3,3
wvs,Australia,deep_persona,30,2,3,2,3,3,3
wvs,Australia,deep_persona,31,3,3,2,1,3,3
wvs,Australia,deep_persona,32,2,3,2,5,3,3
wvs,Australia,deep_persona,33,3,4,2,1,3,3
wvs,Australia,deep_persona,34,3,2,2,1,3,3
wvs,Australia,deep_persona,35,3,3,2,4,3,3
wvs,Australia,deep_persona,36,3,4,2,1,3,3
wvs,Australia,deep_persona,37,2,2,2,4,3,3
wvs,Australia,deep_persona,38,2,2,2,1,3,3
wvs,Australia,deep_persona,39,2,2,2,6,3,3
wvs,Australia,deep_persona,40,3,4,2,4,3,3
wvs,Australia,deep_persona,41,3,3,2,5,2,3
wvs,Australia,deep_persona,42,2,2,2,1,3,3
wvs,Australia,deep_persona,43,2,2,2,1,3,3
wvs,Australia,deep_persona,44,3,3,2,1,3,3
wvs,Australia,deep_persona,45,3,3,2,1,3,1
wvs,Australia,deep_persona,46,3,3,2,1,3,3
wvs,Australia,deep_persona,47,3,3,2,2,3,4
wvs,Australia,deep_persona,48,2,3,2,1,3,3
wvs,Australia,deep_persona,49,3,3,2,1,3,3
wvs,Australia,deep_persona,50,3,3,2,1,3,3
wvs,Australia,deep_persona,51,2,2,2,4,3,3
wvs,Australia,deep_persona,52,2,3,2,4,3,3
wvs,Australia,deep_persona,53,3,4,2,3,3,3
wvs,Australia,deep_persona,54,2,2,2,1,3,3
wvs,Australia,deep_persona,55,3,4,2,2,3,4
wvs,Australia,deep_persona,56,2,2,2,3,3,3
wvs,Australia,deep_persona,57,3,3,2,1,3,4
wvs,Australia,deep_persona,58,2,4,2,4,3,1
wvs,Australia,deep_persona,59,2,2,2,7,3,3
wvs,Australia,deep_persona,60,2,3,2,5,3,3
wvs,Australia,deep_persona,61,2,2,2,6,3,3
wvs,Australia,deep_persona,62,2,2,2,1,3,3
wvs,Australia,deep_persona,63,2,2,2,4,2,3
wvs,Australia,deep_persona,64,3,4,2,1,3,3
