domain,country,prompt_method,respondent_id,Q45_rev,Q46_rev,Q57_rev,Q184_rev,Q218_rev,Q254_rev
wvs,Australia,deep_persona,0,2,2,1,5,2,4
wvs,Australia,deep_persona,1,3,1,1,8,1,4
wvs,Australia,deep_persona,2,3,2,1,6,1,4
wvs,Australia,deep_persona,3,2,4,1,7,3,4
wvs,Australia,deep_persona,4,2,4,1,6,2,4
wvs,Australia,deep_persona,5,3,1,1,8,1,4
wvs,Australia,deep_persona,6,2,3,1,7,2,3
wvs,Australia,deep_persona,7,3,1,1,8,1,4
wvs,Australia,deep_persona,8,2,4,1,5,2,4
wvs,Australia,deep_persona,9,2,3,1,10,1,4
wvs,Australia,deep_persona,10,3,1,1,7,1,4
wvs,Australia,deep_persona,11,3,1,1,7,1,1
wvs,Australia,deep_persona,12,3,1,1,8,2,4
wvs,Australia,deep_persona,13,2,4,1,7,1,4
wvs,Australia,deep_persona,14,2,2,1,8,2,4
wvs,Australia,deep_persona,15,2,4,1,7,3,4
wvs,Australia,deep_persona,16,3,4,1,10,1,4
wvs,Australia,deep_persona,17,2,4,1,8,1,4
wvs,Australia,deep_persona,18,2,4,1,5,2,4
wvs,Australia,deep_persona,19,2,4,1,7,2,4
wvs,Australia,deep_persona,20,3,4,1,10,1,4
wvs,Australia,deep_persona,21,2,2,1,10,1,4
wvs,Australia,deep_persona,22,2,4,1,7,2,4
wvs,Australia,deep_persona,23,2,4,1,8,3,4
wvs,Australia,deep_persona,24,2,4,1,7,3,4
wvs,Australia,deep_persona,25,2,4,1,8,2,3
wvs,Australia,deep_persona,26,2,2,1,8,3,4
wvs,Australia,deep_persona,27,3,4,1,7,2,4
wvs,Australia,deep_persona,28,3,1,1,8,1,4
wvs,Australia,deep_persona,29,3,4,1,6,2,4
wvs,Australia,deep_persona,30,2,4,1,7,2,4
wvs,Australia,deep_persona,31,2,1,1,8,2,4
wvs,Australia,deep_persona,32,2,3,1,8,2,4
wvs,Australia,deep_persona,33,3,1,1,8,1,4
wvs,Australia,deep_persona,34,3,4,1,5,1,4
wvs,Australia,deep_persona,35,3,4,1,7,1,4
wvs,Australia,deep_persona,36,3,1,1,10,1,4
wvs,Australia,deep_persona,37,2,2,1,8,2,4
wvs,Australia,deep_persona,38,3,4,1,9,1,4
wvs,Australia,deep_persona,39,2,4,1,4,2,4
wvs,Australia,deep_persona,40,3,2,1,8,2,4
wvs,Australia,deep_persona,41,2,4,1,7,3,4
wvs,Australia,deep_persona,42,3,4,1,7,1,4
wvs,Australia,deep_persona,43,2,4,1,5,2,4
wvs,Australia,deep_persona,44,2,1,1,8,1,4
wvs,Australia,deep_persona,45,3,4,1,10,1,4
wvs,Australia,deep_persona,46,3,4,1,10,1,4
wvs,Australia,deep_persona,47,2,2,1,7,2,4
wvs,Australia,deep_persona,48,3,2,1,4,1,4
wvs,Australia,deep_persona,49,3,1,1,10,1,1
wvs,Australia,deep_persona,50,3,2,1,7,1,4
wvs,Australia,deep_persona,51,3,4,1,7,2,4
wvs,Australia,deep_persona,52,2,3,1,7,1,4
wvs,Australia,deep_persona,53,2,1,1,10,2,1
wvs,Australia,deep_persona,54,2,4,1,5,2,3
wvs,Australia,deep_persona,55,3,1,1,7,1,4
wvs,Australia,deep_persona,56,2,4,1,6,3,3
wvs,Australia,deep_persona,57,2,4,1,10,1,4
wvs,Australia,deep_persona,58,3,1,1,8,1,4
wvs,Australia,deep_persona,59,2,4,2,8,3,4
