domain,country,prompt_method,respondent_id,Q45,Q46,Q57,Q184,Q218,Q254
wvs,Australia,opencharacter,0,2,3,2,6,3,2
wvs,Australia,opencharacter,1,3,2,2,7,2,2
wvs,Australia,opencharacter,2,2,2,2,6,2,2
wvs,Australia,opencharacter,3,3,2,2,7,2,2
wvs,Australia,opencharacter,4,2,3,2,7,2,2
wvs,Australia,opencharacter,5,3,2,2,7,2,2
wvs,Australia,opencharacter,6,3,3,2,7,2,2
wvs,Australia,opencharacter,7,2,3,2,7,2,2
wvs,Australia,opencharacter,8,2,3,2,6,2,2
wvs,Australia,opencharacter,9,3,3,2,6,2,2
wvs,Australia,opencharacter,10,2,3,2,7,2,2
wvs,Australia,opencharacter,11,3,3,2,7,2,2
wvs,Australia,opencharacter,12,3,2,2,7,3,2
wvs,Australia,opencharacter,13,2,3,2,6,2,2
wvs,Australia,opencharacter,14,1,3,2,6,2,2
wvs,Australia,opencharacter,15,2,2,2,6,3,2
wvs,Australia,opencharacter,16,2,3,2,7,3,2
wvs,Australia,opencharacter,17,3,3,2,7,2,2
wvs,Australia,opencharacter,18,2,3,2,6,2,2
wvs,Australia,opencharacter,19,3,3,2,7,2,2
wvs,Australia,opencharacter,20,3,2,2,7,3,2
wvs,Australia,opencharacter,21,2,3,2,7,2,2
wvs,Australia,opencharacter,22,3,3,2,6,2,2
wvs,Australia,opencharacter,23,2,4,2,6,2,2
wvs,Australia,opencharacter,24,3,2,2,6,2,2
wvs,Australia,opencharacter,25,3,2,2,6,2,2
wvs,Australia,opencharacter,26,3,3,2,7,2,2
wvs,Australia,opencharacter,27,3,3,2,6,2,2
wvs,Australia,opencharacter,28,3,2,2,7,2,2
wvs,Australia,opencharacter,29,3,3,2,6,2,2
wvs,Australia,opencharacter,30,3,2,2,7,2,2
wvs,Australia,opencharacter,31,3,3,2,6,2,2
wvs,Australia,opencharacter,32,3,2,2,7,3,2
wvs,Australia,opencharacter,33,2,2,2,7,2,2
wvs,Australia,opencharacter,34,3,2,2,7,2,2
wvs,Australia,opencharacter,35,2,3,2,6,2,2
wvs,Australia,opencharacter,36,3,3,2,6,2,2
wvs,Australia,opencharacter,37,1,3,2,6,2,2
