domain,country,prompt_method,respondent_id,Q45_rev,Q46_rev,Q57_rev,Q184_rev,Q218_rev,Q254_rev
wvs,Australia,opencharacter,0,2,4,1,7,2,3
wvs,Australia,opencharacter,1,2,4,1,10,2,3
wvs,Australia,opencharacter,2,2,4,1,8,3,3
wvs,Australia,opencharacter,3,2,3,1,7,2,3
wvs,Australia,opencharacter,4,2,4,1,6,2,3
wvs,Australia,opencharacter,5,2,4,1,8,2,3
wvs,Australia,opencharacter,6,2,4,1,7,2,3
wvs,Australia,opencharacter,7,2,4,1,8,2,3
wvs,Australia,opencharacter,8,2,3,1,8,2,3
wvs,Australia,opencharacter,9,2,4,1,8,3,3
wvs,Australia,opencharacter,10,2,3,1,7,2,3
wvs,Australia,opencharacter,11,2,4,1,8,2,3
wvs,Australia,opencharacter,12,2,3,1,8,2,3
wvs,Australia,opencharacter,13,2,3,1,7,2,3
wvs,Australia,opencharacter,14,2,3,1,8,2,3
wvs,Australia,opencharacter,15,2,3,1,7,2,3
wvs,Australia,opencharacter,16,2,4,1,8,3,3
wvs,Australia,opencharacter,17,2,4,1,8,2,3
wvs,Australia,opencharacter,18,2,3,1,7,2,3
wvs,Australia,opencharacter,19,2,4,1,7,3,3
wvs,Australia,opencharacter,20,2,3,1,7,2,3
wvs,Australia,opencharacter,21,2,4,1,8,2,3
wvs,Australia,opencharacter,22,2,3,1,10,2,3
wvs,Australia,opencharacter,23,2,3,1,7,2,3
wvs,Australia,opencharacter,24,3,3,1,10,3,3
wvs,Australia,opencharacter,25,2,3,1,6,2,3
wvs,Australia,opencharacter,26,2,3,1,8,2,3
wvs,Australia,opencharacter,27,2,4,1,10,3,3
wvs,Australia,opencharacter,28,2,4,1,8,2,3
wvs,Australia,opencharacter,29,2,4,1,8,2,3
wvs,Australia,opencharacter,30,3,4,1,7,2,3
wvs,Australia,opencharacter,31,2,4,1,7,3,3
wvs,Australia,opencharacter,32,2,3,1,7,2,3
wvs,Australia,opencharacter,33,2,4,1,8,2,3
