domain,country,prompt_method,respondent_id,Q45,Q46,Q57,Q184,Q218,Q254
wvs,Germany,cultural,0,3,2,2,7,3,1
wvs,Germany,cultural,1,3,2,2,7,3,1
wvs,Germany,cultural,2,3,2,2,7,3,1
wvs,Germany,cultural,3,3,2,2,7,3,1
wvs,Germany,cultural,4,3,2,2,7,3,2
wvs,Germany,cultural,5,3,2,2,7,3,1
wvs,Germany,cultural,6,3,2,2,7,3,1
wvs,Germany,cultural,7,3,2,2,6,3,1
wvs,Germany,cultural,8,3,2,2,7,3,1
wvs,Germany,cultural,9,3,2,2,7,3,1
wvs,Germany,cultural,10,3,2,2,7,3,1
wvs,Germany,cultural,11,3,2,2,7,3,1
wvs,Germany,cultural,12,3,2,2,7,3,1
wvs,Germany,cultural,13,3,2,2,7,3,2
wvs,Germany,cultural,14,3,2,2,7,3,1
wvs,Germany,cultural,15,3,2,2,7,3,1
wvs,Germany,cultural,16,3,2,2,7,3,1
wvs,Germany,cultural,17,3,2,2,7,3,1
wvs,Germany,cultural,18,3,2,2,7,3,1
wvs,Germany,cultural,19,3,2,2,7,3,1
wvs,Germany,cultural,20,3,2,2,7,3,1
wvs,Germany,cultural,21,3,2,2,7,3,1
wvs,Germany,cultural,22,3,2,2,7,3,1
wvs,Germany,cultural,23,3,2,2,7,3,1
wvs,Germany,cultural,24,3,2,2,8,3,1
wvs,Germany,cultural,25,3,2,2,7,3,1
wvs,Germany,cultural,26,3,2,2,7,3,1
wvs,Germany,cultural,27,3,2,2,7,3,1
wvs,Germany,cultural,28,3,2,2,7,3,1
wvs,Germany,cultural,29,3,2,2,7,3,1
wvs,Germany,cultural,30,3,2,2,7,3,1
wvs,Germany,cultural,31,3,2,2,7,3,1
wvs,Germany,cultural,32,3,2,2,7,3,1
wvs,Germany,cultural,33,3,2,2,7,3,1
wvs,Germany,cultural,34,3,2,2,7,3,1
wvs,Germany,cultural,35,3,2,2,7,3,1
wvs,Germany,cultural,36,3,2,2,8,3,1
wvs,Germany,cultural,37,3,2,2,7,3,1
wvs,Germany,cultural,38,3,2,2,6,3,1
wvs,Germany,cultural,39,3,2,2,7,3,1
wvs,Germany,cultural,40,3,2,2,7,3,1
wvs,Germany,cultural,41,3,2,2,7,3,1
wvs,Germany,cultural,42,3,2,2,7,3,1
wvs,Germany,cultural,43,3,2,2,7,3,1
wvs,Germany,cultural,44,3,2,2,7,3,1
wvs,Germany,cultural,45,3,2,2,7,3,1
wvs,Germany,cultural,46,3,2,2,7,3,1
wvs,Germany,cultural,47,3,2,2,7,3,1
wvs,Germany,cultural,48,3,2,2,7,3,1
wvs,Germany,cultural,49,3,2,2,7,3,1
wvs,Germany,cultural,50,3,2,2,7,3,1
wvs,Germany,cultural,51,3,2,2,7,3,1
wvs,Germany,cultural,52,3,2,2,7,3,1
wvs,Germany,cultural,53,3,2,2,7,3,1
wvs,Germany,cultural,54,3,2,2,7,3,1
wvs,Germany,cultural,55,3,2,2,7,3,1
wvs,Germany,cultural,56,3,2,2,7,3,1
wvs,Germany,cultural,57,3,2,2,7,3,1
wvs,Germany,cultural,58,3,2,2,8,3,1
wvs,Germany,cultural,59,3,2,2,7,3,1
wvs,Germany,cultural,60,3,2,2,7,3,1
wvs,Germany,cultural,61,3,2,2,7,3,1
wvs,Germany,cultural,62,3,2,2,7,3,1
wvs,Germany,cultural,63,3,2,2,6,3,1
wvs,Germany,cultural,64,3,2,2,6,3,1
wvs,Germany,cultural,65,3,2,2,7,3,1
wvs,Germany,cultural,66,3,2,2,7,3,1
wvs,Germany,cultural,67,3,2,2,7,3,1
wvs,Germany,cultural,68,3,2,2,7,3,1
wvs,Germany,cultural,69,3,2,2,8,3,1
wvs,Germany,cultural,70,3,2,2,7,3,1
wvs,Germany,cultural,71,3,2,2,7,3,1
