domain,country,prompt_method,respondent_id,Q45_para,Q46_para,Q57_para,Q184_para,Q218_para,Q254_para
wvs,Germany,cultural,0,2,3,2,4,1,3
wvs,Germany,cultural,1,2,3,2,5,1,2
wvs,Germany,cultural,2,2,3,2,7,1,3
wvs,Germany,cultural,3,2,3,2,7,1,3
wvs,Germany,cultural,4,2,3,2,6,1,3
wvs,Germany,cultural,5,2,3,2,6,1,3
wvs,Germany,cultural,6,2,3,2,6,1,3
wvs,Germany,cultural,7,2,3,2,6,1,3
wvs,Germany,cultural,8,2,3,2,6,1,3
wvs,Germany,cultural,9,2,3,2,6,1,3
wvs,Germany,cultural,10,2,2,2,6,1,2
wvs,Germany,cultural,11,2,3,2,6,1,3
wvs,Germany,cultural,12,2,3,2,7,1,2
wvs,Germany,cultural,13,2,3,2,6,1,3
wvs,Germany,cultural,14,2,3,2,6,1,3
wvs,Germany,cultural,15,2,3,2,7,1,3
wvs,Germany,cultural,16,2,3,2,6,1,3
wvs,Germany,cultural,17,2,3,2,5,1,3
wvs,Germany,cultural,18,2,2,2,6,1,3
wvs,Germany,cultural,19,2,3,2,6,1,2
wvs,Germany,cultural,20,2,3,2,6,1,3
wvs,Germany,cultural,21,2,3,2,6,1,2
wvs,Germany,cultural,22,2,3,2,5,1,2
wvs,Germany,cultural,23,2,3,2,5,1,2
wvs,Germany,cultural,24,2,2,2,6,1,3
wvs,Germany,cultural,25,2,3,2,6,1,3
wvs,Germany,cultural,26,2,2,2,6,1,2
wvs,Germany,cultural,27,2,3,2,7,1,3
wvs,Germany,cultural,28,2,2,2,6,1,3
wvs,Germany,cultural,29,2,3,2,7,1,3
wvs,Germany,cultural,30,2,3,2,5,1,3
wvs,Germany,cultural,31,2,3,2,6,1,2
wvs,Germany,cultural,32,2,3,2,7,1,2
wvs,Germany,cultural,33,2,3,2,6,1,3
wvs,Germany,cultural,34,2,3,2,5,1,3
wvs,Germany,cultural,35,2,3,2,6,1,3
wvs,Germany,cultural,36,2,3,2,6,1,3
wvs,Germany,cultural,37,2,2,2,6,1,2
wvs,Germany,cultural,38,2,3,2,6,1,3
wvs,Germany,cultural,39,2,3,2,6,1,3
wvs,Germany,cultural,40,2,3,2,6,1,3
wvs,Germany,cultural,41,2,3,2,6,1,3
wvs,Germany,cultural,42,2,3,2,6,1,3
wvs,Germany,cultural,43,2,3,2,7,1,3
wvs,Germany,cultural,44,2,3,2,5,1,3
wvs,Germany,cultural,45,2,3,2,6,1,2
