domain,country,prompt_method,respondent_id,Q45,Q46,Q57,Q184,Q218,Q254
wvs,Germany,deep_persona,0,3,4,2,5,2,3
wvs,Germany,deep_persona,1,2,4,2,1,3,3
wvs,Germany,deep_persona,2,2,4,2,1,2,3
wvs,Germany,deep_persona,3,2,2,2,3,2,3
wvs,Germany,deep_persona,4,2,2,2,6,2,3
wvs,Germany,deep_persona,5,3,4,2,1,2,2
wvs,Germany,deep_persona,6,3,3,2,5,3,3
wvs,Germany,deep_persona,7,3,4,2,1,2,3
wvs,Germany,deep_persona,8,2,2,2,7,2,3
wvs,Germany,deep_persona,9,3,4,2,1,2,3
wvs,Germany,deep_persona,10,3,4,2,2,3,3
wvs,Germany,deep_persona,11,3,4,2,1,3,4
wvs,Germany,deep_persona,12,2,2,2,5,2,3
wvs,Germany,deep_persona,13,3,4,2,4,2,3
wvs,Germany,deep_persona,14,3,3,2,1,2,3
wvs,Germany,deep_persona,15,3,4,2,1,2,4
wvs,Germany,deep_persona,16,3,4,2,1,3,3
wvs,Germany,deep_persona,17,3,2,2,7,2,3
wvs,Germany,deep_persona,18,3,3,2,5,2,3
wvs,Germany,deep_persona,19,3,4,2,6,2,4
wvs,Germany,deep_persona,20,3,4,2,5,2,3
wvs,Germany,deep_persona,21,3,2,2,1,3,3
wvs,Germany,deep_persona,22,3,4,2,4,2,3
wvs,Germany,deep_persona,23,2,4,2,4,2,3
wvs,Germany,deep_persona,24,3,2,2,7,2,3
wvs,Germany,deep_persona,25,2,3,2,6,2,3
wvs,Germany,deep_persona,26,3,4,2,4,2,4
wvs,Germany,deep_persona,27,3,4,2,5,2,3
wvs,Germany,deep_persona,28,3,3,2,5,3,3
wvs,Germany,deep_persona,29,3,4,2,6,2,3
wvs,Germany,deep_persona,30,2,3,2,2,2,3
wvs,Germany,deep_persona,31,3,3,2,5,2,3
wvs,Germany,deep_persona,32,3,3,2,3,2,3
wvs,Germany,deep_persona,33,3,3,2,1,3,1
wvs,Germany,deep_persona,34,3,3,2,6,2,3
wvs,Germany,deep_persona,35,3,4,2,1,3,3
wvs,Germany,deep_persona,36,3,2,2,6,2,3
wvs,Germany,deep_persona,37,2,2,2,6,2,3
wvs,Germany,deep_persona,38,3,4,2,1,3,4
wvs,Germany,deep_persona,39,3,3,2,6,2,3
wvs,Germany,deep_persona,40,3,3,2,3,3,3
wvs,Germany,deep_persona,41,3,4,2,1,3,4
wvs,Germany,deep_persona,42,3,4,2,6,2,3
wvs,Germany,deep_persona,43,3,3,2,3,3,3
wvs,Germany,deep_persona,44,3,4,2,6,2,3
wvs,Germany,deep_persona,45,3,2,2,6,2,3
wvs,Germany,deep_persona,46,3,4,2,3,2,3
wvs,Germany,deep_persona,47,3,4,2,1,3,3
wvs,Germany,deep_persona,48,3,2,2,6,2,3
wvs,Germany,deep_persona,49,2,4,2,4,2,3
wvs,Germany,deep_persona,50,3,2,2,5,2,3
wvs,Germany,deep_persona,51,3,4,2,1,3,3
wvs,Germany,deep_persona,52,3,4,2,7,2,4
wvs,Germany,deep_persona,53,3,4,2,1,3,3
wvs,Germany,deep_persona,54,3,4,2,4,3,2
wvs,Germany,deep_persona,55,3,4,2,4,2,3
wvs,Germany,deep_persona,56,3,3,2,6,2,1
wvs,Germany,deep_persona,57,3,3,2,1,2,3
wvs,Germany,deep_persona,58,2,4,2,6,2,3
wvs,Germany,deep_persona,59,3,4,2,1,3,3
wvs,Germany,deep_persona,60,3,4,2,1,2,4
