domain,country,prompt_method,respondent_id,Q45,Q46,Q57,Q184,Q218,Q254
wvs,Germany,opencharacter,0,2,2,2,7,2,3
wvs,Germany,opencharacter,1,2,2,2,6,2,3
wvs,Germany,opencharacter,2,2,2,2,5,2,3
wvs,Germany,opencharacter,3,2,3,2,5,2,3
wvs,Germany,opencharacter,4,2,2,2,7,2,3
wvs,Germany,opencharacter,5,2,2,2,5,2,2
wvs,Germany,opencharacter,6,2,2,2,6,2,2
wvs,Germany,opencharacter,7,2,3,2,4,2,2
wvs,Germany,opencharacter,8,2,3,2,7,2,3
wvs,Germany,opencharacter,9,2,3,2,6,2,3
wvs,Germany,opencharacter,10,2,3,2,5,2,3
wvs,Germany,opencharacter,11,2,2,2,6,3,3
wvs,Germany,opencharacter,12,2,3,2,6,2,3
wvs,Germany,opencharacter,13,2,2,2,6,2,3
wvs,Germany,opencharacter,14,2,3,2,6,2,3
wvs,Germany,opencharacter,15,2,2,1,7,2,3
wvs,Germany,opencharacter,16,2,2,2,5,2,3
wvs,Germany,opencharacter,17,2,3,2,6,2,3
wvs,Germany,opencharacter,18,2,3,1,7,2,3
wvs,Germany,opencharacter,19,2,2,2,6,2,3
wvs,Germany,opencharacter,20,2,3,2,5,2,3
wvs,Germany,opencharacter,21,2,3,2,5,2,3
wvs,Germany,opencharacter,22,2,3,2,6,2,3
wvs,Germany,opencharacter,23,2,3,1,6,2,3
wvs,Germany,opencharacter,24,2,3,2,5,2,3
wvs,Germany,opencharacter,25,2,3,2,7,2,3
wvs,Germany,opencharacter,26,2,3,1,7,2,3
wvs,Germany,opencharacter,27,2,3,2,6,2,3
wvs,Germany,opencharacter,28,2,2,2,6,2,2
wvs,Germany,opencharacter,29,2,3,2,4,2,3
wvs,Germany,opencharacter,30,2,3,2,5,2,3
wvs,Germany,opencharacter,31,2,3,2,7,2,3
wvs,Germany,opencharacter,32,2,3,2,6,2,3
wvs,Germany,opencharacter,33,2,3,2,6,2,3
wvs,Germany,opencharacter,34,2,3,2,6,2,3
wvs,Germany,opencharacter,35,2,2,2,6,2,2
wvs,Germany,opencharacter,36,2,3,2,4,3,3
wvs,Germany,opencharacter,37,2,3,2,7,2,3
wvs,Germany,opencharacter,38,2,3,2,5,2,3
wvs,Germany,opencharacter,39,2,2,2,4,2,3
wvs,Germany,opencharacter,40,2,3,2,5,2,3
wvs,Germany,opencharacter,41,2,3,2,5,2,3
wvs,Germany,opencharacter,42,2,3,2,3,3,3
wvs,Germany,opencharacter,43,2,3,2,5,2,3
wvs,Germany,opencharacter,44,2,3,2,7,2,3
wvs,Germany,opencharacter,45,2,2,2,4,2,3
wvs,Germany,opencharacter,46,2,3,2,7,2,3
wvs,Germany,opencharacter,47,2,2,1,7,2,3
wvs,Germany,opencharacter,48,2,3,1,7,2,3
wvs,Germany,opencharacter,49,2,3,2,7,2,3
wvs,Germany,opencharacter,50,2,2,2,7,2,3
wvs,Germany,opencharacter,51,2,3,2,5,2,3
wvs,Germany,opencharacter,52,2,3,2,4,2,3
wvs,Germany,opencharacter,53,2,2,2,6,2,2
wvs,Germany,opencharacter,54,2,3,2,5,2,3
wvs,Germany,opencharacter,55,2,2,2,6,2,3
wvs,Germany,opencharacter,56,2,3,2,5,2,3
wvs,Germany,opencharacter,57,2,3,2,6,2,3
wvs,Germany,opencharacter,58,2,3,2,6,2,3
wvs,Germany,opencharacter,59,2,3,1,5,2,3
wvs,Germany,opencharacter,60,2,3,1,7,2,3
wvs,Germany,opencharacter,61,2,3,2,7,2,3
wvs,Germany,opencharacter,62,2,3,2,7,2,3
wvs,Germany,opencharacter,63,2,3,2,7,2,3
