domain,country,prompt_method,respondent_id,Q45_para,Q46_para,Q57_para,Q184_para,Q218_para,Q254_para
wvs,Germany,opencharacter,0,2,2,2,6,3,3
wvs,Germany,opencharacter,1,2,2,2,6,3,3
wvs,Germany,opencharacter,2,2,2,2,6,3,3
wvs,Germany,opencharacter,3,2,3,2,6,3,3
wvs,Germany,opencharacter,4,2,2,2,5,3,3
wvs,Germany,opencharacter,5,2,2,2,6,3,3
wvs,Germany,opencharacter,6,2,2,2,6,3,3
wvs,Germany,opencharacter,7,2,2,2,7,3,3
wvs,Germany,opencharacter,8,2,2,2,5,3,3
wvs,Germany,opencharacter,9,2,3,2,5,3,3
wvs,Germany,opencharacter,10,2,2,2,5,1,3
wvs,Germany,opencharacter,11,2,2,2,6,1,3
wvs,Germany,opencharacter,12,2,3,2,4,3,3
wvs,Germany,opencharacter,13,2,2,2,6,3,3
wvs,Germany,opencharacter,14,2,3,2,4,2,3
wvs,Germany,opencharacter,15,2,2,2,6,3,3
wvs,Germany,opencharacter,16,2,2,2,5,3,3
wvs,Germany,opencharacter,17,2,2,2,2,3,3
wvs,Germany,opencharacter,18,2,2,2,6,3,3
wvs,Germany,opencharacter,19,2,2,2,6,1,3
wvs,Germany,opencharacter,20,2,2,2,5,3,3
wvs,Germany,opencharacter,21,2,2,2,6,1,3
wvs,Germany,opencharacter,22,2,2,2,1,3,3
wvs,Germany,opencharacter,23,2,2,2,1,3,3
wvs,Germany,opencharacter,24,2,3,2,6,3,3
wvs,Germany,opencharacter,25,2,3,2,6,3,3
wvs,Germany,opencharacter,26,2,3,2,6,3,3
wvs,Germany,opencharacter,27,2,3,2,6,3,3
wvs,Germany,opencharacter,28,2,2,2,6,3,3
wvs,Germany,opencharacter,29,2,2,2,5,1,3
wvs,Germany,opencharacter,30,2,3,2,6,3,3
wvs,Germany,opencharacter,31,2,2,2,6,3,3
wvs,Germany,opencharacter,32,2,2,2,6,3,3
wvs,Germany,opencharacter,33,2,3,2,6,3,3
wvs,Germany,opencharacter,34,2,3,2,5,3,3
wvs,Germany,opencharacter,35,2,2,2,5,3,2
wvs,Germany,opencharacter,36,2,2,2,5,3,3
wvs,Germany,opencharacter,37,2,2,2,5,3,3
wvs,Germany,opencharacter,38,2,3,2,3,3,3
wvs,Germany,opencharacter,39,2,2,2,5,3,3
wvs,Germany,opencharacter,40,2,2,2,2,2,3
wvs,Germany,opencharacter,41,2,3,2,5,3,3
wvs,Germany,opencharacter,42,2,2,2,6,3,3
wvs,Germany,opencharacter,43,2,3,2,5,3,3
wvs,Germany,opencharacter,44,2,2,2,7,3,3
wvs,Germany,opencharacter,45,2,2,2,6,3,3
wvs,Germany,opencharacter,46,2,2,2,6,3,3
wvs,Germany,opencharacter,47,2,2,2,5,1,3
wvs,Germany,opencharacter,48,2,2,2,6,3,3
wvs,Germany,opencharacter,49,2,3,2,6,2,3
wvs,Germany,opencharacter,50,2,2,2,5,3,3
wvs,Germany,opencharacter,51,2,2,2,6,3,3
wvs,Germany,opencharacter,52,2,2,2,5,3,3
wvs,Germany,opencharacter,53,2,2,2,5,3,3
wvs,Germany,opencharacter,54,2,2,2,6,3,3
wvs,Germany,opencharacter,55,2,2,2,5,3,3
wvs,Germany,opencharacter,56,2,3,2,6,3,3
wvs,Germany,opencharacter,57,2,3,2,5,3,3
wvs,Germany,opencharacter,58,2,2,2,6,3,3
wvs,Germany,opencharacter,59,2,2,2,6,3,3
wvs,Germany,opencharacter,60,2,2,2,6,3,3
wvs,Germany,opencharacter,61,2,3,2,5,3,3
wvs,Germany,opencharacter,62,2,2,2,6,1,3
wvs,Germany,opencharacter,63,2,2,2,5,3,3
wvs,Germany,opencharacter,64,2,2,2,5,3,3
wvs,Germany,opencharacter,65,2,2,2,6,3,3
wvs,Germany,opencharacter,66,2,2,2,6,3,3
wvs,Germany,opencharacter,67,2,2,2,6,3,3
wvs,Germany,opencharacter,68,2,2,2,6,3,3
wvs,Germany,opencharacter,69,2,2,2,6,3,3
wvs,Germany,opencharacter,70,2,3,2,5,3,3
wvs,Germany,opencharacter,71,2,3,2,6,3,3
wvs,Germany,opencharacter,72,2,2,2,6,3,3
wvs,Germany,opencharacter,73,2,2,2,5,1,3
wvs,Germany,opencharacter,74,2,2,2,6,1,3
wvs,Germany,opencharacter,75,2,2,2,5,1,3
wvs,Germany,opencharacter,76,2,3,2,5,3,3
wvs,Germany,opencharacter,77,2,2,2,6,3,3
wvs,Germany,opencharacter,78,2,2,2,5,3,3
wvs,Germany,opencharacter,79,2,3,2,5,3,3
wvs,Germany,opencharacter,80,2,3,2,6,2,3
wvs,Germany,opencharacter,81,2,2,2,6,3,3
wvs,Germany,opencharacter,82,2,2,2,5,3,3
wvs,Germany,opencharacter,83,2,2,2,6,1,3
wvs,Germany,opencharacter,84,2,2,2,6,3,3
wvs,Germany,opencharacter,85,2,3,2,6,3,3
wvs,Germany,opencharacter,86,2,2,2,6,3,3
wvs,Germany,opencharacter,87,2,2,2,6,3,3
wvs,Germany,opencharacter,88,2,2,2,5,2,3
wvs,Germany,opencharacter,89,2,2,2,6,3,3
wvs,Germany,opencharacter,90,2,2,2,6,1,3
wvs,Germany,opencharacter,91,2,2,2,6,3,3
wvs,Germany,opencharacter,92,2,2,2,6,2,3
wvs,Germany,opencharacter,93,2,2,2,6,3,3
wvs,Germany,opencharacter,94,2,3,2,6,3,3
wvs,Germany,opencharacter,95,2,3,2,6,3,3
wvs,Germany,opencharacter,96,2,2,2,5,3,3
wvs,Germany,opencharacter,97,2,2,2,6,3,3
wvs,Germany,opencharacter,98,2,2,2,6,3,3
wvs,Germany,opencharacter,99,2,2,2,5,3,3
wvs,Germany,opencharacter,100,2,3,2,2,3,3
wvs,Germany,opencharacter,101,2,2,2,6,3,3
wvs,Germany,opencharacter,102,2,2,2,6,3,3
wvs,Germany,opencharacter,103,2,2,2,5,3,3
wvs,Germany,opencharacter,104,2,2,2,6,3,3
wvs,Germany,opencharacter,105,2,2,2,5,3,3
wvs,Germany,opencharacter,106,2,3,2,6,1,3
wvs,Germany,opencharacter,107,2,2,2,5,1,3
wvs,Germany,opencharacter,108,2,2,2,6,3,3
wvs,Germany,opencharacter,109,2,2,2,6,2,3
wvs,Germany,opencharacter,110,2,2,2,5,1,3
wvs,Germany,opencharacter,111,2,2,2,5,1,3
wvs,Germany,opencharacter,112,2,3,2,7,2,3
wvs,Germany,opencharacter,113,2,2,2,6,3,3
wvs,Germany,opencharacter,114,2,2,2,4,1,3
wvs,Germany,opencharacter,115,2,2,2,5,3,3
wvs,Germany,opencharacter,116,2,2,2,6,1,3
wvs,Germany,opencharacter,117,2,2,2,4,2,3
wvs,Germany,opencharacter,118,2,2,2,7,1,3
wvs,Germany,opencharacter,119,2,3,2,5,3,3
wvs,Germany,opencharacter,120,2,2,2,5,2,3
wvs,Germany,opencharacter,121,2,2,2,3,3,3
wvs,Germany,opencharacter,122,2,2,2,2,1,3
wvs,Germany,opencharacter,123,2,2,2,6,2,3
wvs,Germany,opencharacter,124,2,2,2,6,3,3
wvs,Germany,opencharacter,125,2,2,2,6,3,3
wvs,Germany,opencharacter,126,2,2,2,5,3,3
wvs,Germany,opencharacter,127,2,2,2,5,1,3
wvs,Germany,opencharacter,128,2,2,2,6,1,3
wvs,Germany,opencharacter,129,2,2,2,5,3,3
wvs,Germany,opencharacter,130,2,2,2,5,3,3
wvs,Germany,opencharacter,131,2,2,2,5,1,3
wvs,Germany,opencharacter,132,2,2,2,6,1,3
wvs,Germany,opencharacter,133,2,3,2,5,3,3
