domain,country,prompt_method,respondent_id,Q45_rev,Q46_rev,Q57_rev,Q184_rev,Q218_rev,Q254_rev
wvs,Germany,opencharacter,0,2,4,1,7,2,3
wvs,Germany,opencharacter,1,2,4,1,6,2,3
wvs,Germany,opencharacter,2,2,4,1,7,2,3
wvs,Germany,opencharacter,3,2,4,1,7,2,3
wvs,Germany,opencharacter,4,2,4,1,7,2,3
wvs,Germany,opencharacter,5,2,3,1,7,3,3
wvs,Germany,opencharacter,6,2,4,1,7,3,3
wvs,Germany,opencharacter,7,2,4,1,7,2,3
wvs,Germany,opencharacter,8,2,4,1,8,2,3
wvs,Germany,opencharacter,9,3,3,1,8,2,3
wvs,Germany,opencharacter,10,2,4,1,8,3,3
wvs,Germany,opencharacter,11,2,4,1,8,3,3
wvs,Germany,opencharacter,12,2,3,1,6,2,3
wvs,Germany,opencharacter,13,2,4,1,8,2,3
wvs,Germany,opencharacter,14,2,4,1,8,2,3
wvs,Germany,opencharacter,15,2,4,1,8,2,3
wvs,Germany,opencharacter,16,2,4,1,6,3,3
wvs,Germany,opencharacter,17,2,4,1,7,2,3
wvs,Germany,opencharacter,18,2,4,1,7,3,3
wvs,Germany,opencharacter,19,2,4,1,7,3,3
wvs,Germany,opencharacter,20,2,4,1,6,3,3
wvs,Germany,opencharacter,21,2,4,1,7,3,3
wvs,Germany,opencharacter,22,2,4,1,8,2,3
wvs,Germany,opencharacter,23,2,4,1,7,3,3
wvs,Germany,opencharacter,24,2,4,1,7,3,3
wvs,Germany,opencharacter,25,2,3,1,8,2,3
wvs,Germany,opencharacter,26,2,3,1,8,2,3
wvs,Germany,opencharacter,27,2,3,1,8,3,3
wvs,Germany,opencharacter,28,2,4,1,8,3,3
wvs,Germany,opencharacter,29,2,3,1,7,2,3
wvs,Germany,opencharacter,30,2,4,1,8,2,3
wvs,Germany,opencharacter,31,2,4,1,7,3,3
wvs,Germany,opencharacter,32,2,3,1,6,3,4
wvs,Germany,opencharacter,33,2,4,1,7,2,3
wvs,Germany,opencharacter,34,2,3,1,8,2,3
wvs,Germany,opencharacter,35,2,4,1,8,2,3
wvs,Germany,opencharacter,36,2,4,1,8,2,3
wvs,Germany,opencharacter,37,2,4,1,8,3,3
wvs,Germany,opencharacter,38,2,4,1,7,3,3
wvs,Germany,opencharacter,39,2,4,1,8,2,3
wvs,Germany,opencharacter,40,2,4,1,7,3,3
wvs,Germany,opencharacter,41,2,3,1,9,2,4
wvs,Germany,opencharacter,42,2,4,1,7,3,3
wvs,Germany,opencharacter,43,2,4,1,8,2,3
wvs,Germany,opencharacter,44,2,4,1,8,2,3
wvs,Germany,opencharacter,45,2,4,1,6,3,3
wvs,Germany,opencharacter,46,2,4,1,7,2,3
wvs,Germany,opencharacter,47,2,4,1,7,3,3
wvs,Germany,opencharacter,48,2,3,1,7,2,3
wvs,Germany,opencharacter,49,2,4,1,8,2,3
wvs,Germany,opencharacter,50,2,4,1,7,2,3
wvs,Germany,opencharacter,51,2,4,1,8,3,3
wvs,Germany,opencharacter,52,2,3,1,8,3,3
wvs,Germany,opencharacter,53,3,4,1,7,3,3
wvs,Germany,opencharacter,54,2,4,1,8,3,3
wvs,Germany,opencharacter,55,2,4,1,8,3,3
