domain,country,prompt_method,respondent_id,Q45,Q46,Q57,Q184,Q218,Q254
wvs,India,cultural,0,3,2,2,7,3,1
wvs,India,cultural,1,3,2,2,7,2,1
wvs,India,cultural,2,3,2,2,6,3,1
wvs,India,cultural,3,3,2,2,7,3,2
wvs,India,cultural,4,3,2,2,7,3,1
wvs,India,cultural,5,3,2,2,7,2,1
wvs,India,cultural,6,3,2,2,6,2,1
wvs,India,cultural,7,3,2,2,6,2,1
wvs,India,cultural,8,3,2,2,7,2,1
wvs,India,cultural,9,3,2,2,7,3,1
wvs,India,cultural,10,3,2,2,7,3,1
wvs,India,cultural,11,3,2,2,7,3,1
wvs,India,cultural,12,3,2,2,8,2,1
wvs,India,cultural,13,3,2,2,8,2,2
wvs,India,cultural,14,3,2,2,7,2,1
wvs,India,cultural,15,3,2,2,7,2,1
wvs,India,cultural,16,3,2,2,7,3,1
wvs,India,cultural,17,3,2,2,7,3,1
wvs,India,cultural,18,3,2,2,7,2,1
wvs,India,cultural,19,3,2,2,6,3,1
wvs,India,cultural,20,3,2,2,7,3,1
wvs,India,cultural,21,3,2,2,6,2,1
wvs,India,cultural,22,3,2,2,7,3,1
wvs,India,cultural,23,3,2,2,6,2,1
wvs,India,cultural,24,3,2,2,6,2,1
wvs,India,cultural,25,3,2,2,6,3,1
wvs,India,cultural,26,3,2,2,7,2,1
wvs,India,cultural,27,3,2,2,7,2,1
wvs,India,cultural,28,3,2,2,7,2,1
wvs,India,cultural,29,3,2,2,7,2,1
wvs,India,cultural,30,3,2,2,7,2,1
wvs,India,cultural,31,3,2,2,6,3,1
wvs,India,cultural,32,3,2,2,7,3,1
wvs,India,cultural,33,3,2,2,6,2,1
wvs,India,cultural,34,3,2,2,7,2,1
wvs,India,cultural,35,3,2,2,7,2,1
wvs,India,cultural,36,3,2,2,7,3,1
wvs,India,cultural,37,3,2,2,7,2,1
wvs,India,cultural,38,3,2,2,6,3,1
wvs,India,cultural,39,3,2,2,6,3,1
wvs,India,cultural,40,3,2,2,6,2,1
wvs,India,cultural,41,3,2,2,7,3,1
wvs,India,cultural,42,3,2,2,7,2,1
wvs,India,cultural,43,3,2,2,7,2,1
wvs,India,cultural,44,3,2,2,7,2,1
wvs,India,cultural,45,3,2,2,6,2,1
wvs,India,cultural,46,3,2,2,7,2,1
wvs,India,cultural,47,3,2,2,7,2,1
wvs,India,cultural,48,3,2,2,6,2,2
wvs,India,cultural,49,3,2,2,6,2,1
wvs,India,cultural,50,3,2,2,7,3,1
wvs,India,cultural,51,3,2,2,5,3,1
wvs,India,cultural,52,3,2,2,7,2,1
wvs,India,cultural,53,3,2,2,7,3,1
wvs,India,cultural,54,3,2,2,7,2,1
wvs,India,cultural,55,3,2,2,7,2,1
wvs,India,cultural,56,3,2,2,6,3,1
wvs,India,cultural,57,3,2,2,7,2,1
wvs,India,cultural,58,3,2,2,7,2,1
wvs,India,cultural,59,3,2,2,7,2,1
wvs,India,cultural,60,3,2,2,6,3,1
wvs,India,cultural,61,3,2,2,7,2,1
wvs,India,cultural,62,3,2,2,7,2,1
wvs,India,cultural,63,3,2,2,7,2,2
wvs,India,cultural,64,3,2,2,7,2,1
wvs,India,cultural,65,3,2,2,7,2,1
wvs,India,cultural,66,3,2,2,7,3,1
wvs,India,cultural,67,3,2,2,7,2,1
wvs,India,cultural,68,3,2,2,7,2,1
wvs,India,cultural,69,3,2,2,7,2,1
wvs,India,cultural,70,3,2,2,6,2,1
wvs,India,cultural,71,3,2,2,7,3,1
wvs,India,cultural,72,3,2,2,6,3,1
wvs,India,cultural,73,3,2,2,7,2,1
wvs,India,cultural,74,3,2,2,7,2,2
wvs,India,cultural,75,3,2,2,6,2,1
wvs,India,cultural,76,3,2,2,7,2,1
wvs,India,cultural,77,3,2,2,6,2,1
wvs,India,cultural,78,3,2,2,5,3,1
wvs,India,cultural,79,3,2,2,6,2,1
wvs,India,cultural,80,3,2,2,7,2,1
wvs,India,cultural,81,3,2,2,6,2,1
wvs,India,cultural,82,3,2,2,7,2,1
wvs,India,cultural,83,3,2,2,7,3,1
wvs,India,cultural,84,3,2,2,6,3,1
wvs,India,cultural,85,3,2,2,6,2,1
wvs,India,cultural,86,3,2,2,7,3,1
wvs,India,cultural,87,3,2,2,7,2,1
wvs,India,cultural,88,3,2,2,7,2,1
wvs,India,cultural,89,3,2,2,6,2,2
wvs,India,cultural,90,3,2,2,7,3,1
wvs,India,cultural,91,3,2,2,6,2,1
wvs,India,cultural,92,3,2,2,7,2,1
wvs,India,cultural,93,3,2,2,7,2,1
wvs,India,cultural,94,3,2,2,6,2,1
wvs,India,cultural,95,3,2,2,7,2,1
wvs,India,cultural,96,3,2,2,7,3,1
wvs,India,cultural,97,3,2,2,8,2,1
wvs,India,cultural,98,3,2,2,7,2,1
wvs,India,cultural,99,3,2,2,6,2,1
wvs,India,cultural,100,3,2,2,7,3,1
wvs,India,cultural,101,3,2,2,8,2,1
wvs,India,cultural,102,3,2,2,7,2,1
wvs,India,cultural,103,3,2,2,5,2,1
wvs,India,cultural,104,3,2,2,7,3,1
wvs,India,cultural,105,3,2,2,6,2,1
wvs,India,cultural,106,3,2,2,7,2,1
wvs,India,cultural,107,3,2,2,7,2,1
wvs,India,cultural,108,3,2,2,7,2,1
wvs,India,cultural,109,3,2,2,7,3,1
wvs,India,cultural,110,3,2,2,7,2,1
wvs,India,cultural,111,3,2,2,7,3,1
wvs,India,cultural,112,3,2,2,5,2,1
wvs,India,cultural,113,3,2,2,7,3,1
wvs,India,cultural,114,3,2,2,6,3,2
wvs,India,cultural,115,3,2,2,6,2,1
wvs,India,cultural,116,3,2,2,7,3,1
wvs,India,cultural,117,3,2,2,6,2,1
wvs,India,cultural,118,3,2,2,6,2,1
wvs,India,cultural,119,3,2,2,6,2,2
wvs,India,cultural,120,3,2,2,7,3,1
wvs,India,cultural,121,3,2,2,7,3,1
wvs,India,cultural,122,3,2,2,7,2,1
wvs,India,cultural,123,3,2,2,7,2,1
wvs,India,cultural,124,3,2,2,7,2,1
wvs,India,cultural,125,3,2,2,6,3,1
wvs,India,cultural,126,3,2,2,7,2,1
wvs,India,cultural,127,3,2,2,7,3,1
wvs,India,cultural,128,3,2,2,7,2,1
wvs,India,cultural,129,3,2,2,7,2,2
wvs,India,cultural,130,3,2,2,6,2,1
wvs,India,cultural,131,3,2,2,6,2,1
wvs,India,cultural,132,3,2,2,6,2,1
wvs,India,cultural,133,3,2,2,5,2,1
wvs,India,cultural,134,3,2,2,7,2,1
wvs,India,cultural,135,3,2,2,5,2,1
wvs,India,cultural,136,3,2,2,7,2,1
wvs,India,cultural,137,3,2,2,7,2,1
wvs,India,cultural,138,3,2,2,7,2,1
wvs,India,cultural,139,3,2,2,7,3,1
wvs,India,cultural,140,3,2,2,7,2,1
wvs,India,cultural,141,3,2,2,6,2,1
wvs,India,cultural,142,3,2,2,7,2,1
wvs,India,cultural,143,3,2,2,6,2,1
wvs,India,cultural,144,3,2,2,8,3,1
wvs,India,cultural,145,3,2,2,7,2,1
wvs,India,cultural,146,3,2,2,6,2,1
wvs,India,cultural,147,3,2,2,5,3,1
wvs,India,cultural,148,3,2,2,7,2,1
wvs,India,cultural,149,3,2,2,6,2,1
wvs,India,cultural,150,3,2,2,7,2,1
wvs,India,cultural,151,3,2,2,7,2,1
wvs,India,cultural,152,3,2,2,7,2,1
