domain,country,prompt_method,respondent_id,Q45_rev,Q46_rev,Q57_rev,Q184_rev,Q218_rev,Q254_rev
wvs,India,cultural,0,2,3,1,7,1,3
wvs,India,cultural,1,2,4,1,8,2,3
wvs,India,cultural,2,3,4,1,7,1,3
wvs,India,cultural,3,2,3,1,8,2,3
wvs,India,cultural,4,3,4,1,7,1,3
wvs,India,cultural,5,3,4,1,8,1,3
wvs,India,cultural,6,2,4,1,8,2,3
wvs,India,cultural,7,2,4,1,8,2,3
wvs,India,cultural,8,3,3,1,8,1,3
wvs,India,cultural,9,2,4,1,8,1,3
wvs,India,cultural,10,2,4,1,6,1,3
wvs,India,cultural,11,2,4,1,7,2,3
wvs,India,cultural,12,3,3,1,7,1,3
wvs,India,cultural,13,2,4,1,8,1,3
wvs,India,cultural,14,3,3,1,8,1,3
wvs,India,cultural,15,2,3,1,7,1,3
wvs,India,cultural,16,2,4,1,8,1,3
wvs,India,cultural,17,2,3,1,8,2,3
wvs,India,cultural,18,2,4,1,7,1,3
wvs,India,cultural,19,2,4,1,8,2,3
wvs,India,cultural,20,2,3,1,8,2,3
wvs,India,cultural,21,2,3,1,8,2,3
wvs,India,cultural,22,3,3,1,6,2,3
wvs,India,cultural,23,3,3,1,8,1,3
wvs,India,cultural,24,2,4,1,10,1,3
wvs,India,cultural,25,3,3,1,8,1,3
wvs,India,cultural,26,2,4,1,8,1,3
wvs,India,cultural,27,3,3,1,7,3,3
wvs,India,cultural,28,3,4,1,8,1,3
wvs,India,cultural,29,3,4,1,7,1,3
wvs,India,cultural,30,3,3,1,7,1,3
wvs,India,cultural,31,3,3,1,8,2,3
wvs,India,cultural,32,2,4,1,6,1,3
wvs,India,cultural,33,2,4,1,8,2,3
wvs,India,cultural,34,2,4,1,10,1,3
wvs,India,cultural,35,2,3,1,8,2,3
wvs,India,cultural,36,2,3,1,7,1,3
wvs,India,cultural,37,3,4,1,8,1,3
wvs,India,cultural,38,2,4,1,8,1,3
wvs,India,cultural,39,2,3,1,7,1,3
wvs,India,cultural,40,2,3,1,7,2,3
wvs,India,cultural,41,2,3,1,10,1,3
wvs,India,cultural,42,3,3,1,8,2,3
wvs,India,cultural,43,2,4,1,8,2,3
wvs,India,cultural,44,2,4,1,8,1,3
wvs,India,cultural,45,2,4,1,10,1,3
wvs,India,cultural,46,2,4,1,8,1,3
wvs,India,cultural,47,2,4,1,8,1,3
wvs,India,cultural,48,2,3,1,7,2,3
wvs,India,cultural,49,2,3,1,7,1,3
wvs,India,cultural,50,2,3,1,8,2,3
wvs,India,cultural,51,2,4,1,8,1,3
wvs,India,cultural,52,2,4,1,8,1,3
wvs,India,cultural,53,3,4,1,8,2,3
wvs,India,cultural,54,2,4,1,7,2,3
wvs,India,cultural,55,2,3,1,6,3,3
wvs,India,cultural,56,2,4,1,8,2,3
wvs,India,cultural,57,2,3,1,8,1,3
wvs,India,cultural,58,2,3,1,7,1,3
wvs,India,cultural,59,2,4,1,9,1,3
wvs,India,cultural,60,3,3,1,8,2,3
wvs,India,cultural,61,2,3,1,7,3,3
wvs,India,cultural,62,3,4,1,8,1,3
wvs,India,cultural,63,3,4,1,7,1,3
wvs,India,cultural,64,2,4,1,8,2,3
wvs,India,cultural,65,3,4,1,8,1,3
wvs,India,cultural,66,3,3,1,8,1,3
wvs,India,cultural,67,2,4,1,8,2,3
wvs,India,cultural,68,2,3,1,10,1,3
wvs,India,cultural,69,2,3,1,10,1,3
wvs,India,cultural,70,3,4,1,7,1,3
wvs,India,cultural,71,2,4,1,7,1,3
wvs,India,cultural,72,2,3,1,8,2,3
wvs,India,cultural,73,2,4,1,7,1,3
wvs,India,cultural,74,3,4,1,8,2,3
wvs,India,cultural,75,3,4,1,7,1,3
wvs,India,cultural,76,3,4,1,7,1,3
wvs,India,cultural,77,3,4,1,7,1,3
wvs,India,cultural,78,3,4,1,8,1,3
wvs,India,cultural,79,3,4,1,7,1,3
wvs,India,cultural,80,2,4,1,6,1,3
wvs,India,cultural,81,2,4,1,10,1,3
wvs,India,cultural,82,2,3,1,8,2,3
wvs,India,cultural,83,3,3,1,8,1,3
wvs,India,cultural,84,3,4,1,8,3,3
wvs,India,cultural,85,2,4,1,8,1,3
wvs,India,cultural,86,2,3,1,8,2,3
wvs,India,cultural,87,2,3,1,7,2,3
wvs,India,cultural,88,2,4,1,10,1,3
