domain,country,prompt_method,respondent_id,Q45,Q46,Q57,Q184,Q218,Q254
wvs,India,deep_persona,0,1,4,2,2,2,2
wvs,India,deep_persona,1,1,4,2,2,2,4
wvs,India,deep_persona,2,2,4,2,5,1,2
wvs,India,deep_persona,3,3,4,2,4,1,2
wvs,India,deep_persona,4,3,2,2,8,2,2
wvs,India,deep_persona,5,1,4,2,1,1,4
wvs,India,deep_persona,6,3,4,2,4,2,4
wvs,India,deep_persona,7,1,4,2,3,1,4
wvs,India,deep_persona,8,3,2,2,7,2,2
wvs,India,deep_persona,9,1,4,2,3,2,4
wvs,India,deep_persona,10,1,4,2,4,2,4
wvs,India,deep_persona,11,3,2,2,7,3,2
wvs,India,deep_persona,12,3,4,2,4,2,2
wvs,India,deep_persona,13,1,4,2,1,1,4
wvs,India,deep_persona,14,2,4,2,4,2,2
wvs,India,deep_persona,15,3,4,2,8,2,2
wvs,India,deep_persona,16,1,4,2,2,1,4
wvs,India,deep_persona,17,3,4,2,5,1,2
wvs,India,deep_persona,18,2,4,2,6,2,2
wvs,India,deep_persona,19,3,2,2,7,2,1
wvs,India,deep_persona,20,1,4,2,3,1,4
wvs,India,deep_persona,21,3,4,2,4,1,4
wvs,India,deep_persona,22,1,4,2,4,2,2
wvs,India,deep_persona,23,3,2,2,7,1,2
wvs,India,deep_persona,24,3,4,2,7,1,2
wvs,India,deep_persona,25,2,4,2,4,2,2
wvs,India,deep_persona,26,3,4,2,6,2,2
wvs,India,deep_persona,27,3,4,2,4,1,4
wvs,India,deep_persona,28,2,4,2,7,2,2
wvs,India,deep_persona,29,1,4,2,3,2,4
wvs,India,deep_persona,30,3,4,2,3,2,2
wvs,India,deep_persona,31,1,4,2,2,1,4
wvs,India,deep_persona,32,1,4,2,1,2,2
wvs,India,deep_persona,33,3,4,2,4,1,2
wvs,India,deep_persona,34,1,4,2,4,2,2
wvs,India,deep_persona,35,3,4,2,1,2,4
wvs,India,deep_persona,36,1,4,2,4,3,2
wvs,India,deep_persona,37,1,4,2,6,2,2
wvs,India,deep_persona,38,3,4,2,5,2,2
wvs,India,deep_persona,39,2,2,2,2,2,1
wvs,India,deep_persona,40,3,4,2,5,1,2
wvs,India,deep_persona,41,1,4,2,1,2,4
wvs,India,deep_persona,42,3,4,2,5,2,2
wvs,India,deep_persona,43,2,2,2,6,1,2
wvs,India,deep_persona,44,1,4,2,1,1,4
wvs,India,deep_persona,45,1,4,2,4,3,2
wvs,India,deep_persona,46,1,2,2,7,3,2
wvs,India,deep_persona,47,2,4,2,2,1,2
wvs,India,deep_persona,48,1,4,2,5,1,4
