domain,country,prompt_method,respondent_id,Q45,Q46,Q57,Q184,Q218,Q254
wvs,India,opencharacter,0,3,3,2,5,2,2
wvs,India,opencharacter,1,3,2,2,6,2,2
wvs,India,opencharacter,2,3,3,2,6,2,2
wvs,India,opencharacter,3,3,3,2,5,2,2
wvs,India,opencharacter,4,3,3,2,5,2,2
wvs,India,opencharacter,5,3,3,2,4,2,2
wvs,India,opencharacter,6,3,3,2,6,2,2
wvs,India,opencharacter,7,3,3,2,4,2,2
wvs,India,opencharacter,8,3,3,2,6,2,2
wvs,India,opencharacter,9,3,3,2,6,2,2
wvs,India,opencharacter,10,3,3,2,4,2,2
wvs,India,opencharacter,11,3,2,2,7,2,2
wvs,India,opencharacter,12,3,3,2,6,2,2
wvs,India,opencharacter,13,3,2,2,7,2,2
wvs,India,opencharacter,14,3,3,2,4,2,2
wvs,India,opencharacter,15,3,3,2,6,2,2
wvs,India,opencharacter,16,3,3,2,6,2,2
wvs,India,opencharacter,17,3,3,2,7,2,2
wvs,India,opencharacter,18,3,3,2,4,2,2
wvs,India,opencharacter,19,3,3,2,7,2,2
wvs,India,opencharacter,20,3,3,2,6,2,2
wvs,India,opencharacter,21,3,3,2,6,2,2
wvs,India,opencharacter,22,3,3,2,4,2,2
wvs,India,opencharacter,23,3,3,2,5,2,2
wvs,India,opencharacter,24,3,3,2,6,2,2
wvs,India,opencharacter,25,3,3,2,3,2,2
wvs,India,opencharacter,26,3,3,2,6,2,2
wvs,India,opencharacter,27,3,3,2,6,2,2
wvs,India,opencharacter,28,3,3,2,6,2,2
wvs,India,opencharacter,29,3,3,2,6,2,2
wvs,India,opencharacter,30,3,3,2,5,2,2
wvs,India,opencharacter,31,3,3,2,6,2,2
wvs,India,opencharacter,32,3,3,2,6,2,2
wvs,India,opencharacter,33,3,3,2,6,2,2
wvs,India,opencharacter,34,3,3,2,6,2,2
wvs,India,opencharacter,35,3,3,2,6,2,2
wvs,India,opencharacter,36,3,3,2,5,1,2
wvs,India,opencharacter,37,3,4,2,6,2,2
wvs,India,opencharacter,38,3,3,2,6,2,2
wvs,India,opencharacter,39,3,3,2,7,2,2
wvs,India,opencharacter,40,3,3,2,5,2,2
wvs,India,opencharacter,41,3,3,2,5,2,2
wvs,India,opencharacter,42,3,3,2,6,2,2
wvs,India,opencharacter,43,3,3,2,7,2,2
wvs,India,opencharacter,44,3,3,2,6,2,2
wvs,India,opencharacter,45,3,3,2,5,2,2
wvs,India,opencharacter,46,3,3,2,5,2,2
wvs,India,opencharacter,47,3,3,2,7,2,2
wvs,India,opencharacter,48,3,3,2,4,2,2
wvs,India,opencharacter,49,3,3,2,5,2,2
wvs,India,opencharacter,50,3,3,2,7,2,2
wvs,India,opencharacter,51,3,3,2,5,2,2
wvs,India,opencharacter,52,3,3,2,5,2,2
wvs,India,opencharacter,53,3,3,2,5,2,2
wvs,India,opencharacter,54,3,3,2,7,2,2
wvs,India,opencharacter,55,3,3,2,6,2,2
wvs,India,opencharacter,56,3,2,2,6,2,2
wvs,India,opencharacter,57,3,3,2,6,2,2
wvs,India,opencharacter,58,3,3,2,4,2,2
wvs,India,opencharacter,59,3,3,2,4,2,2
wvs,India,opencharacter,60,3,3,2,6,2,2
wvs,India,opencharacter,61,3,3,2,5,2,2
wvs,India,opencharacter,62,3,3,2,5,2,2
wvs,India,opencharacter,63,3,3,2,6,2,2
wvs,India,opencharacter,64,3,3,2,5,2,2
wvs,India,opencharacter,65,3,3,2,6,2,2
wvs,India,opencharacter,66,3,2,2,6,2,2
wvs,India,opencharacter,67,3,3,2,5,2,2
wvs,India,opencharacter,68,3,4,2,5,1,2
wvs,India,opencharacter,69,3,3,2,6,2,2
wvs,India,opencharacter,70,3,3,2,5,2,2
wvs,India,opencharacter,71,3,3,2,4,2,2
wvs,India,opencharacter,72,3,3,2,6,2,2
wvs,India,opencharacter,73,3,3,2,4,2,2
wvs,India,opencharacter,74,3,3,2,6,2,2
wvs,India,opencharacter,75,3,3,2,6,2,2
wvs,India,opencharacter,76,3,3,2,5,2,2
wvs,India,opencharacter,77,3,3,2,5,2,2
wvs,India,opencharacter,78,3,3,2,4,2,2
wvs,India,opencharacter,79,3,3,2,5,2,2
wvs,India,opencharacter,80,3,3,2,6,2,2
wvs,India,opencharacter,81,3,3,2,6,2,2
wvs,India,opencharacter,82,3,3,2,6,2,2
wvs,India,opencharacter,83,3,3,2,4,2,2
wvs,India,opencharacter,84,3,3,2,6,2,2
wvs,India,opencharacter,85,3,3,2,5,2,2
wvs,India,opencharacter,86,3,3,2,4,2,2
wvs,India,opencharacter,87,3,3,2,4,2,2
wvs,India,opencharacter,88,3,3,2,5,2,2
wvs,India,opencharacter,89,3,3,2,6,2,2
wvs,India,opencharacter,90,3,3,2,6,2,2
wvs,India,opencharacter,91,3,2,2,7,2,2
wvs,India,opencharacter,92,3,3,2,5,2,2
wvs,India,opencharacter,93,3,3,2,5,2,2
wvs,India,opencharacter,94,3,2,2,6,2,2
wvs,India,opencharacter,95,3,3,2,5,2,2
wvs,India,opencharacter,96,3,3,2,6,2,2
wvs,India,opencharacter,97,3,3,2,4,2,2
wvs,India,opencharacter,98,3,3,2,4,2,2
wvs,India,opencharacter,99,3,3,2,5,2,2
wvs,India,opencharacter,100,3,3,2,5,1,2
wvs,India,opencharacter,101,3,3,2,5,2,2
wvs,India,opencharacter,102,3,3,2,6,2,2
wvs,India,opencharacter,103,3,2,2,5,2,2
wvs,India,opencharacter,104,3,3,2,6,2,2
wvs,India,opencharacter,105,3,3,2,5,2,2
wvs,India,opencharacter,106,3,3,2,5,2,2
wvs,India,opencharacter,107,3,3,2,6,2,2
wvs,India,opencharacter,108,3,2,2,5,2,2
wvs,India,opencharacter,109,3,3,2,4,2,2
wvs,India,opencharacter,110,3,3,2,4,1,2
wvs,India,opencharacter,111,3,3,2,6,2,2
wvs,India,opencharacter,112,3,3,2,6,2,2
wvs,India,opencharacter,113,3,3,2,5,2,2
wvs,India,opencharacter,114,3,3,2,5,2,2
wvs,India,opencharacter,115,3,2,2,7,2,2
wvs,India,opencharacter,116,3,3,2,4,2,2
wvs,India,opencharacter,117,3,3,2,7,2,2
wvs,India,opencharacter,118,3,3,2,5,2,2
wvs,India,opencharacter,119,3,3,2,6,2,2
wvs,India,opencharacter,120,3,3,2,6,2,2
wvs,India,opencharacter,121,3,3,2,5,2,2
wvs,India,opencharacter,122,3,3,2,6,2,2
wvs,India,opencharacter,123,3,2,2,6,2,2
wvs,India,opencharacter,124,2,3,2,6,2,2
wvs,India,opencharacter,125,2,3,2,5,2,2
wvs,India,opencharacter,126,3,3,2,7,2,2
