domain,country,prompt_method,respondent_id,Q45_rev,Q46_rev,Q57_rev,Q184_rev,Q218_rev,Q254_rev
wvs,India,opencharacter,0,2,4,1,8,3,3
wvs,India,opencharacter,1,2,4,1,7,2,3
wvs,India,opencharacter,2,2,4,1,8,2,3
wvs,India,opencharacter,3,2,3,1,8,2,3
wvs,India,opencharacter,4,2,4,1,8,2,3
wvs,India,opencharacter,5,2,3,1,6,2,3
wvs,India,opencharacter,6,2,4,1,8,3,3
wvs,India,opencharacter,7,3,3,1,7,2,3
wvs,India,opencharacter,8,2,3,1,8,2,3
wvs,India,opencharacter,9,2,4,1,8,2,3
wvs,India,opencharacter,10,2,4,1,8,2,3
wvs,India,opencharacter,11,2,4,1,8,2,3
wvs,India,opencharacter,12,2,3,1,8,2,3
wvs,India,opencharacter,13,2,4,1,7,2,3
wvs,India,opencharacter,14,3,3,1,6,2,3
wvs,India,opencharacter,15,2,3,1,7,2,3
wvs,India,opencharacter,16,2,4,1,7,2,3
wvs,India,opencharacter,17,2,4,1,7,3,3
wvs,India,opencharacter,18,2,4,1,8,2,3
wvs,India,opencharacter,19,2,4,1,8,2,3
wvs,India,opencharacter,20,2,4,1,8,3,3
wvs,India,opencharacter,21,2,4,1,8,2,3
wvs,India,opencharacter,22,2,4,1,10,2,3
wvs,India,opencharacter,23,2,4,1,8,2,3
wvs,India,opencharacter,24,2,4,1,8,2,3
wvs,India,opencharacter,25,2,3,1,10,2,3
wvs,India,opencharacter,26,2,3,1,8,2,3
wvs,India,opencharacter,27,2,4,1,7,2,3
wvs,India,opencharacter,28,2,4,1,8,2,3
wvs,India,opencharacter,29,2,4,1,7,2,3
wvs,India,opencharacter,30,2,4,1,7,2,3
wvs,India,opencharacter,31,2,4,1,7,2,3
wvs,India,opencharacter,32,2,4,1,7,2,3
wvs,India,opencharacter,33,2,4,1,8,2,3
wvs,India,opencharacter,34,2,4,1,7,2,3
wvs,India,opencharacter,35,2,4,1,6,2,3
wvs,India,opencharacter,36,2,4,1,6,2,3
wvs,India,opencharacter,37,2,3,1,7,2,3
wvs,India,opencharacter,38,2,4,1,8,2,3
wvs,India,opencharacter,39,2,4,1,7,2,3
wvs,India,opencharacter,40,2,3,1,8,2,3
wvs,India,opencharacter,41,2,3,1,8,2,3
wvs,India,opencharacter,42,2,4,1,6,2,3
wvs,India,opencharacter,43,2,3,1,6,2,3
wvs,India,opencharacter,44,2,3,1,7,3,3
wvs,India,opencharacter,45,2,4,1,5,2,3
wvs,India,opencharacter,46,2,4,1,7,3,3
wvs,India,opencharacter,47,2,4,1,8,2,3
wvs,India,opencharacter,48,2,3,1,8,2,3
wvs,India,opencharacter,49,2,3,1,8,2,3
wvs,India,opencharacter,50,2,4,1,6,2,3
wvs,India,opencharacter,51,2,4,1,7,2,3
wvs,India,opencharacter,52,2,4,1,8,2,3
wvs,India,opencharacter,53,2,4,1,8,2,3
wvs,India,opencharacter,54,2,3,1,7,2,3
wvs,India,opencharacter,55,2,3,1,8,2,3
wvs,India,opencharacter,56,2,3,1,8,2,3
wvs,India,opencharacter,57,2,4,1,8,2,3
wvs,India,opencharacter,58,2,3,1,8,2,3
wvs,India,opencharacter,59,2,3,1,7,2,3
wvs,India,opencharacter,60,2,3,1,7,2,3
wvs,India,opencharacter,61,2,3,1,7,2,3
wvs,India,opencharacter,62,2,3,1,8,2,3
wvs,India,opencharacter,63,2,3,1,8,2,3
wvs,India,opencharacter,64,2,3,1,8,2,3
wvs,India,opencharacter,65,2,4,1,8,2,3
wvs,India,opencharacter,66,2,3,1,8,2,3
wvs,India,opencharacter,67,2,3,1,7,3,3
wvs,India,opencharacter,68,2,4,1,7,2,3
wvs,India,opencharacter,69,2,3,1,7,2,3
wvs,India,opencharacter,70,2,3,1,7,2,3
wvs,India,opencharacter,71,2,4,1,10,2,3
wvs,India,opencharacter,72,2,4,1,8,2,3
wvs,India,opencharacter,73,3,4,1,10,2,3
wvs,India,opencharacter,74,2,4,1,7,3,3
wvs,India,opencharacter,75,2,4,1,6,2,3
wvs,India,opencharacter,76,2,4,1,7,2,3
wvs,India,opencharacter,77,2,4,1,8,2,3
wvs,India,opencharacter,78,2,4,1,7,2,3
wvs,India,opencharacter,79,2,4,1,8,2,3
wvs,India,opencharacter,80,2,4,1,8,3,3
wvs,India,opencharacter,81,2,4,1,7,2,3
wvs,India,opencharacter,82,2,4,1,8,2,3
wvs,India,opencharacter,83,3,3,1,7,2,3
wvs,India,opencharacter,84,2,4,1,8,2,3
wvs,India,opencharacter,85,2,3,1,8,2,3
wvs,India,opencharacter,86,2,4,1,5,2,3
wvs,India,opencharacter,87,3,3,1,8,2,3
wvs,India,opencharacter,88,3,3,1,8,2,3
wvs,India,opencharacter,89,2,4,1,8,2,3
wvs,India,opencharacter,90,2,3,1,6,2,3
wvs,India,opencharacter,91,2,3,1,7,3,3
wvs,India,opencharacter,92,2,3,1,8,2,3
wvs,India,opencharacter,93,2,3,1,8,2,3
wvs,India,opencharacter,94,2,3,1,7,2,3
wvs,India,opencharacter,95,2,4,1,7,2,3
wvs,India,opencharacter,96,2,4,1,8,2,3
wvs,India,opencharacter,97,2,3,1,6,2,3
wvs,India,opencharacter,98,2,4,1,7,2,3
wvs,India,opencharacter,99,2,3,1,5,2,3
wvs,India,opencharacter,100,2,3,1,8,2,3
wvs,India,opencharacter,101,3,4,1,8,2,3
wvs,India,opencharacter,102,2,3,1,6,2,3
wvs,India,opencharacter,103,2,4,1,8,2,3
wvs,India,opencharacter,104,2,3,1,8,3,3
wvs,India,opencharacter,105,2,4,1,7,2,3
wvs,India,opencharacter,106,2,3,1,8,2,3
wvs,India,opencharacter,107,2,3,1,8,2,3
wvs,India,opencharacter,108,2,3,1,8,3,3
wvs,India,opencharacter,109,2,4,1,8,2,3
wvs,India,opencharacter,110,2,4,1,8,2,3
wvs,India,opencharacter,111,2,4,1,7,2,3
wvs,India,opencharacter,112,2,4,1,8,3,3
wvs,India,opencharacter,113,2,4,1,7,2,3
wvs,India,opencharacter,114,2,4,1,10,2,3
wvs,India,opencharacter,115,2,4,1,8,2,3
wvs,India,opencharacter,116,2,3,1,7,2,3
wvs,India,opencharacter,117,2,3,1,8,2,3
wvs,India,opencharacter,118,2,3,1,6,3,3
wvs,India,opencharacter,119,2,3,1,7,3,3
wvs,India,opencharacter,120,2,4,1,8,2,3
wvs,India,opencharacter,121,2,4,1,8,2,3
wvs,India,opencharacter,122,3,4,1,8,2,3
wvs,India,opencharacter,123,2,3,1,8,2,3
wvs,India,opencharacter,124,2,3,1,7,2,3
wvs,India,opencharacter,125,2,3,1,8,2,3
wvs,India,opencharacter,126,2,4,1,7,3,3
wvs,India,opencharacter,127,2,4,1,8,2,3
wvs,India,opencharacter,128,2,3,1,8,2,3
wvs,India,opencharacter,129,2,4,1,8,2,3
wvs,India,opencharacter,130,2,3,1,8,2,3
wvs,India,opencharacter,131,2,4,1,6,2,3
wvs,India,opencharacter,132,2,3,1,7,2,3
wvs,India,opencharacter,133,2,3,1,6,2,3
wvs,India,opencharacter,134,2,4,1,7,2,3
wvs,India,opencharacter,135,2,4,1,8,2,3
wvs,India,opencharacter,136,2,3,1,8,2,4
wvs,India,opencharacter,137,2,3,1,8,2,3
wvs,India,opencharacter,138,2,3,1,8,2,3
wvs,India,opencharacter,139,2,4,1,8,2,3
wvs,India,opencharacter,140,2,3,1,7,2,3
wvs,India,opencharacter,141,2,3,1,8,2,3
wvs,India,opencharacter,142,2,3,1,7,2,3
wvs,India,opencharacter,143,2,3,1,8,2,3
wvs,India,opencharacter,144,2,4,1,7,2,3
wvs,India,opencharacter,145,2,3,1,8,2,3
wvs,India,opencharacter,146,2,3,1,8,3,3
wvs,India,opencharacter,147,2,4,1,7,2,3
wvs,India,opencharacter,148,2,4,1,10,2,3
wvs,India,opencharacter,149,2,4,1,10,2,3
wvs,India,opencharacter,150,2,4,1,8,2,3
wvs,India,opencharacter,151,2,3,1,8,2,3
wvs,India,opencharacter,152,2,4,1,7,2,3
wvs,India,opencharacter,153,2,4,1,7,2,3
wvs,India,opencharacter,154,2,4,1,6,2,3
wvs,India,opencharacter,155,2,3,1,8,2,3
wvs,India,opencharacter,156,2,4,1,8,2,3
wvs,India,opencharacter,157,2,4,1,7,2,3
wvs,India,opencharacter,158,2,3,1,8,3,3
wvs,India,opencharacter,159,2,4,1,7,2,4
wvs,India,opencharacter,160,2,4,1,8,2,3
wvs,India,opencharacter,161,2,4,1,7,2,3
wvs,India,opencharacter,162,2,3,1,7,2,3
wvs,India,opencharacter,163,2,4,1,7,3,3
wvs,India,opencharacter,164,2,3,1,8,2,3
wvs,India,opencharacter,165,3,4,1,7,3,3
wvs,India,opencharacter,166,3,4,1,6,2,3
wvs,India,opencharacter,167,2,3,1,5,2,3
wvs,India,opencharacter,168,2,3,1,8,2,3
wvs,India,opencharacter,169,2,3,1,7,2,3
wvs,India,opencharacter,170,2,3,1,8,2,3
wvs,India,opencharacter,171,3,4,1,7,2,3
wvs,India,opencharacter,172,3,4,1,10,2,3
wvs,India,opencharacter,173,2,3,1,8,2,3
wvs,India,opencharacter,174,2,3,1,8,2,3
wvs,India,opencharacter,175,2,4,1,8,3,3
wvs,India,opencharacter,176,2,4,1,10,2,3
wvs,India,opencharacter,177,2,3,1,8,2,3
wvs,India,opencharacter,178,2,4,1,7,2,3
wvs,India,opencharacter,179,2,4,1,8,2,3
wvs,India,opencharacter,180,2,3,1,8,2,3
wvs,India,opencharacter,181,2,4,1,7,2,3
wvs,India,opencharacter,182,2,4,1,7,3,3
wvs,India,opencharacter,183,2,4,1,7,2,3
wvs,India,opencharacter,184,2,4,1,8,2,3
wvs,India,opencharacter,185,2,3,1,7,2,3
wvs,India,opencharacter,186,2,3,1,7,2,3
wvs,India,opencharacter,187,2,3,1,8,2,3
wvs,India,opencharacter,188,2,4,1,7,2,3
wvs,India,opencharacter,189,2,4,1,8,2,3
wvs,India,opencharacter,190,2,4,1,6,2,3
wvs,India,opencharacter,191,2,4,1,7,2,3
wvs,India,opencharacter,192,2,4,1,7,2,3
wvs,India,opencharacter,193,2,3,1,7,2,3
wvs,India,opencharacter,194,2,3,1,7,3,3
wvs,India,opencharacter,195,2,3,1,8,2,3
wvs,India,opencharacter,196,2,3,1,8,2,3
wvs,India,opencharacter,197,2,3,1,8,2,3
wvs,India,opencharacter,198,2,3,1,8,2,3
wvs,India,opencharacter,199,2,3,1,7,2,3
wvs,India,opencharacter,200,2,3,1,8,2,3
wvs,India,opencharacter,201,2,4,1,8,2,3
wvs,India,opencharacter,202,2,4,1,7,2,3
wvs,India,opencharacter,203,2,4,1,8,2,3
wvs,India,opencharacter,204,2,3,1,8,2,3
wvs,India,opencharacter,205,2,4,1,7,2,3
wvs,India,opencharacter,206,2,3,1,8,2,3
wvs,India,opencharacter,207,2,3,1,8,2,3
wvs,India,opencharacter,208,2,3,1,7,3,3
wvs,India,opencharacter,209,2,4,1,7,2,3
wvs,India,opencharacter,210,2,4,1,7,2,3
wvs,India,opencharacter,211,2,4,1,10,2,3
wvs,India,opencharacter,212,2,3,1,7,2,3
wvs,India,opencharacter,213,2,3,1,10,2,3
wvs,India,opencharacter,214,2,3,1,8,3,3
wvs,India,opencharacter,215,2,3,1,7,2,3
wvs,India,opencharacter,216,2,4,1,10,2,3
wvs,India,opencharacter,217,2,4,1,7,2,3
wvs,India,opencharacter,218,2,4,1,6,2,3
wvs,India,opencharacter,219,2,3,1,8,2,3
wvs,India,opencharacter,220,2,4,1,8,2,3
wvs,India,opencharacter,221,2,4,1,7,2,3
wvs,India,opencharacter,222,2,4,1,10,2,3
