domain,country,prompt_method,respondent_id,Q45,Q46,Q57,Q184,Q218,Q254
wvs,Kenya,cultural,0,3,2,2,6,2,1
wvs,Kenya,cultural,1,3,2,2,6,2,1
wvs,Kenya,cultural,2,3,2,2,6,2,2
wvs,Kenya,cultural,3,3,2,2,7,2,1
wvs,Kenya,cultural,4,3,2,2,7,2,1
wvs,Kenya,cultural,5,3,2,2,6,2,2
wvs,Kenya,cultural,6,3,2,2,7,2,1
wvs,Kenya,cultural,7,3,2,2,6,2,1
wvs,Kenya,cultural,8,3,2,2,6,2,1
wvs,Kenya,cultural,9,3,2,2,7,2,1
wvs,Kenya,cultural,10,3,2,2,6,2,1
wvs,Kenya,cultural,11,3,2,2,6,2,1
wvs,Kenya,cultural,12,3,2,2,5,2,1
wvs,Kenya,cultural,13,3,2,2,7,2,1
wvs,Kenya,cultural,14,3,2,2,7,2,1
wvs,Kenya,cultural,15,3,2,2,7,2,1
wvs,Kenya,cultural,16,3,2,2,6,2,1
wvs,Kenya,cultural,17,3,2,2,6,2,2
wvs,Kenya,cultural,18,3,2,2,6,2,1
wvs,Kenya,cultural,19,3,2,2,6,2,1
wvs,Kenya,cultural,20,3,2,2,6,2,1
wvs,Kenya,cultural,21,3,2,2,6,2,1
wvs,Kenya,cultural,22,3,2,2,6,2,1
wvs,Kenya,cultural,23,3,2,2,6,2,1
wvs,Kenya,cultural,24,3,2,2,6,2,1
wvs,Kenya,cultural,25,3,2,2,7,2,1
wvs,Kenya,cultural,26,3,2,2,7,2,1
wvs,Kenya,cultural,27,3,2,2,6,2,1
wvs,Kenya,cultural,28,3,2,2,7,2,1
wvs,Kenya,cultural,29,3,2,2,5,2,1
wvs,Kenya,cultural,30,3,2,2,6,2,1
wvs,Kenya,cultural,31,3,2,2,6,2,1
wvs,Kenya,cultural,32,3,2,2,6,2,1
wvs,Kenya,cultural,33,3,2,2,6,2,1
wvs,Kenya,cultural,34,3,2,2,6,2,1
wvs,Kenya,cultural,35,3,2,2,6,2,1
wvs,Kenya,cultural,36,3,2,2,6,2,1
wvs,Kenya,cultural,37,3,2,2,6,2,1
wvs,Kenya,cultural,38,3,2,2,6,2,1
wvs,Kenya,cultural,39,3,2,2,7,2,1
wvs,Kenya,cultural,40,3,2,2,6,2,1
wvs,Kenya,cultural,41,3,2,2,7,2,2
wvs,Kenya,cultural,42,3,2,2,7,2,1
wvs,Kenya,cultural,43,3,2,2,6,2,1
wvs,Kenya,cultural,44,3,2,2,7,2,1
wvs,Kenya,cultural,45,3,2,2,7,2,1
wvs,Kenya,cultural,46,3,2,2,6,2,1
wvs,Kenya,cultural,47,3,2,2,5,2,1
wvs,Kenya,cultural,48,3,2,2,7,2,1
wvs,Kenya,cultural,49,3,2,2,7,2,1
wvs,Kenya,cultural,50,3,2,2,7,2,1
wvs,Kenya,cultural,51,3,2,2,6,2,1
wvs,Kenya,cultural,52,3,2,2,7,2,1
wvs,Kenya,cultural,53,3,2,2,7,2,1
wvs,Kenya,cultural,54,3,2,2,7,2,1
wvs,Kenya,cultural,55,3,2,2,6,2,1
wvs,Kenya,cultural,56,3,2,2,7,2,1
wvs,Kenya,cultural,57,3,2,2,7,2,1
wvs,Kenya,cultural,58,3,2,2,6,2,1
wvs,Kenya,cultural,59,3,2,2,7,2,1
wvs,Kenya,cultural,60,3,2,2,5,2,1
wvs,Kenya,cultural,61,3,2,2,6,2,1
wvs,Kenya,cultural,62,3,2,2,7,2,1
wvs,Kenya,cultural,63,3,2,2,7,2,1
wvs,Kenya,cultural,64,3,2,2,6,2,2
wvs,Kenya,cultural,65,3,2,2,7,2,1
wvs,Kenya,cultural,66,3,2,2,6,2,1
wvs,Kenya,cultural,67,3,2,2,7,2,1
wvs,Kenya,cultural,68,3,2,2,6,2,2
wvs,Kenya,cultural,69,3,2,2,6,2,1
wvs,Kenya,cultural,70,3,2,2,7,2,1
wvs,Kenya,cultural,71,3,2,2,6,2,1
wvs,Kenya,cultural,72,3,2,2,7,2,1
wvs,Kenya,cultural,73,3,2,2,7,2,1
wvs,Kenya,cultural,74,3,2,2,6,2,1
wvs,Kenya,cultural,75,3,2,2,6,2,1
wvs,Kenya,cultural,76,3,2,2,6,2,1
wvs,Kenya,cultural,77,3,2,2,6,2,1
wvs,Kenya,cultural,78,3,2,2,7,2,1
wvs,Kenya,cultural,79,3,2,2,6,2,1
wvs,Kenya,cultural,80,3,2,2,7,2,1
wvs,Kenya,cultural,81,3,2,2,6,2,1
wvs,Kenya,cultural,82,3,2,2,6,2,1
wvs,Kenya,cultural,83,3,2,2,7,2,1
wvs,Kenya,cultural,84,3,2,2,6,2,1
wvs,Kenya,cultural,85,3,2,2,7,2,1
wvs,Kenya,cultural,86,3,2,2,6,2,2
wvs,Kenya,cultural,87,3,2,2,6,2,1
wvs,Kenya,cultural,88,3,2,2,7,2,2
wvs,Kenya,cultural,89,3,2,2,6,2,1
wvs,Kenya,cultural,90,3,2,2,6,2,1
wvs,Kenya,cultural,91,3,2,2,5,2,1
wvs,Kenya,cultural,92,3,2,2,6,2,1
wvs,Kenya,cultural,93,3,2,2,6,2,1
wvs,Kenya,cultural,94,3,2,2,7,2,1
wvs,Kenya,cultural,95,3,2,2,7,2,1
wvs,Kenya,cultural,96,3,2,2,6,2,1
wvs,Kenya,cultural,97,3,2,2,7,2,1
wvs,Kenya,cultural,98,3,2,2,6,2,1
wvs,Kenya,cultural,99,3,2,2,7,2,1
wvs,Kenya,cultural,100,3,2,2,6,2,1
wvs,Kenya,cultural,101,3,2,2,7,2,1
wvs,Kenya,cultural,102,3,2,2,7,2,1
wvs,Kenya,cultural,103,3,2,2,7,2,1
wvs,Kenya,cultural,104,3,2,2,6,2,1
wvs,Kenya,cultural,105,3,2,2,7,2,1
wvs,Kenya,cultural,106,3,2,2,7,2,1
wvs,Kenya,cultural,107,3,2,2,6,2,1
wvs,Kenya,cultural,108,3,2,2,7,2,1
wvs,Kenya,cultural,109,3,2,2,7,2,1
wvs,Kenya,cultural,110,3,2,2,6,2,1
wvs,Kenya,cultural,111,3,2,2,7,2,1
wvs,Kenya,cultural,112,3,2,2,6,2,2
wvs,Kenya,cultural,113,3,2,2,6,2,1
wvs,Kenya,cultural,114,3,2,2,6,2,1
wvs,Kenya,cultural,115,3,2,2,7,2,1
wvs,Kenya,cultural,116,3,2,2,6,2,1
wvs,Kenya,cultural,117,3,2,2,7,2,1
wvs,Kenya,cultural,118,3,2,2,6,2,1
wvs,Kenya,cultural,119,3,2,2,6,2,1
wvs,Kenya,cultural,120,3,2,2,6,2,1
wvs,Kenya,cultural,121,3,2,2,7,2,1
wvs,Kenya,cultural,122,3,2,2,7,2,1
wvs,Kenya,cultural,123,3,2,2,7,2,1
wvs,Kenya,cultural,124,3,2,2,6,2,1
wvs,Kenya,cultural,125,3,2,2,7,2,1
wvs,Kenya,cultural,126,3,2,2,7,2,1
wvs,Kenya,cultural,127,3,2,2,6,2,1
wvs,Kenya,cultural,128,3,2,2,6,2,1
wvs,Kenya,cultural,129,3,2,2,5,2,1
wvs,Kenya,cultural,130,3,2,2,6,2,1
wvs,Kenya,cultural,131,3,2,2,7,2,1
wvs,Kenya,cultural,132,3,2,2,7,2,1
wvs,Kenya,cultural,133,3,2,2,7,2,1
wvs,Kenya,cultural,134,3,2,2,6,2,1
wvs,Kenya,cultural,135,3,2,2,7,2,1
wvs,Kenya,cultural,136,3,2,2,7,2,1
wvs,Kenya,cultural,137,3,2,2,6,2,2
wvs,Kenya,cultural,138,3,2,2,6,2,1
wvs,Kenya,cultural,139,3,2,2,7,2,1
wvs,Kenya,cultural,140,3,2,2,6,2,1
wvs,Kenya,cultural,141,3,2,2,6,2,1
wvs,Kenya,cultural,142,3,2,2,5,2,1
wvs,Kenya,cultural,143,3,2,2,6,2,1
wvs,Kenya,cultural,144,3,2,2,7,2,1
wvs,Kenya,cultural,145,3,2,2,7,2,1
wvs,Kenya,cultural,146,3,2,2,7,2,2
wvs,Kenya,cultural,147,3,2,2,6,2,1
wvs,Kenya,cultural,148,3,2,2,7,2,1
wvs,Kenya,cultural,149,3,2,2,7,2,1
wvs,Kenya,cultural,150,3,2,2,6,2,1
wvs,Kenya,cultural,151,3,2,2,6,2,1
wvs,Kenya,cultural,152,3,2,2,7,2,1
wvs,Kenya,cultural,153,3,2,2,7,2,1
wvs,Kenya,cultural,154,3,2,2,6,2,1
wvs,Kenya,cultural,155,3,2,2,7,2,1
wvs,Kenya,cultural,156,3,2,2,6,2,1
wvs,Kenya,cultural,157,3,2,2,6,2,1
wvs,Kenya,cultural,158,3,2,2,6,2,1
wvs,Kenya,cultural,159,3,2,2,6,2,1
wvs,Kenya,cultural,160,3,2,2,7,2,2
wvs,Kenya,cultural,161,3,2,2,7,2,1
wvs,Kenya,cultural,162,3,2,2,7,2,1
wvs,Kenya,cultural,163,3,2,2,7,2,1
wvs,Kenya,cultural,164,3,2,2,6,2,1
wvs,Kenya,cultural,165,3,2,2,6,2,1
wvs,Kenya,cultural,166,3,2,2,7,2,1
wvs,Kenya,cultural,167,3,2,2,7,2,1
wvs,Kenya,cultural,168,3,2,2,6,2,1
wvs,Kenya,cultural,169,3,2,2,6,2,1
wvs,Kenya,cultural,170,3,2,2,6,2,1
wvs,Kenya,cultural,171,3,2,2,7,2,2
wvs,Kenya,cultural,172,3,2,2,7,2,1
wvs,Kenya,cultural,173,3,2,2,6,2,1
wvs,Kenya,cultural,174,3,2,2,7,2,1
wvs,Kenya,cultural,175,3,2,2,6,2,1
wvs,Kenya,cultural,176,3,2,2,6,2,1
wvs,Kenya,cultural,177,3,2,2,7,2,1
wvs,Kenya,cultural,178,3,2,2,7,2,2
wvs,Kenya,cultural,179,3,2,2,5,2,2
wvs,Kenya,cultural,180,3,2,2,7,2,2
wvs,Kenya,cultural,181,3,2,2,7,2,1
wvs,Kenya,cultural,182,3,2,2,7,2,1
wvs,Kenya,cultural,183,3,2,2,7,2,1
wvs,Kenya,cultural,184,3,2,2,6,2,1
wvs,Kenya,cultural,185,3,2,2,7,2,1
wvs,Kenya,cultural,186,3,2,2,6,2,1
wvs,Kenya,cultural,187,3,2,2,7,2,1
wvs,Kenya,cultural,188,3,2,2,6,2,1
wvs,Kenya,cultural,189,3,2,2,7,2,2
wvs,Kenya,cultural,190,3,2,2,6,2,1
wvs,Kenya,cultural,191,3,2,2,7,2,1
wvs,Kenya,cultural,192,3,2,2,6,2,1
wvs,Kenya,cultural,193,3,2,2,6,2,1
wvs,Kenya,cultural,194,3,2,2,6,2,1
wvs,Kenya,cultural,195,3,2,2,6,2,1
wvs,Kenya,cultural,196,3,2,2,7,2,1
wvs,Kenya,cultural,197,3,2,2,7,2,1
wvs,Kenya,cultural,198,3,2,2,6,2,1
wvs,Kenya,cultural,199,3,2,2,6,2,1
wvs,Kenya,cultural,200,3,2,2,7,2,1
wvs,Kenya,cultural,201,3,2,2,7,2,1
wvs,Kenya,cultural,202,3,2,2,7,2,1
wvs,Kenya,cultural,203,3,2,2,7,2,1
wvs,Kenya,cultural,204,3,2,2,7,2,1
wvs,Kenya,cultural,205,3,2,2,6,2,1
wvs,Kenya,cultural,206,3,2,2,6,2,1
wvs,Kenya,cultural,207,3,2,2,7,2,1
wvs,Kenya,cultural,208,3,2,2,7,2,2
wvs,Kenya,cultural,209,3,2,2,7,2,1
wvs,Kenya,cultural,210,3,2,2,7,2,1
wvs,Kenya,cultural,211,3,2,2,7,2,1
wvs,Kenya,cultural,212,3,2,2,7,2,1
wvs,Kenya,cultural,213,3,2,2,6,2,1
wvs,Kenya,cultural,214,3,2,2,6,2,1
wvs,Kenya,cultural,215,3,2,2,7,2,1
wvs,Kenya,cultural,216,3,1,2,6,2,1
