domain,country,prompt_method,respondent_id,Q45_para,Q46_para,Q57_para,Q184_para,Q218_para,Q254_para
wvs,Kenya,cultural,0,2,3,2,6,1,3
wvs,Kenya,cultural,1,2,3,2,6,1,2
wvs,Kenya,cultural,2,2,3,2,6,1,2
wvs,Kenya,cultural,3,2,3,2,6,1,2
wvs,Kenya,cultural,4,2,3,2,6,1,1
wvs,Kenya,cultural,5,2,3,2,6,1,1
wvs,Kenya,cultural,6,2,3,2,7,1,2
wvs,Kenya,cultural,7,2,3,2,8,1,2
wvs,Kenya,cultural,8,2,3,2,6,1,2
wvs,Kenya,cultural,9,2,3,2,6,1,3
wvs,Kenya,cultural,10,2,2,2,7,1,1
wvs,Kenya,cultural,11,2,3,2,7,1,2
wvs,Kenya,cultural,12,2,3,2,6,1,1
wvs,Kenya,cultural,13,2,3,2,5,1,1
wvs,Kenya,cultural,14,2,3,2,5,1,3
wvs,Kenya,cultural,15,2,3,2,5,1,1
wvs,Kenya,cultural,16,2,3,2,7,1,2
wvs,Kenya,cultural,17,2,3,2,6,1,3
wvs,Kenya,cultural,18,2,2,2,7,1,3
wvs,Kenya,cultural,19,2,3,2,6,1,2
wvs,Kenya,cultural,20,2,3,2,6,1,2
wvs,Kenya,cultural,21,2,3,2,6,1,1
wvs,Kenya,cultural,22,2,3,2,7,1,1
wvs,Kenya,cultural,23,2,3,2,7,1,1
wvs,Kenya,cultural,24,2,3,2,6,1,1
wvs,Kenya,cultural,25,2,3,2,6,1,1
wvs,Kenya,cultural,26,2,2,2,7,1,3
wvs,Kenya,cultural,27,2,3,2,5,1,2
wvs,Kenya,cultural,28,2,2,2,5,1,1
wvs,Kenya,cultural,29,2,3,2,6,1,1
wvs,Kenya,cultural,30,2,3,2,7,1,3
wvs,Kenya,cultural,31,2,3,2,6,1,2
wvs,Kenya,cultural,32,2,3,2,6,1,2
wvs,Kenya,cultural,33,2,3,2,7,1,2
wvs,Kenya,cultural,34,2,2,2,6,1,2
wvs,Kenya,cultural,35,2,3,2,5,1,2
wvs,Kenya,cultural,36,2,3,2,3,1,1
wvs,Kenya,cultural,37,2,3,2,6,1,2
wvs,Kenya,cultural,38,2,3,2,6,1,2
wvs,Kenya,cultural,39,2,3,2,6,1,1
wvs,Kenya,cultural,40,2,3,2,7,1,3
wvs,Kenya,cultural,41,2,3,2,6,1,1
wvs,Kenya,cultural,42,2,3,2,7,1,1
wvs,Kenya,cultural,43,2,3,2,3,1,1
wvs,Kenya,cultural,44,2,3,2,6,1,2
wvs,Kenya,cultural,45,2,3,2,6,1,3
wvs,Kenya,cultural,46,2,3,2,7,1,1
wvs,Kenya,cultural,47,2,2,2,5,1,2
wvs,Kenya,cultural,48,2,3,2,7,1,2
wvs,Kenya,cultural,49,2,2,2,4,1,1
wvs,Kenya,cultural,50,2,3,2,7,1,2
wvs,Kenya,cultural,51,2,3,2,7,1,1
wvs,Kenya,cultural,52,2,3,2,6,1,1
wvs,Kenya,cultural,53,2,3,2,6,1,3
wvs,Kenya,cultural,54,2,3,2,6,1,1
wvs,Kenya,cultural,55,2,3,2,6,1,1
wvs,Kenya,cultural,56,2,3,2,6,1,2
wvs,Kenya,cultural,57,2,3,2,6,1,2
wvs,Kenya,cultural,58,2,3,2,7,1,2
wvs,Kenya,cultural,59,2,3,2,5,1,3
wvs,Kenya,cultural,60,2,3,2,7,1,2
wvs,Kenya,cultural,61,2,3,2,7,1,2
wvs,Kenya,cultural,62,2,3,2,7,1,1
wvs,Kenya,cultural,63,2,3,2,7,1,2
wvs,Kenya,cultural,64,2,3,2,5,1,2
wvs,Kenya,cultural,65,2,3,2,7,1,2
wvs,Kenya,cultural,66,2,3,2,6,1,2
wvs,Kenya,cultural,67,2,3,2,7,1,3
wvs,Kenya,cultural,68,2,3,2,6,1,1
wvs,Kenya,cultural,69,2,3,2,6,1,2
wvs,Kenya,cultural,70,2,3,2,6,1,3
wvs,Kenya,cultural,71,2,3,2,7,1,3
wvs,Kenya,cultural,72,2,3,2,7,1,2
