domain,country,prompt_method,respondent_id,Q45_rev,Q46_rev,Q57_rev,Q184_rev,Q218_rev,Q254_rev
wvs,Kenya,cultural,0,3,3,1,8,2,3
wvs,Kenya,cultural,1,3,4,1,8,2,3
wvs,Kenya,cultural,2,3,4,1,8,2,3
wvs,Kenya,cultural,3,3,3,1,8,2,3
wvs,Kenya,cultural,4,3,3,1,8,2,3
wvs,Kenya,cultural,5,3,3,1,8,3,3
wvs,Kenya,cultural,6,3,3,1,8,2,3
wvs,Kenya,cultural,7,3,4,1,8,2,3
wvs,Kenya,cultural,8,2,3,1,7,2,3
wvs,Kenya,cultural,9,3,4,1,8,1,3
wvs,Kenya,cultural,10,3,4,1,7,1,3
wvs,Kenya,cultural,11,3,3,1,5,3,3
wvs,Kenya,cultural,12,3,4,1,8,2,3
wvs,Kenya,cultural,13,3,4,1,8,1,3
wvs,Kenya,cultural,14,3,3,1,7,3,3
wvs,Kenya,cultural,15,3,3,1,7,1,3
wvs,Kenya,cultural,16,3,3,1,8,2,3
wvs,Kenya,cultural,17,3,3,1,8,2,3
wvs,Kenya,cultural,18,3,4,1,8,1,3
wvs,Kenya,cultural,19,3,3,1,8,2,3
wvs,Kenya,cultural,20,3,3,1,8,2,3
wvs,Kenya,cultural,21,2,3,1,7,1,3
wvs,Kenya,cultural,22,3,4,1,8,3,3
wvs,Kenya,cultural,23,3,4,1,8,2,3
wvs,Kenya,cultural,24,3,4,1,8,1,3
wvs,Kenya,cultural,25,3,3,1,7,2,3
wvs,Kenya,cultural,26,3,4,1,8,1,3
wvs,Kenya,cultural,27,3,3,1,8,2,3
wvs,Kenya,cultural,28,3,3,1,7,1,3
wvs,Kenya,cultural,29,2,4,1,8,2,3
wvs,Kenya,cultural,30,3,3,1,8,2,3
wvs,Kenya,cultural,31,3,4,1,7,2,3
wvs,Kenya,cultural,32,3,4,1,8,3,3
wvs,Kenya,cultural,33,3,3,1,8,2,3
wvs,Kenya,cultural,34,3,4,1,8,1,3
wvs,Kenya,cultural,35,3,4,1,8,2,3
wvs,Kenya,cultural,36,3,4,1,8,2,3
wvs,Kenya,cultural,37,3,4,1,10,2,3
wvs,Kenya,cultural,38,3,3,1,8,1,3
wvs,Kenya,cultural,39,3,3,1,10,1,3
wvs,Kenya,cultural,40,3,3,1,8,2,3
wvs,Kenya,cultural,41,3,3,1,8,1,3
wvs,Kenya,cultural,42,3,3,1,8,1,3
wvs,Kenya,cultural,43,3,4,1,8,3,3
wvs,Kenya,cultural,44,3,4,1,7,3,3
wvs,Kenya,cultural,45,3,3,1,7,1,3
wvs,Kenya,cultural,46,3,3,1,8,2,3
wvs,Kenya,cultural,47,3,4,1,8,1,3
wvs,Kenya,cultural,48,3,3,1,8,2,3
wvs,Kenya,cultural,49,3,4,1,8,2,3
wvs,Kenya,cultural,50,3,4,1,8,3,3
wvs,Kenya,cultural,51,2,3,1,8,1,3
wvs,Kenya,cultural,52,3,4,1,6,1,3
wvs,Kenya,cultural,53,3,4,1,8,2,3
wvs,Kenya,cultural,54,3,3,1,8,2,3
wvs,Kenya,cultural,55,3,3,1,6,2,3
wvs,Kenya,cultural,56,3,4,1,8,2,3
wvs,Kenya,cultural,57,3,4,1,10,3,3
wvs,Kenya,cultural,58,3,3,1,8,2,3
wvs,Kenya,cultural,59,3,4,1,10,2,3
wvs,Kenya,cultural,60,3,3,1,8,2,3
wvs,Kenya,cultural,61,3,3,1,8,2,3
wvs,Kenya,cultural,62,3,4,1,8,2,3
