domain,country,prompt_method,respondent_id,Q45,Q46,Q57,Q184,Q218,Q254
wvs,Kenya,deep_persona,0,3,4,2,4,2,2
wvs,Kenya,deep_persona,1,3,4,2,2,1,4
wvs,Kenya,deep_persona,2,2,4,2,4,1,2
wvs,Kenya,deep_persona,3,3,4,2,7,1,2
wvs,Kenya,deep_persona,4,2,2,2,8,2,2
wvs,Kenya,deep_persona,5,2,4,2,1,1,4
wvs,Kenya,deep_persona,6,1,4,2,3,3,4
wvs,Kenya,deep_persona,7,1,4,2,3,1,4
wvs,Kenya,deep_persona,8,3,2,2,7,1,2
wvs,Kenya,deep_persona,9,1,4,2,4,2,2
wvs,Kenya,deep_persona,10,1,4,2,3,2,3
wvs,Kenya,deep_persona,11,1,4,2,1,1,4
wvs,Kenya,deep_persona,12,1,4,2,6,2,2
wvs,Kenya,deep_persona,13,1,4,2,3,2,2
wvs,Kenya,deep_persona,14,2,4,2,5,2,2
wvs,Kenya,deep_persona,15,1,4,2,4,2,2
wvs,Kenya,deep_persona,16,3,4,2,2,2,3
wvs,Kenya,deep_persona,17,3,4,2,6,2,2
wvs,Kenya,deep_persona,18,2,2,2,5,2,2
wvs,Kenya,deep_persona,19,3,4,2,3,3,4
wvs,Kenya,deep_persona,20,3,4,2,8,3,1
wvs,Kenya,deep_persona,21,1,2,2,6,2,2
wvs,Kenya,deep_persona,22,3,4,2,2,1,4
wvs,Kenya,deep_persona,23,3,4,2,4,1,4
wvs,Kenya,deep_persona,24,1,4,2,4,2,2
wvs,Kenya,deep_persona,25,1,4,2,4,1,2
wvs,Kenya,deep_persona,26,3,4,2,3,2,4
wvs,Kenya,deep_persona,27,2,2,2,6,2,2
wvs,Kenya,deep_persona,28,3,4,2,5,2,4
wvs,Kenya,deep_persona,29,3,4,2,1,1,4
wvs,Kenya,deep_persona,30,2,4,2,3,2,2
wvs,Kenya,deep_persona,31,3,4,2,4,2,2
wvs,Kenya,deep_persona,32,1,4,2,3,2,4
wvs,Kenya,deep_persona,33,2,4,2,4,1,2
wvs,Kenya,deep_persona,34,1,4,2,5,2,4
wvs,Kenya,deep_persona,35,1,4,2,2,1,2
wvs,Kenya,deep_persona,36,2,4,2,3,2,2
wvs,Kenya,deep_persona,37,1,4,2,5,1,2
wvs,Kenya,deep_persona,38,2,2,2,7,3,2
wvs,Kenya,deep_persona,39,1,4,2,2,2,2
wvs,Kenya,deep_persona,40,3,2,2,5,3,2
wvs,Kenya,deep_persona,41,3,4,2,7,3,4
wvs,Kenya,deep_persona,42,3,4,2,5,2,2
wvs,Kenya,deep_persona,43,3,4,2,2,2,4
wvs,Kenya,deep_persona,44,3,4,2,1,2,4
wvs,Kenya,deep_persona,45,1,4,2,3,2,4
wvs,Kenya,deep_persona,46,1,4,2,5,2,2
wvs,Kenya,deep_persona,47,1,4,2,3,1,4
wvs,Kenya,deep_persona,48,1,4,2,4,2,4
wvs,Kenya,deep_persona,49,3,4,2,4,2,4
wvs,Kenya,deep_persona,50,3,4,2,7,1,2
wvs,Kenya,deep_persona,51,3,4,2,5,1,2
wvs,Kenya,deep_persona,52,1,4,2,2,1,2
wvs,Kenya,deep_persona,53,2,4,2,7,2,2
wvs,Kenya,deep_persona,54,1,4,2,7,1,2
wvs,Kenya,deep_persona,55,3,4,2,7,2,2
wvs,Kenya,deep_persona,56,1,4,2,5,2,4
wvs,Kenya,deep_persona,57,1,4,2,3,1,2
wvs,Kenya,deep_persona,58,2,3,2,8,3,2
wvs,Kenya,deep_persona,59,1,4,2,3,2,2
wvs,Kenya,deep_persona,60,3,2,2,7,3,1
wvs,Kenya,deep_persona,61,3,4,2,4,2,2
wvs,Kenya,deep_persona,62,3,2,2,5,1,2
