domain,country,prompt_method,respondent_id,Q45_para,Q46_para,Q57_para,Q184_para,Q218_para,Q254_para
wvs,Kenya,deep_persona,0,2,3,2,3,3,3
wvs,Kenya,deep_persona,1,2,4,2,2,3,3
wvs,Kenya,deep_persona,2,2,3,2,4,3,3
wvs,Kenya,deep_persona,3,2,2,2,6,3,3
wvs,Kenya,deep_persona,4,2,2,2,6,3,3
wvs,Kenya,deep_persona,5,2,4,2,1,3,3
wvs,Kenya,deep_persona,6,2,3,2,3,3,3
wvs,Kenya,deep_persona,7,3,3,2,1,3,3
wvs,Kenya,deep_persona,8,2,2,2,6,2,3
wvs,Kenya,deep_persona,9,3,3,2,1,3,1
wvs,Kenya,deep_persona,10,2,3,2,1,3,4
wvs,Kenya,deep_persona,11,3,4,2,1,3,4
wvs,Kenya,deep_persona,12,2,2,2,6,3,3
wvs,Kenya,deep_persona,13,2,3,2,5,3,3
wvs,Kenya,deep_persona,14,2,3,2,1,3,3
wvs,Kenya,deep_persona,15,3,3,2,6,3,3
wvs,Kenya,deep_persona,16,3,4,2,1,3,3
wvs,Kenya,deep_persona,17,2,3,2,3,3,3
wvs,Kenya,deep_persona,18,2,3,2,5,3,3
wvs,Kenya,deep_persona,19,2,3,2,3,3,3
wvs,Kenya,deep_persona,20,3,2,2,5,2,3
wvs,Kenya,deep_persona,21,2,2,2,5,3,3
wvs,Kenya,deep_persona,22,2,3,2,4,3,3
wvs,Kenya,deep_persona,23,3,2,2,4,3,3
wvs,Kenya,deep_persona,24,2,3,2,3,3,3
wvs,Kenya,deep_persona,25,3,3,2,1,3,3
wvs,Kenya,deep_persona,26,3,3,2,4,3,4
wvs,Kenya,deep_persona,27,2,2,2,6,3,2
wvs,Kenya,deep_persona,28,3,3,2,1,3,3
wvs,Kenya,deep_persona,29,3,4,2,4,3,3
wvs,Kenya,deep_persona,30,2,3,2,7,3,3
wvs,Kenya,deep_persona,31,2,3,2,3,3,3
wvs,Kenya,deep_persona,32,2,4,2,1,3,3
wvs,Kenya,deep_persona,33,2,4,2,1,3,3
wvs,Kenya,deep_persona,34,2,3,2,1,3,3
wvs,Kenya,deep_persona,35,2,4,2,1,3,3
wvs,Kenya,deep_persona,36,2,3,2,4,3,2
wvs,Kenya,deep_persona,37,2,2,2,1,3,3
wvs,Kenya,deep_persona,38,2,2,2,5,3,3
wvs,Kenya,deep_persona,39,3,3,2,4,3,3
wvs,Kenya,deep_persona,40,2,2,2,5,3,3
wvs,Kenya,deep_persona,41,2,2,2,1,3,3
wvs,Kenya,deep_persona,42,2,2,2,5,3,3
wvs,Kenya,deep_persona,43,3,4,2,1,3,4
wvs,Kenya,deep_persona,44,3,3,2,1,3,4
wvs,Kenya,deep_persona,45,3,3,2,1,3,3
wvs,Kenya,deep_persona,46,3,2,2,1,3,4
wvs,Kenya,deep_persona,47,3,3,2,1,3,3
wvs,Kenya,deep_persona,48,2,3,2,5,3,3
wvs,Kenya,deep_persona,49,3,3,2,1,3,3
wvs,Kenya,deep_persona,50,2,2,2,1,3,3
wvs,Kenya,deep_persona,51,2,3,2,4,3,3
wvs,Kenya,deep_persona,52,3,4,2,2,3,3
wvs,Kenya,deep_persona,53,2,2,2,5,3,3
wvs,Kenya,deep_persona,54,2,2,2,1,3,3
wvs,Kenya,deep_persona,55,2,2,2,5,3,3
wvs,Kenya,deep_persona,56,3,2,2,1,3,3
wvs,Kenya,deep_persona,57,2,4,2,1,3,3
wvs,Kenya,deep_persona,58,2,2,2,5,3,3
wvs,Kenya,deep_persona,59,2,4,2,4,3,3
wvs,Kenya,deep_persona,60,2,2,2,5,2,2
wvs,Kenya,deep_persona,61,2,3,2,3,3,3
wvs,Kenya,deep_persona,62,2,2,2,5,2,3
wvs,Kenya,deep_persona,63,2,3,2,1,3,3
wvs,Kenya,deep_persona,64,2,2,2,7,2,3
wvs,Kenya,deep_persona,65,2,3,2,4,2,3
wvs,Kenya,deep_persona,66,3,3,2,5,3,3
wvs,Kenya,deep_persona,67,3,3,2,1,3,3
wvs,Kenya,deep_persona,68,2,3,2,4,3,3
wvs,Kenya,deep_persona,69,2,2,2,3,3,3
wvs,Kenya,deep_persona,70,2,2,2,5,2,3
wvs,Kenya,deep_persona,71,3,4,2,6,3,3
wvs,Kenya,deep_persona,72,3,4,2,1,3,4
wvs,Kenya,deep_persona,73,2,3,2,1,2,3
wvs,Kenya,deep_persona,74,2,2,2,5,3,3
wvs,Kenya,deep_persona,75,2,3,2,3,3,3
wvs,Kenya,deep_persona,76,2,2,2,5,3,3
wvs,Kenya,deep_persona,77,2,2,2,1,3,3
wvs,Kenya,deep_persona,78,2,3,2,5,3,3
wvs,Kenya,deep_persona,79,2,2,2,1,3,3
wvs,Kenya,deep_persona,80,2,3,2,3,3,3
wvs,Kenya,deep_persona,81,3,2,2,1,3,4
wvs,Kenya,deep_persona,82,2,4,2,6,3,3
wvs,Kenya,deep_persona,83,2,2,2,1,3,3
wvs,Kenya,deep_persona,84,2,3,2,5,3,3
wvs,Kenya,deep_persona,85,3,4,2,1,3,4
wvs,Kenya,deep_persona,86,2,2,2,8,2,3
wvs,Kenya,deep_persona,87,2,2,2,5,3,3
wvs,Kenya,deep_persona,88,2,3,2,5,3,3
wvs,Kenya,deep_persona,89,2,2,2,6,2,3
wvs,Kenya,deep_persona,90,3,3,2,1,3,3
wvs,Kenya,deep_persona,91,3,2,2,1,3,4
wvs,Kenya,deep_persona,92,2,2,2,3,3,3
wvs,Kenya,deep_persona,93,2,3,2,1,3,3
wvs,Kenya,deep_persona,94,2,2,2,4,3,3
wvs,Kenya,deep_persona,95,3,3,2,6,3,3
wvs,Kenya,deep_persona,96,2,2,2,1,3,3
wvs,Kenya,deep_persona,97,2,2,2,6,3,3
wvs,Kenya,deep_persona,98,3,3,2,1,3,3
wvs,Kenya,deep_persona,99,3,2,2,8,3,3
wvs,Kenya,deep_persona,100,2,3,2,3,3,3
wvs,Kenya,deep_persona,101,2,2,2,1,2,3
wvs,Kenya,deep_persona,102,2,3,2,5,3,3
wvs,Kenya,deep_persona,103,3,3,2,4,3,4
wvs,Kenya,deep_persona,104,3,4,2,1,3,1
wvs,Kenya,deep_persona,105,3,2,2,1,3,4
wvs,Kenya,deep_persona,106,2,2,2,1,3,1
wvs,Kenya,deep_persona,107,2,3,2,5,3,3
wvs,Kenya,deep_persona,108,3,3,2,1,3,3
wvs,Kenya,deep_persona,109,2,2,2,2,3,3
wvs,Kenya,deep_persona,110,2,2,2,3,3,3
wvs,Kenya,deep_persona,111,2,3,2,2,3,3
wvs,Kenya,deep_persona,112,3,3,2,1,3,4
wvs,Kenya,deep_persona,113,2,3,2,1,3,3
wvs,Kenya,deep_persona,114,3,4,2,4,3,4
wvs,Kenya,deep_persona,115,3,4,2,1,3,4
wvs,Kenya,deep_persona,116,2,2,2,4,3,3
wvs,Kenya,deep_persona,117,3,4,2,1,3,4
wvs,Kenya,deep_persona,118,3,4,2,4,3,4
wvs,Kenya,deep_persona,119,2,3,2,5,3,3
wvs,Kenya,deep_persona,120,3,3,2,1,3,3
wvs,Kenya,deep_persona,121,3,3,2,1,3,3
wvs,Kenya,deep_persona,122,2,2,2,5,2,3
wvs,Kenya,deep_persona,123,2,4,2,6,3,3
wvs,Kenya,deep_persona,124,2,1,2,4,2,3
wvs,Kenya,deep_persona,125,2,2,2,5,2,3
wvs,Kenya,deep_persona,126,3,3,2,5,3,1
wvs,Kenya,deep_persona,127,3,4,2,5,3,3
wvs,Kenya,deep_persona,128,2,3,2,2,3,3
wvs,Kenya,deep_persona,129,3,3,2,3,3,4
wvs,Kenya,deep_persona,130,2,2,2,4,3,1
wvs,Kenya,deep_persona,131,2,2,2,1,3,3
wvs,Kenya,deep_persona,132,3,3,2,1,3,3
wvs,Kenya,deep_persona,133,3,4,2,4,3,3
wvs,Kenya,deep_persona,134,2,4,2,3,3,3
wvs,Kenya,deep_persona,135,2,3,2,5,3,3
wvs,Kenya,deep_persona,136,2,2,2,4,2,2
wvs,Kenya,deep_persona,137,2,3,2,1,3,3
wvs,Kenya,deep_persona,138,3,4,2,1,3,3
wvs,Kenya,deep_persona,139,2,2,2,3,3,3
wvs,Kenya,deep_persona,140,2,2,2,6,2,3
wvs,Kenya,deep_persona,141,3,4,2,2,3,3
wvs,Kenya,deep_persona,142,2,3,2,1,3,3
wvs,Kenya,deep_persona,143,2,3,2,6,3,3
wvs,Kenya,deep_persona,144,2,4,2,5,3,4
wvs,Kenya,deep_persona,145,3,4,2,1,3,4
wvs,Kenya,deep_persona,146,2,2,2,5,3,3
wvs,Kenya,deep_persona,147,3,3,2,1,3,3
wvs,Kenya,deep_persona,148,3,3,2,5,3,3
wvs,Kenya,deep_persona,149,2,1,2,7,2,3
wvs,Kenya,deep_persona,150,2,3,2,5,3,3
wvs,Kenya,deep_persona,151,2,3,2,4,3,3
wvs,Kenya,deep_persona,152,2,2,2,1,3,3
wvs,Kenya,deep_persona,153,2,3,2,5,3,4
wvs,Kenya,deep_persona,154,2,2,2,4,2,3
wvs,Kenya,deep_persona,155,3,4,2,2,3,3
wvs,Kenya,deep_persona,156,2,2,2,1,3,3
wvs,Kenya,deep_persona,157,2,2,2,6,2,3
wvs,Kenya,deep_persona,158,2,3,2,5,3,3
wvs,Kenya,deep_persona,159,2,3,2,6,3,3
wvs,Kenya,deep_persona,160,2,2,2,5,3,3
wvs,Kenya,deep_persona,161,2,3,2,1,3,3
wvs,Kenya,deep_persona,162,3,2,2,1,3,3
wvs,Kenya,deep_persona,163,2,2,2,2,3,3
wvs,Kenya,deep_persona,164,2,2,2,1,3,3
wvs,Kenya,deep_persona,165,3,3,2,1,3,4
wvs,Kenya,deep_persona,166,2,2,2,5,3,3
wvs,Kenya,deep_persona,167,3,2,2,1,3,2
wvs,Kenya,deep_persona,168,3,3,2,6,3,3
wvs,Kenya,deep_persona,169,2,3,2,5,3,3
wvs,Kenya,deep_persona,170,2,3,2,5,3,3
wvs,Kenya,deep_persona,171,2,2,2,5,2,3
wvs,Kenya,deep_persona,172,3,2,2,5,3,3
wvs,Kenya,deep_persona,173,3,4,2,5,3,3
wvs,Kenya,deep_persona,174,2,2,2,1,3,3
wvs,Kenya,deep_persona,175,2,2,2,6,2,3
wvs,Kenya,deep_persona,176,3,4,2,4,3,4
wvs,Kenya,deep_persona,177,2,3,2,1,3,3
wvs,Kenya,deep_persona,178,2,2,2,7,3,3
wvs,Kenya,deep_persona,179,2,4,2,1,3,3
wvs,Kenya,deep_persona,180,2,2,2,5,2,3
wvs,Kenya,deep_persona,181,2,2,2,3,3,3
wvs,Kenya,deep_persona,182,2,2,2,5,2,3
wvs,Kenya,deep_persona,183,2,3,2,5,3,3
wvs,Kenya,deep_persona,184,2,2,2,3,3,2
wvs,Kenya,deep_persona,185,2,3,2,5,3,3
wvs,Kenya,deep_persona,186,3,3,2,2,3,3
wvs,Kenya,deep_persona,187,3,4,2,1,3,3
wvs,Kenya,deep_persona,188,2,3,2,5,3,3
wvs,Kenya,deep_persona,189,2,4,2,3,3,3
wvs,Kenya,deep_persona,190,2,2,2,5,3,3
wvs,Kenya,deep_persona,191,2,2,2,5,2,3
wvs,Kenya,deep_persona,192,2,2,2,5,3,1
wvs,Kenya,deep_persona,193,3,2,2,2,3,1
wvs,Kenya,deep_persona,194,3,3,2,6,3,3
wvs,Kenya,deep_persona,195,2,3,2,4,3,3
wvs,Kenya,deep_persona,196,2,4,2,1,3,3
wvs,Kenya,deep_persona,197,2,2,2,5,1,3
wvs,Kenya,deep_persona,198,2,3,2,1,3,3
wvs,Kenya,deep_persona,199,2,3,2,3,3,3
wvs,Kenya,deep_persona,200,2,2,2,6,3,3
wvs,Kenya,deep_persona,201,2,2,2,6,2,3
wvs,Kenya,deep_persona,202,2,2,2,6,3,3
wvs,Kenya,deep_persona,203,2,2,2,5,3,3
wvs,Kenya,deep_persona,204,2,3,2,5,3,3
wvs,Kenya,deep_persona,205,2,2,2,3,3,3
wvs,Kenya,deep_persona,206,2,3,2,2,3,3
wvs,Kenya,deep_persona,207,2,2,2,6,3,3
wvs,Kenya,deep_persona,208,3,4,2,6,3,3
wvs,Kenya,deep_persona,209,3,2,2,1,3,2
wvs,Kenya,deep_persona,210,3,3,2,3,3,3
wvs,Kenya,deep_persona,211,2,2,2,2,3,3
wvs,Kenya,deep_persona,212,2,2,2,7,3,3
wvs,Kenya,deep_persona,213,2,2,2,5,2,1
wvs,Kenya,deep_persona,214,2,2,2,2,3,3
wvs,Kenya,deep_persona,215,2,3,2,5,3,3
wvs,Kenya,deep_persona,216,2,3,2,1,3,3
wvs,Kenya,deep_persona,217,2,3,2,3,3,3
wvs,Kenya,deep_persona,218,3,4,2,2,3,3
wvs,Kenya,deep_persona,219,2,3,2,8,3,3
wvs,Kenya,deep_persona,220,2,3,2,4,3,3
wvs,Kenya,deep_persona,221,3,2,2,4,3,3
wvs,Kenya,deep_persona,222,2,2,2,3,3,3
wvs,Kenya,deep_persona,223,2,3,2,5,3,3
wvs,Kenya,deep_persona,224,3,4,2,5,3,4
wvs,Kenya,deep_persona,225,2,2,2,7,2,1
wvs,Kenya,deep_persona,226,2,3,2,2,3,3
