domain,country,prompt_method,respondent_id,Q45,Q46,Q57,Q184,Q218,Q254
wvs,Kenya,opencharacter,0,3,3,2,4,1,2
wvs,Kenya,opencharacter,1,3,3,2,6,2,2
wvs,Kenya,opencharacter,2,3,2,2,6,2,2
wvs,Kenya,opencharacter,3,3,2,2,6,2,2
wvs,Kenya,opencharacter,4,3,3,2,5,1,2
wvs,Kenya,opencharacter,5,3,3,2,6,2,2
wvs,Kenya,opencharacter,6,3,2,2,6,2,2
wvs,Kenya,opencharacter,7,3,3,2,6,2,2
wvs,Kenya,opencharacter,8,3,2,2,6,2,2
wvs,Kenya,opencharacter,9,3,2,2,6,2,2
wvs,Kenya,opencharacter,10,3,3,2,5,2,2
wvs,Kenya,opencharacter,11,3,3,2,7,2,2
wvs,Kenya,opencharacter,12,3,3,2,7,2,2
wvs,Kenya,opencharacter,13,3,3,2,6,2,2
wvs,Kenya,opencharacter,14,3,3,2,5,2,2
wvs,Kenya,opencharacter,15,3,3,2,6,1,2
wvs,Kenya,opencharacter,16,3,2,2,6,2,2
wvs,Kenya,opencharacter,17,2,3,2,6,2,2
wvs,Kenya,opencharacter,18,3,3,2,5,1,2
wvs,Kenya,opencharacter,19,3,3,2,6,2,2
wvs,Kenya,opencharacter,20,3,3,2,6,2,2
wvs,Kenya,opencharacter,21,2,4,2,7,2,2
wvs,Kenya,opencharacter,22,3,3,2,5,2,2
wvs,Kenya,opencharacter,23,3,3,2,7,2,2
wvs,Kenya,opencharacter,24,3,3,2,6,2,2
wvs,Kenya,opencharacter,25,3,3,2,6,2,2
wvs,Kenya,opencharacter,26,3,2,2,4,2,2
wvs,Kenya,opencharacter,27,3,3,2,5,2,2
wvs,Kenya,opencharacter,28,3,3,2,4,1,2
wvs,Kenya,opencharacter,29,3,2,2,7,2,2
wvs,Kenya,opencharacter,30,3,3,2,6,2,2
wvs,Kenya,opencharacter,31,3,3,2,4,2,2
wvs,Kenya,opencharacter,32,3,4,2,5,2,2
wvs,Kenya,opencharacter,33,3,3,2,5,2,2
wvs,Kenya,opencharacter,34,3,3,2,6,2,2
wvs,Kenya,opencharacter,35,3,3,2,6,2,2
wvs,Kenya,opencharacter,36,3,3,2,6,2,2
wvs,Kenya,opencharacter,37,3,3,2,5,2,2
wvs,Kenya,opencharacter,38,2,3,2,6,2,2
wvs,Kenya,opencharacter,39,3,3,2,5,2,2
wvs,Kenya,opencharacter,40,3,2,2,6,2,2
wvs,Kenya,opencharacter,41,3,3,2,6,2,2
wvs,Kenya,opencharacter,42,3,3,2,5,2,2
wvs,Kenya,opencharacter,43,3,3,2,6,2,2
wvs,Kenya,opencharacter,44,3,3,2,6,2,2
wvs,Kenya,opencharacter,45,3,3,2,5,2,2
wvs,Kenya,opencharacter,46,3,2,2,6,2,2
wvs,Kenya,opencharacter,47,3,3,2,4,2,2
wvs,Kenya,opencharacter,48,2,3,2,4,2,2
wvs,Kenya,opencharacter,49,3,2,2,5,2,2
wvs,Kenya,opencharacter,50,2,3,2,5,2,2
wvs,Kenya,opencharacter,51,3,3,2,6,1,2
wvs,Kenya,opencharacter,52,3,3,2,6,2,2
wvs,Kenya,opencharacter,53,3,3,2,6,2,2
wvs,Kenya,opencharacter,54,2,3,2,6,2,2
wvs,Kenya,opencharacter,55,2,3,2,6,2,2
wvs,Kenya,opencharacter,56,3,2,2,5,2,2
wvs,Kenya,opencharacter,57,3,3,2,6,2,2
wvs,Kenya,opencharacter,58,3,3,2,7,2,2
wvs,Kenya,opencharacter,59,3,3,2,5,2,2
wvs,Kenya,opencharacter,60,3,3,2,6,2,2
wvs,Kenya,opencharacter,61,3,2,2,6,3,2
wvs,Kenya,opencharacter,62,3,3,2,5,2,2
wvs,Kenya,opencharacter,63,3,2,2,6,2,2
wvs,Kenya,opencharacter,64,3,3,2,6,1,2
wvs,Kenya,opencharacter,65,3,3,2,6,2,2
wvs,Kenya,opencharacter,66,3,2,2,6,2,2
wvs,Kenya,opencharacter,67,3,3,2,6,2,2
wvs,Kenya,opencharacter,68,2,3,2,6,2,2
wvs,Kenya,opencharacter,69,3,3,2,6,1,2
wvs,Kenya,opencharacter,70,3,3,2,6,2,2
wvs,Kenya,opencharacter,71,3,3,2,6,1,2
wvs,Kenya,opencharacter,72,3,2,2,5,2,2
wvs,Kenya,opencharacter,73,3,3,2,5,1,2
wvs,Kenya,opencharacter,74,3,3,2,6,2,2
wvs,Kenya,opencharacter,75,3,2,2,7,2,2
wvs,Kenya,opencharacter,76,3,3,2,4,2,2
wvs,Kenya,opencharacter,77,3,3,2,5,2,2
wvs,Kenya,opencharacter,78,3,3,2,4,2,2
wvs,Kenya,opencharacter,79,3,3,2,6,2,2
wvs,Kenya,opencharacter,80,3,3,2,6,2,2
wvs,Kenya,opencharacter,81,3,2,2,6,1,2
wvs,Kenya,opencharacter,82,3,3,2,6,1,2
wvs,Kenya,opencharacter,83,3,3,2,6,2,2
wvs,Kenya,opencharacter,84,3,2,2,6,2,2
wvs,Kenya,opencharacter,85,3,2,2,6,2,2
wvs,Kenya,opencharacter,86,3,3,2,4,2,2
wvs,Kenya,opencharacter,87,3,3,2,5,1,2
wvs,Kenya,opencharacter,88,3,3,2,6,2,2
wvs,Kenya,opencharacter,89,3,3,2,5,2,2
wvs,Kenya,opencharacter,90,3,3,2,6,2,2
wvs,Kenya,opencharacter,91,3,2,2,7,2,2
wvs,Kenya,opencharacter,92,3,3,2,5,2,2
wvs,Kenya,opencharacter,93,3,3,2,5,2,2
wvs,Kenya,opencharacter,94,3,3,2,6,2,2
wvs,Kenya,opencharacter,95,3,3,2,5,2,2
wvs,Kenya,opencharacter,96,3,3,2,4,2,2
wvs,Kenya,opencharacter,97,3,3,2,6,2,2
wvs,Kenya,opencharacter,98,3,3,2,5,2,2
wvs,Kenya,opencharacter,99,3,3,2,6,2,2
wvs,Kenya,opencharacter,100,3,2,2,6,2,2
wvs,Kenya,opencharacter,101,3,3,2,3,1,2
wvs,Kenya,opencharacter,102,3,2,2,6,2,2
wvs,Kenya,opencharacter,103,3,3,2,7,2,2
wvs,Kenya,opencharacter,104,3,3,2,5,2,2
wvs,Kenya,opencharacter,105,3,3,2,5,2,2
wvs,Kenya,opencharacter,106,3,3,2,6,2,2
wvs,Kenya,opencharacter,107,3,3,2,6,2,2
wvs,Kenya,opencharacter,108,3,3,2,5,1,2
wvs,Kenya,opencharacter,109,3,3,2,4,2,2
wvs,Kenya,opencharacter,110,3,2,2,5,2,2
wvs,Kenya,opencharacter,111,3,3,2,4,2,2
wvs,Kenya,opencharacter,112,3,4,2,5,1,2
wvs,Kenya,opencharacter,113,3,2,2,5,2,2
wvs,Kenya,opencharacter,114,3,3,2,5,2,2
wvs,Kenya,opencharacter,115,3,3,2,4,2,2
wvs,Kenya,opencharacter,116,3,3,2,6,2,2
wvs,Kenya,opencharacter,117,3,2,2,6,2,2
wvs,Kenya,opencharacter,118,3,3,2,6,2,2
wvs,Kenya,opencharacter,119,3,3,2,5,1,2
wvs,Kenya,opencharacter,120,3,3,2,5,2,2
wvs,Kenya,opencharacter,121,3,3,2,7,2,2
wvs,Kenya,opencharacter,122,3,3,2,6,2,2
wvs,Kenya,opencharacter,123,3,3,2,6,2,2
wvs,Kenya,opencharacter,124,3,3,2,6,2,2
wvs,Kenya,opencharacter,125,3,3,2,6,2,2
wvs,Kenya,opencharacter,126,3,3,2,5,2,2
wvs,Kenya,opencharacter,127,3,3,2,6,2,2
wvs,Kenya,opencharacter,128,3,3,2,5,2,2
wvs,Kenya,opencharacter,129,3,3,2,6,2,2
wvs,Kenya,opencharacter,130,2,3,2,6,2,2
wvs,Kenya,opencharacter,131,3,3,2,5,1,2
wvs,Kenya,opencharacter,132,3,3,2,6,2,2
wvs,Kenya,opencharacter,133,3,3,2,6,2,2
wvs,Kenya,opencharacter,134,3,3,2,6,2,2
wvs,Kenya,opencharacter,135,3,2,2,6,2,2
wvs,Kenya,opencharacter,136,3,3,2,6,2,2
wvs,Kenya,opencharacter,137,3,3,2,6,1,2
wvs,Kenya,opencharacter,138,3,3,2,6,2,2
wvs,Kenya,opencharacter,139,2,3,2,5,2,2
wvs,Kenya,opencharacter,140,2,3,2,5,2,2
wvs,Kenya,opencharacter,141,3,3,2,5,2,2
wvs,Kenya,opencharacter,142,3,2,2,6,2,2
wvs,Kenya,opencharacter,143,3,3,2,7,2,2
wvs,Kenya,opencharacter,144,3,3,2,6,2,2
wvs,Kenya,opencharacter,145,3,3,2,5,2,2
wvs,Kenya,opencharacter,146,3,3,2,5,1,2
wvs,Kenya,opencharacter,147,2,3,2,6,2,2
wvs,Kenya,opencharacter,148,2,3,2,5,2,2
wvs,Kenya,opencharacter,149,3,3,2,7,2,2
wvs,Kenya,opencharacter,150,3,3,2,7,2,2
wvs,Kenya,opencharacter,151,3,3,2,6,2,2
wvs,Kenya,opencharacter,152,3,4,2,6,2,2
wvs,Kenya,opencharacter,153,3,3,2,6,2,2
wvs,Kenya,opencharacter,154,2,3,2,7,2,2
wvs,Kenya,opencharacter,155,3,3,2,6,2,2
wvs,Kenya,opencharacter,156,3,3,2,6,2,2
wvs,Kenya,opencharacter,157,2,3,2,5,2,2
wvs,Kenya,opencharacter,158,3,3,2,7,1,2
wvs,Kenya,opencharacter,159,3,4,2,5,2,2
wvs,Kenya,opencharacter,160,3,3,2,6,2,2
wvs,Kenya,opencharacter,161,3,3,2,6,2,2
wvs,Kenya,opencharacter,162,3,3,2,6,2,2
wvs,Kenya,opencharacter,163,3,3,2,6,2,2
wvs,Kenya,opencharacter,164,3,3,2,6,2,2
wvs,Kenya,opencharacter,165,3,3,2,7,2,2
wvs,Kenya,opencharacter,166,3,3,2,6,2,2
wvs,Kenya,opencharacter,167,3,3,2,6,2,2
wvs,Kenya,opencharacter,168,3,3,2,5,2,2
wvs,Kenya,opencharacter,169,3,3,2,6,2,2
wvs,Kenya,opencharacter,170,3,3,2,6,2,2
wvs,Kenya,opencharacter,171,3,3,2,6,2,2
wvs,Kenya,opencharacter,172,3,2,2,6,2,2
wvs,Kenya,opencharacter,173,3,3,2,5,2,2
wvs,Kenya,opencharacter,174,3,3,2,7,2,2
