domain,country,prompt_method,respondent_id,Q45_para,Q46_para,Q57_para,Q184_para,Q218_para,Q254_para
wvs,Kenya,opencharacter,0,2,3,2,3,3,3
wvs,Kenya,opencharacter,1,2,2,2,6,1,3
wvs,Kenya,opencharacter,2,2,2,2,6,1,3
wvs,Kenya,opencharacter,3,2,2,2,6,1,3
wvs,Kenya,opencharacter,4,2,2,2,5,3,3
wvs,Kenya,opencharacter,5,2,2,2,5,3,3
wvs,Kenya,opencharacter,6,2,2,2,6,1,3
wvs,Kenya,opencharacter,7,2,2,2,7,3,3
wvs,Kenya,opencharacter,8,2,2,2,4,3,2
wvs,Kenya,opencharacter,9,2,2,2,5,3,3
wvs,Kenya,opencharacter,10,2,3,2,4,3,3
wvs,Kenya,opencharacter,11,2,2,2,5,3,3
wvs,Kenya,opencharacter,12,2,2,2,5,3,3
wvs,Kenya,opencharacter,13,2,2,2,5,3,3
wvs,Kenya,opencharacter,14,2,2,2,6,3,3
wvs,Kenya,opencharacter,15,2,2,2,5,3,3
wvs,Kenya,opencharacter,16,2,2,2,7,1,3
wvs,Kenya,opencharacter,17,2,2,2,7,1,3
wvs,Kenya,opencharacter,18,2,3,2,5,3,3
wvs,Kenya,opencharacter,19,2,2,2,6,3,3
wvs,Kenya,opencharacter,20,2,3,2,6,3,3
wvs,Kenya,opencharacter,21,2,2,2,3,3,3
wvs,Kenya,opencharacter,22,2,2,2,5,3,3
wvs,Kenya,opencharacter,23,2,2,2,5,3,3
wvs,Kenya,opencharacter,24,2,3,2,6,1,3
wvs,Kenya,opencharacter,25,2,2,2,6,3,3
wvs,Kenya,opencharacter,26,2,2,2,6,3,3
wvs,Kenya,opencharacter,27,2,2,2,1,3,3
wvs,Kenya,opencharacter,28,2,3,2,1,3,3
wvs,Kenya,opencharacter,29,2,2,2,5,1,3
wvs,Kenya,opencharacter,30,2,3,2,6,3,3
wvs,Kenya,opencharacter,31,2,3,2,2,3,3
wvs,Kenya,opencharacter,32,2,2,2,6,3,3
wvs,Kenya,opencharacter,33,2,2,2,5,3,3
wvs,Kenya,opencharacter,34,2,2,2,5,1,3
wvs,Kenya,opencharacter,35,2,2,2,5,3,3
wvs,Kenya,opencharacter,36,2,2,2,6,3,3
wvs,Kenya,opencharacter,37,2,2,2,5,3,3
wvs,Kenya,opencharacter,38,2,2,2,7,3,3
wvs,Kenya,opencharacter,39,2,3,2,5,3,3
wvs,Kenya,opencharacter,40,2,2,2,6,1,3
wvs,Kenya,opencharacter,41,2,2,2,4,3,3
wvs,Kenya,opencharacter,42,2,2,2,6,3,3
wvs,Kenya,opencharacter,43,2,2,2,6,1,3
wvs,Kenya,opencharacter,44,2,2,2,4,3,3
wvs,Kenya,opencharacter,45,2,2,2,5,3,3
wvs,Kenya,opencharacter,46,2,2,2,5,1,3
wvs,Kenya,opencharacter,47,2,2,2,4,3,3
wvs,Kenya,opencharacter,48,2,3,2,2,3,3
wvs,Kenya,opencharacter,49,2,2,2,5,1,3
wvs,Kenya,opencharacter,50,2,2,2,5,3,3
wvs,Kenya,opencharacter,51,2,3,2,6,3,3
wvs,Kenya,opencharacter,52,2,2,2,7,3,3
wvs,Kenya,opencharacter,53,2,3,2,5,3,3
wvs,Kenya,opencharacter,54,2,2,2,6,3,3
wvs,Kenya,opencharacter,55,2,3,2,6,2,3
wvs,Kenya,opencharacter,56,2,2,2,6,3,3
wvs,Kenya,opencharacter,57,2,2,2,2,1,3
wvs,Kenya,opencharacter,58,2,3,2,2,3,3
wvs,Kenya,opencharacter,59,2,2,2,3,3,3
wvs,Kenya,opencharacter,60,2,2,2,6,1,3
wvs,Kenya,opencharacter,61,2,2,2,6,3,3
wvs,Kenya,opencharacter,62,2,3,2,6,3,3
wvs,Kenya,opencharacter,63,2,2,2,6,3,3
wvs,Kenya,opencharacter,64,2,3,2,1,3,3
wvs,Kenya,opencharacter,65,2,2,2,5,3,3
wvs,Kenya,opencharacter,66,2,2,2,6,3,3
wvs,Kenya,opencharacter,67,2,2,2,6,3,3
wvs,Kenya,opencharacter,68,2,2,2,6,3,3
wvs,Kenya,opencharacter,69,2,2,2,4,3,3
wvs,Kenya,opencharacter,70,2,2,2,5,1,3
wvs,Kenya,opencharacter,71,2,2,2,5,3,3
wvs,Kenya,opencharacter,72,2,2,2,4,3,3
wvs,Kenya,opencharacter,73,2,2,2,5,3,3
wvs,Kenya,opencharacter,74,2,2,2,6,3,3
wvs,Kenya,opencharacter,75,2,2,2,5,1,3
wvs,Kenya,opencharacter,76,2,2,2,2,3,3
wvs,Kenya,opencharacter,77,2,2,2,5,3,3
wvs,Kenya,opencharacter,78,2,3,2,2,3,3
wvs,Kenya,opencharacter,79,2,2,2,5,3,3
wvs,Kenya,opencharacter,80,2,3,2,3,3,3
wvs,Kenya,opencharacter,81,2,2,2,6,1,3
wvs,Kenya,opencharacter,82,2,2,2,6,3,3
wvs,Kenya,opencharacter,83,2,2,2,5,3,3
wvs,Kenya,opencharacter,84,2,2,2,6,3,3
wvs,Kenya,opencharacter,85,2,2,2,5,1,3
wvs,Kenya,opencharacter,86,2,2,2,6,3,3
wvs,Kenya,opencharacter,87,2,3,2,5,3,3
wvs,Kenya,opencharacter,88,2,3,2,3,3,3
wvs,Kenya,opencharacter,89,2,2,2,4,3,3
wvs,Kenya,opencharacter,90,2,2,2,6,3,3
wvs,Kenya,opencharacter,91,2,2,2,5,1,3
wvs,Kenya,opencharacter,92,2,2,2,6,3,3
wvs,Kenya,opencharacter,93,2,2,2,6,3,3
wvs,Kenya,opencharacter,94,2,2,2,3,3,3
wvs,Kenya,opencharacter,95,2,3,2,6,1,3
wvs,Kenya,opencharacter,96,2,2,2,6,3,3
wvs,Kenya,opencharacter,97,2,2,2,5,3,3
wvs,Kenya,opencharacter,98,2,2,2,6,3,3
wvs,Kenya,opencharacter,99,2,2,2,6,1,3
wvs,Kenya,opencharacter,100,2,2,2,6,1,3
wvs,Kenya,opencharacter,101,2,3,2,2,3,3
wvs,Kenya,opencharacter,102,2,2,2,5,3,3
wvs,Kenya,opencharacter,103,2,2,2,4,1,3
wvs,Kenya,opencharacter,104,2,2,2,5,3,3
wvs,Kenya,opencharacter,105,2,2,2,4,3,3
wvs,Kenya,opencharacter,106,2,2,2,3,3,3
wvs,Kenya,opencharacter,107,2,2,2,6,3,3
wvs,Kenya,opencharacter,108,2,3,2,4,3,3
wvs,Kenya,opencharacter,109,2,2,2,3,3,3
wvs,Kenya,opencharacter,110,2,2,2,6,3,3
wvs,Kenya,opencharacter,111,2,2,2,7,3,3
wvs,Kenya,opencharacter,112,2,3,2,1,3,3
wvs,Kenya,opencharacter,113,2,2,2,7,3,3
wvs,Kenya,opencharacter,114,2,2,2,5,3,3
wvs,Kenya,opencharacter,115,2,2,2,6,3,3
wvs,Kenya,opencharacter,116,2,2,2,6,3,3
wvs,Kenya,opencharacter,117,2,2,2,4,1,3
wvs,Kenya,opencharacter,118,2,2,2,6,3,3
wvs,Kenya,opencharacter,119,2,3,2,2,3,3
wvs,Kenya,opencharacter,120,2,3,2,6,3,3
wvs,Kenya,opencharacter,121,2,3,2,6,3,3
wvs,Kenya,opencharacter,122,2,2,2,5,3,3
wvs,Kenya,opencharacter,123,2,2,2,2,3,3
wvs,Kenya,opencharacter,124,2,3,2,3,3,3
wvs,Kenya,opencharacter,125,2,2,2,6,1,3
wvs,Kenya,opencharacter,126,2,2,2,6,3,3
wvs,Kenya,opencharacter,127,2,3,2,4,2,3
wvs,Kenya,opencharacter,128,2,3,2,2,3,3
wvs,Kenya,opencharacter,129,2,2,2,6,3,3
wvs,Kenya,opencharacter,130,2,3,2,3,3,3
wvs,Kenya,opencharacter,131,2,2,2,3,3,3
wvs,Kenya,opencharacter,132,2,2,2,6,3,3
wvs,Kenya,opencharacter,133,2,2,2,6,3,3
wvs,Kenya,opencharacter,134,2,2,2,5,3,3
wvs,Kenya,opencharacter,135,2,2,2,5,3,3
wvs,Kenya,opencharacter,136,2,2,2,6,2,3
wvs,Kenya,opencharacter,137,2,2,2,6,3,3
wvs,Kenya,opencharacter,138,2,2,2,6,3,3
wvs,Kenya,opencharacter,139,2,3,2,5,3,3
wvs,Kenya,opencharacter,140,2,3,2,5,3,3
wvs,Kenya,opencharacter,141,2,2,2,4,3,3
wvs,Kenya,opencharacter,142,2,2,2,5,1,1
wvs,Kenya,opencharacter,143,2,3,2,5,3,3
wvs,Kenya,opencharacter,144,2,2,2,5,3,3
wvs,Kenya,opencharacter,145,2,2,2,6,3,3
wvs,Kenya,opencharacter,146,2,2,2,5,3,3
wvs,Kenya,opencharacter,147,2,3,2,4,3,3
wvs,Kenya,opencharacter,148,2,3,2,6,3,3
wvs,Kenya,opencharacter,149,2,2,2,7,3,3
wvs,Kenya,opencharacter,150,2,2,2,4,3,3
wvs,Kenya,opencharacter,151,2,2,2,6,3,3
wvs,Kenya,opencharacter,152,2,2,2,4,3,3
wvs,Kenya,opencharacter,153,2,2,2,6,3,3
wvs,Kenya,opencharacter,154,2,3,2,6,3,3
wvs,Kenya,opencharacter,155,2,2,2,2,1,3
wvs,Kenya,opencharacter,156,2,2,2,7,3,3
wvs,Kenya,opencharacter,157,2,3,2,6,3,3
wvs,Kenya,opencharacter,158,2,2,2,5,3,3
wvs,Kenya,opencharacter,159,2,3,2,6,3,3
wvs,Kenya,opencharacter,160,2,2,2,7,3,3
wvs,Kenya,opencharacter,161,2,2,2,5,3,3
wvs,Kenya,opencharacter,162,2,2,2,6,3,3
wvs,Kenya,opencharacter,163,2,2,2,6,1,3
wvs,Kenya,opencharacter,164,2,2,2,6,3,3
wvs,Kenya,opencharacter,165,2,2,2,5,3,3
wvs,Kenya,opencharacter,166,2,2,2,6,1,3
wvs,Kenya,opencharacter,167,2,2,2,7,3,3
wvs,Kenya,opencharacter,168,2,3,2,6,3,3
wvs,Kenya,opencharacter,169,2,2,2,6,3,3
wvs,Kenya,opencharacter,170,2,2,2,5,3,3
wvs,Kenya,opencharacter,171,2,2,2,6,3,3
wvs,Kenya,opencharacter,172,2,2,2,5,3,3
wvs,Kenya,opencharacter,173,2,2,2,6,3,3
wvs,Kenya,opencharacter,174,2,2,2,2,3,3
wvs,Kenya,opencharacter,175,2,3,2,6,3,3
wvs,Kenya,opencharacter,176,2,2,2,6,3,3
wvs,Kenya,opencharacter,177,2,2,2,5,3,3
wvs,Kenya,opencharacter,178,2,2,2,6,3,3
wvs,Kenya,opencharacter,179,2,2,2,6,3,3
wvs,Kenya,opencharacter,180,2,2,2,6,3,3
wvs,Kenya,opencharacter,181,2,3,2,3,3,3
wvs,Kenya,opencharacter,182,2,2,2,2,3,3
wvs,Kenya,opencharacter,183,2,3,2,3,3,3
wvs,Kenya,opencharacter,184,2,2,2,6,1,3
wvs,Kenya,opencharacter,185,2,3,2,5,3,3
wvs,Kenya,opencharacter,186,2,2,2,7,1,3
wvs,Kenya,opencharacter,187,2,2,2,6,3,3
wvs,Kenya,opencharacter,188,2,2,2,5,3,3
wvs,Kenya,opencharacter,189,2,2,2,6,3,3
wvs,Kenya,opencharacter,190,2,2,2,6,1,3
wvs,Kenya,opencharacter,191,2,2,2,5,3,3
wvs,Kenya,opencharacter,192,2,3,2,1,3,3
wvs,Kenya,opencharacter,193,2,2,2,6,3,3
wvs,Kenya,opencharacter,194,2,3,2,3,3,3
wvs,Kenya,opencharacter,195,2,2,2,4,3,3
wvs,Kenya,opencharacter,196,2,2,2,7,3,3
wvs,Kenya,opencharacter,197,2,2,2,6,3,3
wvs,Kenya,opencharacter,198,2,2,2,5,3,3
wvs,Kenya,opencharacter,199,2,3,2,3,3,3
wvs,Kenya,opencharacter,200,2,2,2,5,3,3
wvs,Kenya,opencharacter,201,2,2,2,6,1,3
wvs,Kenya,opencharacter,202,2,2,2,2,3,3
wvs,Kenya,opencharacter,203,2,2,2,4,3,3
wvs,Kenya,opencharacter,204,2,2,2,6,1,3
wvs,Kenya,opencharacter,205,2,3,2,6,3,3
wvs,Kenya,opencharacter,206,2,3,2,3,3,3
wvs,Kenya,opencharacter,207,2,2,2,5,1,3
wvs,Kenya,opencharacter,208,2,2,2,6,3,3
wvs,Kenya,opencharacter,209,2,3,2,3,3,3
wvs,Kenya,opencharacter,210,2,3,2,5,3,3
wvs,Kenya,opencharacter,211,2,3,2,3,3,3
wvs,Kenya,opencharacter,212,2,2,2,6,3,3
wvs,Kenya,opencharacter,213,2,2,2,4,3,3
wvs,Kenya,opencharacter,214,2,2,2,7,3,3
wvs,Kenya,opencharacter,215,2,2,2,4,3,3
wvs,Kenya,opencharacter,216,2,3,2,1,3,3
wvs,Kenya,opencharacter,217,2,3,2,4,3,3
wvs,Kenya,opencharacter,218,2,2,2,6,3,3
wvs,Kenya,opencharacter,219,2,2,2,6,1,3
wvs,Kenya,opencharacter,220,2,2,2,6,3,3
wvs,Kenya,opencharacter,221,2,2,2,5,3,3
wvs,Kenya,opencharacter,222,2,2,2,6,1,3
wvs,Kenya,opencharacter,223,2,2,2,6,1,3
wvs,Kenya,opencharacter,224,2,2,2,2,3,3
wvs,Kenya,opencharacter,225,2,2,2,6,3,3
wvs,Kenya,opencharacter,226,2,3,2,5,3,3
wvs,Kenya,opencharacter,227,2,3,2,5,3,3
wvs,Kenya,opencharacter,228,2,2,2,5,1,3
wvs,Kenya,opencharacter,229,2,2,2,3,2,3
wvs,Kenya,opencharacter,230,2,3,2,4,3,3
wvs,Kenya,opencharacter,231,2,2,2,6,3,3
wvs,Kenya,opencharacter,232,2,2,2,7,1,3
wvs,Kenya,opencharacter,233,2,2,2,6,3,3
wvs,Kenya,opencharacter,234,2,3,2,6,3,3
wvs,Kenya,opencharacter,235,2,2,2,3,3,3
wvs,Kenya,opencharacter,236,2,2,2,6,1,3
wvs,Kenya,opencharacter,237,2,3,2,3,3,3
wvs,Kenya,opencharacter,238,2,2,2,5,3,3
wvs,Kenya,opencharacter,239,2,2,2,6,3,3
wvs,Kenya,opencharacter,240,2,3,2,6,3,3
wvs,Kenya,opencharacter,241,2,2,2,2,3,3
wvs,Kenya,opencharacter,242,2,2,2,5,1,3
