domain,country,prompt_method,respondent_id,Q45_rev,Q46_rev,Q57_rev,Q184_rev,Q218_rev,Q254_rev
wvs,Kenya,opencharacter,0,2,4,1,10,2,3
wvs,Kenya,opencharacter,1,2,4,1,8,2,3
wvs,Kenya,opencharacter,2,2,4,1,7,3,3
wvs,Kenya,opencharacter,3,2,4,1,8,2,3
wvs,Kenya,opencharacter,4,3,4,1,8,2,3
wvs,Kenya,opencharacter,5,2,4,1,8,2,3
wvs,Kenya,opencharacter,6,2,4,1,8,2,3
wvs,Kenya,opencharacter,7,2,4,1,8,3,3
wvs,Kenya,opencharacter,8,2,4,1,8,2,3
wvs,Kenya,opencharacter,9,2,4,1,8,2,3
wvs,Kenya,opencharacter,10,3,3,1,10,2,3
wvs,Kenya,opencharacter,11,3,4,1,8,2,3
wvs,Kenya,opencharacter,12,2,4,1,7,3,3
wvs,Kenya,opencharacter,13,2,4,1,7,3,3
wvs,Kenya,opencharacter,14,2,4,1,10,3,3
wvs,Kenya,opencharacter,15,2,4,1,8,2,3
wvs,Kenya,opencharacter,16,2,3,1,8,3,3
wvs,Kenya,opencharacter,17,2,4,1,7,2,3
wvs,Kenya,opencharacter,18,3,3,1,10,2,3
wvs,Kenya,opencharacter,19,2,4,1,7,2,3
wvs,Kenya,opencharacter,20,2,4,1,8,2,3
wvs,Kenya,opencharacter,21,3,4,1,5,2,3
wvs,Kenya,opencharacter,22,2,4,1,10,2,3
wvs,Kenya,opencharacter,23,2,4,1,5,2,3
wvs,Kenya,opencharacter,24,2,4,1,7,2,3
wvs,Kenya,opencharacter,25,2,4,1,10,3,3
wvs,Kenya,opencharacter,26,2,4,1,7,2,3
wvs,Kenya,opencharacter,27,2,4,1,8,2,3
wvs,Kenya,opencharacter,28,2,4,1,10,2,3
wvs,Kenya,opencharacter,29,2,3,1,7,2,3
wvs,Kenya,opencharacter,30,3,4,1,8,3,3
wvs,Kenya,opencharacter,31,2,4,1,8,2,3
wvs,Kenya,opencharacter,32,2,3,1,7,2,3
wvs,Kenya,opencharacter,33,2,3,1,8,2,3
wvs,Kenya,opencharacter,34,2,3,1,8,2,3
wvs,Kenya,opencharacter,35,2,4,1,7,2,3
wvs,Kenya,opencharacter,36,2,4,1,7,2,3
wvs,Kenya,opencharacter,37,2,4,1,8,3,3
wvs,Kenya,opencharacter,38,2,4,1,8,2,3
wvs,Kenya,opencharacter,39,2,4,1,8,2,3
wvs,Kenya,opencharacter,40,2,4,1,8,2,3
wvs,Kenya,opencharacter,41,2,3,1,7,2,3
wvs,Kenya,opencharacter,42,2,3,1,7,2,3
wvs,Kenya,opencharacter,43,2,4,1,8,3,3
wvs,Kenya,opencharacter,44,2,3,1,8,2,3
wvs,Kenya,opencharacter,45,2,3,1,8,2,3
wvs,Kenya,opencharacter,46,2,4,1,8,3,3
wvs,Kenya,opencharacter,47,2,4,1,8,2,3
wvs,Kenya,opencharacter,48,2,4,1,10,2,3
wvs,Kenya,opencharacter,49,2,4,1,7,2,3
wvs,Kenya,opencharacter,50,2,3,1,7,2,3
wvs,Kenya,opencharacter,51,2,4,1,8,2,3
wvs,Kenya,opencharacter,52,2,3,1,10,2,3
wvs,Kenya,opencharacter,53,2,4,1,8,2,3
wvs,Kenya,opencharacter,54,3,4,1,8,3,3
wvs,Kenya,opencharacter,55,2,4,1,7,2,3
wvs,Kenya,opencharacter,56,2,4,1,8,2,3
wvs,Kenya,opencharacter,57,2,4,1,8,2,3
wvs,Kenya,opencharacter,58,2,4,1,8,2,3
wvs,Kenya,opencharacter,59,2,4,1,8,2,3
wvs,Kenya,opencharacter,60,2,4,1,7,2,3
wvs,Kenya,opencharacter,61,2,4,1,6,2,3
wvs,Kenya,opencharacter,62,2,3,1,8,2,3
wvs,Kenya,opencharacter,63,3,4,1,8,2,3
wvs,Kenya,opencharacter,64,2,4,1,6,2,3
wvs,Kenya,opencharacter,65,2,4,1,8,2,3
wvs,Kenya,opencharacter,66,2,4,1,7,2,3
wvs,Kenya,opencharacter,67,2,4,1,7,2,3
wvs,Kenya,opencharacter,68,2,4,1,8,2,3
wvs,Kenya,opencharacter,69,2,4,1,10,3,3
wvs,Kenya,opencharacter,70,2,4,1,8,3,3
wvs,Kenya,opencharacter,71,2,4,1,8,2,3
wvs,Kenya,opencharacter,72,2,3,1,7,2,3
wvs,Kenya,opencharacter,73,2,3,1,8,2,3
wvs,Kenya,opencharacter,74,2,3,1,6,2,3
wvs,Kenya,opencharacter,75,2,4,1,7,2,3
wvs,Kenya,opencharacter,76,2,4,1,7,2,3
wvs,Kenya,opencharacter,77,2,3,1,8,2,3
wvs,Kenya,opencharacter,78,2,4,1,7,2,3
wvs,Kenya,opencharacter,79,2,4,1,8,2,3
wvs,Kenya,opencharacter,80,2,4,1,7,3,3
wvs,Kenya,opencharacter,81,2,3,1,6,2,3
wvs,Kenya,opencharacter,82,2,4,1,8,3,3
wvs,Kenya,opencharacter,83,2,4,1,8,2,3
wvs,Kenya,opencharacter,84,2,4,1,7,2,3
wvs,Kenya,opencharacter,85,2,4,1,8,2,3
wvs,Kenya,opencharacter,86,2,3,1,8,3,3
wvs,Kenya,opencharacter,87,2,4,1,10,2,3
wvs,Kenya,opencharacter,88,2,3,1,8,3,3
wvs,Kenya,opencharacter,89,2,4,1,8,2,3
wvs,Kenya,opencharacter,90,3,3,1,10,2,3
wvs,Kenya,opencharacter,91,2,3,1,8,2,3
wvs,Kenya,opencharacter,92,2,4,1,7,2,3
wvs,Kenya,opencharacter,93,2,4,1,8,3,3
wvs,Kenya,opencharacter,94,2,4,1,8,2,3
wvs,Kenya,opencharacter,95,2,4,1,8,3,3
wvs,Kenya,opencharacter,96,2,4,1,9,2,3
wvs,Kenya,opencharacter,97,2,3,1,6,2,3
wvs,Kenya,opencharacter,98,2,4,1,8,2,3
wvs,Kenya,opencharacter,99,2,4,1,8,2,3
wvs,Kenya,opencharacter,100,2,4,1,7,3,3
wvs,Kenya,opencharacter,101,2,4,1,8,2,3
wvs,Kenya,opencharacter,102,2,4,1,7,2,3
wvs,Kenya,opencharacter,103,3,4,1,7,2,3
wvs,Kenya,opencharacter,104,2,4,1,8,2,3
wvs,Kenya,opencharacter,105,2,4,1,10,3,3
wvs,Kenya,opencharacter,106,2,3,1,8,2,3
wvs,Kenya,opencharacter,107,2,4,1,8,3,3
wvs,Kenya,opencharacter,108,2,4,1,8,2,3
wvs,Kenya,opencharacter,109,2,4,1,7,2,3
wvs,Kenya,opencharacter,110,2,4,1,8,3,3
wvs,Kenya,opencharacter,111,2,4,1,8,2,3
wvs,Kenya,opencharacter,112,2,4,1,10,3,3
wvs,Kenya,opencharacter,113,2,4,1,8,2,3
wvs,Kenya,opencharacter,114,2,3,1,10,3,3
wvs,Kenya,opencharacter,115,2,4,1,10,2,3
wvs,Kenya,opencharacter,116,2,4,1,7,2,3
wvs,Kenya,opencharacter,117,2,4,1,8,2,3
wvs,Kenya,opencharacter,118,2,4,1,10,3,3
wvs,Kenya,opencharacter,119,2,4,1,10,2,3
wvs,Kenya,opencharacter,120,2,4,1,7,3,3
wvs,Kenya,opencharacter,121,2,4,1,7,2,3
wvs,Kenya,opencharacter,122,2,3,1,8,2,3
wvs,Kenya,opencharacter,123,2,4,1,8,2,3
wvs,Kenya,opencharacter,124,2,4,1,8,2,3
wvs,Kenya,opencharacter,125,2,4,1,6,2,3
wvs,Kenya,opencharacter,126,2,4,1,7,2,3
wvs,Kenya,opencharacter,127,2,3,1,8,2,3
wvs,Kenya,opencharacter,128,2,4,1,8,2,3
wvs,Kenya,opencharacter,129,2,4,1,8,2,3
wvs,Kenya,opencharacter,130,2,4,1,8,2,3
wvs,Kenya,opencharacter,131,2,4,1,7,2,3
wvs,Kenya,opencharacter,132,2,4,1,7,2,3
wvs,Kenya,opencharacter,133,2,4,1,8,2,3
wvs,Kenya,opencharacter,134,2,3,1,10,2,3
wvs,Kenya,opencharacter,135,2,4,1,8,2,3
wvs,Kenya,opencharacter,136,2,4,1,10,2,3
wvs,Kenya,opencharacter,137,2,4,1,10,2,3
wvs,Kenya,opencharacter,138,2,4,1,10,3,3
wvs,Kenya,opencharacter,139,2,4,1,7,2,3
wvs,Kenya,opencharacter,140,2,3,1,10,2,3
wvs,Kenya,opencharacter,141,2,4,1,7,2,3
wvs,Kenya,opencharacter,142,2,4,1,6,2,3
wvs,Kenya,opencharacter,143,2,3,1,10,2,3
wvs,Kenya,opencharacter,144,2,4,1,10,2,3
wvs,Kenya,opencharacter,145,2,4,1,8,2,3
wvs,Kenya,opencharacter,146,2,4,1,7,2,3
wvs,Kenya,opencharacter,147,2,3,1,7,2,3
wvs,Kenya,opencharacter,148,2,4,1,8,2,3
wvs,Kenya,opencharacter,149,2,4,1,8,2,3
wvs,Kenya,opencharacter,150,2,4,1,7,2,3
wvs,Kenya,opencharacter,151,2,3,1,8,2,3
wvs,Kenya,opencharacter,152,2,4,1,9,2,3
wvs,Kenya,opencharacter,153,2,4,1,10,2,3
wvs,Kenya,opencharacter,154,2,4,1,8,2,3
wvs,Kenya,opencharacter,155,2,4,1,8,2,3
wvs,Kenya,opencharacter,156,2,4,1,8,2,3
wvs,Kenya,opencharacter,157,2,4,1,8,2,3
wvs,Kenya,opencharacter,158,2,4,1,8,2,3
wvs,Kenya,opencharacter,159,2,3,1,8,2,3
wvs,Kenya,opencharacter,160,2,4,1,8,2,3
wvs,Kenya,opencharacter,161,2,4,1,8,2,3
wvs,Kenya,opencharacter,162,2,4,1,7,2,3
wvs,Kenya,opencharacter,163,2,4,1,7,2,3
wvs,Kenya,opencharacter,164,2,4,1,7,2,3
wvs,Kenya,opencharacter,165,2,4,1,7,3,3
wvs,Kenya,opencharacter,166,2,4,1,8,2,3
wvs,Kenya,opencharacter,167,2,4,1,10,2,3
wvs,Kenya,opencharacter,168,2,4,1,7,2,3
wvs,Kenya,opencharacter,169,2,3,1,8,2,3
wvs,Kenya,opencharacter,170,2,4,1,8,2,3
wvs,Kenya,opencharacter,171,2,4,1,7,2,3
wvs,Kenya,opencharacter,172,2,4,1,6,2,3
wvs,Kenya,opencharacter,173,2,4,1,7,2,3
wvs,Kenya,opencharacter,174,2,4,1,8,3,3
wvs,Kenya,opencharacter,175,2,4,1,7,2,3
wvs,Kenya,opencharacter,176,2,4,1,10,2,3
wvs,Kenya,opencharacter,177,2,3,1,8,2,3
wvs,Kenya,opencharacter,178,2,4,1,10,3,3
wvs,Kenya,opencharacter,179,2,4,1,8,2,3
wvs,Kenya,opencharacter,180,2,4,1,8,2,3
wvs,Kenya,opencharacter,181,2,3,1,8,2,3
wvs,Kenya,opencharacter,182,2,3,1,7,2,3
wvs,Kenya,opencharacter,183,2,4,1,7,2,3
wvs,Kenya,opencharacter,184,2,4,1,7,2,3
wvs,Kenya,opencharacter,185,2,4,1,7,2,3
wvs,Kenya,opencharacter,186,3,4,1,8,2,3
wvs,Kenya,opencharacter,187,2,4,1,7,2,3
wvs,Kenya,opencharacter,188,2,4,1,8,3,3
wvs,Kenya,opencharacter,189,3,4,1,8,2,3
wvs,Kenya,opencharacter,190,2,4,1,8,2,3
wvs,Kenya,opencharacter,191,2,4,1,6,2,3
wvs,Kenya,opencharacter,192,2,4,1,7,2,3
wvs,Kenya,opencharacter,193,2,4,1,6,2,3
wvs,Kenya,opencharacter,194,2,4,1,8,2,3
wvs,Kenya,opencharacter,195,2,4,1,10,2,3
wvs,Kenya,opencharacter,196,2,4,1,8,2,3
wvs,Kenya,opencharacter,197,2,4,1,8,2,3
wvs,Kenya,opencharacter,198,2,3,1,7,2,3
wvs,Kenya,opencharacter,199,2,4,1,6,2,3
wvs,Kenya,opencharacter,200,2,4,1,7,2,3
wvs,Kenya,opencharacter,201,2,4,1,8,3,3
wvs,Kenya,opencharacter,202,3,4,1,10,2,3
wvs,Kenya,opencharacter,203,2,4,1,8,2,3
wvs,Kenya,opencharacter,204,2,4,1,10,2,3
wvs,Kenya,opencharacter,205,2,3,1,10,2,3
wvs,Kenya,opencharacter,206,3,4,1,10,2,3
wvs,Kenya,opencharacter,207,2,4,1,8,2,3
wvs,Kenya,opencharacter,208,2,4,1,7,3,3
wvs,Kenya,opencharacter,209,3,4,1,7,2,3
wvs,Kenya,opencharacter,210,2,4,1,8,2,3
wvs,Kenya,opencharacter,211,2,3,1,7,2,3
wvs,Kenya,opencharacter,212,2,3,1,6,2,3
wvs,Kenya,opencharacter,213,2,4,1,7,2,3
wvs,Kenya,opencharacter,214,2,4,1,8,2,3
wvs,Kenya,opencharacter,215,2,4,1,8,3,3
wvs,Kenya,opencharacter,216,2,4,1,7,2,3
wvs,Kenya,opencharacter,217,2,4,1,10,2,3
wvs,Kenya,opencharacter,218,2,4,1,8,2,3
wvs,Kenya,opencharacter,219,2,4,1,8,2,3
wvs,Kenya,opencharacter,220,2,4,1,5,2,3
wvs,Kenya,opencharacter,221,2,4,1,7,2,3
wvs,Kenya,opencharacter,222,2,4,1,7,2,3
wvs,Kenya,opencharacter,223,2,4,1,8,2,3
wvs,Kenya,opencharacter,224,2,4,1,8,2,3
wvs,Kenya,opencharacter,225,2,4,1,8,2,3
wvs,Kenya,opencharacter,226,2,4,1,8,3,3
wvs,Kenya,opencharacter,227,2,4,1,7,3,3
wvs,Kenya,opencharacter,228,2,4,1,8,2,3
wvs,Kenya,opencharacter,229,2,4,1,8,2,3
wvs,Kenya,opencharacter,230,3,3,1,10,2,3
wvs,Kenya,opencharacter,231,2,4,1,8,2,3
wvs,Kenya,opencharacter,232,2,4,1,6,2,3
wvs,Kenya,opencharacter,233,2,4,1,8,2,3
wvs,Kenya,opencharacter,234,2,4,1,8,2,3
wvs,Kenya,opencharacter,235,2,4,1,8,2,3
wvs,Kenya,opencharacter,236,2,4,1,7,2,3
wvs,Kenya,opencharacter,237,2,4,1,7,2,3
wvs,Kenya,opencharacter,238,2,4,1,8,2,3
wvs,Kenya,opencharacter,239,2,4,1,7,2,3
wvs,Kenya,opencharacter,240,2,3,1,10,2,3
wvs,Kenya,opencharacter,241,2,4,1,8,2,3
wvs,Kenya,opencharacter,242,2,4,1,8,2,3
wvs,Kenya,opencharacter,243,2,4,1,8,2,3
wvs,Kenya,opencharacter,244,2,4,1,8,2,3
wvs,Kenya,opencharacter,245,2,4,1,8,3,3
wvs,Kenya,opencharacter,246,2,3,1,10,2,3
wvs,Kenya,opencharacter,247,2,4,1,8,2,3
wvs,Kenya,opencharacter,248,2,4,1,8,2,3
wvs,Kenya,opencharacter,249,2,4,1,8,2,3
wvs,Kenya,opencharacter,250,2,4,1,8,2,3
wvs,Kenya,opencharacter,251,2,4,1,7,2,3
wvs,Kenya,opencharacter,252,2,4,1,10,2,3
